ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600319.SH,20200225,5.69,6.07,5.65,6.0,5.78,0.21999999999999975,3.8062,58240.2,34297.753
600319.SH,20200224,5.78,5.88,5.75,5.78,5.85,-0.0699999999999994,-1.1966,42180.0,24439.134
600319.SH,20200221,5.92,5.97,5.83,5.85,5.91,-0.0600000000000005,-1.0152,34611.91,20339.105
600319.SH,20200220,5.8,6.03,5.79,5.91,5.74,0.16999999999999993,2.9617,37868.75,22467.051
600319.SH,20200219,5.88,5.93,5.73,5.74,6.01,-0.2699999999999996,-4.4925,47465.0,27693.461
600319.SH,20200218,5.98,6.06,5.88,6.01,5.97,0.040000000000000036,0.67,38004.86,22647.934
600319.SH,20200217,5.89,6.02,5.86,5.97,5.81,0.16000000000000014,2.7539,33394.65,19861.031
600319.SH,20200214,5.64,5.85,5.64,5.81,5.66,0.14999999999999947,2.6502,31825.99,18400.858
600319.SH,20200213,5.76,5.82,5.63,5.66,5.76,-0.09999999999999964,-1.7361,28904.96,16559.168
600319.SH,20200212,5.76,5.87,5.7,5.76,5.87,-0.11000000000000032,-1.8739,44928.74,25944.4
600319.SH,20200211,6.08,6.14,5.83,5.87,6.07,-0.20000000000000018,-3.2949,57268.09,34280.9
600319.SH,20200210,5.9,6.15,5.77,6.07,5.86,0.20999999999999996,3.5836,44444.65,26753.916
600319.SH,20200207,5.65,5.94,5.65,5.86,5.71,0.15000000000000036,2.627,60026.1,34908.382
600319.SH,20200206,5.4,5.87,5.4,5.71,5.59,0.1200000000000001,2.1467,57863.0,32890.079
600319.SH,20200205,5.52,5.77,5.51,5.59,5.7,-0.11000000000000032,-1.9298,80245.17,45217.155
600319.SH,20200204,5.16,5.7,5.16,5.7,5.43,0.27000000000000046,4.9724,132107.8,69750.467
600319.SH,20200203,5.43,5.43,5.43,5.43,5.72,-0.29000000000000004,-5.0699,3707.0,2012.901
600319.SH,20200123,6.04,6.21,5.72,5.72,6.02,-0.2999999999999998,-4.9834,134107.1,78369.796
600319.SH,20200122,6.52,6.52,5.9,6.02,6.21,-0.1900000000000004,-3.0596,245462.75,153092.853
600319.SH,20200121,6.21,6.21,6.21,6.21,5.91,0.2999999999999998,5.0761,6295.17,3909.301
600319.SH,20200120,5.91,5.91,5.91,5.91,5.63,0.28000000000000025,4.9734,1845.0,1090.395
600319.SH,20200117,5.63,5.63,5.63,5.63,5.36,0.2699999999999996,5.0373,1674.3,942.631
600319.SH,20200116,5.36,5.36,5.36,5.36,5.1,0.2600000000000007,5.098,2281.48,1222.873
600319.SH,20200115,5.1,5.1,5.1,5.1,4.86,0.23999999999999932,4.9383,245.0,124.95
600319.SH,20200114,4.86,4.86,4.86,4.86,4.63,0.23000000000000043,4.9676,557.0,270.702
600319.SH,20191227,4.55,4.75,4.55,4.63,4.52,0.11000000000000032,2.4336,37214.98,17433.83
600319.SH,20191226,4.56,4.62,4.47,4.52,4.57,-0.05000000000000071,-1.0941,17193.17,7800.637
600319.SH,20191225,4.62,4.65,4.55,4.57,4.66,-0.08999999999999986,-1.9313,20240.0,9303.934
600319.SH,20191224,4.56,4.68,4.56,4.66,4.55,0.11000000000000032,2.4176,20413.68,9468.45
600319.SH,20191223,4.69,4.71,4.47,4.55,4.69,-0.14000000000000057,-2.9851,34088.1,15598.123
600319.SH,20191220,4.64,4.8,4.57,4.69,4.63,0.0600000000000005,1.2959,40042.58,18872.883
600319.SH,20191219,4.43,4.63,4.43,4.63,4.41,0.21999999999999975,4.9887,39450.4,18141.211
600319.SH,20191218,4.3,4.43,4.3,4.41,4.35,0.0600000000000005,1.3793,21508.44,9401.029
600319.SH,20191217,4.28,4.49,4.22,4.35,4.28,0.0699999999999994,1.6355,49773.44,21865.955
600319.SH,20191216,4.08,4.28,4.07,4.28,4.08,0.20000000000000018,4.902,53516.77,22550.887
600319.SH,20191213,4.08,4.09,4.06,4.08,4.08,0.0,0.0,16021.0,6525.528
600319.SH,20191212,4.1,4.11,4.07,4.08,4.09,-0.009999999999999787,-0.2445,11130.0,4544.441
600319.SH,20191211,4.08,4.11,4.08,4.09,4.09,0.0,0.0,9375.33,3841.012
600319.SH,20191210,4.09,4.13,4.08,4.09,4.11,-0.020000000000000462,-0.4866,14955.0,6129.466
600319.SH,20191209,4.13,4.13,4.1,4.11,4.13,-0.019999999999999574,-0.4843,12685.0,5216.851
600319.SH,20191206,4.13,4.15,4.11,4.13,4.14,-0.009999999999999787,-0.2415,10541.09,4349.455
600319.SH,20191205,4.1,4.15,4.1,4.14,4.1,0.040000000000000036,0.9756,14700.01,6062.2
600319.SH,20191204,4.1,4.15,4.07,4.1,4.1,0.0,0.0,15071.0,6197.62
600319.SH,20191203,4.08,4.11,4.05,4.1,4.08,0.019999999999999574,0.4902,11959.95,4883.249
600319.SH,20191202,4.1,4.14,4.08,4.08,4.08,0.0,0.0,13360.02,5487.408
600319.SH,20191129,4.1,4.12,4.05,4.08,4.1,-0.019999999999999574,-0.4878,13824.0,5634.052
600319.SH,20191128,4.13,4.18,4.08,4.1,4.14,-0.040000000000000036,-0.9662,21739.31,8971.488
600319.SH,20191127,4.09,4.25,4.07,4.14,4.1,0.040000000000000036,0.9756,34610.72,14419.067
600319.SH,20191126,4.04,4.12,4.03,4.1,4.05,0.04999999999999982,1.2346,27770.79,11360.568
600319.SH,20191125,4.04,4.05,3.99,4.05,4.02,0.03000000000000025,0.7463,10223.09,4112.622
600319.SH,20191122,4.01,4.07,3.99,4.02,4.02,0.0,0.0,18779.3,7552.954
600319.SH,20191121,4.01,4.05,4.0,4.02,4.04,-0.020000000000000462,-0.495,13650.05,5490.516
600319.SH,20191120,4.06,4.08,4.03,4.04,4.06,-0.019999999999999574,-0.4926,12130.0,4911.27
600319.SH,20191119,4.09,4.09,4.0,4.06,3.99,0.0699999999999994,1.7544,14287.1,5795.345
600319.SH,20191118,3.93,4.0,3.93,3.99,3.99,0.0,0.0,13999.1,5576.502
600319.SH,20191115,4.03,4.05,3.97,3.99,4.05,-0.05999999999999961,-1.4815,21858.0,8741.774
600319.SH,20191114,3.97,4.1,3.96,4.05,3.96,0.08999999999999986,2.2727,31698.39,12749.576
600319.SH,20191113,3.93,4.0,3.89,3.96,3.93,0.029999999999999805,0.7634,18676.0,7360.57
600319.SH,20191112,3.98,4.0,3.86,3.93,3.99,-0.06000000000000005,-1.5038,28977.36,11407.856
600319.SH,20191111,4.06,4.07,3.98,3.99,4.05,-0.05999999999999961,-1.4815,27288.0,11013.187
600319.SH,20191108,4.04,4.1,4.04,4.05,4.05,0.0,0.0,38817.72,15767.595
600319.SH,20191107,3.98,4.12,3.96,4.05,4.05,0.0,0.0,69865.3,28330.834
600319.SH,20191106,4.05,4.08,4.05,4.05,4.26,-0.20999999999999996,-4.9296,137379.57,55667.274
600319.SH,20191105,4.26,4.26,4.26,4.26,4.48,-0.22000000000000064,-4.9107,1160.0,494.16
600319.SH,20191104,4.48,4.48,4.48,4.48,4.72,-0.23999999999999932,-5.0847,1413.0,633.024
600319.SH,20191031,4.81,4.85,4.68,4.72,4.8,-0.08000000000000007,-1.6667,37025.0,17632.826
600319.SH,20191030,4.93,4.96,4.78,4.8,4.93,-0.1299999999999999,-2.6369,55714.01,26946.808
600319.SH,20191029,5.11,5.12,4.91,4.93,5.1,-0.16999999999999993,-3.3333,92193.79,46168.578
600319.SH,20191028,4.99,5.14,4.96,5.1,5.11,-0.010000000000000675,-0.1957,90287.64,45833.602
600319.SH,20191025,5.22,5.26,5.09,5.11,5.27,-0.15999999999999925,-3.0361,102365.81,52695.102
600319.SH,20191024,5.2,5.31,5.14,5.27,5.34,-0.07000000000000028,-1.3109,142466.91,74369.033
600319.SH,20191023,5.4,5.65,5.32,5.34,5.61,-0.27000000000000046,-4.8128,203896.33,111157.682
600319.SH,20191022,5.46,5.97,5.02,5.61,5.56,0.05000000000000071,0.8993,360179.16,195608.881
600319.SH,20191021,5.56,5.56,5.56,5.56,5.05,0.5099999999999998,10.099,122771.66,68261.043
600319.SH,20191018,5.03,5.07,4.96,5.05,4.99,0.05999999999999961,1.2024,27792.16,13963.699
600319.SH,20191017,5.03,5.07,4.96,4.99,5.01,-0.019999999999999574,-0.3992,16508.3,8291.586
600319.SH,20191016,5.08,5.13,5.0,5.01,5.07,-0.0600000000000005,-1.1834,24102.0,12168.289
600319.SH,20191015,5.01,5.09,4.98,5.07,5.01,0.0600000000000005,1.1976,31441.26,15836.994
600319.SH,20191014,4.96,5.03,4.93,5.01,4.92,0.08999999999999986,1.8293,24473.8,12223.031
600319.SH,20191011,4.97,4.97,4.88,4.92,4.93,-0.009999999999999787,-0.2028,16587.0,8169.068
600319.SH,20191010,4.87,4.98,4.86,4.93,4.9,0.02999999999999936,0.6122,24154.0,11921.013
600319.SH,20191009,4.81,4.92,4.65,4.9,4.83,0.07000000000000028,1.4493,22681.0,10966.216
600319.SH,20191008,4.82,4.87,4.79,4.83,4.81,0.020000000000000462,0.4158,16258.0,7844.363
