ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000409.SZ,20200225,4.66,4.8,4.6,4.7,4.73,-0.03000000000000025,-0.6342,60067.36,28273.441
000409.SZ,20200224,4.77,4.79,4.71,4.73,4.77,-0.03999999999999915,-0.8386,79024.54,37496.217
000409.SZ,20200221,4.81,4.82,4.74,4.77,4.81,-0.040000000000000036,-0.8316,51357.16,24488.774
000409.SZ,20200220,4.83,4.86,4.79,4.81,4.83,-0.020000000000000462,-0.4141,41987.88,20245.786
000409.SZ,20200219,4.9,4.93,4.83,4.83,4.9,-0.07000000000000028,-1.4286,44771.01,21800.964
000409.SZ,20200218,4.86,4.98,4.82,4.9,4.88,0.020000000000000462,0.4098,43066.21,21118.028
000409.SZ,20200217,4.75,4.89,4.72,4.88,4.76,0.1200000000000001,2.521,57735.0,27759.984
000409.SZ,20200214,4.8,4.8,4.71,4.76,4.8,-0.040000000000000036,-0.8333,30348.04,14398.12
000409.SZ,20200213,4.82,4.82,4.72,4.8,4.81,-0.009999999999999787,-0.2079,40850.23,19444.509
000409.SZ,20200212,4.74,4.83,4.74,4.81,4.78,0.02999999999999936,0.6276,36983.0,17697.241
000409.SZ,20200211,4.81,4.84,4.77,4.78,4.81,-0.02999999999999936,-0.6237,34163.88,16369.506
000409.SZ,20200210,4.75,4.85,4.71,4.81,4.78,0.02999999999999936,0.6276,56756.28,27150.917
000409.SZ,20200207,4.86,4.86,4.75,4.78,4.86,-0.08000000000000007,-1.6461,43483.82,20847.402
000409.SZ,20200206,4.84,4.9,4.77,4.86,4.84,0.020000000000000462,0.4132,44902.12,21649.814
000409.SZ,20200205,4.88,4.96,4.8,4.84,4.91,-0.07000000000000028,-1.4257,71017.52,34523.004
000409.SZ,20200204,4.79,4.92,4.79,4.91,5.04,-0.1299999999999999,-2.5794,117007.48,56281.332
000409.SZ,20200203,5.04,5.04,5.04,5.04,5.31,-0.2699999999999996,-5.0847,1897.0,956.088
000409.SZ,20200123,5.32,5.45,5.15,5.31,5.35,-0.040000000000000036,-0.7477,40372.81,21278.264
000409.SZ,20200122,5.3,5.35,5.07,5.35,5.34,0.009999999999999787,0.1873,68151.96,35748.112
000409.SZ,20200121,5.31,5.48,5.26,5.34,5.32,0.019999999999999574,0.3759,54041.98,29030.192
000409.SZ,20200120,5.3,5.38,5.28,5.32,5.31,0.010000000000000675,0.1883,37516.84,19942.474
000409.SZ,20200117,5.31,5.38,5.24,5.31,5.31,0.0,0.0,28930.3,15278.633
000409.SZ,20200116,5.47,5.52,5.3,5.31,5.45,-0.14000000000000057,-2.5688,41779.71,22475.116
000409.SZ,20200115,5.29,5.48,5.28,5.45,5.29,0.16000000000000014,3.0246,65094.63,34995.69
000409.SZ,20200114,5.15,5.38,5.13,5.29,5.17,0.1200000000000001,2.3211,60059.69,31809.222
000409.SZ,20200113,5.16,5.27,5.12,5.17,5.16,0.009999999999999787,0.1938,34281.82,17774.111
000409.SZ,20200110,5.15,5.28,5.1,5.16,5.15,0.009999999999999787,0.1942,51579.38,26844.447
000409.SZ,20200109,5.4,5.4,5.14,5.15,5.26,-0.10999999999999943,-2.0913,79658.86,41614.238
000409.SZ,20200108,5.05,5.28,5.04,5.26,5.05,0.20999999999999996,4.1584,82574.35,42813.775
000409.SZ,20200107,4.9,5.06,4.88,5.05,4.93,0.1200000000000001,2.4341,53723.99,26776.314
000409.SZ,20200106,5.04,5.15,4.9,4.93,4.97,-0.040000000000000036,-0.8048,73501.59,36627.637
000409.SZ,20200103,4.82,5.05,4.82,4.97,4.81,0.16000000000000014,3.3264,63623.61,31621.056
000409.SZ,20200102,4.83,4.88,4.79,4.81,4.82,-0.010000000000000675,-0.2075,40575.69,19569.858
000409.SZ,20191231,4.89,4.89,4.8,4.82,4.84,-0.019999999999999574,-0.4132,28811.8,13901.361
000409.SZ,20191230,4.83,4.9,4.76,4.84,4.94,-0.10000000000000053,-2.0243,41231.67,19849.38
000409.SZ,20191227,5.01,5.12,4.91,4.94,5.04,-0.09999999999999964,-1.9841,41198.03,20695.719
000409.SZ,20191226,5.0,5.09,4.96,5.04,5.01,0.03000000000000025,0.5988,30282.92,15191.12
000409.SZ,20191225,5.06,5.06,4.96,5.01,5.04,-0.03000000000000025,-0.5952,43993.38,22073.745
000409.SZ,20191224,5.19,5.2,5.03,5.04,5.15,-0.11000000000000032,-2.1359,64145.07,32517.789
000409.SZ,20191223,5.31,5.31,5.15,5.15,5.35,-0.1999999999999993,-3.7383,39320.56,20544.672
000409.SZ,20191220,5.09,5.36,5.03,5.35,5.1,0.25,4.902,71958.14,37903.454
000409.SZ,20191219,4.83,5.1,4.83,5.1,4.88,0.21999999999999975,4.5082,42802.46,21304.132
000409.SZ,20191218,4.86,4.93,4.8,4.88,4.88,0.0,0.0,39320.51,19164.438
000409.SZ,20191217,4.81,4.91,4.78,4.88,4.85,0.03000000000000025,0.6186,34710.08,16782.003
000409.SZ,20191216,4.7,4.9,4.68,4.85,4.72,0.1299999999999999,2.7542,51591.59,24799.08
000409.SZ,20191213,4.64,4.76,4.6,4.72,4.65,0.0699999999999994,1.5054,25778.92,12045.917
000409.SZ,20191212,4.68,4.72,4.65,4.65,4.71,-0.05999999999999961,-1.2739,14391.25,6718.876
000409.SZ,20191211,4.75,4.78,4.66,4.71,4.74,-0.03000000000000025,-0.6329,16127.97,7603.946
000409.SZ,20191210,4.72,4.79,4.7,4.74,4.76,-0.019999999999999574,-0.4202,35383.84,16821.496
000409.SZ,20191209,4.8,4.83,4.73,4.76,4.78,-0.020000000000000462,-0.4184,16616.26,7953.641
000409.SZ,20191206,4.73,4.86,4.67,4.78,4.73,0.04999999999999982,1.0571,64223.49,30625.228
000409.SZ,20191205,4.79,4.84,4.73,4.73,4.8,-0.0699999999999994,-1.4583,25861.3,12327.785
000409.SZ,20191204,4.62,4.83,4.58,4.8,4.63,0.16999999999999993,3.6717,28417.39,13346.823
000409.SZ,20191203,4.64,4.65,4.59,4.63,4.63,0.0,0.0,17919.33,8259.536
000409.SZ,20191202,4.6,4.67,4.55,4.63,4.62,0.009999999999999787,0.2165,12505.42,5763.591
000409.SZ,20191129,4.66,4.67,4.58,4.62,4.67,-0.04999999999999982,-1.0707,14527.09,6696.18
000409.SZ,20191128,4.71,4.71,4.58,4.67,4.71,-0.040000000000000036,-0.8493,30093.94,13943.304
000409.SZ,20191127,4.82,4.82,4.67,4.71,4.83,-0.1200000000000001,-2.4845,27468.92,12943.529
000409.SZ,20191126,4.8,4.85,4.74,4.83,4.8,0.03000000000000025,0.625,22253.88,10673.501
000409.SZ,20191125,4.85,4.96,4.8,4.8,4.85,-0.04999999999999982,-1.0309,23640.14,11491.977
000409.SZ,20191122,4.88,4.92,4.8,4.85,4.89,-0.040000000000000036,-0.818,31572.6,15351.132
000409.SZ,20191121,4.68,4.89,4.62,4.89,4.66,0.22999999999999954,4.9356,43719.05,20990.447
000409.SZ,20191120,4.62,4.66,4.57,4.66,4.61,0.04999999999999982,1.0846,33697.65,15585.878
000409.SZ,20191119,4.7,4.7,4.6,4.61,4.69,-0.08000000000000007,-1.7058,43668.42,20230.484
000409.SZ,20191118,4.75,4.75,4.64,4.69,4.74,-0.04999999999999982,-1.0549,29177.62,13661.24
000409.SZ,20191115,4.79,4.79,4.68,4.74,4.8,-0.05999999999999961,-1.25,21615.03,10176.12
000409.SZ,20191114,4.76,4.82,4.64,4.8,4.78,0.019999999999999574,0.4184,30479.33,14419.175
000409.SZ,20191113,4.82,4.85,4.69,4.78,4.77,0.010000000000000675,0.2096,24861.32,11833.327
000409.SZ,20191112,4.7,4.82,4.55,4.77,4.72,0.04999999999999982,1.0593,50838.77,23729.909
000409.SZ,20191111,4.85,4.98,4.72,4.72,4.95,-0.23000000000000043,-4.6465,41435.72,20088.97
000409.SZ,20191108,4.73,5.06,4.58,4.95,4.82,0.1299999999999999,2.6971,63888.91,31123.555
000409.SZ,20191107,4.86,5.03,4.82,4.82,5.07,-0.25,-4.931,62931.69,30531.176
000409.SZ,20191106,5.28,5.28,5.07,5.07,5.3,-0.22999999999999954,-4.3396,24451.17,12653.178
000409.SZ,20191105,5.34,5.35,5.17,5.3,5.37,-0.07000000000000028,-1.3035,55788.11,29244.299
000409.SZ,20191104,5.41,5.41,5.23,5.37,5.41,-0.040000000000000036,-0.7394,33343.37,17705.071
000409.SZ,20191101,5.43,5.43,5.25,5.41,5.4,0.009999999999999787,0.1852,18650.75,9997.737
000409.SZ,20191031,5.4,5.46,5.32,5.4,5.44,-0.040000000000000036,-0.7353,27856.1,15001.556
000409.SZ,20191030,5.46,5.5,5.24,5.44,5.45,-0.009999999999999787,-0.1835,29307.04,15681.644
000409.SZ,20191029,5.53,5.58,5.44,5.45,5.53,-0.08000000000000007,-1.4467,19981.46,11014.973
000409.SZ,20191028,5.41,5.56,5.41,5.53,5.53,0.0,0.0,61971.34,34204.17
000409.SZ,20191025,5.33,5.53,5.21,5.53,5.3,0.23000000000000043,4.3396,32076.91,17273.552
000409.SZ,20191024,5.48,5.48,5.28,5.3,5.42,-0.1200000000000001,-2.214,24872.86,13313.129
000409.SZ,20191023,5.44,5.5,5.38,5.42,5.44,-0.020000000000000462,-0.3676,46570.65,25470.048
000409.SZ,20191022,5.63,5.63,5.43,5.44,5.63,-0.1899999999999995,-3.3748,34314.37,18856.56
000409.SZ,20191021,5.77,5.77,5.54,5.63,5.72,-0.08999999999999986,-1.5734,29230.22,16369.067
000409.SZ,20191018,5.87,5.87,5.62,5.72,5.82,-0.10000000000000053,-1.7182,33579.11,19206.831
000409.SZ,20191017,5.57,5.86,5.57,5.82,5.86,-0.040000000000000036,-0.6826,22697.07,13163.487
000409.SZ,20191016,5.87,5.89,5.77,5.86,5.89,-0.02999999999999936,-0.5093,26315.82,15321.731
000409.SZ,20191015,5.81,5.89,5.79,5.89,5.93,-0.040000000000000036,-0.6745,39230.66,22956.345
000409.SZ,20191014,5.92,5.98,5.9,5.93,5.92,0.009999999999999787,0.1689,24471.8,14517.712
000409.SZ,20191011,5.76,5.95,5.7,5.92,5.75,0.16999999999999993,2.9565,45298.82,26645.899
000409.SZ,20191010,5.76,5.76,5.69,5.75,5.74,0.009999999999999787,0.1742,30564.72,17509.978
000409.SZ,20191009,5.7,5.74,5.64,5.74,5.69,0.04999999999999982,0.8787,25611.41,14603.072
000409.SZ,20191008,5.6,5.73,5.56,5.69,5.66,0.03000000000000025,0.53,27469.55,15594.443
000409.SZ,20190930,5.65,5.72,5.54,5.66,5.68,-0.019999999999999574,-0.3521,45717.14,25709.644
000409.SZ,20190927,5.68,5.72,5.56,5.68,5.68,0.0,0.0,55480.44,31188.926
000409.SZ,20190926,5.63,5.87,5.63,5.68,5.86,-0.1800000000000006,-3.0717,65840.8,37801.114
000409.SZ,20190924,5.95,6.05,5.73,5.86,5.95,-0.08999999999999986,-1.5126,71140.52,41751.11
000409.SZ,20190923,6.1,6.11,5.88,5.95,5.99,-0.040000000000000036,-0.6678,38674.83,23201.584
000409.SZ,20190920,5.95,6.04,5.87,5.99,5.92,0.07000000000000028,1.1824,47263.33,28255.808
000409.SZ,20190919,5.97,5.99,5.8,5.92,5.98,-0.0600000000000005,-1.0033,41225.83,24327.285
000409.SZ,20190918,5.98,6.02,5.73,5.98,5.97,0.010000000000000675,0.1675,88290.09,52009.152
000409.SZ,20190917,6.02,6.11,5.91,5.97,6.05,-0.08000000000000007,-1.3223,44472.62,26648.237
000409.SZ,20190916,5.94,6.08,5.8,6.05,5.89,0.16000000000000014,2.7165,44792.24,26850.525
000409.SZ,20190912,5.9,6.0,5.77,5.89,5.89,0.0,0.0,57481.59,33842.664
000409.SZ,20190911,5.73,5.95,5.65,5.89,5.69,0.1999999999999993,3.5149,62239.01,36393.067
000409.SZ,20190910,5.52,5.72,5.52,5.69,5.62,0.07000000000000028,1.2456,43537.52,24554.108
000409.SZ,20190909,5.51,5.68,5.43,5.62,5.51,0.11000000000000032,1.9964,54171.81,30040.647
000409.SZ,20190906,5.12,5.51,5.11,5.51,5.25,0.2599999999999998,4.9524,60327.11,32122.342
000409.SZ,20190905,5.6,5.6,5.25,5.25,5.53,-0.28000000000000025,-5.0633,99370.94,53608.341
000409.SZ,20190904,5.51,5.65,5.48,5.53,5.57,-0.040000000000000036,-0.7181,30441.39,16877.045
000409.SZ,20190903,5.38,5.66,5.38,5.57,5.39,0.1800000000000006,3.3395,63516.68,35322.044
000409.SZ,20190902,5.28,5.42,5.25,5.39,5.3,0.08999999999999986,1.6981,40714.57,21928.668
000409.SZ,20190830,5.2,5.38,5.16,5.3,5.2,0.09999999999999964,1.9231,41847.81,22193.35
000409.SZ,20190829,5.16,5.35,5.06,5.2,5.18,0.020000000000000462,0.3861,58694.73,30601.511
