ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600807.SH,20200225,3.7,3.79,3.64,3.67,3.79,-0.1200000000000001,-3.1662,106112.29,39338.73
600807.SH,20200224,3.79,3.89,3.75,3.79,3.77,0.020000000000000018,0.5305,100905.01,38438.982
600807.SH,20200221,3.68,3.78,3.66,3.77,3.68,0.08999999999999986,2.4457,71018.41,26455.725
600807.SH,20200220,3.69,3.7,3.64,3.68,3.68,0.0,0.0,60345.74,22161.251
600807.SH,20200219,3.62,3.7,3.61,3.68,3.62,0.06000000000000005,1.6575,64542.94,23589.468
600807.SH,20200218,3.59,3.7,3.56,3.62,3.58,0.040000000000000036,1.1173,77036.72,27912.684
600807.SH,20200217,3.55,3.59,3.52,3.58,3.56,0.020000000000000018,0.5618,52982.02,18907.531
600807.SH,20200214,3.53,3.6,3.52,3.56,3.55,0.010000000000000231,0.2817,36828.8,13159.668
600807.SH,20200213,3.54,3.62,3.51,3.55,3.55,0.0,0.0,46168.6,16416.993
600807.SH,20200212,3.53,3.57,3.51,3.55,3.54,0.009999999999999787,0.2825,29077.0,10284.067
600807.SH,20200211,3.47,3.61,3.47,3.54,3.5,0.040000000000000036,1.1429,45319.36,16085.081
600807.SH,20200210,3.4,3.53,3.38,3.5,3.42,0.08000000000000007,2.3392,43898.28,15181.174
600807.SH,20200207,3.46,3.47,3.38,3.42,3.45,-0.03000000000000025,-0.8696,35813.6,12245.426
600807.SH,20200206,3.43,3.46,3.37,3.45,3.44,0.010000000000000231,0.2907,46510.48,15932.479
600807.SH,20200205,3.42,3.52,3.42,3.44,3.43,0.009999999999999787,0.2915,56788.38,19680.016
600807.SH,20200204,3.41,3.52,3.41,3.43,3.59,-0.1599999999999997,-4.4568,92689.03,31738.13
600807.SH,20200203,3.59,3.59,3.59,3.59,3.78,-0.18999999999999995,-5.0265,2199.0,789.441
600807.SH,20200123,3.87,3.97,3.74,3.78,3.78,0.0,0.0,61648.99,23743.955
600807.SH,20200122,3.79,3.86,3.76,3.78,3.82,-0.040000000000000036,-1.0471,41719.0,15922.216
