ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600817.SH,20200225,9.09,9.41,9.02,9.32,9.23,0.08999999999999986,0.9751,20184.01,18600.801
600817.SH,20200224,9.29,9.3,9.18,9.23,9.33,-0.09999999999999964,-1.0718,15534.35,14328.911
600817.SH,20200221,9.4,9.45,9.29,9.33,9.44,-0.10999999999999943,-1.1653,22932.01,21429.161
600817.SH,20200220,9.42,9.53,9.38,9.44,9.41,0.02999999999999936,0.3188,17795.0,16805.664
600817.SH,20200219,9.39,9.55,9.35,9.41,9.46,-0.05000000000000071,-0.5285,12054.95,11363.379
600817.SH,20200218,9.44,9.53,9.31,9.46,9.53,-0.06999999999999851,-0.7345,17203.71,16175.649
600817.SH,20200217,9.42,9.67,9.32,9.53,9.41,0.11999999999999922,1.2752,21667.01,20549.708
600817.SH,20200214,9.43,9.43,9.21,9.41,9.38,0.02999999999999936,0.3198,15925.0,14823.36
600817.SH,20200213,9.52,9.6,9.36,9.38,9.6,-0.21999999999999886,-2.2917,17497.01,16529.156
600817.SH,20200212,9.57,9.7,9.43,9.6,9.93,-0.33000000000000007,-3.3233,33158.51,31656.392
600817.SH,20200211,10.25,10.4,9.81,9.93,10.01,-0.08000000000000007,-0.7992,44787.63,45247.977
600817.SH,20200210,9.6,10.01,9.56,10.01,9.53,0.4800000000000004,5.0367,28851.11,28703.312
600817.SH,20200207,9.47,9.57,9.3,9.53,9.55,-0.02000000000000135,-0.2094,21056.88,19926.847
600817.SH,20200206,9.6,9.7,9.4,9.55,9.48,0.07000000000000028,0.7384,33357.62,31755.097
600817.SH,20200205,9.33,9.74,9.32,9.48,9.46,0.019999999999999574,0.2114,37172.24,35403.934
600817.SH,20200204,9.5,10.07,9.21,9.46,9.6,-0.1399999999999988,-1.4583,54866.85,52835.013
600817.SH,20200203,9.78,9.78,8.91,9.6,9.31,0.28999999999999915,3.1149,107915.71,103352.463
600817.SH,20200123,9.31,9.31,9.31,9.31,8.87,0.4400000000000013,4.9605,559.0,520.429
600817.SH,20200122,8.87,8.87,8.87,8.87,8.45,0.41999999999999993,4.9704,72.0,63.864
600817.SH,20200121,8.45,8.45,8.45,8.45,8.05,0.3999999999999986,4.9689,302.0,255.19
600817.SH,20200106,7.67,8.05,7.67,8.05,7.67,0.3800000000000008,4.9544,27655.53,22136.796
600817.SH,20200103,7.3,7.67,7.3,7.67,7.3,0.3700000000000001,5.0685,11367.17,8546.809
