ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600696.SH,20200225,11.3,11.3,11.01,11.08,11.44,-0.35999999999999943,-3.1469,13151.08,14632.54
600696.SH,20200224,11.4,11.61,11.31,11.44,11.31,0.129999999999999,1.1494,7767.13,8853.597
600696.SH,20200221,11.35,11.4,11.25,11.31,11.35,-0.03999999999999915,-0.3524,6885.01,7780.153
600696.SH,20200220,11.3,11.4,11.21,11.35,11.25,0.09999999999999964,0.8889,7112.0,8039.706
600696.SH,20200219,11.3,11.47,11.14,11.25,11.24,0.009999999999999787,0.089,10384.02,11736.819
600696.SH,20200218,10.88,11.31,10.74,11.24,10.8,0.4399999999999995,4.0741,12226.01,13578.978
600696.SH,20200217,10.61,10.91,10.61,10.8,10.61,0.19000000000000128,1.7908,8386.15,9030.993
600696.SH,20200214,10.78,10.8,10.55,10.61,10.78,-0.16999999999999993,-1.577,13597.01,14494.109
600696.SH,20200213,10.21,10.78,10.21,10.78,10.27,0.5099999999999998,4.9659,31121.58,33336.019
600696.SH,20200212,10.2,10.39,10.2,10.27,10.23,0.03999999999999915,0.391,5182.32,5308.592
600696.SH,20200211,10.18,10.25,10.17,10.23,10.21,0.019999999999999574,0.1959,5595.01,5710.384
600696.SH,20200210,9.95,10.34,9.91,10.21,10.0,0.21000000000000085,2.1,8283.31,8421.904
600696.SH,20200207,10.18,10.25,9.9,10.0,10.14,-0.14000000000000057,-1.3807,13405.0,13493.779
600696.SH,20200206,10.16,10.24,10.08,10.14,10.17,-0.02999999999999936,-0.295,9056.0,9168.301
600696.SH,20200205,9.9,10.59,9.9,10.17,10.2,-0.02999999999999936,-0.2941,21821.84,22377.386
600696.SH,20200204,10.2,10.2,10.2,10.2,10.74,-0.5400000000000009,-5.0279,7212.0,7356.24
600696.SH,20200203,10.74,10.74,10.74,10.74,11.3,-0.5600000000000005,-4.9558,896.0,962.304
600696.SH,20200123,11.82,11.9,11.22,11.3,11.81,-0.5099999999999998,-4.3184,14715.01,16861.239
600696.SH,20200122,12.04,12.18,11.8,11.81,12.19,-0.379999999999999,-3.1173,9219.0,10987.497
600696.SH,20200121,12.02,12.2,12.02,12.19,12.09,0.09999999999999964,0.8271,5759.0,6981.413
600696.SH,20200120,12.33,12.38,12.05,12.09,12.33,-0.2400000000000002,-1.9465,8970.65,10949.668
600696.SH,20200117,12.5,12.58,12.28,12.33,12.52,-0.1899999999999995,-1.5176,6374.0,7883.022
600696.SH,20200116,12.52,12.69,12.5,12.52,12.52,0.0,0.0,4547.0,5712.589
600696.SH,20200115,12.57,12.57,12.4,12.52,12.5,0.019999999999999574,0.16,4462.02,5567.025
600696.SH,20200114,12.7,12.7,12.35,12.5,12.53,-0.02999999999999936,-0.2394,6140.0,7654.206
600696.SH,20200113,12.61,12.77,12.28,12.53,12.77,-0.2400000000000002,-1.8794,10174.0,12723.538
600696.SH,20200110,12.92,12.96,12.76,12.77,12.83,-0.0600000000000005,-0.4677,7016.0,8994.19
600696.SH,20200109,12.94,12.97,12.75,12.83,12.83,0.0,0.0,7272.0,9328.399
600696.SH,20200108,13.01,13.1,12.72,12.83,13.07,-0.2400000000000002,-1.8363,9234.57,11912.802
600696.SH,20200107,12.85,13.21,12.85,13.07,12.84,0.23000000000000043,1.7913,10752.02,14055.082
600696.SH,20200106,12.85,12.87,12.71,12.84,12.85,-0.009999999999999787,-0.0778,7438.01,9518.652
600696.SH,20200103,12.65,12.87,12.53,12.85,12.7,0.15000000000000036,1.1811,9083.31,11556.864
600696.SH,20200102,12.83,12.92,12.65,12.7,12.86,-0.16000000000000014,-1.2442,10659.01,13622.063
600696.SH,20191231,12.77,12.96,12.77,12.86,12.84,0.019999999999999574,0.1558,4868.0,6254.894
600696.SH,20191230,12.84,12.96,12.5,12.84,13.13,-0.2900000000000009,-2.2087,14256.01,18224.067
600696.SH,20191227,13.27,13.39,13.13,13.13,13.29,-0.15999999999999837,-1.2039,8923.0,11824.528
600696.SH,20191226,13.3,13.47,12.98,13.29,13.22,0.06999999999999851,0.5295,8691.61,11524.636
600696.SH,20191225,13.4,13.4,13.22,13.22,13.42,-0.1999999999999993,-1.4903,5487.0,7284.449
600696.SH,20191224,13.25,13.46,13.25,13.42,13.25,0.16999999999999993,1.283,11873.49,15887.919
600696.SH,20191223,13.17,13.5,13.11,13.25,13.21,0.03999999999999915,0.3028,16531.13,21993.965
600696.SH,20191220,12.59,13.21,12.56,13.21,12.59,0.620000000000001,4.9245,12908.12,16597.34
600696.SH,20191219,13.07,13.07,12.45,12.59,12.98,-0.39000000000000057,-3.0046,16740.0,21137.544
600696.SH,20191218,13.35,13.35,12.88,12.98,13.27,-0.28999999999999915,-2.1854,13820.0,18106.045
600696.SH,20191217,13.25,13.34,13.23,13.27,13.3,-0.030000000000001137,-0.2256,10346.67,13731.316
600696.SH,20191216,13.46,13.46,13.2,13.3,13.32,-0.019999999999999574,-0.1502,6760.0,8981.508
600696.SH,20191213,13.25,13.46,13.2,13.32,13.2,0.120000000000001,0.9091,10881.0,14503.032
600696.SH,20191212,13.42,13.42,13.2,13.2,13.36,-0.16000000000000014,-1.1976,7105.0,9412.165
600696.SH,20191211,13.4,13.5,13.27,13.36,13.31,0.049999999999998934,0.3757,6483.02,8655.171
600696.SH,20191210,13.03,13.44,12.92,13.31,12.91,0.40000000000000036,3.0984,9629.0,12751.827
600696.SH,20191209,13.06,13.06,12.85,12.91,13.0,-0.08999999999999986,-0.6923,4462.01,5767.738
600696.SH,20191206,12.92,13.07,12.86,13.0,12.95,0.05000000000000071,0.3861,6149.01,7960.261
600696.SH,20191205,12.84,13.07,12.84,12.95,12.7,0.25,1.9685,8439.0,10917.552
600696.SH,20191204,12.96,13.01,12.52,12.7,12.97,-0.27000000000000135,-2.0817,12774.38,16283.975
600696.SH,20191203,13.06,13.06,12.76,12.97,12.98,-0.009999999999999787,-0.077,6709.38,8665.633
600696.SH,20191202,13.22,13.48,12.71,12.98,13.21,-0.23000000000000043,-1.7411,15603.9,20224.461
600696.SH,20191129,13.38,13.59,13.01,13.21,13.32,-0.10999999999999943,-0.8258,15863.6,21099.002
600696.SH,20191128,13.85,14.09,13.26,13.32,13.85,-0.5299999999999994,-3.8267,20475.38,27756.498
600696.SH,20191127,13.63,14.09,13.41,13.85,13.6,0.25,1.8382,24633.33,33993.687
600696.SH,20191126,13.21,13.69,13.21,13.6,13.06,0.5399999999999991,4.1348,23823.44,32145.679
600696.SH,20191125,12.79,13.18,12.7,13.06,12.76,0.3000000000000007,2.3511,14938.21,19445.162
600696.SH,20191122,12.68,12.9,12.6,12.76,12.75,0.009999999999999787,0.0784,11093.15,14137.206
600696.SH,20191121,12.58,12.9,12.43,12.75,12.59,0.16000000000000014,1.2708,12594.82,16035.275
600696.SH,20191120,12.94,12.94,12.35,12.59,12.32,0.2699999999999996,2.1916,31200.1,39663.287
600696.SH,20191119,11.99,12.32,11.95,12.32,11.73,0.5899999999999999,5.0298,5382.11,6570.237
600696.SH,20191118,11.73,11.73,11.46,11.73,11.17,0.5600000000000005,5.0134,8606.02,10087.706
600696.SH,20191115,11.79,11.79,11.17,11.17,11.76,-0.5899999999999999,-5.017,17977.18,20279.051
600696.SH,20191114,11.86,12.04,11.62,11.76,11.8,-0.040000000000000924,-0.339,7257.0,8595.86
600696.SH,20191113,11.92,11.94,11.58,11.8,11.96,-0.16000000000000014,-1.3378,10064.2,11827.904
600696.SH,20191112,12.0,12.15,11.87,11.96,11.87,0.09000000000000163,0.7582,8737.87,10493.683
600696.SH,20191111,12.02,12.27,11.7,11.87,11.92,-0.05000000000000071,-0.4195,11663.0,13991.907
600696.SH,20191108,11.62,12.05,11.62,11.92,11.59,0.33000000000000007,2.8473,18365.22,21822.562
600696.SH,20191107,12.18,12.18,11.57,11.59,12.18,-0.5899999999999999,-4.844,30501.21,35630.234
600696.SH,20191106,12.83,12.98,12.18,12.18,12.82,-0.6400000000000006,-4.9922,21995.05,27110.005
600696.SH,20191105,12.92,13.06,12.8,12.82,12.99,-0.16999999999999993,-1.3087,7924.16,10220.75
