ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600608.SH,20200225,4.37,4.37,4.23,4.27,4.4,-0.13000000000000078,-2.9545,26766.26,11543.649
600608.SH,20200224,4.46,4.46,4.36,4.4,4.45,-0.04999999999999982,-1.1236,27370.05,12032.876
600608.SH,20200221,4.35,4.46,4.33,4.45,4.37,0.08000000000000007,1.8307,32214.05,14157.105
600608.SH,20200220,4.3,4.37,4.3,4.37,4.33,0.040000000000000036,0.9238,28814.3,12505.451
600608.SH,20200219,4.33,4.35,4.28,4.33,4.33,0.0,0.0,29853.0,12878.746
600608.SH,20200218,4.33,4.37,4.31,4.33,4.32,0.009999999999999787,0.2315,24065.0,10414.271
600608.SH,20200217,4.24,4.33,4.23,4.32,4.26,0.0600000000000005,1.4085,21516.0,9230.579
600608.SH,20200214,4.27,4.28,4.23,4.26,4.26,0.0,0.0,20074.0,8543.011
600608.SH,20200213,4.27,4.35,4.24,4.26,4.28,-0.020000000000000462,-0.4673,20183.25,8653.566
600608.SH,20200212,4.23,4.29,4.22,4.28,4.24,0.040000000000000036,0.9434,16541.0,7041.923
600608.SH,20200211,4.24,4.31,4.21,4.24,4.22,0.020000000000000462,0.4739,28060.0,11955.484
600608.SH,20200210,4.17,4.24,4.12,4.22,4.19,0.02999999999999936,0.716,24783.34,10396.587
600608.SH,20200207,4.24,4.26,4.13,4.19,4.24,-0.04999999999999982,-1.1792,26403.21,11071.146
600608.SH,20200206,4.2,4.26,4.2,4.24,4.24,0.0,0.0,31835.01,13464.671
600608.SH,20200205,4.17,4.37,4.17,4.24,4.17,0.07000000000000028,1.6787,31147.21,13318.241
600608.SH,20200204,4.15,4.29,4.15,4.17,4.37,-0.20000000000000018,-4.5767,46477.31,19312.365
600608.SH,20200203,4.37,4.37,4.37,4.37,4.6,-0.22999999999999954,-5.0,1293.0,565.041
600608.SH,20200123,4.51,4.76,4.47,4.6,4.54,0.05999999999999961,1.3216,39207.12,18231.93
600608.SH,20200122,4.56,4.56,4.51,4.54,4.56,-0.019999999999999574,-0.4386,13213.51,5994.713
600608.SH,20200121,4.65,4.65,4.56,4.56,4.63,-0.07000000000000028,-1.5119,11048.42,5065.977
600608.SH,20200120,4.54,4.64,4.52,4.63,4.58,0.04999999999999982,1.0917,14633.0,6715.744
600608.SH,20200117,4.59,4.61,4.54,4.58,4.59,-0.009999999999999787,-0.2179,10755.0,4922.457
600608.SH,20200116,4.64,4.64,4.57,4.59,4.62,-0.03000000000000025,-0.6494,14150.0,6513.513
600608.SH,20200115,4.65,4.68,4.61,4.62,4.65,-0.03000000000000025,-0.6452,8370.37,3880.479
600608.SH,20200114,4.68,4.71,4.64,4.65,4.68,-0.02999999999999936,-0.641,14532.0,6788.167
600608.SH,20200113,4.68,4.72,4.64,4.68,4.7,-0.020000000000000462,-0.4255,9944.0,4657.852
600608.SH,20200110,4.78,4.82,4.68,4.7,4.76,-0.05999999999999961,-1.2605,13288.42,6283.337
600608.SH,20200109,4.68,4.78,4.68,4.76,4.7,0.05999999999999961,1.2766,16647.0,7891.707
600608.SH,20200108,4.7,4.75,4.64,4.7,4.73,-0.03000000000000025,-0.6342,20631.42,9675.171
600608.SH,20200107,4.65,4.75,4.65,4.73,4.67,0.0600000000000005,1.2848,18734.82,8835.889
600608.SH,20200106,4.69,4.69,4.61,4.67,4.7,-0.03000000000000025,-0.6383,21442.0,9978.458
600608.SH,20200103,4.61,4.7,4.6,4.7,4.64,0.0600000000000005,1.2931,19458.41,9028.575
600608.SH,20200102,4.55,4.65,4.55,4.64,4.54,0.09999999999999964,2.2026,11620.0,5357.696
600608.SH,20191231,4.52,4.59,4.52,4.54,4.52,0.020000000000000462,0.4425,11456.61,5210.479
600608.SH,20191230,4.66,4.66,4.51,4.52,4.68,-0.16000000000000014,-3.4188,21796.29,9920.335
600608.SH,20191227,4.72,4.75,4.67,4.68,4.7,-0.020000000000000462,-0.4255,12263.21,5772.275
600608.SH,20191226,4.68,4.72,4.62,4.7,4.68,0.020000000000000462,0.4274,11641.0,5436.33
600608.SH,20191225,4.81,4.81,4.67,4.68,4.81,-0.1299999999999999,-2.7027,22727.0,10724.363
