ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600732.SH,20200225,11.0,11.68,10.7,11.42,11.21,0.20999999999999908,1.8733,252473.05,283265.042
600732.SH,20200224,10.85,11.21,10.81,11.21,10.68,0.5300000000000011,4.9625,235650.27,262065.311
600732.SH,20200221,11.3,11.55,10.46,10.68,11.0,-0.3200000000000003,-2.9091,371929.78,412603.14
600732.SH,20200220,10.6,11.0,10.49,11.0,10.48,0.5199999999999996,4.9618,200628.61,218436.881
600732.SH,20200219,10.48,10.48,10.38,10.48,9.98,0.5,5.01,101915.48,106704.743
600732.SH,20200218,9.65,9.98,9.61,9.98,9.5,0.4800000000000004,5.0526,171155.65,169359.169
600732.SH,20200217,9.2,9.5,9.18,9.5,9.18,0.3200000000000003,3.4858,110851.98,103157.401
600732.SH,20200214,9.18,9.28,9.05,9.18,9.18,0.0,0.0,67224.81,61513.028
600732.SH,20200213,9.23,9.38,9.02,9.18,9.23,-0.05000000000000071,-0.5417,91476.28,84092.736
600732.SH,20200212,9.11,9.27,8.98,9.23,8.87,0.3600000000000012,4.0586,104790.19,95753.732
600732.SH,20200211,9.05,9.24,8.71,8.87,8.85,0.019999999999999574,0.226,100727.38,90202.077
600732.SH,20200210,8.34,8.85,8.34,8.85,8.43,0.41999999999999993,4.9822,69888.67,60616.906
600732.SH,20200207,8.2,8.47,8.13,8.43,8.16,0.2699999999999996,3.3088,71949.05,59865.567
600732.SH,20200206,8.04,8.29,7.96,8.16,8.06,0.09999999999999964,1.2407,63119.13,51456.72
600732.SH,20200205,7.97,8.29,7.97,8.06,7.98,0.08000000000000007,1.0025,74995.06,61105.583
600732.SH,20200204,7.86,8.11,7.86,7.98,8.27,-0.28999999999999915,-3.5067,161179.32,127458.796
600732.SH,20200203,8.27,8.27,8.27,8.27,8.71,-0.4400000000000013,-5.0517,1964.0,1624.228
600732.SH,20200123,9.06,9.29,8.69,8.71,9.12,-0.40999999999999837,-4.4956,81223.14,72766.344
600732.SH,20200122,9.16,9.23,9.05,9.12,9.38,-0.26000000000000156,-2.7719,77436.1,70689.575
600732.SH,20200121,9.14,9.47,9.12,9.38,9.14,0.2400000000000002,2.6258,60466.66,56504.624
600732.SH,20200120,9.14,9.17,9.05,9.14,9.12,0.02000000000000135,0.2193,35699.9,32549.1
600732.SH,20200117,9.09,9.18,9.01,9.12,9.12,0.0,0.0,47459.05,43182.775
600732.SH,20200116,9.03,9.29,9.0,9.12,8.96,0.15999999999999837,1.7857,74283.7,68048.17
600732.SH,20200115,8.7,9.09,8.65,8.96,8.66,0.3000000000000007,3.4642,96061.77,85822.887
600732.SH,20200114,8.79,8.79,8.52,8.66,8.63,0.02999999999999936,0.3476,57034.92,49163.729
600732.SH,20200113,8.63,8.63,8.44,8.63,8.22,0.41000000000000014,4.9878,102730.11,88325.069
600732.SH,20200110,8.29,8.34,8.12,8.22,8.3,-0.08000000000000007,-0.9639,32715.7,26915.041
600732.SH,20200109,8.28,8.42,8.2,8.3,8.23,0.07000000000000028,0.8505,32036.57,26624.755
600732.SH,20200108,8.28,8.45,8.21,8.23,8.28,-0.049999999999998934,-0.6039,52305.97,43441.682
600732.SH,20200107,8.28,8.37,8.19,8.28,8.2,0.08000000000000007,0.9756,33923.46,27997.698
600732.SH,20200106,8.25,8.38,8.12,8.2,8.25,-0.05000000000000071,-0.6061,42641.41,35187.599
600732.SH,20200103,8.07,8.28,8.04,8.25,8.05,0.1999999999999993,2.4845,41021.69,33456.43
600732.SH,20200102,7.8,8.09,7.71,8.05,7.79,0.2600000000000007,3.3376,50846.62,40390.515
600732.SH,20191231,7.92,7.93,7.67,7.79,7.88,-0.08999999999999986,-1.1421,47734.16,36988.665
600732.SH,20191230,7.73,7.94,7.71,7.88,7.71,0.16999999999999993,2.2049,41326.21,32515.834
600732.SH,20191227,8.03,8.17,7.66,7.71,8.04,-0.3299999999999992,-4.1045,68306.0,53634.251
600732.SH,20191226,8.19,8.25,7.87,8.04,8.15,-0.11000000000000121,-1.3497,65443.72,52388.595
600732.SH,20191225,8.3,8.48,8.09,8.15,8.3,-0.15000000000000036,-1.8072,67660.08,55639.961
600732.SH,20191224,8.1,8.32,7.97,8.3,7.96,0.34000000000000075,4.2714,56794.41,46417.352
600732.SH,20191223,7.92,8.17,7.89,7.96,7.93,0.03000000000000025,0.3783,37199.6,29881.648
600732.SH,20191220,8.1,8.24,7.82,7.93,8.15,-0.22000000000000064,-2.6994,61995.39,49523.825
600732.SH,20191219,7.81,8.19,7.81,8.15,7.8,0.35000000000000053,4.4872,91949.37,74673.035
600732.SH,20191218,7.51,7.85,7.47,7.8,7.51,0.29000000000000004,3.8615,52808.57,40737.17
600732.SH,20191217,7.28,7.53,7.25,7.51,7.27,0.2400000000000002,3.3012,33169.39,24646.458
600732.SH,20191216,7.36,7.37,7.24,7.27,7.3,-0.03000000000000025,-0.411,33690.08,24521.58
600732.SH,20191213,7.25,7.34,7.22,7.3,7.25,0.04999999999999982,0.6897,22835.8,16609.185
600732.SH,20191212,7.58,7.63,7.2,7.25,7.58,-0.33000000000000007,-4.3536,36695.38,27138.177
600732.SH,20191211,7.47,7.74,7.45,7.58,7.48,0.09999999999999964,1.3369,28121.04,21474.49
600732.SH,20191210,7.46,7.48,7.39,7.48,7.43,0.05000000000000071,0.6729,12319.01,9168.259
600732.SH,20191209,7.38,7.52,7.38,7.43,7.42,0.009999999999999787,0.1348,18362.18,13654.976
600732.SH,20191206,7.32,7.47,7.32,7.42,7.32,0.09999999999999964,1.3661,22613.01,16708.102
600732.SH,20191205,7.34,7.41,7.3,7.32,7.34,-0.019999999999999574,-0.2725,20721.18,15218.142
600732.SH,20191204,7.24,7.41,7.21,7.34,7.3,0.040000000000000036,0.5479,22059.15,16202.783
600732.SH,20191203,7.12,7.31,7.09,7.3,7.18,0.1200000000000001,1.6713,22481.06,16102.387
600732.SH,20191202,7.27,7.27,7.11,7.18,7.25,-0.07000000000000028,-0.9655,19767.25,14183.802
600732.SH,20191129,7.29,7.38,7.2,7.25,7.34,-0.08999999999999986,-1.2262,25780.12,18780.592
600732.SH,20191128,7.25,7.44,7.21,7.34,7.25,0.08999999999999986,1.2414,34919.02,25682.7
600732.SH,20191127,7.1,7.35,7.07,7.25,7.1,0.15000000000000036,2.1127,25268.0,18096.013
600732.SH,20191126,7.09,7.2,7.01,7.1,6.97,0.1299999999999999,1.8651,26196.57,18574.664
600732.SH,20191125,6.82,7.05,6.82,6.97,6.9,0.0699999999999994,1.0145,18768.31,13052.431
600732.SH,20191122,6.81,6.92,6.77,6.9,6.81,0.09000000000000075,1.3216,24895.72,17038.597
600732.SH,20191121,6.85,6.97,6.77,6.81,6.83,-0.020000000000000462,-0.2928,22202.0,15300.581
600732.SH,20191120,6.72,6.94,6.69,6.83,6.7,0.1299999999999999,1.9403,28584.7,19599.193
600732.SH,20191119,6.65,6.73,6.59,6.7,6.63,0.07000000000000028,1.0558,13783.02,9198.374
600732.SH,20191118,6.58,6.68,6.45,6.63,6.57,0.05999999999999961,0.9132,13622.03,8988.19
600732.SH,20191115,6.51,6.59,6.43,6.57,6.58,-0.009999999999999787,-0.152,15419.26,10032.851
600732.SH,20191114,6.5,6.81,6.34,6.58,6.5,0.08000000000000007,1.2308,36417.6,23940.388
600732.SH,20191113,6.72,6.78,6.48,6.5,6.8,-0.2999999999999998,-4.4118,40007.0,26416.856
600732.SH,20191112,6.93,6.98,6.66,6.8,6.95,-0.15000000000000036,-2.1583,35330.13,23921.722
600732.SH,20191111,7.27,7.27,6.94,6.95,7.3,-0.34999999999999964,-4.7945,39601.23,27710.499
600732.SH,20191108,7.36,7.43,7.29,7.3,7.34,-0.040000000000000036,-0.545,13263.8,9740.753
600732.SH,20191107,7.28,7.38,7.27,7.34,7.35,-0.009999999999999787,-0.1361,17665.0,12950.19
600732.SH,20191106,7.38,7.4,7.32,7.35,7.38,-0.03000000000000025,-0.4065,25309.32,18614.893
600732.SH,20191105,7.5,7.59,7.3,7.38,7.47,-0.08999999999999986,-1.2048,31741.48,23390.576
600732.SH,20191104,7.28,7.53,7.28,7.47,7.28,0.1899999999999995,2.6099,38034.78,28383.56
600732.SH,20191101,6.88,7.3,6.88,7.28,6.95,0.33000000000000007,4.7482,38207.51,27272.572
600732.SH,20191031,6.88,7.03,6.84,6.95,6.97,-0.019999999999999574,-0.2869,30498.3,21116.249
600732.SH,20191030,7.35,7.35,6.97,6.97,7.34,-0.3700000000000001,-5.0409,67209.17,47345.049
600732.SH,20191029,7.45,7.48,7.27,7.34,7.42,-0.08000000000000007,-1.0782,28550.29,21051.412
600732.SH,20191028,7.3,7.48,7.22,7.42,7.2,0.21999999999999975,3.0556,29841.01,22059.816
600732.SH,20191025,7.17,7.27,7.14,7.2,7.22,-0.019999999999999574,-0.277,16260.44,11706.929
600732.SH,20191024,7.14,7.28,7.01,7.22,7.1,0.1200000000000001,1.6901,25090.62,18019.697
600732.SH,20191023,7.01,7.29,7.01,7.1,7.07,0.02999999999999936,0.4243,25610.79,18374.395
600732.SH,20191022,6.75,7.08,6.73,7.07,6.75,0.3200000000000003,4.7407,28795.3,20018.573
600732.SH,20191021,6.87,6.97,6.69,6.75,6.87,-0.1200000000000001,-1.7467,24154.61,16456.816
600732.SH,20191018,6.95,7.05,6.85,6.87,6.99,-0.1200000000000001,-1.7167,21412.28,14927.175
600732.SH,20191017,6.96,7.09,6.95,6.99,6.99,0.0,0.0,11421.0,7999.557
600732.SH,20191016,7.09,7.18,6.9,6.99,7.13,-0.13999999999999968,-1.9635,25805.01,18142.654
600732.SH,20191015,7.05,7.34,6.91,7.13,7.05,0.08000000000000007,1.1348,24869.36,17787.996
600732.SH,20191014,7.31,7.42,7.0,7.05,7.32,-0.27000000000000046,-3.6885,45993.2,33010.074
600732.SH,20191011,7.31,7.42,7.22,7.32,7.31,0.010000000000000675,0.1368,18190.0,13319.689
600732.SH,20191010,7.06,7.35,7.06,7.31,7.14,0.16999999999999993,2.381,17127.79,12451.253
600732.SH,20191009,7.01,7.24,6.88,7.14,7.24,-0.10000000000000053,-1.3812,44394.43,31182.564
600732.SH,20191008,7.62,7.62,7.24,7.24,7.62,-0.3799999999999999,-4.9869,50406.0,36683.619
600732.SH,20190930,8.04,8.04,7.62,7.62,8.02,-0.39999999999999947,-4.9875,50635.25,38987.932
600732.SH,20190927,8.12,8.15,7.98,8.02,8.08,-0.0600000000000005,-0.7426,26773.82,21555.635
600732.SH,20190926,8.11,8.17,7.95,8.08,8.13,-0.05000000000000071,-0.615,39238.83,31672.706
600732.SH,20190925,7.92,8.2,7.79,8.13,7.92,0.21000000000000085,2.6515,36300.01,28879.237
600732.SH,20190924,7.93,8.01,7.88,7.92,7.96,-0.040000000000000036,-0.5025,25757.0,20441.721
600732.SH,20190923,8.2,8.29,7.79,7.96,8.2,-0.23999999999999932,-2.9268,80390.56,63602.818
600732.SH,20190920,8.23,8.34,8.17,8.2,8.23,-0.030000000000001137,-0.3645,40382.0,33302.81
600732.SH,20190919,8.44,8.44,8.1,8.23,8.42,-0.1899999999999995,-2.2565,68458.8,56226.028
600732.SH,20190918,8.45,8.49,8.31,8.42,8.4,0.019999999999999574,0.2381,46264.4,38777.277
600732.SH,20190917,8.63,8.77,8.29,8.4,8.7,-0.29999999999999893,-3.4483,62335.28,53131.992
600732.SH,20190916,8.86,8.99,8.64,8.7,8.62,0.08000000000000007,0.9281,49958.49,43998.925
600732.SH,20190912,8.65,8.84,8.54,8.62,8.76,-0.14000000000000057,-1.5982,50693.94,43874.434
600732.SH,20190911,9.09,9.17,8.76,8.76,9.22,-0.46000000000000085,-4.9892,80115.43,71029.333
600732.SH,20190910,8.79,9.22,8.79,9.22,8.81,0.41000000000000014,4.6538,70703.58,63796.722
600732.SH,20190909,8.75,8.94,8.68,8.81,8.68,0.13000000000000078,1.4977,48513.56,42842.007
600732.SH,20190906,8.42,8.69,8.42,8.68,8.5,0.17999999999999972,2.1176,47447.8,40884.037
600732.SH,20190905,8.59,8.6,8.36,8.5,8.52,-0.019999999999999574,-0.2347,49136.22,41627.013
600732.SH,20190904,8.36,8.7,8.32,8.52,8.41,0.10999999999999943,1.308,56732.39,48265.988
600732.SH,20190903,8.04,8.42,7.99,8.41,8.02,0.39000000000000057,4.8628,74550.15,61654.202
600732.SH,20190902,7.97,8.05,7.94,8.02,7.97,0.04999999999999982,0.6274,22480.0,17963.336
600732.SH,20190830,7.95,8.05,7.92,7.97,7.98,-0.010000000000000675,-0.1253,24140.0,19273.443
600732.SH,20190829,8.05,8.05,7.93,7.98,7.98,0.0,0.0,15196.01,12102.273
600732.SH,20190828,7.97,8.06,7.91,7.98,7.99,-0.009999999999999787,-0.1252,27024.58,21601.182
600732.SH,20190827,8.01,8.01,7.85,7.99,7.82,0.16999999999999993,2.1739,22481.8,17838.824
600732.SH,20190826,7.75,7.87,7.7,7.82,7.86,-0.040000000000000036,-0.5089,11764.21,9157.162
600732.SH,20190823,8.09,8.09,7.82,7.86,8.04,-0.17999999999999883,-2.2388,21119.8,16763.345
600732.SH,20190822,7.99,8.16,7.9,8.04,7.99,0.049999999999998934,0.6258,40351.84,32446.304
600732.SH,20190821,7.71,8.07,7.62,7.99,7.69,0.2999999999999998,3.9012,68678.53,54206.87
600732.SH,20190820,7.79,7.8,7.59,7.69,7.77,-0.07999999999999918,-1.0296,24499.0,18793.873
600732.SH,20190819,7.74,7.82,7.57,7.77,7.57,0.1999999999999993,2.642,31761.4,24608.893
600732.SH,20190816,7.3,7.59,7.3,7.57,7.24,0.33000000000000007,4.558,39359.93,29453.673
600732.SH,20190815,7.19,7.3,7.12,7.24,7.27,-0.02999999999999936,-0.4127,26852.04,19440.533
600732.SH,20190814,7.36,7.39,7.24,7.27,7.31,-0.040000000000000036,-0.5472,17735.82,12953.453
600732.SH,20190813,7.38,7.38,7.24,7.31,7.33,-0.020000000000000462,-0.2729,11277.01,8199.706
600732.SH,20190812,7.21,7.5,7.06,7.33,7.29,0.040000000000000036,0.5487,28723.6,20952.232
600732.SH,20190809,7.3,7.44,7.28,7.29,7.33,-0.040000000000000036,-0.5457,13244.88,9719.324
600732.SH,20190808,7.33,7.52,7.26,7.33,7.39,-0.05999999999999961,-0.8119,31743.03,23305.415
600732.SH,20190807,7.45,7.72,7.34,7.39,7.51,-0.1200000000000001,-1.5979,35804.6,27144.344
600732.SH,20190806,7.41,7.74,7.09,7.51,7.41,0.09999999999999964,1.3495,81017.55,59662.944
600732.SH,20190805,7.6,7.75,7.41,7.41,7.8,-0.3899999999999997,-5.0,67430.18,50991.44
600732.SH,20190802,8.03,8.03,7.68,7.8,7.65,0.14999999999999947,1.9608,135732.6,107091.548
600732.SH,20190731,7.67,7.97,7.49,7.65,7.73,-0.08000000000000007,-1.0349,99450.55,77287.641
600732.SH,20190730,7.95,8.25,7.55,7.73,7.95,-0.21999999999999975,-2.7673,147002.91,116534.115
600732.SH,20190729,7.7,8.03,7.5,7.95,7.77,0.1800000000000006,2.3166,71336.37,56523.143
600732.SH,20190726,7.7,7.85,7.6,7.77,7.48,0.28999999999999915,3.877,87940.54,68459.098
600732.SH,20190725,7.26,7.5,7.04,7.48,7.2,0.28000000000000025,3.8889,61708.09,45366.395
600732.SH,20190724,7.3,7.37,7.15,7.2,7.02,0.1800000000000006,2.5641,66694.95,48488.413
600732.SH,20190723,6.72,7.02,6.58,7.02,6.69,0.3299999999999992,4.9327,42993.95,29592.487
600732.SH,20190722,6.63,6.85,6.55,6.69,6.64,0.05000000000000071,0.753,49398.6,33169.384
600732.SH,20190719,6.58,6.64,6.47,6.64,6.32,0.3199999999999994,5.0633,46976.46,31055.825
600732.SH,20190718,6.06,6.38,6.05,6.32,6.1,0.22000000000000064,3.6066,63734.79,39926.703
600732.SH,20190717,6.1,6.36,6.0,6.1,6.32,-0.22000000000000064,-3.481,69618.18,42692.695
600732.SH,20190716,6.03,6.32,5.89,6.32,6.02,0.3000000000000007,4.9834,55553.74,33992.454
600732.SH,20190715,6.3,6.3,5.99,6.02,6.3,-0.28000000000000025,-4.4444,63941.66,38959.456
600732.SH,20190712,6.42,6.55,6.3,6.3,6.41,-0.11000000000000032,-1.7161,20505.0,13097.435
600732.SH,20190711,6.59,6.65,6.41,6.41,6.59,-0.17999999999999972,-2.7314,20565.15,13395.89
600732.SH,20190710,6.61,6.63,6.55,6.59,6.6,-0.009999999999999787,-0.1515,12686.41,8371.5
600732.SH,20190709,6.74,6.78,6.38,6.6,6.72,-0.1200000000000001,-1.7857,27834.05,18382.971
600732.SH,20190708,6.84,6.86,6.66,6.72,6.89,-0.16999999999999993,-2.4673,13311.0,9012.338
600732.SH,20190705,6.9,6.9,6.82,6.89,6.9,-0.010000000000000675,-0.1449,8975.18,6161.871
600732.SH,20190704,6.85,6.95,6.8,6.9,6.9,0.0,0.0,16916.38,11596.433
