ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600781.SH,20200225,5.18,5.29,5.16,5.27,5.3,-0.03000000000000025,-0.566,117421.62,61322.67
600781.SH,20200224,5.38,5.38,5.27,5.3,5.4,-0.10000000000000053,-1.8519,113099.32,60280.568
600781.SH,20200221,5.42,5.42,5.38,5.4,5.43,-0.02999999999999936,-0.5525,81986.7,44235.062
600781.SH,20200220,5.39,5.43,5.37,5.43,5.38,0.04999999999999982,0.9294,63732.0,34423.473
600781.SH,20200219,5.42,5.43,5.38,5.38,5.45,-0.07000000000000028,-1.2844,77353.03,41758.057
600781.SH,20200218,5.45,5.46,5.39,5.45,5.44,0.009999999999999787,0.1838,79772.62,43315.205
600781.SH,20200217,5.36,5.45,5.34,5.44,5.34,0.10000000000000053,1.8727,83064.98,44990.107
600781.SH,20200214,5.33,5.38,5.32,5.34,5.35,-0.009999999999999787,-0.1869,57382.0,30712.958
600781.SH,20200213,5.5,5.51,5.32,5.35,5.52,-0.16999999999999993,-3.0797,98424.3,53100.345
600781.SH,20200212,5.53,5.57,5.49,5.52,5.53,-0.010000000000000675,-0.1808,72842.35,40170.62
600781.SH,20200211,5.42,5.63,5.39,5.53,5.44,0.08999999999999986,1.6544,106975.31,58730.579
600781.SH,20200210,5.46,5.48,5.32,5.44,5.54,-0.09999999999999964,-1.8051,139396.83,75165.301
600781.SH,20200207,5.77,5.82,5.52,5.54,5.81,-0.2699999999999996,-4.6472,224257.07,126568.815
600781.SH,20200206,5.8,5.92,5.7,5.81,5.7,0.10999999999999943,1.9298,236433.61,138128.813
600781.SH,20200205,5.43,5.7,5.41,5.7,5.43,0.27000000000000046,4.9724,249222.56,138580.961
600781.SH,20200204,5.06,5.43,5.02,5.43,5.17,0.2599999999999998,5.029,123425.73,64859.27
600781.SH,20200203,5.43,5.43,5.04,5.17,5.31,-0.13999999999999968,-2.6365,164352.28,85679.928
600781.SH,20200123,5.48,5.48,5.3,5.31,5.58,-0.27000000000000046,-4.8387,109301.73,58413.583
600781.SH,20200122,5.73,5.75,5.56,5.58,5.72,-0.13999999999999968,-2.4476,89041.01,49944.842
600781.SH,20200121,5.63,5.75,5.61,5.72,5.64,0.08000000000000007,1.4184,99389.23,56708.58
600781.SH,20200120,5.6,5.67,5.57,5.64,5.6,0.040000000000000036,0.7143,53156.25,29917.454
600781.SH,20200117,5.59,5.69,5.57,5.6,5.57,0.02999999999999936,0.5386,45784.9,25747.088
600781.SH,20200116,5.56,5.63,5.55,5.57,5.57,0.0,0.0,46986.0,26225.843
600781.SH,20200115,5.65,5.66,5.57,5.57,5.67,-0.09999999999999964,-1.7637,58504.11,32769.494
600781.SH,20200114,5.63,5.71,5.63,5.67,5.68,-0.009999999999999787,-0.1761,58541.0,33209.818
600781.SH,20200113,5.79,5.79,5.53,5.68,5.82,-0.14000000000000057,-2.4055,108189.92,61035.811
600781.SH,20200110,5.83,5.84,5.8,5.82,5.84,-0.019999999999999574,-0.3425,61716.32,35919.059
600781.SH,20200109,5.83,5.88,5.81,5.84,5.79,0.04999999999999982,0.8636,74000.52,43234.36
600781.SH,20200108,5.92,5.94,5.76,5.79,5.94,-0.15000000000000036,-2.5253,114506.48,67079.517
600781.SH,20200107,5.9,5.96,5.88,5.94,5.91,0.03000000000000025,0.5076,82012.9,48630.374
600781.SH,20200106,5.79,5.96,5.75,5.91,5.82,0.08999999999999986,1.5464,114960.04,67289.093
600781.SH,20200103,5.84,5.85,5.77,5.82,5.85,-0.02999999999999936,-0.5128,76460.46,44420.273
600781.SH,20200102,5.8,5.88,5.76,5.85,5.81,0.040000000000000036,0.6885,102035.77,59374.248
600781.SH,20191231,5.78,5.86,5.71,5.81,5.84,-0.03000000000000025,-0.5137,111407.05,64520.029
600781.SH,20191230,5.76,6.04,5.74,5.84,5.87,-0.03000000000000025,-0.5111,144881.31,85141.904
600781.SH,20191227,6.2,6.31,5.86,5.87,6.02,-0.14999999999999947,-2.4917,258703.86,157959.534
600781.SH,20191226,5.89,6.02,5.85,6.02,5.73,0.28999999999999915,5.0611,136125.36,81555.204
600781.SH,20191225,5.98,6.0,5.73,5.73,6.03,-0.2999999999999998,-4.9751,230915.98,134938.387
600781.SH,20191224,5.83,6.07,5.77,6.03,5.82,0.20999999999999996,3.6082,167751.87,99296.486
600781.SH,20191223,5.7,5.99,5.64,5.82,5.73,0.08999999999999986,1.5707,174582.95,101916.659
600781.SH,20191220,5.61,5.88,5.58,5.73,5.6,0.13000000000000078,2.3214,198691.0,114145.903
600781.SH,20191219,5.52,5.62,5.51,5.6,5.53,0.0699999999999994,1.2658,99302.64,55428.107
600781.SH,20191218,5.53,5.58,5.49,5.53,5.54,-0.009999999999999787,-0.1805,78403.62,43336.785
600781.SH,20191217,5.48,5.59,5.45,5.54,5.48,0.05999999999999961,1.0949,100310.0,55456.765
600781.SH,20191216,5.47,5.49,5.41,5.48,5.45,0.03000000000000025,0.5505,65671.85,35778.686
600781.SH,20191213,5.41,5.46,5.39,5.45,5.41,0.040000000000000036,0.7394,57228.6,31095.524
600781.SH,20191212,5.42,5.5,5.36,5.41,5.43,-0.019999999999999574,-0.3683,77459.02,42034.392
600781.SH,20191211,5.55,5.56,5.42,5.43,5.58,-0.15000000000000036,-2.6882,89781.5,49124.803
600781.SH,20191210,5.56,5.7,5.52,5.58,5.55,0.03000000000000025,0.5405,115960.33,65047.909
600781.SH,20191209,5.57,5.62,5.49,5.55,5.62,-0.07000000000000028,-1.2456,116056.11,64396.599
600781.SH,20191206,5.45,5.62,5.43,5.62,5.35,0.27000000000000046,5.0467,184095.59,103099.954
600781.SH,20191205,5.37,5.4,5.32,5.35,5.38,-0.03000000000000025,-0.5576,51391.5,27543.141
600781.SH,20191204,5.26,5.46,5.24,5.38,5.28,0.09999999999999964,1.8939,81208.77,43466.061
600781.SH,20191203,5.21,5.29,5.2,5.28,5.24,0.040000000000000036,0.7634,40438.8,21240.55
600781.SH,20191202,5.31,5.31,5.22,5.24,5.31,-0.0699999999999994,-1.3183,55430.86,29124.752
600781.SH,20191129,5.2,5.38,5.2,5.31,5.2,0.10999999999999943,2.1154,74898.82,39633.505
600781.SH,20191128,5.26,5.28,5.18,5.2,5.27,-0.0699999999999994,-1.3283,57011.1,29775.201
600781.SH,20191127,5.26,5.31,5.26,5.27,5.32,-0.05000000000000071,-0.9398,39042.0,20617.162
600781.SH,20191126,5.27,5.34,5.27,5.32,5.28,0.040000000000000036,0.7576,41052.37,21772.206
600781.SH,20191125,5.33,5.33,5.23,5.28,5.3,-0.019999999999999574,-0.3774,52747.14,27795.524
