ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000806.SZ,20200225,1.92,1.96,1.91,1.95,1.97,-0.020000000000000018,-1.0152,116434.19,22507.607
000806.SZ,20200224,1.99,1.99,1.95,1.97,2.0,-0.030000000000000027,-1.5,119545.83,23480.198
000806.SZ,20200221,2.0,2.02,1.99,2.0,2.02,-0.020000000000000018,-0.9901,88313.9,17680.421
000806.SZ,20200220,1.99,2.02,1.98,2.02,1.99,0.030000000000000027,1.5075,93855.42,18806.485
000806.SZ,20200219,2.02,2.04,1.99,1.99,2.03,-0.039999999999999813,-1.9704,116073.48,23295.583
000806.SZ,20200218,2.05,2.08,2.02,2.03,2.07,-0.040000000000000036,-1.9324,135658.89,27741.928
000806.SZ,20200217,2.04,2.08,2.04,2.07,2.04,0.029999999999999805,1.4706,60392.0,12435.473
000806.SZ,20200214,2.04,2.08,2.02,2.04,2.05,-0.009999999999999787,-0.4878,67072.73,13703.737
000806.SZ,20200213,2.14,2.15,2.01,2.05,2.11,-0.06000000000000005,-2.8436,102567.3,21324.912
000806.SZ,20200212,2.06,2.15,2.06,2.11,2.07,0.040000000000000036,1.9324,82158.4,17393.036
000806.SZ,20200211,2.07,2.11,2.06,2.07,2.08,-0.010000000000000231,-0.4808,72177.5,15019.602
000806.SZ,20200210,2.05,2.13,2.03,2.08,2.08,0.0,0.0,125444.98,26097.291
000806.SZ,20200207,2.02,2.08,1.99,2.08,1.98,0.10000000000000009,5.0505,211802.58,43333.68
000806.SZ,20200206,1.9,1.98,1.87,1.98,1.89,0.09000000000000008,4.7619,123503.79,23995.094
000806.SZ,20200205,1.83,1.9,1.82,1.89,1.83,0.05999999999999983,3.2787,101438.59,19011.698
000806.SZ,20200204,1.83,1.87,1.83,1.83,1.93,-0.09999999999999987,-5.1813,188849.64,34691.276
000806.SZ,20200203,1.93,1.93,1.93,1.93,2.03,-0.09999999999999987,-4.9261,18835.0,3635.155
000806.SZ,20200123,2.02,2.06,2.02,2.03,2.13,-0.10000000000000009,-4.6948,139568.77,28382.305
000806.SZ,20200122,2.23,2.23,2.11,2.13,2.22,-0.0900000000000003,-4.0541,122850.39,26157.835
000806.SZ,20200121,2.21,2.25,2.2,2.22,2.2,0.020000000000000018,0.9091,66648.5,14833.944
000806.SZ,20200120,2.17,2.21,2.16,2.2,2.18,0.020000000000000018,0.9174,45687.67,9992.779
000806.SZ,20200117,2.19,2.22,2.17,2.18,2.18,0.0,0.0,53797.0,11809.403
000806.SZ,20200116,2.21,2.23,2.18,2.18,2.21,-0.029999999999999805,-1.3575,59339.32,13043.504
000806.SZ,20200115,2.25,2.25,2.19,2.21,2.25,-0.040000000000000036,-1.7778,75976.53,16847.238
000806.SZ,20200114,2.26,2.28,2.24,2.25,2.26,-0.009999999999999787,-0.4425,69217.0,15637.46
000806.SZ,20200113,2.33,2.34,2.22,2.26,2.33,-0.07000000000000028,-3.0043,113094.03,25500.723
