ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000571.SZ,20200225,2.45,2.56,2.43,2.46,2.48,-0.020000000000000018,-0.8065,48919.75,12131.643
000571.SZ,20200224,2.53,2.53,2.47,2.48,2.53,-0.04999999999999982,-1.9763,34032.9,8480.624
000571.SZ,20200221,2.47,2.53,2.45,2.53,2.47,0.05999999999999961,2.4291,48792.75,12142.62
000571.SZ,20200220,2.45,2.49,2.44,2.47,2.46,0.010000000000000231,0.4065,26532.74,6539.794
000571.SZ,20200219,2.51,2.51,2.45,2.46,2.51,-0.04999999999999982,-1.992,37120.49,9196.866
000571.SZ,20200218,2.5,2.52,2.5,2.51,2.51,0.0,0.0,29227.01,7333.237
000571.SZ,20200217,2.5,2.55,2.49,2.51,2.51,0.0,0.0,37063.07,9298.32
000571.SZ,20200214,2.55,2.59,2.5,2.51,2.56,-0.050000000000000266,-1.9531,47509.89,12031.519
000571.SZ,20200213,2.5,2.58,2.49,2.56,2.5,0.06000000000000005,2.4,44382.28,11279.391
000571.SZ,20200212,2.5,2.54,2.47,2.5,2.5,0.0,0.0,33469.53,8363.288
000571.SZ,20200211,2.4,2.5,2.4,2.5,2.42,0.08000000000000007,3.3058,49387.63,12165.89
000571.SZ,20200210,2.36,2.42,2.3,2.42,2.38,0.040000000000000036,1.6807,50915.73,12148.561
000571.SZ,20200207,2.33,2.38,2.28,2.38,2.32,0.06000000000000005,2.5862,51849.5,12100.016
000571.SZ,20200206,2.35,2.39,2.28,2.32,2.32,0.0,0.0,44586.08,10396.856
000571.SZ,20200205,2.21,2.45,2.21,2.32,2.33,-0.010000000000000231,-0.4292,75297.54,17698.466
000571.SZ,20200204,2.33,2.33,2.33,2.33,2.45,-0.1200000000000001,-4.898,8294.0,1932.502
000571.SZ,20200203,2.45,2.45,2.45,2.45,2.58,-0.1299999999999999,-5.0388,3878.0,950.11
000571.SZ,20200123,2.47,2.59,2.39,2.58,2.48,0.10000000000000009,4.0323,55935.31,13815.922
000571.SZ,20200122,2.56,2.56,2.44,2.48,2.57,-0.08999999999999986,-3.5019,68790.44,17041.194
000571.SZ,20200121,2.67,2.68,2.57,2.57,2.7,-0.13000000000000034,-4.8148,80967.54,21115.157
000571.SZ,20200120,2.68,2.71,2.64,2.7,2.69,0.010000000000000231,0.3717,24803.48,6666.796
000571.SZ,20200117,2.69,2.71,2.67,2.69,2.69,0.0,0.0,17979.51,4823.337
000571.SZ,20200116,2.67,2.71,2.67,2.69,2.7,-0.010000000000000231,-0.3704,14952.36,4011.851
000571.SZ,20200115,2.71,2.72,2.66,2.7,2.71,-0.009999999999999787,-0.369,23720.99,6370.91
000571.SZ,20200114,2.7,2.74,2.7,2.71,2.7,0.009999999999999787,0.3704,21345.16,5817.0
000571.SZ,20200113,2.74,2.74,2.7,2.7,2.76,-0.05999999999999961,-2.1739,34411.0,9325.041
000571.SZ,20200110,2.72,2.79,2.69,2.76,2.72,0.03999999999999959,1.4706,58457.28,16093.505
000571.SZ,20200109,2.66,2.72,2.64,2.72,2.65,0.07000000000000028,2.6415,35501.14,9513.464
000571.SZ,20200108,2.7,2.7,2.64,2.65,2.7,-0.050000000000000266,-1.8519,35558.08,9453.389
000571.SZ,20200107,2.69,2.7,2.65,2.7,2.68,0.020000000000000018,0.7463,38954.41,10417.939
000571.SZ,20200106,2.71,2.73,2.65,2.68,2.74,-0.06000000000000005,-2.1898,60734.52,16298.784
000571.SZ,20200103,2.76,2.79,2.73,2.74,2.75,-0.009999999999999787,-0.3636,48564.76,13409.501
000571.SZ,20200102,2.75,2.83,2.72,2.75,2.73,0.020000000000000018,0.7326,51892.8,14385.078
000571.SZ,20191231,2.81,2.81,2.7,2.73,2.7,0.029999999999999805,1.1111,41552.42,11439.459
000571.SZ,20191230,2.74,2.76,2.69,2.7,2.75,-0.04999999999999982,-1.8182,54901.47,14931.823
000571.SZ,20191227,2.78,2.8,2.74,2.75,2.8,-0.04999999999999982,-1.7857,43511.06,12057.167
000571.SZ,20191226,2.79,2.82,2.75,2.8,2.8,0.0,0.0,48735.0,13582.21
000571.SZ,20191225,2.73,2.85,2.68,2.8,2.73,0.06999999999999984,2.5641,80316.23,22324.101
000571.SZ,20191224,2.66,2.75,2.65,2.73,2.67,0.06000000000000005,2.2472,57378.17,15594.848
000571.SZ,20191223,2.66,2.73,2.65,2.67,2.67,0.0,0.0,76599.79,20549.249
000571.SZ,20191220,2.74,2.76,2.67,2.67,2.76,-0.08999999999999986,-3.2609,79109.17,21366.214
000571.SZ,20191219,2.75,2.8,2.72,2.76,2.75,0.009999999999999787,0.3636,60298.43,16580.718
000571.SZ,20191218,2.81,2.94,2.75,2.75,2.82,-0.06999999999999984,-2.4823,175665.52,49724.488
000571.SZ,20191217,2.68,2.82,2.68,2.82,2.69,0.1299999999999999,4.8327,138073.44,38064.005
000571.SZ,20191216,2.71,2.73,2.62,2.69,2.72,-0.03000000000000025,-1.1029,66068.87,17705.217
000571.SZ,20191213,2.72,2.75,2.66,2.72,2.73,-0.009999999999999787,-0.3663,88108.7,23996.678
000571.SZ,20191212,2.61,2.74,2.48,2.73,2.61,0.1200000000000001,4.5977,146438.29,38253.719
000571.SZ,20191211,2.69,2.73,2.61,2.61,2.65,-0.040000000000000036,-1.5094,141463.26,37613.527
000571.SZ,20191210,2.65,2.65,2.63,2.65,2.52,0.1299999999999999,5.1587,117640.93,31170.025
000571.SZ,20191209,2.58,2.62,2.5,2.52,2.59,-0.06999999999999984,-2.7027,49499.31,12583.034
000571.SZ,20191206,2.55,2.67,2.52,2.59,2.56,0.029999999999999805,1.1719,141886.87,37167.59
000571.SZ,20191205,2.51,2.65,2.49,2.56,2.53,0.03000000000000025,1.1858,191214.62,49305.368
000571.SZ,20191204,2.53,2.56,2.48,2.53,2.52,0.009999999999999787,0.3968,100501.34,25228.06
000571.SZ,20191203,2.39,2.52,2.37,2.52,2.4,0.1200000000000001,5.0,121252.32,30189.025
000571.SZ,20191202,2.29,2.4,2.29,2.4,2.29,0.10999999999999988,4.8035,106288.52,25310.325
000571.SZ,20191129,2.28,2.31,2.28,2.29,2.29,0.0,0.0,12561.35,2884.022
000571.SZ,20191128,2.27,2.29,2.26,2.29,2.28,0.010000000000000231,0.4386,10993.1,2502.401
000571.SZ,20191127,2.28,2.32,2.26,2.28,2.28,0.0,0.0,17121.0,3922.723
000571.SZ,20191126,2.35,2.36,2.27,2.28,2.35,-0.07000000000000028,-2.9787,26117.0,6012.85
000571.SZ,20191125,2.37,2.4,2.34,2.35,2.36,-0.009999999999999787,-0.4237,27629.8,6551.541
000571.SZ,20191122,2.33,2.37,2.28,2.36,2.35,0.009999999999999787,0.4255,40314.49,9399.096
000571.SZ,20191121,2.26,2.35,2.24,2.35,2.26,0.0900000000000003,3.9823,56631.29,12945.666
000571.SZ,20191120,2.29,2.29,2.21,2.26,2.27,-0.010000000000000231,-0.4405,38890.67,8753.665
000571.SZ,20191119,2.21,2.27,2.17,2.27,2.16,0.10999999999999988,5.0926,95945.62,21588.123
000571.SZ,20191118,2.05,2.16,2.05,2.16,2.06,0.10000000000000009,4.8544,33350.08,7064.107
