ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600698.SH,20200225,2.5,2.57,2.5,2.55,2.61,-0.06000000000000005,-2.2989,118204.75,29934.444
600698.SH,20200224,2.64,2.65,2.6,2.61,2.66,-0.050000000000000266,-1.8797,72863.46,19104.993
600698.SH,20200221,2.63,2.67,2.61,2.66,2.63,0.03000000000000025,1.1407,86539.86,22782.475
600698.SH,20200220,2.6,2.63,2.59,2.63,2.59,0.040000000000000036,1.5444,63924.3,16687.656
600698.SH,20200219,2.61,2.63,2.58,2.59,2.62,-0.03000000000000025,-1.145,69497.31,18109.681
600698.SH,20200218,2.59,2.66,2.56,2.62,2.59,0.03000000000000025,1.1583,97135.3,25290.92
600698.SH,20200217,2.53,2.6,2.52,2.59,2.54,0.04999999999999982,1.9685,70815.0,18215.856
600698.SH,20200214,2.54,2.57,2.52,2.54,2.54,0.0,0.0,62263.6,15792.881
600698.SH,20200213,2.61,2.62,2.52,2.54,2.62,-0.08000000000000007,-3.0534,74776.3,19163.124
600698.SH,20200212,2.63,2.63,2.59,2.62,2.63,-0.009999999999999787,-0.3802,56790.72,14845.269
600698.SH,20200211,2.63,2.71,2.61,2.63,2.62,0.009999999999999787,0.3817,89594.47,23813.348
600698.SH,20200210,2.47,2.62,2.47,2.62,2.51,0.11000000000000032,4.3825,96240.78,24620.151
600698.SH,20200207,2.54,2.55,2.49,2.51,2.54,-0.03000000000000025,-1.1811,80192.3,20189.909
600698.SH,20200206,2.52,2.56,2.49,2.54,2.54,0.0,0.0,102109.25,25748.255
600698.SH,20200205,2.47,2.6,2.47,2.54,2.56,-0.020000000000000018,-0.7813,152819.0,38661.735
600698.SH,20200204,2.56,2.56,2.56,2.56,2.69,-0.1299999999999999,-4.8327,17511.0,4482.816
600698.SH,20200203,2.69,2.69,2.69,2.69,2.83,-0.14000000000000012,-4.947,2492.0,670.348
600698.SH,20200123,2.87,2.93,2.83,2.83,2.98,-0.1499999999999999,-5.0336,128192.81,36629.624
600698.SH,20200122,2.99,3.0,2.91,2.98,2.99,-0.010000000000000231,-0.3344,54923.05,16266.712
600698.SH,20200121,3.02,3.03,2.98,2.99,3.03,-0.03999999999999959,-1.3201,63872.91,19137.28
600698.SH,20200120,3.01,3.06,3.01,3.03,3.02,0.009999999999999787,0.3311,48127.25,14576.991
600698.SH,20200117,2.99,3.03,2.98,3.02,2.98,0.040000000000000036,1.3423,54611.64,16391.981
600698.SH,20200116,3.03,3.03,2.95,2.98,3.01,-0.029999999999999805,-0.9967,63916.0,19079.732
600698.SH,20200115,3.02,3.03,2.99,3.01,3.01,0.0,0.0,43643.9,13144.951
600698.SH,20200114,2.99,3.07,2.98,3.01,2.99,0.019999999999999574,0.6689,45355.61,13717.982
600698.SH,20200113,2.98,3.0,2.97,2.99,3.0,-0.009999999999999787,-0.3333,41992.0,12545.628
600698.SH,20200110,3.08,3.09,2.99,3.0,3.07,-0.06999999999999984,-2.2801,76241.53,23017.459
600698.SH,20200109,3.04,3.09,3.03,3.07,3.04,0.029999999999999805,0.9868,67824.93,20805.903
600698.SH,20200108,3.03,3.08,3.01,3.04,3.03,0.010000000000000231,0.33,87364.6,26607.001
600698.SH,20200107,3.0,3.04,2.99,3.03,3.0,0.029999999999999805,1.0,65632.2,19816.489
600698.SH,20200106,2.96,3.03,2.94,3.0,2.97,0.029999999999999805,1.0101,85488.39,25659.668
600698.SH,20200103,2.95,2.98,2.94,2.97,2.96,0.010000000000000231,0.3378,53049.43,15699.223
600698.SH,20200102,2.97,2.99,2.94,2.96,2.92,0.040000000000000036,1.3699,69218.4,20487.575
600698.SH,20191231,2.9,2.95,2.88,2.92,2.91,0.009999999999999787,0.3436,57263.9,16707.331
600698.SH,20191230,2.99,2.99,2.91,2.91,3.06,-0.1499999999999999,-4.902,126315.0,36862.213
600698.SH,20191227,3.03,3.07,3.02,3.06,3.05,0.010000000000000231,0.3279,53659.03,16326.462
600698.SH,20191226,3.07,3.08,3.0,3.05,3.11,-0.06000000000000005,-1.9293,97775.02,29771.25
