ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000868.SZ,20200225,5.17,5.27,5.04,5.2,5.31,-0.10999999999999943,-2.0716,244034.52,125443.541
000868.SZ,20200224,5.31,5.36,5.25,5.31,5.32,-0.010000000000000675,-0.188,142375.0,75571.654
000868.SZ,20200221,5.33,5.39,5.24,5.32,5.28,0.040000000000000036,0.7576,151372.02,80073.089
000868.SZ,20200220,5.21,5.32,5.15,5.28,5.19,0.08999999999999986,1.7341,132890.08,69774.819
000868.SZ,20200219,5.26,5.35,5.16,5.19,5.26,-0.0699999999999994,-1.3308,137938.02,72442.313
000868.SZ,20200218,5.17,5.34,5.13,5.26,5.14,0.1200000000000001,2.3346,144447.91,75464.653
000868.SZ,20200217,5.05,5.22,5.01,5.14,5.0,0.13999999999999968,2.8,134550.84,68881.752
000868.SZ,20200214,4.95,5.07,4.91,5.0,4.98,0.019999999999999574,0.4016,94237.0,47023.946
000868.SZ,20200213,5.07,5.1,4.98,4.98,5.1,-0.11999999999999922,-2.3529,142167.24,71322.098
000868.SZ,20200212,5.02,5.16,5.02,5.1,5.09,0.009999999999999787,0.1965,136235.13,69364.724
000868.SZ,20200211,5.08,5.22,5.04,5.09,4.97,0.1200000000000001,2.4145,266018.03,136784.253
000868.SZ,20200210,4.69,4.97,4.62,4.97,4.73,0.23999999999999932,5.074,208735.95,101387.21
000868.SZ,20200207,4.65,4.83,4.53,4.73,4.69,0.040000000000000036,0.8529,197955.91,92913.782
000868.SZ,20200206,4.77,4.78,4.61,4.69,4.85,-0.15999999999999925,-3.299,353632.32,164606.188
000868.SZ,20200205,4.9,5.14,4.75,4.85,5.0,-0.15000000000000036,-3.0,370973.93,183907.647
000868.SZ,20200204,5.0,5.0,5.0,5.0,5.26,-0.2599999999999998,-4.943,32233.0,16116.5
000868.SZ,20200203,5.26,5.26,5.26,5.26,5.54,-0.28000000000000025,-5.0542,1695.0,891.57
000868.SZ,20200123,5.7,5.76,5.54,5.54,5.83,-0.29000000000000004,-4.9743,149518.0,83466.852
000868.SZ,20200122,5.95,5.98,5.74,5.83,5.86,-0.03000000000000025,-0.5119,148607.6,86984.59
000868.SZ,20200121,5.84,6.0,5.84,5.86,6.15,-0.29000000000000004,-4.7154,243854.49,143198.278
000868.SZ,20200120,6.07,6.24,6.0,6.15,6.1,0.05000000000000071,0.8197,144714.99,88926.552
000868.SZ,20200117,5.9,6.18,5.85,6.1,5.92,0.17999999999999972,3.0405,188244.0,113992.94
000868.SZ,20200116,5.8,5.94,5.66,5.92,5.8,0.1200000000000001,2.069,188853.68,109845.147
000868.SZ,20200115,6.07,6.11,5.8,5.8,6.1,-0.2999999999999998,-4.918,240185.0,140985.188
000868.SZ,20200114,6.29,6.42,6.1,6.1,6.21,-0.11000000000000032,-1.7713,225798.53,141014.32
000868.SZ,20200113,5.95,6.22,5.94,6.21,6.0,0.20999999999999996,3.5,216852.73,132242.22
000868.SZ,20200110,6.21,6.24,6.0,6.0,6.32,-0.3200000000000003,-5.0633,297678.91,180594.629
000868.SZ,20200109,6.53,6.59,6.26,6.32,6.46,-0.13999999999999968,-2.1672,260791.63,167735.896
000868.SZ,20200108,6.36,6.59,6.16,6.46,6.29,0.16999999999999993,2.7027,395863.38,253104.792
000868.SZ,20200107,6.09,6.29,6.02,6.29,5.99,0.2999999999999998,5.0083,266420.42,165168.231
000868.SZ,20200106,5.66,5.99,5.61,5.99,5.7,0.29000000000000004,5.0877,275928.34,161818.025
000868.SZ,20200103,5.55,5.8,5.5,5.7,5.58,0.1200000000000001,2.1505,239737.92,135400.9
000868.SZ,20200102,5.35,5.63,5.22,5.58,5.36,0.21999999999999975,4.1045,375166.07,202316.08
000868.SZ,20191231,5.43,5.57,5.31,5.36,5.3,0.0600000000000005,1.1321,445307.87,243673.266
000868.SZ,20191230,5.15,5.3,5.08,5.3,5.05,0.25,4.9505,225348.51,117702.189
000868.SZ,20191227,4.91,5.13,4.85,5.05,4.92,0.1299999999999999,2.6423,232692.45,116082.866
000868.SZ,20191226,5.08,5.16,4.81,4.92,4.91,0.009999999999999787,0.2037,376979.0,189006.02
000868.SZ,20191225,4.84,4.91,4.76,4.91,4.68,0.23000000000000043,4.9145,202180.81,98807.823
000868.SZ,20191224,4.59,4.68,4.52,4.68,4.46,0.21999999999999975,4.9327,152841.39,71206.515
000868.SZ,20191223,4.62,4.62,4.44,4.46,4.56,-0.09999999999999964,-2.193,98553.0,44596.778
000868.SZ,20191220,4.59,4.62,4.55,4.56,4.57,-0.010000000000000675,-0.2188,73437.7,33591.977
000868.SZ,20191219,4.61,4.61,4.54,4.57,4.6,-0.02999999999999936,-0.6522,90958.0,41509.907
000868.SZ,20191218,4.59,4.62,4.55,4.6,4.57,0.02999999999999936,0.6565,111231.7,50980.131
000868.SZ,20191217,4.43,4.65,4.39,4.57,4.43,0.14000000000000057,3.1603,179661.1,81573.323
000868.SZ,20191216,4.44,4.45,4.36,4.43,4.42,0.009999999999999787,0.2262,82163.09,36087.935
000868.SZ,20191213,4.39,4.44,4.39,4.42,4.39,0.03000000000000025,0.6834,79721.34,35142.184
000868.SZ,20191212,4.39,4.42,4.33,4.39,4.4,-0.010000000000000675,-0.2273,78080.0,34130.327
000868.SZ,20191211,4.37,4.45,4.34,4.4,4.36,0.040000000000000036,0.9174,106063.31,46595.806
000868.SZ,20191210,4.52,4.57,4.35,4.36,4.52,-0.15999999999999925,-3.5398,168973.29,75367.018
000868.SZ,20191209,4.55,4.59,4.5,4.52,4.6,-0.08000000000000007,-1.7391,113616.63,51483.461
000868.SZ,20191206,4.55,4.61,4.52,4.6,4.55,0.04999999999999982,1.0989,76131.02,34690.622
000868.SZ,20191205,4.63,4.65,4.54,4.55,4.6,-0.04999999999999982,-1.087,93793.55,42953.16
000868.SZ,20191204,4.6,4.68,4.58,4.6,4.65,-0.05000000000000071,-1.0753,89536.25,41457.331
000868.SZ,20191203,4.55,4.68,4.46,4.65,4.6,0.05000000000000071,1.087,137077.03,62348.469
000868.SZ,20191202,4.72,4.72,4.57,4.6,4.69,-0.09000000000000075,-1.919,121640.74,56293.409
000868.SZ,20191129,4.69,4.81,4.62,4.69,4.62,0.07000000000000028,1.5152,142089.0,66655.35
000868.SZ,20191128,4.7,4.7,4.58,4.62,4.69,-0.07000000000000028,-1.4925,119390.89,55254.533
000868.SZ,20191127,4.5,4.73,4.5,4.69,4.52,0.17000000000000082,3.7611,185417.02,86069.802
000868.SZ,20191126,4.51,4.57,4.45,4.52,4.52,0.0,0.0,98382.5,44334.939
000868.SZ,20191125,4.43,4.58,4.37,4.52,4.41,0.10999999999999943,2.4943,168142.35,75698.385
000868.SZ,20191122,4.3,4.53,4.3,4.41,4.32,0.08999999999999986,2.0833,178516.18,78889.471
000868.SZ,20191121,4.32,4.37,4.27,4.32,4.36,-0.040000000000000036,-0.9174,88691.52,38252.508
000868.SZ,20191120,4.45,4.45,4.35,4.36,4.45,-0.08999999999999986,-2.0225,93176.33,41015.265
000868.SZ,20191119,4.43,4.47,4.38,4.45,4.41,0.040000000000000036,0.907,115188.39,51017.075
000868.SZ,20191118,4.41,4.46,4.35,4.41,4.41,0.0,0.0,117151.1,51540.199
000868.SZ,20191115,4.49,4.56,4.4,4.41,4.47,-0.05999999999999961,-1.3423,170085.11,75852.796
000868.SZ,20191114,4.27,4.47,4.25,4.47,4.26,0.20999999999999996,4.9296,213292.06,94770.939
000868.SZ,20191113,4.33,4.36,4.23,4.26,4.34,-0.08000000000000007,-1.8433,109480.53,46845.139
000868.SZ,20191112,4.47,4.52,4.27,4.34,4.47,-0.1299999999999999,-2.9083,184530.02,80067.869
000868.SZ,20191111,4.46,4.59,4.39,4.47,4.49,-0.020000000000000462,-0.4454,203423.27,91178.825
000868.SZ,20191108,4.67,4.71,4.46,4.49,4.66,-0.16999999999999993,-3.6481,207130.0,94557.351
000868.SZ,20191107,4.63,4.71,4.58,4.66,4.64,0.020000000000000462,0.431,142163.33,66058.109
000868.SZ,20191106,4.68,4.79,4.56,4.64,4.67,-0.03000000000000025,-0.6424,220119.83,102792.759
000868.SZ,20191105,4.58,4.74,4.55,4.67,4.63,0.040000000000000036,0.8639,220563.54,102456.592
000868.SZ,20191104,4.47,4.63,4.44,4.63,4.41,0.21999999999999975,4.9887,350976.25,160893.022
000868.SZ,20191101,4.21,4.41,4.2,4.41,4.2,0.20999999999999996,5.0,208433.61,90746.915
000868.SZ,20191031,4.2,4.38,4.17,4.2,4.36,-0.16000000000000014,-3.6697,197487.0,84082.868
000868.SZ,20191030,4.48,4.56,4.3,4.36,4.48,-0.1200000000000001,-2.6786,240987.09,106494.296
000868.SZ,20191029,4.68,4.81,4.47,4.48,4.7,-0.21999999999999975,-4.6809,336377.14,155035.546
000868.SZ,20191028,4.62,4.86,4.59,4.7,4.74,-0.040000000000000036,-0.8439,273503.29,129122.503
000868.SZ,20191025,4.79,4.87,4.64,4.74,4.64,0.10000000000000053,2.1552,465825.77,221934.402
000868.SZ,20191024,4.36,4.64,4.36,4.64,4.42,0.21999999999999975,4.9774,346099.4,158882.458
000868.SZ,20191023,4.42,4.61,4.39,4.42,4.39,0.03000000000000025,0.6834,408825.16,185152.475
000868.SZ,20191022,4.1,4.39,4.08,4.39,4.18,0.20999999999999996,5.0239,241540.0,102580.815
000868.SZ,20191021,4.41,4.41,4.1,4.18,4.21,-0.03000000000000025,-0.7126,386730.16,166461.337
000868.SZ,20191018,4.21,4.21,4.21,4.21,4.01,0.20000000000000018,4.9875,20716.1,8721.478
000868.SZ,20191017,3.79,4.01,3.78,4.01,3.82,0.18999999999999995,4.9738,234628.14,92976.859
000868.SZ,20191016,3.98,4.01,3.81,3.82,3.97,-0.15000000000000036,-3.7783,220219.14,85966.91
000868.SZ,20191015,3.85,3.97,3.83,3.97,3.78,0.1900000000000004,5.0265,179874.0,70749.387
000868.SZ,20191014,3.77,3.82,3.72,3.78,3.76,0.020000000000000018,0.5319,164626.14,62053.022
000868.SZ,20191011,3.59,3.76,3.55,3.76,3.58,0.17999999999999972,5.0279,239880.05,89182.389
000868.SZ,20191010,3.61,3.62,3.56,3.58,3.65,-0.06999999999999984,-1.9178,99715.93,35731.731
000868.SZ,20191009,3.62,3.67,3.59,3.65,3.67,-0.020000000000000018,-0.545,101228.0,36748.47
000868.SZ,20191008,3.6,3.72,3.58,3.67,3.62,0.04999999999999982,1.3812,124004.0,45428.42
000868.SZ,20190930,3.61,3.68,3.58,3.62,3.57,0.050000000000000266,1.4006,141012.0,51300.509
000868.SZ,20190927,3.59,3.61,3.47,3.57,3.59,-0.020000000000000018,-0.5571,153802.87,54549.469
000868.SZ,20190926,3.8,3.81,3.59,3.59,3.78,-0.18999999999999995,-5.0265,250335.12,91339.084
000868.SZ,20190925,3.81,3.99,3.76,3.78,3.85,-0.07000000000000028,-1.8182,251895.4,97106.318
000868.SZ,20190924,3.89,3.94,3.78,3.85,3.84,0.010000000000000231,0.2604,254650.44,97830.664
000868.SZ,20190923,3.96,4.09,3.84,3.84,3.95,-0.11000000000000032,-2.7848,490423.87,193864.197
000868.SZ,20190920,3.95,3.95,3.76,3.95,3.76,0.1900000000000004,5.0532,426723.99,167158.22
000868.SZ,20190919,3.76,3.76,3.76,3.76,3.58,0.17999999999999972,5.0279,5161.37,1940.675
000868.SZ,20190918,3.58,3.58,3.58,3.58,3.41,0.16999999999999993,4.9853,4756.0,1702.648
000868.SZ,20190917,3.41,3.41,3.41,3.41,3.25,0.16000000000000014,4.9231,34828.0,11876.348
000868.SZ,20190916,3.3,3.41,3.25,3.25,3.3,-0.04999999999999982,-1.5152,234926.87,78148.661
000868.SZ,20190912,3.14,3.3,3.14,3.3,3.14,0.1599999999999997,5.0955,212753.17,69126.265
000868.SZ,20190911,3.1,3.22,3.08,3.14,3.08,0.06000000000000005,1.9481,196243.29,61990.581
000868.SZ,20190910,3.09,3.09,3.04,3.08,3.1,-0.020000000000000018,-0.6452,137687.18,42195.423
000868.SZ,20190909,3.11,3.13,3.07,3.1,3.13,-0.029999999999999805,-0.9585,212765.86,65870.957
000868.SZ,20190906,3.09,3.13,3.02,3.13,2.98,0.1499999999999999,5.0336,378274.62,117368.801
000868.SZ,20190905,2.96,2.99,2.95,2.98,2.95,0.029999999999999805,1.0169,120042.79,35700.014
000868.SZ,20190904,2.93,2.95,2.92,2.95,2.95,0.0,0.0,68888.3,20225.089
000868.SZ,20190903,2.97,2.98,2.92,2.95,2.97,-0.020000000000000018,-0.6734,95284.0,28125.938
000868.SZ,20190902,2.9,2.98,2.89,2.97,2.89,0.08000000000000007,2.7682,127638.04,37692.325
000868.SZ,20190830,2.94,2.96,2.88,2.89,2.92,-0.029999999999999805,-1.0274,105711.2,30913.411
000868.SZ,20190829,2.95,2.95,2.9,2.92,2.94,-0.020000000000000018,-0.6803,96114.0,28113.941
000868.SZ,20190828,2.99,3.02,2.93,2.94,2.95,-0.010000000000000231,-0.339,136307.59,40473.473
000868.SZ,20190827,2.9,2.97,2.89,2.95,2.89,0.06000000000000005,2.0761,117379.69,34523.443
000868.SZ,20190826,2.84,2.93,2.83,2.89,2.91,-0.020000000000000018,-0.6873,73444.71,21147.361
000868.SZ,20190823,2.91,2.93,2.89,2.91,2.93,-0.020000000000000018,-0.6826,77461.0,22506.523
000868.SZ,20190822,2.87,2.98,2.85,2.93,2.86,0.07000000000000028,2.4476,122440.72,35732.31
000868.SZ,20190821,2.86,2.89,2.85,2.86,2.86,0.0,0.0,61241.62,17577.064
000868.SZ,20190820,2.88,2.9,2.86,2.86,2.88,-0.020000000000000018,-0.6944,69313.02,19929.655
000868.SZ,20190819,2.83,2.89,2.83,2.88,2.82,0.06000000000000005,2.1277,81757.86,23380.206
000868.SZ,20190816,2.82,2.85,2.79,2.82,2.82,0.0,0.0,64316.89,18199.018
000868.SZ,20190815,2.75,2.82,2.74,2.82,2.85,-0.03000000000000025,-1.0526,86238.09,23989.081
000868.SZ,20190814,2.94,2.94,2.8,2.85,2.91,-0.06000000000000005,-2.0619,193729.33,55647.13
000868.SZ,20190813,3.01,3.01,2.89,2.91,3.02,-0.10999999999999988,-3.6424,148618.82,43627.446
000868.SZ,20190812,2.99,3.03,2.98,3.02,2.97,0.04999999999999982,1.6835,83109.21,24946.438
000868.SZ,20190809,2.94,3.02,2.93,2.97,2.92,0.050000000000000266,1.7123,97261.51,28836.458
000868.SZ,20190808,2.9,2.93,2.88,2.92,2.89,0.029999999999999805,1.0381,66523.0,19333.162
000868.SZ,20190807,2.88,2.91,2.87,2.89,2.87,0.020000000000000018,0.6969,71733.0,20725.258
000868.SZ,20190806,2.94,2.96,2.85,2.87,3.0,-0.1299999999999999,-4.3333,180982.34,52142.563
000868.SZ,20190805,3.05,3.09,2.98,3.0,3.07,-0.06999999999999984,-2.2801,140052.57,42495.686
000868.SZ,20190802,2.95,3.11,2.94,3.07,3.02,0.04999999999999982,1.6556,229419.07,69969.797
000868.SZ,20190801,2.9,3.07,2.9,3.02,2.92,0.10000000000000009,3.4247,320178.84,96790.95
000868.SZ,20190731,2.93,2.97,2.89,2.92,2.94,-0.020000000000000018,-0.6803,90953.53,26543.737
000868.SZ,20190730,2.83,2.94,2.83,2.94,2.84,0.10000000000000009,3.5211,142164.0,41245.2
000868.SZ,20190729,2.86,2.87,2.83,2.84,2.87,-0.03000000000000025,-1.0453,49079.0,13981.981
000868.SZ,20190726,2.82,2.87,2.8,2.87,2.83,0.040000000000000036,1.4134,65904.96,18706.731
000868.SZ,20190725,2.82,2.86,2.79,2.83,2.81,0.020000000000000018,0.7117,56566.09,15989.569
000868.SZ,20190724,2.79,2.84,2.78,2.81,2.79,0.020000000000000018,0.7168,58757.87,16531.43
000868.SZ,20190723,2.73,2.8,2.73,2.79,2.74,0.04999999999999982,1.8248,55342.0,15306.904
000868.SZ,20190722,2.82,2.83,2.69,2.74,2.82,-0.07999999999999963,-2.8369,77605.15,21335.695
000868.SZ,20190719,2.82,2.86,2.8,2.82,2.79,0.029999999999999805,1.0753,66244.53,18745.565
000868.SZ,20190718,2.83,2.84,2.79,2.79,2.85,-0.06000000000000005,-2.1053,70094.0,19708.917
000868.SZ,20190717,2.88,2.88,2.84,2.85,2.88,-0.029999999999999805,-1.0417,72523.56,20754.852
000868.SZ,20190716,2.85,2.9,2.83,2.88,2.87,0.009999999999999787,0.3484,102055.13,29301.531
000868.SZ,20190715,2.8,2.91,2.78,2.87,2.78,0.0900000000000003,3.2374,165148.21,47172.299
000868.SZ,20190712,2.71,2.84,2.69,2.78,2.7,0.07999999999999963,2.963,121549.0,33540.689
000868.SZ,20190711,2.71,2.73,2.69,2.7,2.69,0.010000000000000231,0.3717,42512.0,11504.692
000868.SZ,20190710,2.71,2.73,2.68,2.69,2.71,-0.020000000000000018,-0.738,61688.0,16707.512
000868.SZ,20190709,2.69,2.73,2.67,2.71,2.68,0.029999999999999805,1.1194,56575.79,15300.539
000868.SZ,20190708,2.79,2.8,2.68,2.68,2.82,-0.13999999999999968,-4.9645,126968.01,34446.772
000868.SZ,20190705,2.84,2.87,2.82,2.82,2.87,-0.050000000000000266,-1.7422,72942.0,20649.034
000868.SZ,20190704,2.82,2.9,2.82,2.87,2.84,0.03000000000000025,1.0563,124619.25,35567.592
000868.SZ,20190703,2.89,2.98,2.84,2.84,2.91,-0.07000000000000028,-2.4055,178610.43,51654.804
000868.SZ,20190702,2.76,2.91,2.75,2.91,2.77,0.14000000000000012,5.0542,247888.35,71675.052
000868.SZ,20190701,2.73,2.77,2.72,2.77,2.71,0.06000000000000005,2.214,88009.5,24142.975
000868.SZ,20190628,2.76,2.77,2.67,2.71,2.76,-0.04999999999999982,-1.8116,68185.53,18522.463
000868.SZ,20190627,2.77,2.79,2.75,2.76,2.78,-0.020000000000000018,-0.7194,72924.17,20191.733
000868.SZ,20190626,2.75,2.79,2.72,2.78,2.75,0.029999999999999805,1.0909,78722.83,21717.552
000868.SZ,20190625,2.74,2.79,2.72,2.75,2.76,-0.009999999999999787,-0.3623,71889.5,19737.226
000868.SZ,20190624,2.74,2.76,2.7,2.76,2.76,0.0,0.0,70592.04,19318.664
000868.SZ,20190621,2.77,2.79,2.73,2.76,2.69,0.06999999999999984,2.6022,136669.12,37661.579
000868.SZ,20190620,2.66,2.7,2.65,2.69,2.67,0.020000000000000018,0.7491,83357.0,22294.966
000868.SZ,20190619,2.71,2.72,2.67,2.67,2.66,0.009999999999999787,0.3759,55747.81,14958.26
000868.SZ,20190618,2.68,2.69,2.63,2.66,2.66,0.0,0.0,48304.3,12865.233
000868.SZ,20190617,2.69,2.7,2.63,2.66,2.69,-0.029999999999999805,-1.1152,50469.4,13455.666
000868.SZ,20190614,2.77,2.77,2.68,2.69,2.77,-0.08000000000000007,-2.8881,77767.08,21186.878
000868.SZ,20190613,2.68,2.79,2.66,2.77,2.68,0.08999999999999986,3.3582,132875.5,36409.585
000868.SZ,20190612,2.71,2.76,2.65,2.68,2.72,-0.040000000000000036,-1.4706,82914.09,22395.166
000868.SZ,20190611,2.61,2.73,2.59,2.72,2.61,0.11000000000000032,4.2146,103659.96,27758.157
000868.SZ,20190610,2.62,2.65,2.59,2.61,2.59,0.020000000000000018,0.7722,64472.21,16882.638
000868.SZ,20190606,2.71,2.71,2.57,2.59,2.71,-0.1200000000000001,-4.428,109138.51,28542.62
000868.SZ,20190605,2.68,2.72,2.66,2.71,2.66,0.04999999999999982,1.8797,84305.67,22670.983
000868.SZ,20190604,2.75,2.75,2.65,2.66,2.73,-0.06999999999999984,-2.5641,81703.0,21975.837
000868.SZ,20190603,2.78,2.81,2.73,2.73,2.76,-0.029999999999999805,-1.087,64926.0,17935.081
000868.SZ,20190531,2.76,2.8,2.75,2.76,2.79,-0.03000000000000025,-1.0753,67330.02,18698.534
000868.SZ,20190530,2.76,2.81,2.75,2.79,2.78,0.010000000000000231,0.3597,91620.75,25464.87
000868.SZ,20190529,2.8,2.87,2.74,2.78,2.88,-0.10000000000000009,-3.4722,177612.59,49622.128
000868.SZ,20190528,2.75,2.92,2.75,2.88,2.78,0.10000000000000009,3.5971,224500.95,64634.89
000868.SZ,20190527,2.7,2.82,2.65,2.78,2.73,0.04999999999999982,1.8315,156996.84,42998.851
000868.SZ,20190524,2.7,2.81,2.62,2.73,2.76,-0.029999999999999805,-1.087,260847.11,69627.364
000868.SZ,20190523,2.86,2.89,2.76,2.76,2.9,-0.14000000000000012,-4.8276,185991.0,52231.703
000868.SZ,20190522,3.06,3.07,2.9,2.9,3.05,-0.1499999999999999,-4.918,262335.37,77150.391
000868.SZ,20190521,3.04,3.11,3.03,3.05,3.08,-0.03000000000000025,-0.974,153420.59,47059.779
000868.SZ,20190520,3.12,3.17,3.08,3.08,3.24,-0.16000000000000014,-4.9383,185896.86,57371.189
000868.SZ,20190517,3.41,3.41,3.24,3.24,3.41,-0.16999999999999993,-4.9853,219391.7,72344.867
000868.SZ,20190516,3.38,3.49,3.36,3.41,3.38,0.03000000000000025,0.8876,169336.97,58137.844
000868.SZ,20190515,3.34,3.4,3.31,3.38,3.31,0.06999999999999984,2.1148,122966.9,41256.899
000868.SZ,20190514,3.31,3.36,3.28,3.31,3.35,-0.040000000000000036,-1.194,117905.0,39198.227
000868.SZ,20190513,3.36,3.38,3.31,3.35,3.43,-0.08000000000000007,-2.3324,172961.32,57668.887
000868.SZ,20190510,3.39,3.46,3.28,3.43,3.37,0.06000000000000005,1.7804,262969.02,89348.302
000868.SZ,20190509,3.38,3.54,3.28,3.37,3.38,-0.009999999999999787,-0.2959,296759.29,101388.847
000868.SZ,20190508,3.42,3.57,3.37,3.38,3.54,-0.16000000000000014,-4.5198,232275.02,80031.691
000868.SZ,20190507,3.54,3.73,3.52,3.54,3.71,-0.16999999999999993,-4.5822,335577.23,119590.754
000868.SZ,20190506,3.72,3.77,3.71,3.71,3.91,-0.20000000000000018,-5.1151,155313.0,57720.952
000868.SZ,20190430,3.94,4.01,3.81,3.91,3.92,-0.009999999999999787,-0.2551,265087.23,103203.352
000868.SZ,20190429,3.89,4.11,3.83,3.92,3.91,0.009999999999999787,0.2558,428379.42,171128.208
000868.SZ,20190426,3.8,3.96,3.75,3.91,3.95,-0.040000000000000036,-1.0127,460805.16,176223.134
000868.SZ,20190425,4.26,4.26,3.95,3.95,4.06,-0.10999999999999943,-2.7094,768141.88,319367.162
000868.SZ,20190424,3.94,4.06,3.92,4.06,3.87,0.1899999999999995,4.9096,238319.41,95967.252
000868.SZ,20190423,4.0,4.08,3.82,3.87,3.97,-0.10000000000000009,-2.5189,522544.58,206714.575
000868.SZ,20190422,3.76,3.97,3.75,3.97,3.78,0.1900000000000004,5.0265,469420.03,184910.526
000868.SZ,20190419,3.64,3.83,3.56,3.78,3.71,0.06999999999999984,1.8868,575841.5,213668.837
