ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600634.SH,20200225,1.38,1.42,1.35,1.39,1.42,-0.030000000000000027,-2.1127,56638.0,7822.761
600634.SH,20200224,1.44,1.45,1.4,1.42,1.46,-0.040000000000000036,-2.7397,55924.0,7933.718
600634.SH,20200221,1.45,1.46,1.43,1.46,1.45,0.010000000000000009,0.6897,47944.5,6929.963
600634.SH,20200220,1.45,1.46,1.42,1.45,1.45,0.0,0.0,64759.0,9320.661
600634.SH,20200219,1.46,1.46,1.42,1.45,1.45,0.0,0.0,51251.0,7396.193
600634.SH,20200218,1.44,1.46,1.42,1.45,1.44,0.010000000000000009,0.6944,47882.0,6911.038
600634.SH,20200217,1.44,1.44,1.41,1.44,1.41,0.030000000000000027,2.1277,26505.41,3785.404
600634.SH,20200214,1.4,1.42,1.38,1.41,1.41,0.0,0.0,33413.0,4685.473
600634.SH,20200213,1.46,1.46,1.4,1.41,1.46,-0.050000000000000044,-3.4247,54484.0,7757.694
600634.SH,20200212,1.44,1.5,1.43,1.46,1.45,0.010000000000000009,0.6897,57533.0,8471.552
600634.SH,20200211,1.49,1.49,1.41,1.45,1.43,0.020000000000000018,1.3986,87931.3,12775.251
600634.SH,20200210,1.37,1.43,1.37,1.43,1.36,0.06999999999999984,5.1471,53532.68,7572.365
600634.SH,20200207,1.34,1.37,1.32,1.36,1.35,0.010000000000000009,0.7407,60823.15,8211.779
600634.SH,20200206,1.33,1.37,1.32,1.35,1.36,-0.010000000000000009,-0.7353,69390.0,9303.784
600634.SH,20200205,1.32,1.39,1.31,1.36,1.32,0.040000000000000036,3.0303,90751.06,12464.807
600634.SH,20200204,1.32,1.39,1.32,1.32,1.39,-0.06999999999999984,-5.036,96179.0,12871.182
600634.SH,20200203,1.39,1.39,1.39,1.39,1.46,-0.07000000000000006,-4.7945,7977.0,1108.803
600634.SH,20200123,1.38,1.47,1.37,1.46,1.44,0.020000000000000018,1.3889,115297.01,16318.762
600634.SH,20200122,1.42,1.46,1.38,1.44,1.43,0.010000000000000009,0.6993,58269.41,8224.371
600634.SH,20200121,1.41,1.45,1.39,1.43,1.45,-0.020000000000000018,-1.3793,61131.82,8703.026
600634.SH,20200120,1.51,1.53,1.44,1.45,1.51,-0.06000000000000005,-3.9735,82495.4,12163.163
600634.SH,20200117,1.52,1.53,1.45,1.51,1.53,-0.020000000000000018,-1.3072,83291.32,12440.589
600634.SH,20200116,1.61,1.61,1.53,1.53,1.61,-0.08000000000000007,-4.9689,120331.82,18579.057
600634.SH,20200115,1.64,1.66,1.59,1.61,1.64,-0.029999999999999805,-1.8293,68597.41,11060.686
600634.SH,20200114,1.63,1.71,1.62,1.64,1.65,-0.010000000000000009,-0.6061,66965.84,11161.892
600634.SH,20200113,1.71,1.71,1.64,1.65,1.71,-0.06000000000000005,-3.5088,59243.0,9824.042
600634.SH,20200110,1.76,1.77,1.67,1.71,1.76,-0.050000000000000044,-2.8409,115934.01,19725.163
600634.SH,20200109,1.71,1.79,1.65,1.76,1.7,0.06000000000000005,3.5294,99162.87,17326.348
