ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600652.SH,20200225,2.4,2.41,2.32,2.36,2.44,-0.08000000000000007,-3.2787,139177.45,32779.35
600652.SH,20200224,2.44,2.45,2.41,2.44,2.46,-0.020000000000000018,-0.813,76692.65,18622.652
600652.SH,20200221,2.42,2.48,2.41,2.46,2.44,0.020000000000000018,0.8197,106577.71,25977.575
600652.SH,20200220,2.38,2.46,2.38,2.44,2.4,0.040000000000000036,1.6667,90758.14,22019.863
600652.SH,20200219,2.45,2.45,2.38,2.4,2.43,-0.03000000000000025,-1.2346,113641.28,27491.707
600652.SH,20200218,2.3,2.43,2.3,2.43,2.31,0.1200000000000001,5.1948,161262.88,38343.303
600652.SH,20200217,2.3,2.32,2.27,2.31,2.25,0.06000000000000005,2.6667,85661.72,19637.055
600652.SH,20200214,2.26,2.28,2.22,2.25,2.26,-0.009999999999999787,-0.4425,70784.01,15905.155
600652.SH,20200213,2.35,2.37,2.25,2.26,2.37,-0.11000000000000032,-4.6414,166748.63,38252.922
600652.SH,20200212,2.33,2.39,2.32,2.37,2.34,0.03000000000000025,1.2821,106555.44,25156.06
600652.SH,20200211,2.4,2.42,2.32,2.34,2.4,-0.06000000000000005,-2.5,99281.71,23446.307
600652.SH,20200210,2.29,2.41,2.28,2.4,2.32,0.08000000000000007,3.4483,136301.73,32201.133
600652.SH,20200207,2.3,2.32,2.27,2.32,2.31,0.009999999999999787,0.4329,99540.0,22821.058
600652.SH,20200206,2.29,2.33,2.23,2.31,2.3,0.010000000000000231,0.4348,147973.32,33682.704
600652.SH,20200205,2.27,2.36,2.27,2.3,2.3,0.0,0.0,130682.95,30258.876
600652.SH,20200204,2.3,2.36,2.3,2.3,2.42,-0.1200000000000001,-4.9587,140122.0,32276.39
600652.SH,20200203,2.42,2.42,2.42,2.42,2.55,-0.1299999999999999,-5.098,3972.0,961.224
600652.SH,20200123,2.5,2.66,2.47,2.55,2.53,0.020000000000000018,0.7905,130575.36,33456.501
600652.SH,20200122,2.5,2.53,2.45,2.53,2.51,0.020000000000000018,0.7968,62782.66,15628.368
600652.SH,20200121,2.55,2.58,2.48,2.51,2.6,-0.0900000000000003,-3.4615,105215.27,26594.437
600652.SH,20200120,2.7,2.73,2.56,2.6,2.65,-0.04999999999999982,-1.8868,177702.21,46897.507
600652.SH,20200117,2.53,2.65,2.51,2.65,2.52,0.1299999999999999,5.1587,71225.1,18459.661
600652.SH,20200116,2.57,2.62,2.49,2.52,2.58,-0.06000000000000005,-2.3256,96802.05,24669.442
600652.SH,20200115,2.63,2.63,2.55,2.58,2.63,-0.04999999999999982,-1.9011,95374.93,24678.379
600652.SH,20200114,2.65,2.7,2.61,2.63,2.66,-0.03000000000000025,-1.1278,95630.1,25236.189
600652.SH,20200113,2.57,2.72,2.57,2.66,2.6,0.06000000000000005,2.3077,128973.08,34341.282
600652.SH,20200110,2.69,2.73,2.58,2.6,2.71,-0.10999999999999988,-4.059,161111.71,42377.724
600652.SH,20200109,2.77,2.87,2.69,2.71,2.76,-0.04999999999999982,-1.8116,222721.78,61709.222
600652.SH,20200108,2.81,2.96,2.68,2.76,2.82,-0.06000000000000005,-2.1277,425053.22,121459.652
600652.SH,20200107,2.82,2.82,2.82,2.82,2.69,0.1299999999999999,4.8327,7507.27,2117.05
600652.SH,20200106,2.69,2.69,2.69,2.69,2.56,0.1299999999999999,5.0781,5204.75,1400.078
600652.SH,20200103,2.5,2.56,2.47,2.56,2.44,0.1200000000000001,4.918,61438.45,15591.35
600652.SH,20200102,2.38,2.44,2.35,2.44,2.32,0.1200000000000001,5.1724,105559.1,25476.592
600652.SH,20191231,2.2,2.34,2.2,2.32,2.24,0.07999999999999963,3.5714,132994.85,30401.975
600652.SH,20191230,2.38,2.38,2.23,2.24,2.27,-0.029999999999999805,-1.3216,248950.13,58013.672
600652.SH,20191227,2.27,2.27,2.24,2.27,2.16,0.10999999999999988,5.0926,78259.22,17747.024
600652.SH,20191226,2.13,2.19,2.11,2.16,2.22,-0.06000000000000005,-2.7027,191318.79,40774.189
600652.SH,20191225,2.3,2.34,2.19,2.22,2.28,-0.05999999999999961,-2.6316,147344.87,33133.664
600652.SH,20191224,2.2,2.28,2.18,2.28,2.17,0.10999999999999988,5.0691,120264.79,27145.448
600652.SH,20191223,2.23,2.32,2.15,2.17,2.26,-0.08999999999999986,-3.9823,151738.96,34143.411
600652.SH,20191220,2.21,2.28,2.15,2.26,2.18,0.07999999999999963,3.6697,147237.35,32689.784
600652.SH,20191219,2.1,2.21,2.09,2.18,2.11,0.07000000000000028,3.3175,110545.85,23893.09
600652.SH,20191218,2.08,2.12,2.07,2.11,2.1,0.009999999999999787,0.4762,82500.72,17295.514
600652.SH,20191217,2.17,2.18,2.07,2.1,2.12,-0.020000000000000018,-0.9434,156366.49,32970.24
600652.SH,20191216,2.04,2.12,2.01,2.12,2.02,0.10000000000000009,4.9505,200612.07,42043.413
600652.SH,20191213,2.02,2.02,2.02,2.02,1.92,0.10000000000000009,5.2083,18945.32,3826.955
600652.SH,20191212,1.91,1.94,1.89,1.92,1.91,0.010000000000000009,0.5236,47327.98,9090.526
600652.SH,20191211,1.93,1.94,1.88,1.91,1.94,-0.030000000000000027,-1.5464,46393.17,8869.193
600652.SH,20191210,1.91,1.95,1.9,1.94,1.92,0.020000000000000018,1.0417,49495.46,9558.113
600652.SH,20191209,1.92,1.94,1.9,1.92,1.94,-0.020000000000000018,-1.0309,46290.1,8881.837
600652.SH,20191206,1.89,1.94,1.88,1.94,1.89,0.050000000000000044,2.6455,63132.98,12059.554
600652.SH,20191205,1.9,1.92,1.87,1.89,1.91,-0.020000000000000018,-1.0471,52896.11,10007.262
600652.SH,20191204,1.88,1.92,1.87,1.91,1.89,0.020000000000000018,1.0582,59417.19,11297.372
600652.SH,20191203,1.84,1.91,1.83,1.89,1.86,0.029999999999999805,1.6129,62733.11,11733.958
600652.SH,20191202,1.86,1.88,1.84,1.86,1.87,-0.010000000000000009,-0.5348,32252.0,5999.058
600652.SH,20191129,1.85,1.89,1.82,1.87,1.85,0.020000000000000018,1.0811,48859.62,9037.531
600652.SH,20191128,1.86,1.89,1.82,1.85,1.87,-0.020000000000000018,-1.0695,57070.01,10555.039
600652.SH,20191127,1.87,1.89,1.85,1.87,1.88,-0.009999999999999787,-0.5319,42617.89,7955.378
600652.SH,20191126,1.84,1.91,1.84,1.88,1.84,0.039999999999999813,2.1739,61943.89,11587.616
600652.SH,20191125,1.83,1.85,1.8,1.84,1.83,0.010000000000000009,0.5464,57330.14,10489.161
600652.SH,20191122,1.85,1.88,1.79,1.83,1.86,-0.030000000000000027,-1.6129,76718.1,14087.657
600652.SH,20191121,1.78,1.89,1.75,1.86,1.8,0.06000000000000005,3.3333,110603.39,20224.67
600652.SH,20191120,1.77,1.83,1.76,1.8,1.78,0.020000000000000018,1.1236,76373.94,13739.892
600652.SH,20191119,1.72,1.79,1.7,1.78,1.72,0.06000000000000005,3.4884,71804.41,12665.926
600652.SH,20191118,1.74,1.74,1.68,1.72,1.74,-0.020000000000000018,-1.1494,69024.97,11779.697
600652.SH,20191115,1.75,1.76,1.73,1.74,1.75,-0.010000000000000009,-0.5714,33269.02,5792.309
600652.SH,20191114,1.73,1.76,1.72,1.75,1.74,0.010000000000000009,0.5747,47957.01,8347.159
600652.SH,20191113,1.74,1.78,1.71,1.74,1.75,-0.010000000000000009,-0.5714,47989.95,8374.831
600652.SH,20191112,1.79,1.81,1.72,1.75,1.81,-0.06000000000000005,-3.3149,97546.84,16995.423
600652.SH,20191111,1.89,1.9,1.81,1.81,1.91,-0.09999999999999987,-5.2356,107976.48,19836.253
600652.SH,20191108,1.85,1.93,1.85,1.91,1.93,-0.020000000000000018,-1.0363,85359.41,16077.059
600652.SH,20191107,1.92,1.93,1.91,1.93,1.93,0.0,0.0,37261.18,7153.662
600652.SH,20191106,1.93,1.94,1.91,1.93,1.94,-0.010000000000000009,-0.5155,34286.48,6605.847
600652.SH,20191105,1.95,1.96,1.91,1.94,1.93,0.010000000000000009,0.5181,52001.59,10072.967
600652.SH,20191104,1.9,1.96,1.9,1.93,1.92,0.010000000000000009,0.5208,47729.46,9235.444
600652.SH,20191101,1.89,1.95,1.89,1.92,1.99,-0.07000000000000006,-3.5176,138692.69,26518.72
600652.SH,20191031,1.99,1.99,1.99,1.99,2.09,-0.09999999999999987,-4.7847,43742.0,8704.658
600652.SH,20191030,2.1,2.12,2.07,2.09,2.12,-0.03000000000000025,-1.4151,53530.0,11242.037
600652.SH,20191029,2.21,2.21,2.12,2.12,2.23,-0.10999999999999988,-4.9327,126091.3,27280.428
600652.SH,20191028,2.26,2.26,2.18,2.23,2.15,0.08000000000000007,3.7209,191462.19,42627.575
600652.SH,20191025,2.12,2.16,2.1,2.15,2.14,0.009999999999999787,0.4673,33925.33,7238.778
600652.SH,20191024,2.13,2.15,2.11,2.14,2.14,0.0,0.0,30435.07,6482.019
600652.SH,20191023,2.13,2.14,2.11,2.14,2.13,0.010000000000000231,0.4695,47048.66,10013.411
600652.SH,20191022,2.2,2.2,2.09,2.13,2.19,-0.06000000000000005,-2.7397,81990.32,17492.627
600652.SH,20191021,2.2,2.22,2.16,2.19,2.2,-0.010000000000000231,-0.4545,63064.83,13775.833
600652.SH,20191018,2.17,2.23,2.16,2.2,2.19,0.010000000000000231,0.4566,77839.92,17037.117
600652.SH,20191017,2.13,2.24,2.11,2.19,2.13,0.06000000000000005,2.8169,122582.45,26705.187
600652.SH,20191016,2.1,2.14,2.1,2.13,2.1,0.029999999999999805,1.4286,77087.79,16377.485
600652.SH,20191015,2.1,2.11,2.08,2.1,2.11,-0.009999999999999787,-0.4739,44711.31,9377.161
600652.SH,20191014,2.09,2.13,2.08,2.11,2.09,0.020000000000000018,0.9569,57742.23,12143.457
600652.SH,20191011,2.09,2.1,2.07,2.09,2.13,-0.040000000000000036,-1.8779,62709.22,13091.696
600652.SH,20191010,2.06,2.16,2.05,2.13,2.07,0.06000000000000005,2.8986,76432.82,16203.173
