ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600721.SH,20200225,6.13,6.48,6.08,6.45,6.22,0.23000000000000043,3.6977,67584.45,42504.73
600721.SH,20200224,6.24,6.27,6.1,6.22,6.23,-0.010000000000000675,-0.1605,60196.06,37249.182
600721.SH,20200221,6.48,6.57,6.18,6.23,6.49,-0.2599999999999998,-4.0062,105250.72,67193.697
600721.SH,20200220,6.41,6.53,6.34,6.49,6.4,0.08999999999999986,1.4062,65805.86,42241.903
600721.SH,20200219,6.6,6.65,6.4,6.4,6.74,-0.33999999999999986,-5.0445,138725.23,89993.353
600721.SH,20200218,6.74,6.74,6.74,6.74,7.09,-0.34999999999999964,-4.9365,16621.0,11202.554
600721.SH,20200217,7.0,7.18,6.98,7.09,7.01,0.08000000000000007,1.1412,46266.99,32778.828
600721.SH,20200214,7.0,7.14,6.8,7.01,7.05,-0.040000000000000036,-0.5674,38808.62,27177.965
600721.SH,20200213,7.05,7.2,6.88,7.05,7.03,0.019999999999999574,0.2845,64497.0,45391.942
600721.SH,20200212,6.93,7.23,6.93,7.03,6.98,0.04999999999999982,0.7163,67387.22,47996.593
600721.SH,20200211,6.97,7.09,6.68,6.98,6.9,0.08000000000000007,1.1594,77681.32,53433.483
600721.SH,20200210,6.53,6.9,6.52,6.9,6.57,0.33000000000000007,5.0228,54511.28,36966.178
600721.SH,20200207,6.41,6.59,6.36,6.57,6.41,0.16000000000000014,2.4961,40917.14,26558.399
600721.SH,20200206,6.15,6.48,6.12,6.41,6.18,0.23000000000000043,3.7217,52265.0,33272.299
600721.SH,20200205,5.98,6.18,5.98,6.18,5.89,0.29000000000000004,4.9236,53281.23,32637.919
600721.SH,20200204,5.89,5.99,5.89,5.89,6.2,-0.3100000000000005,-5.0,76103.0,44962.823
600721.SH,20200203,6.2,6.2,6.2,6.2,6.53,-0.33000000000000007,-5.0536,2584.0,1602.08
600721.SH,20200123,6.55,6.76,6.5,6.53,6.47,0.0600000000000005,0.9274,75502.22,50019.203
600721.SH,20200122,6.46,6.55,6.3,6.47,6.49,-0.020000000000000462,-0.3082,34664.0,22243.226
600721.SH,20200121,6.45,6.65,6.45,6.49,6.51,-0.019999999999999574,-0.3072,46224.05,30374.851
600721.SH,20200120,6.39,6.56,6.32,6.51,6.48,0.02999999999999936,0.463,57444.54,37198.222
600721.SH,20200117,6.7,6.74,6.48,6.48,6.82,-0.33999999999999986,-4.9853,106328.1,69476.377
600721.SH,20200116,7.12,7.18,6.78,6.82,7.14,-0.3199999999999994,-4.4818,62906.05,43671.066
600721.SH,20200115,7.18,7.24,7.11,7.14,7.18,-0.040000000000000036,-0.5571,23380.0,16752.679
600721.SH,20200114,7.05,7.23,7.03,7.18,7.03,0.14999999999999947,2.1337,38291.23,27329.407
600721.SH,20200113,6.93,7.08,6.9,7.03,6.93,0.10000000000000053,1.443,35361.95,24611.91
600721.SH,20200110,6.87,6.94,6.83,6.93,6.88,0.04999999999999982,0.7267,32043.02,22103.325
600721.SH,20200109,7.05,7.05,6.76,6.88,7.01,-0.1299999999999999,-1.8545,75258.0,51702.962
600721.SH,20200108,7.0,7.16,6.98,7.01,7.01,0.0,0.0,45710.54,32260.336
600721.SH,20200107,6.86,7.09,6.86,7.01,6.85,0.16000000000000014,2.3358,36692.45,25600.692
600721.SH,20200106,6.9,7.02,6.84,6.85,6.92,-0.07000000000000028,-1.0116,55302.5,38288.002
600721.SH,20200103,6.63,6.95,6.6,6.92,6.62,0.2999999999999998,4.5317,71060.5,48392.608
600721.SH,20200102,6.56,6.65,6.52,6.62,6.4,0.21999999999999975,3.4375,46254.31,30437.81
600721.SH,20191231,6.28,6.48,6.24,6.4,6.29,0.11000000000000032,1.7488,42153.94,26884.352
600721.SH,20191230,6.42,6.51,6.2,6.29,6.2,0.08999999999999986,1.4516,55807.0,35392.214
600721.SH,20191227,6.29,6.32,6.12,6.2,6.29,-0.08999999999999986,-1.4308,30641.0,19058.432
600721.SH,20191226,6.26,6.35,6.22,6.29,6.26,0.03000000000000025,0.4792,30185.64,18999.464
600721.SH,20191225,6.23,6.3,6.12,6.26,6.21,0.04999999999999982,0.8052,34472.54,21460.907
600721.SH,20191224,6.06,6.24,6.06,6.21,6.07,0.13999999999999968,2.3064,23514.45,14464.919
600721.SH,20191223,6.12,6.17,6.06,6.07,6.16,-0.08999999999999986,-1.461,15498.31,9471.56
600721.SH,20191220,6.14,6.24,6.09,6.16,6.14,0.020000000000000462,0.3257,25203.61,15540.484
600721.SH,20191219,5.98,6.22,5.96,6.14,5.96,0.17999999999999972,3.0201,37373.54,22792.989
600721.SH,20191218,6.01,6.01,5.94,5.96,5.98,-0.020000000000000462,-0.3344,13355.02,7980.484
600721.SH,20191217,5.89,6.05,5.88,5.98,5.9,0.08000000000000007,1.3559,29249.55,17529.587
600721.SH,20191216,5.88,5.94,5.88,5.9,5.88,0.020000000000000462,0.3401,11937.0,7056.661
600721.SH,20191213,5.85,5.9,5.81,5.88,5.85,0.03000000000000025,0.5128,20970.5,12281.484
600721.SH,20191212,5.9,5.9,5.8,5.85,5.87,-0.020000000000000462,-0.3407,20971.01,12284.321
600721.SH,20191211,5.92,5.93,5.76,5.87,5.91,-0.040000000000000036,-0.6768,17240.0,10079.938
600721.SH,20191210,5.84,6.08,5.84,5.91,5.87,0.040000000000000036,0.6814,23458.0,13984.548
600721.SH,20191209,5.89,5.94,5.85,5.87,5.92,-0.04999999999999982,-0.8446,6050.31,3552.462
600721.SH,20191206,5.9,5.93,5.86,5.92,5.89,0.03000000000000025,0.5093,5451.01,3212.428
600721.SH,20191205,5.92,5.92,5.87,5.89,5.89,0.0,0.0,5221.31,3076.171
600721.SH,20191204,5.91,5.95,5.84,5.89,5.97,-0.08000000000000007,-1.34,9619.82,5665.311
600721.SH,20191203,5.97,5.99,5.82,5.97,5.98,-0.010000000000000675,-0.1672,10654.0,6324.667
600721.SH,20191202,5.91,6.02,5.89,5.98,5.92,0.0600000000000005,1.0135,12955.25,7733.989
600721.SH,20191129,5.91,5.96,5.87,5.92,5.9,0.019999999999999574,0.339,14114.12,8369.468
600721.SH,20191128,5.87,6.03,5.86,5.9,5.88,0.020000000000000462,0.3401,29681.0,17696.565
600721.SH,20191127,5.82,5.94,5.8,5.88,5.88,0.0,0.0,12448.47,7321.709
600721.SH,20191126,5.74,5.92,5.71,5.88,5.74,0.13999999999999968,2.439,22750.04,13268.301
600721.SH,20191125,5.62,5.75,5.6,5.74,5.62,0.1200000000000001,2.1352,14691.0,8344.692
600721.SH,20191122,5.6,5.63,5.56,5.62,5.6,0.020000000000000462,0.3571,6303.0,3527.104
600721.SH,20191121,5.48,5.62,5.42,5.6,5.52,0.08000000000000007,1.4493,10948.5,6077.303
600721.SH,20191120,5.5,5.55,5.49,5.52,5.52,0.0,0.0,6678.0,3685.268
600721.SH,20191119,5.5,5.55,5.27,5.52,5.55,-0.03000000000000025,-0.5405,5893.0,3228.242
600721.SH,20191118,5.54,5.56,5.51,5.55,5.55,0.0,0.0,4553.5,2518.82
600721.SH,20191115,5.53,5.58,5.5,5.55,5.57,-0.020000000000000462,-0.3591,9521.0,5273.278
600721.SH,20191114,5.52,5.59,5.45,5.57,5.54,0.03000000000000025,0.5415,13205.24,7306.871
600721.SH,20191113,5.48,5.54,5.43,5.54,5.51,0.03000000000000025,0.5445,9672.24,5319.061
600721.SH,20191112,5.55,5.55,5.43,5.51,5.56,-0.04999999999999982,-0.8993,10926.0,5995.311
600721.SH,20191111,5.74,5.76,5.53,5.56,5.77,-0.20999999999999996,-3.6395,12335.0,6898.519
600721.SH,20191108,5.76,5.8,5.72,5.77,5.78,-0.010000000000000675,-0.173,10556.24,6059.06
600721.SH,20191107,5.68,5.88,5.66,5.78,5.7,0.08000000000000007,1.4035,17794.0,10242.128
600721.SH,20191106,5.6,5.77,5.59,5.7,5.62,0.08000000000000007,1.4235,16171.01,9200.603
600721.SH,20191105,5.71,5.71,5.58,5.62,5.71,-0.08999999999999986,-1.5762,8336.0,4686.585
600721.SH,20191104,5.58,5.74,5.58,5.71,5.58,0.1299999999999999,2.3297,13222.84,7496.945
600721.SH,20191101,5.52,5.58,5.48,5.58,5.54,0.040000000000000036,0.722,10723.84,5936.013
600721.SH,20191031,5.69,5.76,5.51,5.54,5.7,-0.16000000000000014,-2.807,15284.46,8632.319
600721.SH,20191030,5.67,5.76,5.65,5.7,5.68,0.020000000000000462,0.3521,12560.0,7155.269
600721.SH,20191029,5.7,5.73,5.64,5.68,5.68,0.0,0.0,10040.41,5701.755
600721.SH,20191028,5.66,5.7,5.56,5.68,5.69,-0.010000000000000675,-0.1757,15381.0,8691.135
600721.SH,20191025,5.63,5.84,5.58,5.69,5.87,-0.17999999999999972,-3.0664,26308.36,14808.772
600721.SH,20191024,5.89,5.93,5.84,5.87,5.91,-0.040000000000000036,-0.6768,7523.0,4420.843
600721.SH,20191023,5.86,5.91,5.85,5.91,5.92,-0.009999999999999787,-0.1689,9183.0,5407.37
600721.SH,20191022,5.95,5.97,5.88,5.92,5.95,-0.03000000000000025,-0.5042,10652.0,6297.506
600721.SH,20191021,5.96,6.04,5.88,5.95,5.93,0.020000000000000462,0.3373,18782.0,11175.348
600721.SH,20191018,5.89,5.97,5.82,5.93,5.85,0.08000000000000007,1.3675,24382.56,14416.364
600721.SH,20191017,5.89,5.92,5.75,5.85,5.89,-0.040000000000000036,-0.6791,16617.0,9668.164
600721.SH,20191016,5.94,5.95,5.85,5.89,5.87,0.019999999999999574,0.3407,15014.89,8858.541
600721.SH,20191015,5.8,5.96,5.77,5.87,5.8,0.07000000000000028,1.2069,15762.59,9245.362
600721.SH,20191014,5.78,5.83,5.72,5.8,5.73,0.0699999999999994,1.2216,11214.59,6455.541
600721.SH,20191011,5.65,5.8,5.62,5.73,5.64,0.09000000000000075,1.5957,16271.59,9294.248
