ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000670.SZ,20200225,1.91,1.99,1.91,1.97,1.97,0.0,0.0,175108.49,34216.473
000670.SZ,20200224,1.92,2.0,1.91,1.97,1.92,0.050000000000000044,2.6042,147895.0,29124.74
000670.SZ,20200221,1.96,1.97,1.88,1.92,1.98,-0.06000000000000005,-3.0303,185172.18,35588.392
000670.SZ,20200220,1.95,2.01,1.94,1.98,2.0,-0.020000000000000018,-1.0,168334.0,33204.815
000670.SZ,20200219,1.91,2.03,1.88,2.0,1.93,0.07000000000000006,3.6269,229866.39,45184.77
000670.SZ,20200218,1.93,1.95,1.91,1.93,1.95,-0.020000000000000018,-1.0256,128884.21,24834.214
000670.SZ,20200217,1.95,1.96,1.85,1.95,1.93,0.020000000000000018,1.0363,157955.5,30264.977
000670.SZ,20200214,2.0,2.06,1.93,1.93,2.03,-0.09999999999999987,-4.9261,210485.0,41317.042
000670.SZ,20200213,1.95,2.04,1.94,2.03,1.98,0.04999999999999982,2.5253,193188.69,38342.263
000670.SZ,20200212,2.11,2.11,1.91,1.98,2.01,-0.029999999999999805,-1.4925,283165.01,56011.201
000670.SZ,20200211,2.01,2.01,2.01,2.01,1.91,0.09999999999999987,5.2356,19747.0,3969.147
000670.SZ,20200210,1.85,1.91,1.85,1.91,1.82,0.08999999999999986,4.9451,114393.0,21770.505
000670.SZ,20200207,1.74,1.82,1.71,1.82,1.73,0.09000000000000008,5.2023,175406.9,31537.111
000670.SZ,20200206,1.65,1.73,1.63,1.73,1.65,0.08000000000000007,4.8485,195651.7,33355.531
000670.SZ,20200205,1.64,1.68,1.63,1.65,1.63,0.020000000000000018,1.227,124309.0,20601.777
000670.SZ,20200204,1.63,1.7,1.63,1.63,1.72,-0.09000000000000008,-5.2326,218630.84,35823.219
000670.SZ,20200203,1.72,1.72,1.72,1.72,1.81,-0.09000000000000008,-4.9724,16398.0,2820.456
000670.SZ,20200123,1.89,1.89,1.8,1.81,1.88,-0.06999999999999984,-3.7234,189860.73,34660.417
000670.SZ,20200122,1.85,1.92,1.83,1.88,1.87,0.009999999999999787,0.5348,159137.56,30065.475
