ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000010.SZ,20200225,3.59,3.59,3.46,3.52,3.62,-0.10000000000000009,-2.7624,43762.11,15355.669
000010.SZ,20200224,3.66,3.66,3.6,3.62,3.66,-0.040000000000000036,-1.0929,21765.04,7900.793
000010.SZ,20200221,3.67,3.7,3.62,3.66,3.68,-0.020000000000000018,-0.5435,22609.05,8267.302
000010.SZ,20200220,3.6,3.69,3.58,3.68,3.58,0.10000000000000009,2.7933,39688.01,14411.603
000010.SZ,20200219,3.62,3.62,3.56,3.58,3.64,-0.06000000000000005,-1.6484,36922.0,13253.085
000010.SZ,20200218,3.48,3.64,3.48,3.64,3.47,0.16999999999999993,4.8991,73585.61,26623.193
000010.SZ,20200217,3.38,3.48,3.37,3.47,3.4,0.07000000000000028,2.0588,49572.78,16949.937
000010.SZ,20200214,3.37,3.4,3.37,3.4,3.4,0.0,0.0,14997.0,5077.246
000010.SZ,20200213,3.42,3.43,3.37,3.4,3.43,-0.03000000000000025,-0.8746,18032.0,6126.846
000010.SZ,20200212,3.41,3.44,3.38,3.43,3.43,0.0,0.0,26575.76,9056.428
000010.SZ,20200211,3.44,3.48,3.41,3.43,3.43,0.0,0.0,23927.04,8236.707
000010.SZ,20200210,3.4,3.45,3.38,3.43,3.41,0.020000000000000018,0.5865,24029.6,8207.553
000010.SZ,20200207,3.39,3.41,3.36,3.41,3.39,0.020000000000000018,0.59,20900.08,7057.146
000010.SZ,20200206,3.37,3.42,3.33,3.39,3.39,0.0,0.0,35483.98,11970.919
000010.SZ,20200205,3.4,3.44,3.31,3.39,3.36,0.03000000000000025,0.8929,35819.0,12145.558
000010.SZ,20200204,3.34,3.48,3.34,3.36,3.52,-0.16000000000000014,-4.5455,59424.0,20006.367
000010.SZ,20200203,3.52,3.56,3.52,3.52,3.71,-0.18999999999999995,-5.1213,16011.0,5638.112
000010.SZ,20200123,3.63,3.77,3.5,3.71,3.62,0.08999999999999986,2.4862,37602.14,13461.753
000010.SZ,20200122,3.63,3.66,3.6,3.62,3.66,-0.040000000000000036,-1.0929,20345.0,7379.333
000010.SZ,20200121,3.72,3.74,3.64,3.66,3.68,-0.020000000000000018,-0.5435,24128.02,8873.271
000010.SZ,20200120,3.63,3.74,3.6,3.68,3.66,0.020000000000000018,0.5464,23799.6,8765.61
000010.SZ,20200117,3.72,3.78,3.64,3.66,3.72,-0.06000000000000005,-1.6129,32039.3,11841.49
000010.SZ,20200116,3.62,3.8,3.61,3.72,3.64,0.08000000000000007,2.1978,42807.17,15777.912
000010.SZ,20200115,3.57,3.69,3.57,3.64,3.59,0.050000000000000266,1.3928,27538.01,9999.552
000010.SZ,20200114,3.67,3.68,3.57,3.59,3.68,-0.0900000000000003,-2.4457,46413.0,16770.858
000010.SZ,20200113,3.96,3.97,3.68,3.68,3.87,-0.18999999999999995,-4.9096,110112.0,41040.652
000010.SZ,20200110,3.73,3.87,3.72,3.87,3.69,0.18000000000000016,4.878,132441.47,51046.487
000010.SZ,20200109,3.51,3.69,3.51,3.69,3.51,0.18000000000000016,5.1282,73371.0,26925.637
000010.SZ,20200108,3.51,3.56,3.48,3.51,3.54,-0.03000000000000025,-0.8475,32010.0,11212.938
000010.SZ,20200107,3.43,3.6,3.42,3.54,3.43,0.10999999999999988,3.207,74943.68,26641.535
000010.SZ,20200106,3.4,3.45,3.39,3.43,3.41,0.020000000000000018,0.5865,24223.0,8295.034
000010.SZ,20200103,3.41,3.42,3.39,3.41,3.41,0.0,0.0,19815.0,6739.342
000010.SZ,20200102,3.4,3.42,3.37,3.41,3.4,0.010000000000000231,0.2941,39037.83,13282.211
000010.SZ,20191231,3.38,3.42,3.33,3.4,3.39,0.009999999999999787,0.295,12525.0,4242.002
000010.SZ,20191230,3.43,3.43,3.36,3.39,3.43,-0.040000000000000036,-1.1662,22707.01,7680.327
000010.SZ,20191227,3.39,3.46,3.39,3.43,3.41,0.020000000000000018,0.5865,23174.0,7941.756
000010.SZ,20191226,3.41,3.5,3.38,3.41,3.41,0.0,0.0,19752.0,6756.772
000010.SZ,20191225,3.42,3.43,3.38,3.41,3.41,0.0,0.0,22686.51,7735.524
000010.SZ,20191224,3.33,3.41,3.33,3.41,3.33,0.08000000000000007,2.4024,28454.0,9642.204
000010.SZ,20191223,3.41,3.41,3.33,3.33,3.41,-0.08000000000000007,-2.346,18253.0,6147.065
000010.SZ,20191220,3.43,3.48,3.39,3.41,3.44,-0.029999999999999805,-0.8721,22251.0,7623.597
000010.SZ,20191219,3.37,3.44,3.37,3.44,3.4,0.040000000000000036,1.1765,15135.04,5164.273
000010.SZ,20191218,3.42,3.45,3.38,3.4,3.43,-0.03000000000000025,-0.8746,12753.04,4349.495
000010.SZ,20191217,3.36,3.45,3.34,3.43,3.37,0.06000000000000005,1.7804,19599.5,6690.129
000010.SZ,20191216,3.37,3.37,3.3,3.37,3.36,0.010000000000000231,0.2976,11979.0,3998.447
000010.SZ,20191213,3.3,3.38,3.3,3.36,3.3,0.06000000000000005,1.8182,10583.0,3543.052
000010.SZ,20191212,3.32,3.34,3.29,3.3,3.34,-0.040000000000000036,-1.1976,13911.0,4613.694
000010.SZ,20191211,3.31,3.36,3.31,3.34,3.38,-0.040000000000000036,-1.1834,11664.4,3890.348
000010.SZ,20191210,3.38,3.39,3.33,3.38,3.4,-0.020000000000000018,-0.5882,5732.6,1930.138
000010.SZ,20191209,3.41,3.41,3.3,3.4,3.44,-0.040000000000000036,-1.1628,15391.45,5185.164
000010.SZ,20191206,3.57,3.6,3.38,3.44,3.49,-0.050000000000000266,-1.4327,29852.0,10428.934
000010.SZ,20191205,3.39,3.49,3.34,3.49,3.32,0.17000000000000037,5.1205,19829.45,6878.874
000010.SZ,20191204,3.32,3.34,3.32,3.32,3.32,0.0,0.0,5340.0,1776.12
000010.SZ,20191203,3.31,3.33,3.3,3.32,3.33,-0.010000000000000231,-0.3003,5321.4,1763.102
000010.SZ,20191202,3.32,3.36,3.3,3.33,3.3,0.03000000000000025,0.9091,6407.76,2129.523
000010.SZ,20191129,3.3,3.33,3.28,3.3,3.3,0.0,0.0,5750.33,1896.826
000010.SZ,20191128,3.34,3.39,3.28,3.3,3.36,-0.06000000000000005,-1.7857,13824.42,4585.375
000010.SZ,20191127,3.42,3.42,3.34,3.36,3.42,-0.06000000000000005,-1.7544,12094.0,4081.539
000010.SZ,20191126,3.41,3.42,3.39,3.42,3.41,0.009999999999999787,0.2933,6593.0,2244.763
000010.SZ,20191125,3.39,3.41,3.38,3.41,3.39,0.020000000000000018,0.59,11901.0,4044.938
000010.SZ,20191122,3.42,3.42,3.38,3.39,3.4,-0.009999999999999787,-0.2941,7420.0,2521.209
000010.SZ,20191121,3.4,3.42,3.39,3.4,3.39,0.009999999999999787,0.295,5010.0,1703.004
