ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600677.SH,20200225,5.05,5.1,4.9,5.02,5.12,-0.10000000000000053,-1.9531,323005.96,161423.244
600677.SH,20200224,5.05,5.17,5.04,5.12,5.09,0.03000000000000025,0.5894,214988.1,109835.155
600677.SH,20200221,5.15,5.15,5.07,5.09,5.17,-0.08000000000000007,-1.5474,291557.38,148692.458
600677.SH,20200220,5.15,5.22,5.1,5.17,5.18,-0.009999999999999787,-0.1931,248969.62,128446.194
600677.SH,20200219,5.25,5.25,5.15,5.18,5.29,-0.11000000000000032,-2.0794,296374.11,153781.204
600677.SH,20200218,5.15,5.39,5.15,5.29,5.13,0.16000000000000014,3.1189,353490.67,186603.924
600677.SH,20200217,5.04,5.26,5.03,5.13,5.29,-0.16000000000000014,-3.0246,509131.66,260137.31
600677.SH,20200214,5.29,5.39,5.29,5.29,5.57,-0.28000000000000025,-5.0269,307165.78,162750.386
600677.SH,20200213,5.04,5.57,5.04,5.57,5.3,0.27000000000000046,5.0943,783162.44,414293.988
600677.SH,20200212,5.3,5.3,5.3,5.3,5.58,-0.28000000000000025,-5.0179,3162.0,1675.86
600677.SH,20200211,5.58,5.58,5.58,5.58,5.87,-0.29000000000000004,-4.9404,2430.0,1355.94
600677.SH,20200210,5.87,5.87,5.87,5.87,6.18,-0.3099999999999996,-5.0162,2794.0,1640.078
600677.SH,20200207,6.18,6.18,6.18,6.18,6.5,-0.3200000000000003,-4.9231,4946.0,3056.628
600677.SH,20200206,6.5,6.5,6.5,6.5,6.84,-0.33999999999999986,-4.9708,2902.0,1886.3
600677.SH,20200205,6.84,6.84,6.84,6.84,7.2,-0.3600000000000003,-5.0,2154.0,1473.336
600677.SH,20200204,7.2,7.2,7.2,7.2,7.58,-0.3799999999999999,-5.0132,355.0,255.6
600677.SH,20200203,7.58,7.58,7.58,7.58,7.98,-0.40000000000000036,-5.0125,149.0,112.942
600677.SH,20200123,7.98,7.98,7.98,7.98,8.4,-0.41999999999999993,-5.0,1127.0,899.346
600677.SH,20200122,8.4,8.4,8.4,8.4,8.84,-0.4399999999999995,-4.9774,1305.0,1096.2
600677.SH,20200120,8.77,8.92,8.61,8.84,8.77,0.07000000000000028,0.7982,149597.32,131877.943
600677.SH,20200117,9.05,9.13,8.7,8.77,9.05,-0.28000000000000114,-3.0939,203861.95,180523.103
600677.SH,20200116,9.12,9.24,9.03,9.05,9.04,0.010000000000001563,0.1106,145859.85,132923.101
600677.SH,20200115,9.15,9.27,9.0,9.04,9.32,-0.28000000000000114,-3.0043,220537.33,200355.261
600677.SH,20200114,9.41,9.6,9.32,9.32,9.4,-0.08000000000000007,-0.8511,182607.4,172682.904
600677.SH,20200113,9.39,9.46,9.09,9.4,9.49,-0.08999999999999986,-0.9484,204463.02,190017.889
600677.SH,20200110,9.78,9.79,9.4,9.49,9.76,-0.2699999999999996,-2.7664,261652.11,248807.326
600677.SH,20200109,9.59,9.78,9.48,9.76,9.81,-0.05000000000000071,-0.5097,320697.87,309098.595
600677.SH,20200108,9.5,10.2,9.49,9.81,9.42,0.39000000000000057,4.1401,617579.72,607647.768
600677.SH,20200107,9.22,9.5,9.22,9.42,9.57,-0.15000000000000036,-1.5674,359146.9,337143.344
600677.SH,20200106,9.77,9.89,9.41,9.57,9.49,0.08000000000000007,0.843,523468.05,503869.611
600677.SH,20200103,9.14,9.84,8.94,9.49,9.0,0.4900000000000002,5.4444,590601.84,551102.632
600677.SH,20200102,8.79,9.09,8.65,9.0,8.72,0.27999999999999936,3.211,330030.09,292288.144
600677.SH,20191231,8.88,8.97,8.6,8.72,8.88,-0.16000000000000014,-1.8018,237700.48,207921.231
600677.SH,20191230,8.77,8.95,8.41,8.88,8.92,-0.03999999999999915,-0.4484,245184.55,214265.447
600677.SH,20191227,9.19,9.28,8.9,8.92,9.14,-0.22000000000000064,-2.407,347227.25,313984.891
600677.SH,20191226,8.79,9.45,8.79,9.14,9.01,0.13000000000000078,1.4428,469606.95,429897.526
600677.SH,20191225,9.16,9.27,8.68,9.01,9.16,-0.15000000000000036,-1.6376,470048.37,423921.324
600677.SH,20191224,8.4,9.16,8.35,9.16,8.33,0.8300000000000001,9.964,546229.44,482880.707
600677.SH,20191223,8.8,8.82,8.07,8.33,8.95,-0.6199999999999992,-6.9274,422516.74,354341.652
600677.SH,20191220,9.11,9.33,8.94,8.95,9.45,-0.5,-5.291,644581.56,586831.092
600677.SH,20191219,8.67,9.45,8.48,9.45,8.59,0.8599999999999994,10.0116,759415.72,693818.927
600677.SH,20191218,9.08,9.09,8.57,8.59,8.42,0.16999999999999993,2.019,853935.64,754282.695
600677.SH,20191217,7.68,8.42,7.66,8.42,7.65,0.7699999999999996,10.0654,350746.82,287481.776
600677.SH,20191216,7.57,7.67,7.45,7.65,7.54,0.11000000000000032,1.4589,233048.09,177139.107
600677.SH,20191213,7.32,7.64,7.32,7.54,7.31,0.23000000000000043,3.1464,210532.2,156780.368
600677.SH,20191212,7.46,7.52,7.29,7.31,7.46,-0.15000000000000036,-2.0107,163806.69,120898.566
600677.SH,20191211,7.58,7.58,7.44,7.46,7.58,-0.1200000000000001,-1.5831,152656.79,114192.239
600677.SH,20191210,7.68,7.68,7.44,7.58,7.7,-0.1200000000000001,-1.5584,210729.13,159201.484
600677.SH,20191209,7.67,7.76,7.58,7.7,7.67,0.03000000000000025,0.3911,212703.28,163128.012
600677.SH,20191206,7.64,7.78,7.6,7.67,7.69,-0.020000000000000462,-0.2601,191180.3,146647.093
600677.SH,20191205,7.78,7.84,7.58,7.69,7.69,0.0,0.0,236171.86,181123.453
600677.SH,20191204,7.53,7.96,7.52,7.69,7.63,0.0600000000000005,0.7864,347927.98,269209.339
600677.SH,20191203,7.14,7.79,6.92,7.63,7.15,0.47999999999999954,6.7133,424701.29,317803.173
600677.SH,20191202,7.28,7.39,7.11,7.15,7.28,-0.1299999999999999,-1.7857,153359.82,111043.717
600677.SH,20191129,7.4,7.45,7.12,7.28,7.32,-0.040000000000000036,-0.5464,143015.1,104080.124
600677.SH,20191128,7.33,7.5,7.26,7.32,7.42,-0.09999999999999964,-1.3477,145666.77,107263.222
600677.SH,20191127,7.53,7.62,7.35,7.42,7.53,-0.11000000000000032,-1.4608,182342.41,136449.459
600677.SH,20191126,7.63,7.8,7.48,7.53,7.71,-0.17999999999999972,-2.3346,234211.26,177556.793
600677.SH,20191125,7.44,7.78,7.05,7.71,7.44,0.2699999999999996,3.629,369245.51,276200.064
600677.SH,20191122,7.56,7.65,7.36,7.44,7.57,-0.1299999999999999,-1.7173,256213.53,191549.252
600677.SH,20191121,7.54,7.75,7.41,7.57,7.63,-0.05999999999999961,-0.7864,278658.24,211377.754
600677.SH,20191120,7.54,7.91,7.42,7.63,7.78,-0.15000000000000036,-1.928,457644.27,349653.41
600677.SH,20191119,7.37,7.85,7.24,7.78,7.22,0.5600000000000005,7.7562,739943.4,559443.709
600677.SH,20191118,6.44,7.22,6.41,7.22,6.56,0.6600000000000001,10.061,372605.67,258066.667
600677.SH,20191115,6.83,6.85,6.56,6.56,6.87,-0.3100000000000005,-4.5124,219593.94,146710.993
600677.SH,20191114,6.84,6.93,6.74,6.87,6.87,0.0,0.0,152188.66,104017.218
600677.SH,20191113,6.99,7.02,6.85,6.87,7.05,-0.17999999999999972,-2.5532,172976.71,119526.379
600677.SH,20191112,7.15,7.18,6.85,7.05,7.11,-0.0600000000000005,-0.8439,257385.25,180704.666
600677.SH,20191111,7.02,7.11,6.42,7.11,7.08,0.03000000000000025,0.4237,318940.14,216828.926
600677.SH,20191108,6.93,7.16,6.91,7.08,6.94,0.13999999999999968,2.0173,277789.41,196151.91
