ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600385.SH,20200225,7.33,7.49,7.33,7.44,7.49,-0.04999999999999982,-0.6676,6748.0,4988.72
600385.SH,20200224,7.47,7.55,7.42,7.49,7.49,0.0,0.0,10391.71,7763.046
600385.SH,20200221,7.42,7.6,7.38,7.49,7.42,0.07000000000000028,0.9434,12071.08,9044.67
600385.SH,20200220,7.4,7.44,7.35,7.42,7.4,0.019999999999999574,0.2703,9912.71,7332.905
600385.SH,20200219,7.46,7.49,7.38,7.4,7.49,-0.08999999999999986,-1.2016,7894.0,5856.01
600385.SH,20200218,7.35,7.52,7.35,7.49,7.42,0.07000000000000028,0.9434,6025.2,4482.579
600385.SH,20200217,7.37,7.45,7.3,7.42,7.37,0.04999999999999982,0.6784,9763.24,7216.059
600385.SH,20200214,7.32,7.38,7.23,7.37,7.37,0.0,0.0,7182.44,5264.197
600385.SH,20200213,7.36,7.4,7.25,7.37,7.38,-0.009999999999999787,-0.1355,5501.42,4020.479
600385.SH,20200212,7.39,7.45,7.3,7.38,7.32,0.05999999999999961,0.8197,3005.2,2211.593
600385.SH,20200211,7.38,7.39,7.26,7.32,7.39,-0.0699999999999994,-0.9472,3271.38,2395.093
600385.SH,20200210,7.2,7.46,7.15,7.39,7.24,0.14999999999999947,2.0718,7108.38,5152.333
600385.SH,20200207,7.22,7.26,7.16,7.24,7.25,-0.009999999999999787,-0.1379,3659.15,2634.425
600385.SH,20200206,7.21,7.44,7.1,7.25,7.21,0.040000000000000036,0.5548,7130.91,5161.985
600385.SH,20200205,7.05,7.21,6.96,7.21,7.1,0.11000000000000032,1.5493,6809.7,4846.517
600385.SH,20200204,6.94,7.1,6.94,7.1,7.31,-0.20999999999999996,-2.8728,13505.23,9410.587
600385.SH,20200203,7.31,7.31,7.31,7.31,7.69,-0.3800000000000008,-4.9415,307.0,224.417
600385.SH,20200123,8.0,8.0,7.69,7.69,8.09,-0.39999999999999947,-4.9444,8593.0,6676.493
600385.SH,20200122,8.1,8.41,8.0,8.09,8.06,0.02999999999999936,0.3722,12285.0,9961.929
600385.SH,20200121,7.86,8.06,7.86,8.06,7.92,0.14000000000000057,1.7677,2941.3,2335.645
600385.SH,20200120,7.96,8.03,7.65,7.92,8.0,-0.08000000000000007,-1.0,4050.68,3184.413
600385.SH,20200117,8.09,8.14,7.98,8.0,8.11,-0.10999999999999943,-1.3564,3058.0,2466.686
600385.SH,20200116,8.43,8.43,8.0,8.11,8.07,0.03999999999999915,0.4957,6122.0,5054.781
600385.SH,20200115,7.98,8.07,7.96,8.07,7.98,0.08999999999999986,1.1278,4886.58,3916.188
600385.SH,20200114,8.05,8.12,7.98,7.98,7.99,-0.009999999999999787,-0.1252,4122.62,3316.862
600385.SH,20200113,8.12,8.12,7.96,7.99,8.12,-0.129999999999999,-1.601,3979.56,3189.346
600385.SH,20200110,8.15,8.19,8.06,8.12,8.14,-0.02000000000000135,-0.2457,3536.06,2872.117
600385.SH,20200109,7.95,8.3,7.91,8.14,7.97,0.17000000000000082,2.133,10451.8,8497.977
600385.SH,20200108,7.96,8.02,7.89,7.97,7.98,-0.010000000000000675,-0.1253,5157.13,4105.122
600385.SH,20200107,7.94,8.01,7.88,7.98,7.96,0.020000000000000462,0.2513,6168.06,4894.147
600385.SH,20200106,7.94,7.97,7.88,7.96,7.94,0.019999999999999574,0.2519,7577.06,5999.304
600385.SH,20200103,7.95,7.95,7.85,7.94,7.95,-0.009999999999999787,-0.1258,4227.0,3335.96
600385.SH,20200102,7.83,7.96,7.83,7.95,7.82,0.1299999999999999,1.6624,4620.0,3647.743
600385.SH,20191231,7.87,8.03,7.78,7.82,7.87,-0.04999999999999982,-0.6353,4626.0,3637.22
600385.SH,20191230,7.91,7.98,7.84,7.87,7.97,-0.09999999999999964,-1.2547,5316.59,4196.256
600385.SH,20191227,7.87,8.01,7.87,7.97,7.93,0.040000000000000036,0.5044,7636.0,6084.952
600385.SH,20191226,7.77,7.94,7.77,7.93,7.83,0.09999999999999964,1.2771,3815.0,3012.253
600385.SH,20191225,7.9,7.96,7.76,7.83,7.89,-0.05999999999999961,-0.7605,5658.0,4459.654
