ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600119.SH,20200225,5.88,6.13,5.82,6.03,5.93,0.10000000000000053,1.6863,53779.71,32094.504
600119.SH,20200224,5.85,5.93,5.84,5.93,5.96,-0.03000000000000025,-0.5034,40712.65,23945.36
600119.SH,20200221,6.11,6.14,5.95,5.96,6.1,-0.13999999999999968,-2.2951,52364.0,31627.271
600119.SH,20200220,6.07,6.14,6.02,6.1,6.1,0.0,0.0,28350.0,17268.271
600119.SH,20200219,6.1,6.17,6.06,6.1,6.12,-0.020000000000000462,-0.3268,23998.0,14630.387
600119.SH,20200218,6.15,6.25,6.09,6.12,6.15,-0.03000000000000025,-0.4878,37828.29,23236.368
600119.SH,20200217,5.92,6.16,5.92,6.15,5.9,0.25,4.2373,45416.22,27515.349
600119.SH,20200214,5.92,5.92,5.8,5.9,5.9,0.0,0.0,38896.62,22791.286
600119.SH,20200213,5.9,6.0,5.85,5.9,5.95,-0.04999999999999982,-0.8403,30022.01,17737.943
600119.SH,20200212,5.82,6.01,5.77,5.95,5.85,0.10000000000000053,1.7094,32724.01,19434.087
600119.SH,20200211,5.96,5.98,5.78,5.85,5.88,-0.03000000000000025,-0.5102,33048.18,19339.655
600119.SH,20200210,5.64,5.9,5.61,5.88,5.66,0.21999999999999975,3.8869,30062.02,17491.392
600119.SH,20200207,5.51,5.66,5.45,5.66,5.53,0.1299999999999999,2.3508,36095.01,19900.479
600119.SH,20200206,5.43,5.54,5.41,5.53,5.45,0.08000000000000007,1.4679,29685.64,16308.121
600119.SH,20200205,5.39,5.57,5.39,5.45,5.37,0.08000000000000007,1.4898,46345.25,25450.537
600119.SH,20200204,5.37,5.37,5.37,5.37,5.65,-0.28000000000000025,-4.9558,7519.0,4037.703
600119.SH,20200203,5.65,5.65,5.65,5.65,5.95,-0.2999999999999998,-5.042,6233.0,3521.645
600119.SH,20200123,6.13,6.19,5.8,5.95,6.1,-0.14999999999999947,-2.459,54367.02,32456.066
600119.SH,20200122,5.93,6.21,5.92,6.1,5.95,0.14999999999999947,2.521,32959.15,19978.443
600119.SH,20200121,6.1,6.14,5.91,5.95,6.12,-0.16999999999999993,-2.7778,60824.48,36368.722
600119.SH,20200120,6.15,6.36,6.1,6.12,6.18,-0.05999999999999961,-0.9709,47399.81,29455.629
600119.SH,20200117,6.26,6.4,6.12,6.18,6.21,-0.03000000000000025,-0.4831,64802.28,40484.171
600119.SH,20200116,5.93,6.21,5.91,6.21,5.91,0.2999999999999998,5.0761,86227.02,53132.697
600119.SH,20200115,5.76,5.99,5.74,5.91,5.76,0.15000000000000036,2.6042,41638.01,24457.779
600119.SH,20200114,5.8,5.83,5.73,5.76,5.78,-0.020000000000000462,-0.346,19224.01,11093.83
600119.SH,20200113,5.58,5.84,5.58,5.78,5.65,0.1299999999999999,2.3009,30613.81,17540.882
600119.SH,20200110,5.81,5.81,5.62,5.65,5.77,-0.11999999999999922,-2.0797,39762.42,22552.875
