ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600742.SH,20200225,12.85,12.94,12.33,12.83,13.08,-0.25,-1.9113,85492.13,108479.099
600742.SH,20200224,13.28,13.35,12.91,13.08,13.35,-0.2699999999999996,-2.0225,93370.66,121637.151
600742.SH,20200221,13.18,13.45,13.1,13.35,13.15,0.1999999999999993,1.5209,75749.01,100451.926
600742.SH,20200220,13.3,13.3,13.08,13.15,13.18,-0.02999999999999936,-0.2276,48842.54,64266.415
600742.SH,20200219,13.21,13.32,13.07,13.18,13.18,0.0,0.0,46971.41,61868.933
600742.SH,20200218,13.01,13.29,12.99,13.18,13.05,0.129999999999999,0.9962,48877.96,64085.773
600742.SH,20200217,12.55,13.16,12.5,13.05,12.52,0.5300000000000011,4.2332,67591.67,86988.929
600742.SH,20200214,12.42,12.68,12.33,12.52,12.5,0.019999999999999574,0.16,45526.77,56791.15
600742.SH,20200213,12.58,12.72,12.39,12.5,12.58,-0.08000000000000007,-0.6359,32666.17,40793.208
600742.SH,20200212,12.46,12.62,12.41,12.58,12.46,0.11999999999999922,0.9631,25327.67,31742.413
600742.SH,20200211,12.27,12.62,12.13,12.46,12.29,0.1700000000000017,1.3832,35820.81,44466.624
600742.SH,20200210,12.1,12.32,11.86,12.29,12.03,0.2599999999999998,2.1613,30196.82,36638.253
600742.SH,20200207,12.1,12.23,11.82,12.03,12.24,-0.21000000000000085,-1.7157,34805.22,41650.761
600742.SH,20200206,11.88,12.41,11.73,12.24,11.88,0.35999999999999943,3.0303,95430.59,116311.556
600742.SH,20200205,11.26,12.25,11.26,11.88,11.19,0.6900000000000013,6.1662,65967.45,78140.543
600742.SH,20200204,10.55,11.5,10.55,11.19,11.52,-0.33000000000000007,-2.8646,77417.42,86502.332
600742.SH,20200203,11.52,11.52,11.52,11.52,12.8,-1.2800000000000011,-10.0,11140.0,12833.28
600742.SH,20200123,13.24,13.32,12.6,12.8,13.32,-0.5199999999999996,-3.9039,46317.11,59940.193
600742.SH,20200122,13.42,13.49,13.22,13.32,13.55,-0.23000000000000043,-1.6974,61226.31,81746.681
600742.SH,20200121,13.62,13.74,13.17,13.55,13.69,-0.1399999999999988,-1.0226,122402.28,163663.234
600742.SH,20200120,13.88,13.93,13.58,13.69,14.07,-0.3800000000000008,-2.7008,84620.9,115891.36
600742.SH,20200117,14.27,14.27,13.4,14.07,14.22,-0.15000000000000036,-1.0549,138886.66,192467.388
600742.SH,20200116,14.13,14.26,13.79,14.22,14.18,0.040000000000000924,0.2821,102586.88,144173.239
600742.SH,20200115,13.46,14.25,13.41,14.18,13.46,0.7199999999999989,5.3492,183759.86,256157.39
600742.SH,20200114,12.76,13.68,12.76,13.46,12.9,0.5600000000000005,4.3411,132557.29,177508.236
600742.SH,20200113,12.6,13.0,12.6,12.9,12.6,0.3000000000000007,2.381,80110.2,102802.19
600742.SH,20200110,12.62,12.62,12.46,12.6,12.54,0.0600000000000005,0.4785,39702.34,49828.604
600742.SH,20200109,12.56,12.67,12.42,12.54,12.54,0.0,0.0,53741.95,67307.97
600742.SH,20200108,12.37,12.71,12.29,12.54,12.39,0.14999999999999858,1.2107,110810.6,138740.182
600742.SH,20200107,12.3,12.45,12.22,12.39,12.24,0.15000000000000036,1.2255,81494.9,100672.489
600742.SH,20200106,12.24,12.44,12.13,12.24,12.25,-0.009999999999999787,-0.0816,97425.3,119467.427
600742.SH,20200103,12.36,12.42,12.16,12.25,12.21,0.03999999999999915,0.3276,135708.25,166356.655
600742.SH,20200102,12.13,12.3,12.03,12.21,12.09,0.120000000000001,0.9926,98901.63,120224.22
600742.SH,20191231,12.06,12.22,11.91,12.09,12.14,-0.05000000000000071,-0.4119,38039.67,45778.273
600742.SH,20191230,12.05,12.21,11.95,12.14,12.04,0.10000000000000142,0.8306,43640.36,52765.847
600742.SH,20191227,12.25,12.3,11.99,12.04,12.29,-0.25,-2.0342,56274.45,68343.307
600742.SH,20191226,11.95,12.35,11.86,12.29,11.96,0.3299999999999983,2.7592,73666.0,89788.796
600742.SH,20191225,11.74,12.01,11.73,11.96,11.77,0.19000000000000128,1.6143,40037.01,47655.256
600742.SH,20191224,11.7,11.84,11.6,11.77,11.66,0.10999999999999943,0.9434,23683.66,27772.509
600742.SH,20191223,12.06,12.06,11.64,11.66,12.0,-0.33999999999999986,-2.8333,39267.8,46521.251
600742.SH,20191220,11.86,12.09,11.82,12.0,11.82,0.17999999999999972,1.5228,54848.57,65711.868
600742.SH,20191219,11.79,11.85,11.74,11.82,11.73,0.08999999999999986,0.7673,22429.85,26452.346
600742.SH,20191218,11.81,11.9,11.7,11.73,11.81,-0.08000000000000007,-0.6774,22463.47,26411.81
600742.SH,20191217,11.68,11.82,11.62,11.81,11.67,0.14000000000000057,1.1997,32253.28,37892.292
600742.SH,20191216,11.79,11.79,11.58,11.67,11.58,0.08999999999999986,0.7772,35882.61,41867.176
600742.SH,20191213,11.46,11.61,11.41,11.58,11.43,0.15000000000000036,1.3123,22681.45,26097.405
600742.SH,20191212,11.48,11.52,11.37,11.43,11.41,0.019999999999999574,0.1753,25507.47,29180.428
600742.SH,20191211,11.54,11.6,11.39,11.41,11.54,-0.129999999999999,-1.1265,27110.22,31023.025
600742.SH,20191210,11.64,11.64,11.38,11.54,11.59,-0.05000000000000071,-0.4314,27023.22,31058.219
600742.SH,20191209,11.81,11.82,11.52,11.59,11.81,-0.22000000000000064,-1.8628,35381.6,41263.255
600742.SH,20191206,11.77,11.86,11.68,11.81,11.7,0.11000000000000121,0.9402,24082.29,28403.35
600742.SH,20191205,11.61,11.8,11.61,11.7,11.61,0.08999999999999986,0.7752,20977.31,24606.347
600742.SH,20191204,11.58,11.75,11.52,11.61,11.64,-0.030000000000001137,-0.2577,22862.57,26605.365
600742.SH,20191203,11.68,11.71,11.48,11.64,11.83,-0.1899999999999995,-1.6061,33296.27,38500.748
600742.SH,20191202,11.9,12.12,11.73,11.83,11.75,0.08000000000000007,0.6809,44834.44,53365.383
600742.SH,20191129,11.84,11.85,11.66,11.75,11.8,-0.05000000000000071,-0.4237,18380.0,21593.857
600742.SH,20191128,11.83,11.85,11.69,11.8,11.76,0.040000000000000924,0.3401,22050.16,26004.534
600742.SH,20191127,11.76,11.84,11.61,11.76,11.76,0.0,0.0,27545.2,32415.489
600742.SH,20191126,11.74,11.86,11.66,11.76,11.76,0.0,0.0,22890.2,26915.089
600742.SH,20191125,11.53,11.76,11.39,11.76,11.47,0.28999999999999915,2.5283,24858.55,28916.562
600742.SH,20191122,11.67,11.67,11.36,11.47,11.54,-0.06999999999999851,-0.6066,23781.2,27367.448
600742.SH,20191121,11.61,11.63,11.42,11.54,11.53,0.009999999999999787,0.0867,21461.0,24720.646
600742.SH,20191120,11.57,11.66,11.52,11.53,11.51,0.019999999999999574,0.1738,29309.36,33964.627
600742.SH,20191119,11.34,11.54,11.29,11.51,11.29,0.22000000000000064,1.9486,31568.29,36172.279
600742.SH,20191118,11.1,11.32,11.05,11.29,11.1,0.1899999999999995,1.7117,31992.0,35865.676
600742.SH,20191115,11.36,11.44,11.05,11.1,11.35,-0.25,-2.2026,28558.47,31940.005
600742.SH,20191114,11.49,11.49,11.32,11.35,11.42,-0.07000000000000028,-0.613,13697.46,15577.762
600742.SH,20191113,11.18,11.51,11.14,11.42,11.17,0.25,2.2381,49674.53,56581.862
600742.SH,20191112,11.05,11.17,10.88,11.17,11.05,0.11999999999999922,1.086,24993.4,27586.757
600742.SH,20191111,11.32,11.32,11.02,11.05,11.3,-0.25,-2.2124,28469.88,31616.314
600742.SH,20191108,11.19,11.45,11.16,11.3,11.15,0.15000000000000036,1.3453,38550.45,43623.784
600742.SH,20191107,11.23,11.27,11.04,11.15,11.21,-0.0600000000000005,-0.5352,40325.5,44954.859
600742.SH,20191106,11.3,11.39,11.18,11.21,11.3,-0.08999999999999986,-0.7965,20523.04,23092.292
600742.SH,20191105,11.34,11.34,11.09,11.3,11.31,-0.009999999999999787,-0.0884,21246.98,23882.807
600742.SH,20191104,11.37,11.45,11.29,11.31,11.37,-0.05999999999999872,-0.5277,23393.26,26555.692
600742.SH,20191101,11.27,11.41,11.2,11.37,11.21,0.15999999999999837,1.4273,18831.06,21342.255
600742.SH,20191031,11.25,11.39,11.19,11.21,11.25,-0.03999999999999915,-0.3556,20565.42,23188.884
600742.SH,20191030,11.57,11.63,11.22,11.25,11.65,-0.40000000000000036,-3.4335,46740.58,53259.281
600742.SH,20191029,11.76,11.82,11.56,11.65,11.78,-0.129999999999999,-1.1036,22113.07,25721.395
600742.SH,20191028,11.78,11.88,11.66,11.78,11.79,-0.009999999999999787,-0.0848,21259.25,24969.362
600742.SH,20191025,11.58,11.96,11.55,11.79,11.52,0.2699999999999996,2.3437,38872.23,45823.247
600742.SH,20191024,11.42,11.54,11.42,11.52,11.47,0.049999999999998934,0.4359,8798.45,10098.018
600742.SH,20191023,11.6,11.67,11.41,11.47,11.64,-0.16999999999999993,-1.4605,15750.8,18144.937
600742.SH,20191022,11.51,11.65,11.49,11.64,11.51,0.13000000000000078,1.1295,11202.94,12959.092
600742.SH,20191021,11.75,11.75,11.45,11.51,11.75,-0.2400000000000002,-2.0426,19457.22,22400.563
600742.SH,20191018,11.83,11.87,11.67,11.75,11.82,-0.07000000000000028,-0.5922,21851.43,25707.894
600742.SH,20191017,12.0,12.08,11.81,11.82,12.0,-0.17999999999999972,-1.5,22522.22,26797.783
600742.SH,20191016,12.23,12.34,11.98,12.0,12.23,-0.23000000000000043,-1.8806,23246.0,28127.46
600742.SH,20191015,12.35,12.45,12.2,12.23,12.24,-0.009999999999999787,-0.0817,22014.63,27056.249
600742.SH,20191014,12.03,12.39,12.02,12.24,11.99,0.25,2.0851,32813.0,40079.791
600742.SH,20191011,12.1,12.1,11.96,11.99,11.99,0.0,0.0,19498.44,23442.85
600742.SH,20191010,11.9,12.04,11.9,11.99,11.91,0.08000000000000007,0.6717,17645.64,21099.867
600742.SH,20191009,11.93,11.96,11.75,11.91,11.82,0.08999999999999986,0.7614,14005.5,16651.73
600742.SH,20191008,11.85,11.87,11.72,11.82,11.85,-0.02999999999999936,-0.2532,22672.72,26742.705
600742.SH,20190930,12.16,12.18,11.76,11.85,11.87,-0.019999999999999574,-0.1685,24097.8,28639.9
600742.SH,20190927,11.95,12.14,11.85,11.87,11.98,-0.11000000000000121,-0.9182,19220.99,22990.237
600742.SH,20190926,12.28,12.45,11.97,11.98,12.26,-0.27999999999999936,-2.2838,33912.62,41240.969
600742.SH,20190925,12.45,12.56,12.25,12.26,12.45,-0.1899999999999995,-1.5261,35838.52,44589.096
600742.SH,20190924,12.36,12.55,12.32,12.45,12.28,0.16999999999999993,1.3844,31333.35,39030.26
600742.SH,20190923,12.28,12.39,12.16,12.28,12.31,-0.030000000000001137,-0.2437,21787.8,26821.985
600742.SH,20190920,12.39,12.39,12.2,12.31,12.27,0.040000000000000924,0.326,13893.46,17081.986
600742.SH,20190919,12.38,12.45,12.11,12.27,12.42,-0.15000000000000036,-1.2077,24932.46,30527.505
600742.SH,20190918,12.87,12.87,12.31,12.42,12.7,-0.27999999999999936,-2.2047,40649.11,50783.433
600742.SH,20190917,12.7,12.99,12.49,12.7,12.7,0.0,0.0,80518.15,102851.622
600742.SH,20190916,12.48,12.72,12.48,12.7,12.47,0.22999999999999865,1.8444,61777.39,78123.305
600742.SH,20190912,12.36,12.49,12.35,12.47,12.37,0.10000000000000142,0.8084,24441.6,30369.87
600742.SH,20190911,12.48,12.57,12.35,12.37,12.47,-0.10000000000000142,-0.8019,31485.22,39224.004
600742.SH,20190910,12.45,12.47,12.32,12.47,12.44,0.030000000000001137,0.2412,35608.44,44251.326
600742.SH,20190909,12.35,12.47,12.17,12.44,12.29,0.15000000000000036,1.2205,56737.76,70160.571
600742.SH,20190906,12.39,12.58,12.21,12.29,12.39,-0.10000000000000142,-0.8071,52379.33,64649.238
600742.SH,20190905,12.83,12.88,12.34,12.39,12.38,0.009999999999999787,0.0808,102130.31,127930.511
600742.SH,20190904,12.44,12.47,12.22,12.38,12.42,-0.03999999999999915,-0.3221,46155.08,57042.474
600742.SH,20190903,12.21,12.52,12.21,12.42,12.22,0.1999999999999993,1.6367,59376.34,73546.697
