ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000863.SZ,20200225,4.08,4.09,3.94,4.05,4.11,-0.0600000000000005,-1.4599,54509.0,21919.437
000863.SZ,20200224,4.13,4.14,4.08,4.11,4.13,-0.019999999999999574,-0.4843,41396.1,16975.064
000863.SZ,20200221,4.15,4.17,4.13,4.13,4.16,-0.03000000000000025,-0.7212,44862.12,18591.483
000863.SZ,20200220,4.14,4.16,4.07,4.16,4.12,0.040000000000000036,0.9709,50562.85,20837.388
000863.SZ,20200219,4.11,4.16,4.1,4.12,4.12,0.0,0.0,37898.1,15655.808
000863.SZ,20200218,4.12,4.14,4.09,4.12,4.12,0.0,0.0,41302.86,16986.117
000863.SZ,20200217,4.06,4.12,4.06,4.12,4.04,0.08000000000000007,1.9802,31474.84,12896.944
000863.SZ,20200214,4.07,4.08,4.01,4.04,4.07,-0.03000000000000025,-0.7371,20117.0,8143.389
000863.SZ,20200213,4.06,4.12,4.03,4.07,4.07,0.0,0.0,32826.0,13400.659
000863.SZ,20200212,4.04,4.08,4.01,4.07,4.06,0.010000000000000675,0.2463,33608.52,13606.808
000863.SZ,20200211,3.96,4.12,3.95,4.06,3.97,0.08999999999999941,2.267,58775.28,23725.835
000863.SZ,20200210,3.94,3.97,3.83,3.97,3.94,0.03000000000000025,0.7614,33705.78,13241.076
000863.SZ,20200207,3.9,3.97,3.85,3.94,3.93,0.009999999999999787,0.2545,48355.0,18842.197
000863.SZ,20200206,3.98,3.98,3.88,3.93,3.99,-0.06000000000000005,-1.5038,50996.55,20013.339
000863.SZ,20200205,3.95,4.04,3.85,3.99,3.83,0.16000000000000014,4.1775,45032.27,17760.693
000863.SZ,20200204,3.6,3.92,3.59,3.83,3.97,-0.14000000000000012,-3.5264,70256.38,26611.294
000863.SZ,20200203,4.0,4.0,3.97,3.97,4.41,-0.43999999999999995,-9.9773,11748.0,4670.677
000863.SZ,20200123,4.57,4.57,4.38,4.41,4.58,-0.16999999999999993,-3.7118,28647.0,12780.383
000863.SZ,20200122,4.52,4.6,4.49,4.58,4.5,0.08000000000000007,1.7778,18535.27,8451.775
000863.SZ,20200121,4.56,4.58,4.49,4.5,4.56,-0.05999999999999961,-1.3158,15860.45,7153.418
000863.SZ,20200120,4.58,4.59,4.51,4.56,4.57,-0.010000000000000675,-0.2188,19978.82,9061.762
000863.SZ,20200117,4.61,4.62,4.57,4.57,4.61,-0.040000000000000036,-0.8677,23903.0,10978.998
000863.SZ,20200116,4.67,4.69,4.6,4.61,4.67,-0.05999999999999961,-1.2848,36985.0,17143.451
000863.SZ,20200115,4.74,4.74,4.64,4.67,4.74,-0.07000000000000028,-1.4768,28260.33,13239.698
000863.SZ,20200114,4.79,4.84,4.72,4.74,4.77,-0.02999999999999936,-0.6289,27988.08,13346.002
000863.SZ,20200113,4.73,4.8,4.68,4.77,4.73,0.03999999999999915,0.8457,33569.01,15903.166
000863.SZ,20200110,4.75,4.78,4.71,4.73,4.77,-0.03999999999999915,-0.8386,22781.26,10776.373
000863.SZ,20200109,4.77,4.8,4.75,4.77,4.74,0.02999999999999936,0.6329,31584.03,15063.839
000863.SZ,20200108,4.74,4.83,4.71,4.74,4.76,-0.019999999999999574,-0.4202,58990.44,28159.733
000863.SZ,20200107,4.64,4.83,4.61,4.76,4.64,0.1200000000000001,2.5862,67196.48,31718.202
000863.SZ,20200106,4.65,4.67,4.59,4.64,4.66,-0.020000000000000462,-0.4292,21045.29,9751.91
000863.SZ,20200103,4.65,4.67,4.61,4.66,4.65,0.009999999999999787,0.2151,22709.71,10517.084
000863.SZ,20200102,4.64,4.68,4.62,4.65,4.64,0.010000000000000675,0.2155,30998.96,14428.24
000863.SZ,20191231,4.63,4.68,4.58,4.64,4.67,-0.03000000000000025,-0.6424,31486.48,14576.763
000863.SZ,20191230,4.53,4.69,4.49,4.67,4.55,0.1200000000000001,2.6374,31340.06,14335.731
000863.SZ,20191227,4.57,4.58,4.53,4.55,4.54,0.009999999999999787,0.2203,18089.73,8223.995
000863.SZ,20191226,4.52,4.56,4.51,4.54,4.52,0.020000000000000462,0.4425,15983.01,7246.273
000863.SZ,20191225,4.55,4.59,4.52,4.52,4.54,-0.020000000000000462,-0.4405,12583.15,5712.993
000863.SZ,20191224,4.48,4.54,4.48,4.54,4.48,0.05999999999999961,1.3393,17792.66,8023.428
000863.SZ,20191223,4.55,4.58,4.48,4.48,4.56,-0.07999999999999918,-1.7544,23228.75,10497.366
000863.SZ,20191220,4.57,4.6,4.54,4.56,4.59,-0.03000000000000025,-0.6536,27005.0,12338.362
000863.SZ,20191219,4.61,4.67,4.49,4.59,4.62,-0.03000000000000025,-0.6494,30042.86,13760.925
000863.SZ,20191218,4.56,4.62,4.55,4.62,4.57,0.04999999999999982,1.0941,28069.0,12875.249
000863.SZ,20191217,4.49,4.58,4.49,4.57,4.5,0.07000000000000028,1.5556,34713.11,15748.789
000863.SZ,20191216,4.47,4.51,4.47,4.5,4.48,0.019999999999999574,0.4464,19037.12,8559.956
000863.SZ,20191213,4.5,4.51,4.47,4.48,4.49,-0.009999999999999787,-0.2227,18500.74,8289.49
000863.SZ,20191212,4.51,4.52,4.48,4.49,4.52,-0.02999999999999936,-0.6637,15533.0,6987.061
000863.SZ,20191211,4.51,4.53,4.48,4.52,4.5,0.019999999999999574,0.4444,20298.36,9148.953
000863.SZ,20191210,4.48,4.53,4.48,4.5,4.52,-0.019999999999999574,-0.4425,24601.23,11090.049
000863.SZ,20191209,4.54,4.56,4.5,4.52,4.53,-0.010000000000000675,-0.2208,15334.6,6939.307
000863.SZ,20191206,4.5,4.55,4.5,4.53,4.52,0.010000000000000675,0.2212,10999.01,4979.923
000863.SZ,20191205,4.53,4.56,4.5,4.52,4.54,-0.020000000000000462,-0.4405,9210.01,4164.305
000863.SZ,20191204,4.54,4.56,4.48,4.54,4.58,-0.040000000000000036,-0.8734,23287.0,10543.839
000863.SZ,20191203,4.56,4.61,4.53,4.58,4.58,0.0,0.0,16272.06,7419.177
000863.SZ,20191202,4.59,4.72,4.51,4.58,4.56,0.020000000000000462,0.4386,21241.79,9737.695
000863.SZ,20191129,4.6,4.61,4.53,4.56,4.6,-0.040000000000000036,-0.8696,34760.0,15850.243
000863.SZ,20191128,4.5,4.68,4.45,4.6,4.5,0.09999999999999964,2.2222,48736.84,22271.045
000863.SZ,20191127,4.44,4.54,4.44,4.5,4.51,-0.009999999999999787,-0.2217,7054.0,3165.782
000863.SZ,20191126,4.54,4.57,4.5,4.51,4.56,-0.04999999999999982,-1.0965,13084.0,5918.698
000863.SZ,20191125,4.52,4.57,4.51,4.56,4.57,-0.010000000000000675,-0.2188,12877.05,5844.274
000863.SZ,20191122,4.6,4.63,4.51,4.57,4.59,-0.019999999999999574,-0.4357,11295.98,5148.948
000863.SZ,20191121,4.57,4.59,4.46,4.59,4.57,0.019999999999999574,0.4376,18781.0,8515.974
000863.SZ,20191120,4.7,4.7,4.55,4.57,4.68,-0.10999999999999943,-2.3504,19042.0,8757.034
000863.SZ,20191119,4.65,4.71,4.63,4.68,4.68,0.0,0.0,15299.78,7145.522
000863.SZ,20191118,4.69,4.7,4.58,4.68,4.67,0.009999999999999787,0.2141,13833.77,6437.17
000863.SZ,20191115,4.75,4.76,4.67,4.67,4.75,-0.08000000000000007,-1.6842,13384.8,6278.628
000863.SZ,20191114,4.73,4.77,4.73,4.75,4.74,0.009999999999999787,0.211,8639.57,4101.641
000863.SZ,20191113,4.73,4.78,4.72,4.74,4.77,-0.02999999999999936,-0.6289,11005.0,5219.699
000863.SZ,20191112,4.77,4.78,4.71,4.77,4.78,-0.010000000000000675,-0.2092,13707.24,6504.623
000863.SZ,20191111,4.86,4.86,4.76,4.78,4.86,-0.08000000000000007,-1.6461,15490.21,7418.43
000863.SZ,20191108,4.88,4.89,4.81,4.86,4.85,0.010000000000000675,0.2062,19824.57,9620.8
000863.SZ,20191107,4.85,4.88,4.79,4.85,4.85,0.0,0.0,10855.0,5272.519
000863.SZ,20191106,4.84,4.86,4.77,4.85,4.86,-0.010000000000000675,-0.2058,19047.0,9182.078
000863.SZ,20191105,4.9,4.92,4.82,4.86,4.9,-0.040000000000000036,-0.8163,19378.45,9427.406
000863.SZ,20191104,4.93,4.94,4.87,4.9,4.89,0.010000000000000675,0.2045,31537.57,15487.187
000863.SZ,20191101,4.81,4.9,4.8,4.89,4.84,0.04999999999999982,1.0331,16009.24,7769.344
000863.SZ,20191031,4.83,4.87,4.79,4.84,4.84,0.0,0.0,13406.0,6456.361
000863.SZ,20191030,4.83,4.87,4.8,4.84,4.86,-0.020000000000000462,-0.4115,17893.64,8643.764
000863.SZ,20191029,4.89,4.89,4.83,4.86,4.88,-0.019999999999999574,-0.4098,19328.4,9383.899
000863.SZ,20191028,4.91,4.92,4.84,4.88,4.92,-0.040000000000000036,-0.813,35387.94,17290.079
000863.SZ,20191025,4.94,5.0,4.74,4.92,4.89,0.03000000000000025,0.6135,52060.36,25132.36
000863.SZ,20191024,4.94,4.96,4.86,4.89,4.91,-0.020000000000000462,-0.4073,23736.0,11603.645
000863.SZ,20191023,4.96,5.0,4.89,4.91,4.98,-0.07000000000000028,-1.4056,21964.0,10861.954
000863.SZ,20191022,4.92,5.06,4.92,4.98,4.94,0.040000000000000036,0.8097,24049.16,12013.305
000863.SZ,20191021,4.98,5.01,4.92,4.94,5.01,-0.0699999999999994,-1.3972,16099.71,7966.39
000863.SZ,20191018,5.06,5.11,4.98,5.01,5.07,-0.0600000000000005,-1.1834,22485.21,11293.094
000863.SZ,20191017,5.02,5.09,4.96,5.07,5.07,0.0,0.0,35807.55,18005.459
000863.SZ,20191016,5.08,5.11,5.02,5.07,5.06,0.010000000000000675,0.1976,23417.14,11878.746
000863.SZ,20191015,5.19,5.2,5.01,5.06,5.23,-0.17000000000000082,-3.2505,68880.95,35077.565
000863.SZ,20191014,5.22,5.34,5.2,5.23,5.23,0.0,0.0,50579.23,26647.866
000863.SZ,20191011,5.25,5.27,5.14,5.23,5.24,-0.009999999999999787,-0.1908,47148.98,24643.802
000863.SZ,20191010,5.25,5.27,5.16,5.24,5.27,-0.02999999999999936,-0.5693,28457.23,14835.327
000863.SZ,20191009,5.15,5.3,5.15,5.27,5.2,0.0699999999999994,1.3462,49911.31,26140.239
000863.SZ,20191008,5.21,5.33,5.16,5.2,5.22,-0.019999999999999574,-0.3831,39732.77,20767.04
000863.SZ,20190930,5.08,5.34,5.05,5.22,5.08,0.13999999999999968,2.7559,44400.0,23134.753
000863.SZ,20190927,5.01,5.12,4.98,5.08,5.01,0.07000000000000028,1.3972,20757.75,10532.778
000863.SZ,20190926,5.04,5.09,4.94,5.01,5.04,-0.03000000000000025,-0.5952,20884.0,10462.197
000863.SZ,20190925,5.07,5.09,5.02,5.04,5.07,-0.03000000000000025,-0.5917,19901.0,10051.855
000863.SZ,20190924,4.99,5.12,4.99,5.07,5.01,0.0600000000000005,1.1976,29494.32,14904.945
000863.SZ,20190923,5.07,5.07,4.97,5.01,5.08,-0.07000000000000028,-1.378,28174.01,14113.978
000863.SZ,20190920,5.17,5.19,5.07,5.08,5.18,-0.09999999999999964,-1.9305,30301.0,15522.027
000863.SZ,20190919,5.18,5.2,5.12,5.18,5.17,0.009999999999999787,0.1934,34345.47,17682.656
000863.SZ,20190918,5.17,5.25,5.14,5.17,5.21,-0.040000000000000036,-0.7678,45874.72,23784.279
000863.SZ,20190917,5.35,5.39,5.17,5.21,5.35,-0.13999999999999968,-2.6168,78466.44,41146.379
000863.SZ,20190916,5.35,5.78,5.23,5.35,5.38,-0.03000000000000025,-0.5576,222512.41,122199.353
000863.SZ,20190912,4.89,5.38,4.85,5.38,4.89,0.4900000000000002,10.0204,161151.45,83743.565
000863.SZ,20190911,4.95,4.95,4.8,4.89,4.95,-0.0600000000000005,-1.2121,32393.77,15874.056
000863.SZ,20190910,4.94,4.95,4.89,4.95,4.93,0.020000000000000462,0.4057,20511.47,10089.833
000863.SZ,20190909,4.9,4.94,4.89,4.93,4.89,0.040000000000000036,0.818,26771.0,13170.65
000863.SZ,20190906,4.86,4.89,4.83,4.89,4.87,0.019999999999999574,0.4107,21102.1,10272.08
000863.SZ,20190905,4.88,4.91,4.84,4.87,4.85,0.020000000000000462,0.4124,41825.86,20404.561
000863.SZ,20190904,4.83,4.85,4.8,4.85,4.83,0.019999999999999574,0.4141,15536.0,7493.932
000863.SZ,20190903,4.83,4.83,4.79,4.83,4.82,0.009999999999999787,0.2075,14084.52,6777.522
000863.SZ,20190902,4.78,4.83,4.73,4.82,4.78,0.040000000000000036,0.8368,14595.0,6993.887
000863.SZ,20190830,4.85,4.86,4.77,4.78,4.84,-0.05999999999999961,-1.2397,13882.0,6682.394
000863.SZ,20190829,4.89,4.93,4.79,4.84,4.9,-0.0600000000000005,-1.2245,21118.0,10226.204
000863.SZ,20190828,4.88,4.95,4.81,4.9,4.88,0.020000000000000462,0.4098,32229.0,15747.971
000863.SZ,20190827,4.79,4.9,4.79,4.88,4.78,0.09999999999999964,2.0921,22350.01,10840.131
000863.SZ,20190826,4.73,4.83,4.73,4.78,4.85,-0.0699999999999994,-1.4433,7501.62,3597.363
000863.SZ,20190823,4.98,4.98,4.85,4.85,4.93,-0.08000000000000007,-1.6227,13768.51,6708.419
000863.SZ,20190822,4.94,4.98,4.85,4.93,4.96,-0.03000000000000025,-0.6048,25260.0,12360.822
000863.SZ,20190821,4.93,4.98,4.93,4.96,4.95,0.009999999999999787,0.202,12914.0,6398.001
000863.SZ,20190820,4.89,4.97,4.87,4.95,4.9,0.04999999999999982,1.0204,26547.0,13100.007
000863.SZ,20190819,4.83,4.91,4.79,4.9,4.81,0.09000000000000075,1.8711,33675.0,16363.126
000863.SZ,20190816,4.85,4.87,4.76,4.81,4.87,-0.0600000000000005,-1.232,11815.0,5706.493
000863.SZ,20190815,4.77,4.87,4.7,4.87,4.84,0.03000000000000025,0.6198,20703.73,9887.506
000863.SZ,20190814,4.86,4.88,4.8,4.84,4.83,0.009999999999999787,0.207,17833.0,8608.196
000863.SZ,20190813,4.8,4.85,4.75,4.83,4.87,-0.040000000000000036,-0.8214,13206.0,6348.788
000863.SZ,20190812,4.83,4.87,4.78,4.87,4.83,0.040000000000000036,0.8282,12355.0,5971.176
000863.SZ,20190809,4.94,4.94,4.78,4.83,4.9,-0.07000000000000028,-1.4286,20635.36,9966.971
000863.SZ,20190808,4.9,4.92,4.82,4.9,4.89,0.010000000000000675,0.2045,20688.88,10097.636
000863.SZ,20190807,4.8,4.97,4.75,4.89,4.78,0.10999999999999943,2.3013,39316.62,19146.361
000863.SZ,20190806,4.87,4.87,4.54,4.78,4.92,-0.13999999999999968,-2.8455,50431.53,23731.519
000863.SZ,20190805,5.0,5.01,4.78,4.92,5.03,-0.11000000000000032,-2.1869,63374.63,31014.627
000863.SZ,20190802,5.08,5.13,5.0,5.03,5.17,-0.13999999999999968,-2.7079,53465.36,26951.397
000863.SZ,20190801,5.2,5.24,5.05,5.17,5.25,-0.08000000000000007,-1.5238,68993.57,35430.924
000863.SZ,20190731,5.26,5.33,5.18,5.25,5.38,-0.1299999999999999,-2.4164,89117.0,46574.105
000863.SZ,20190730,5.54,5.56,5.33,5.38,5.35,0.03000000000000025,0.5607,150349.5,82039.658
000863.SZ,20190729,5.26,5.4,5.24,5.35,5.25,0.09999999999999964,1.9048,74268.0,39494.031
000863.SZ,20190726,5.14,5.26,5.13,5.25,5.2,0.04999999999999982,0.9615,32228.1,16827.278
000863.SZ,20190725,5.12,5.2,5.08,5.2,5.12,0.08000000000000007,1.5625,31260.99,16106.423
000863.SZ,20190724,5.1,5.15,5.09,5.12,5.08,0.040000000000000036,0.7874,27367.14,14029.589
000863.SZ,20190723,5.02,5.1,5.02,5.08,4.99,0.08999999999999986,1.8036,25831.0,13100.62
000863.SZ,20190722,5.1,5.1,4.99,4.99,5.1,-0.10999999999999943,-2.1569,28928.02,14517.916
000863.SZ,20190719,5.09,5.13,5.09,5.1,5.11,-0.010000000000000675,-0.1957,20646.0,10547.084
000863.SZ,20190718,5.16,5.18,5.06,5.11,5.17,-0.05999999999999961,-1.1605,25390.0,12965.636
000863.SZ,20190717,5.17,5.23,5.14,5.17,5.13,0.040000000000000036,0.7797,31775.09,16444.516
000863.SZ,20190716,5.16,5.2,5.12,5.13,5.19,-0.0600000000000005,-1.1561,29802.0,15321.07
000863.SZ,20190715,5.14,5.2,5.1,5.19,5.21,-0.019999999999999574,-0.3839,57593.01,29653.673
000863.SZ,20190712,5.25,5.35,5.18,5.21,5.13,0.08000000000000007,1.5595,89960.9,47359.26
000863.SZ,20190711,5.11,5.17,5.09,5.13,5.14,-0.009999999999999787,-0.1946,23934.0,12277.11
000863.SZ,20190710,5.11,5.17,5.1,5.14,5.16,-0.020000000000000462,-0.3876,22064.0,11334.088
000863.SZ,20190709,5.08,5.18,5.08,5.16,5.08,0.08000000000000007,1.5748,36717.44,18860.922
