ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600636.SH,20200225,13.94,14.56,13.38,13.9,14.14,-0.2400000000000002,-1.6973,196359.64,275561.266
600636.SH,20200224,13.7,14.49,13.5,14.14,13.44,0.7000000000000011,5.2083,230302.07,324269.734
600636.SH,20200221,13.01,13.5,12.93,13.44,13.22,0.21999999999999886,1.6641,162973.57,217041.841
600636.SH,20200220,13.41,13.56,12.86,13.22,13.42,-0.1999999999999993,-1.4903,195438.5,257365.028
600636.SH,20200219,14.48,14.5,13.33,13.42,14.45,-1.0299999999999994,-7.128,249048.27,345255.184
600636.SH,20200218,13.8,14.63,13.4,14.45,13.69,0.7599999999999998,5.5515,318245.53,450773.083
600636.SH,20200217,13.4,13.85,13.18,13.69,13.6,0.08999999999999986,0.6618,190422.3,258454.575
600636.SH,20200214,14.07,14.3,13.38,13.6,14.17,-0.5700000000000003,-4.0226,266473.2,364784.408
600636.SH,20200213,15.03,15.22,13.94,14.17,15.32,-1.1500000000000004,-7.5065,390247.92,571783.055
600636.SH,20200212,14.18,15.98,14.18,15.32,14.58,0.7400000000000002,5.0754,514626.21,769310.055
600636.SH,20200211,15.9,16.66,14.43,14.58,15.22,-0.6400000000000006,-4.205,616127.14,962993.53
600636.SH,20200210,16.1,16.1,13.27,15.22,14.64,0.5800000000000001,3.9617,714163.35,1062040.179
600636.SH,20200207,14.64,14.64,14.64,14.64,13.31,1.33,9.9925,38121.72,55810.198
600636.SH,20200206,13.31,13.31,13.31,13.31,12.1,1.2100000000000009,10.0,31295.17,41653.871
600636.SH,20200205,11.93,12.1,11.61,12.1,11.0,1.0999999999999996,10.0,115359.76,137589.844
600636.SH,20200204,10.39,11.0,10.39,11.0,10.0,1.0,10.0,122821.9,132782.004
600636.SH,20200203,9.88,10.37,9.51,10.0,10.57,-0.5700000000000003,-5.3926,147866.14,146534.532
600636.SH,20200123,10.76,11.02,10.44,10.57,10.88,-0.3100000000000005,-2.8493,64522.76,69165.527
600636.SH,20200122,10.54,10.9,10.51,10.88,10.69,0.19000000000000128,1.7774,55306.05,59530.288
600636.SH,20200121,10.6,10.98,10.56,10.69,10.64,0.049999999999998934,0.4699,63020.17,67710.307
600636.SH,20200120,10.66,10.72,10.51,10.64,10.78,-0.1399999999999988,-1.2987,66190.9,70221.95
600636.SH,20200117,10.3,10.98,10.24,10.78,10.3,0.47999999999999865,4.6602,111453.79,118173.869
600636.SH,20200116,10.21,10.35,10.15,10.3,10.25,0.05000000000000071,0.4878,33398.4,34187.407
600636.SH,20200115,10.27,10.33,10.14,10.25,10.27,-0.019999999999999574,-0.1947,28334.36,28961.296
600636.SH,20200114,10.34,10.4,10.21,10.27,10.34,-0.07000000000000028,-0.677,30858.0,31712.434
600636.SH,20200113,10.3,10.4,10.1,10.34,10.3,0.03999999999999915,0.3883,38945.25,39858.718
600636.SH,20200110,10.42,10.6,10.28,10.3,10.44,-0.1399999999999988,-1.341,32977.38,34116.172
600636.SH,20200109,10.36,10.54,10.34,10.44,10.27,0.16999999999999993,1.6553,39293.12,40988.184
