ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600843.SH,20200225,7.52,8.25,7.31,7.9,7.6,0.3000000000000007,3.9474,51588.14,39786.396
600843.SH,20200224,7.45,7.66,7.41,7.6,7.45,0.14999999999999947,2.0134,24258.64,18379.698
600843.SH,20200221,7.47,7.52,7.43,7.45,7.46,-0.009999999999999787,-0.134,13436.2,10029.3
600843.SH,20200220,7.3,7.51,7.3,7.46,7.45,0.009999999999999787,0.1342,12356.04,9173.588
600843.SH,20200219,7.53,7.56,7.41,7.45,7.54,-0.08999999999999986,-1.1936,18535.14,13858.693
600843.SH,20200218,7.44,7.55,7.36,7.54,7.39,0.15000000000000036,2.0298,19887.1,14855.017
600843.SH,20200217,7.33,7.4,7.3,7.39,7.26,0.1299999999999999,1.7906,18324.04,13490.554
600843.SH,20200214,7.33,7.37,7.25,7.26,7.33,-0.07000000000000028,-0.955,12324.6,9000.98
600843.SH,20200213,7.51,7.59,7.25,7.33,7.59,-0.2599999999999998,-3.4256,33957.21,25091.279
600843.SH,20200212,7.48,7.73,7.31,7.59,7.71,-0.1200000000000001,-1.5564,50015.92,37884.799
600843.SH,20200211,7.28,7.91,6.99,7.71,7.19,0.5199999999999996,7.2323,68347.41,51929.92
600843.SH,20200210,6.99,7.49,6.99,7.19,7.0,0.1900000000000004,2.7143,24265.2,17576.466
600843.SH,20200207,6.65,7.25,6.6,7.0,6.61,0.3899999999999997,5.9002,27208.1,19010.054
600843.SH,20200206,6.56,6.64,6.48,6.61,6.52,0.09000000000000075,1.3804,10914.62,7191.776
600843.SH,20200205,6.42,6.62,6.42,6.52,6.43,0.08999999999999986,1.3997,13030.0,8506.411
600843.SH,20200204,6.08,6.53,6.08,6.43,6.49,-0.0600000000000005,-0.9245,15186.0,9727.628
600843.SH,20200203,6.49,6.49,6.49,6.49,7.21,-0.7199999999999998,-9.9861,5376.0,3489.024
600843.SH,20200123,7.38,7.43,7.06,7.21,7.36,-0.15000000000000036,-2.038,12829.13,9290.435
600843.SH,20200122,7.44,7.44,7.25,7.36,7.44,-0.08000000000000007,-1.0753,9487.23,6969.032
600843.SH,20200121,7.47,7.47,7.37,7.44,7.47,-0.02999999999999936,-0.4016,7417.01,5503.068
600843.SH,20200120,7.37,7.47,7.37,7.47,7.42,0.04999999999999982,0.6739,7223.29,5360.443
600843.SH,20200117,7.44,7.49,7.39,7.42,7.43,-0.009999999999999787,-0.1346,6442.0,4787.366
600843.SH,20200116,7.64,7.64,7.41,7.43,7.59,-0.16000000000000014,-2.108,16648.01,12459.308
600843.SH,20200115,7.72,7.75,7.59,7.59,7.71,-0.1200000000000001,-1.5564,8381.06,6411.734
600843.SH,20200114,7.77,7.81,7.7,7.71,7.74,-0.03000000000000025,-0.3876,7492.01,5807.852
600843.SH,20200113,7.78,7.8,7.71,7.74,7.77,-0.02999999999999936,-0.3861,9332.02,7236.072
600843.SH,20200110,7.84,7.87,7.7,7.77,7.81,-0.040000000000000036,-0.5122,7864.25,6110.345
600843.SH,20200109,7.8,7.87,7.77,7.81,7.79,0.019999999999999574,0.2567,8764.2,6840.841
600843.SH,20200108,7.85,7.92,7.77,7.79,7.86,-0.07000000000000028,-0.8906,12684.27,9956.422
600843.SH,20200107,7.85,7.94,7.83,7.86,7.84,0.020000000000000462,0.2551,14305.14,11268.045
600843.SH,20200106,7.77,7.88,7.75,7.84,7.83,0.009999999999999787,0.1277,12199.27,9541.484
600843.SH,20200103,7.7,7.97,7.68,7.83,7.73,0.09999999999999964,1.2937,20789.13,16247.636
600843.SH,20200102,7.71,7.84,7.7,7.73,7.69,0.040000000000000036,0.5202,11078.48,8588.316
600843.SH,20191231,7.6,7.7,7.57,7.69,7.58,0.11000000000000032,1.4512,8932.73,6819.941
600843.SH,20191230,7.52,7.63,7.52,7.58,7.57,0.009999999999999787,0.1321,7156.14,5427.74
600843.SH,20191227,7.51,7.72,7.51,7.57,7.51,0.0600000000000005,0.7989,15848.0,12110.431
600843.SH,20191226,7.42,7.54,7.42,7.51,7.46,0.04999999999999982,0.6702,5982.0,4490.717
600843.SH,20191225,7.42,7.46,7.27,7.46,7.44,0.019999999999999574,0.2688,4370.0,3246.344
600843.SH,20191224,7.41,7.48,7.39,7.44,7.4,0.040000000000000036,0.5405,4521.9,3359.4
600843.SH,20191223,7.51,7.55,7.4,7.4,7.51,-0.10999999999999943,-1.4647,5745.0,4285.789
600843.SH,20191220,7.63,7.63,7.46,7.51,7.51,0.0,0.0,8307.88,6255.491
600843.SH,20191219,7.55,7.57,7.5,7.51,7.5,0.009999999999999787,0.1333,5073.0,3814.113
600843.SH,20191218,7.51,7.59,7.5,7.5,7.5,0.0,0.0,8461.0,6378.057
600843.SH,20191217,7.37,7.51,7.37,7.5,7.41,0.08999999999999986,1.2146,12452.32,9297.384
600843.SH,20191216,7.37,7.44,7.32,7.41,7.35,0.0600000000000005,0.8163,9213.06,6792.964
600843.SH,20191213,7.25,7.38,7.22,7.35,7.25,0.09999999999999964,1.3793,7645.89,5596.494
600843.SH,20191212,7.3,7.35,7.1,7.25,7.3,-0.04999999999999982,-0.6849,8087.0,5849.864
600843.SH,20191211,7.29,7.32,7.23,7.3,7.26,0.040000000000000036,0.551,6062.0,4410.222
600843.SH,20191210,7.3,7.35,7.23,7.26,7.27,-0.009999999999999787,-0.1376,9495.29,6909.931
600843.SH,20191209,7.35,7.38,7.25,7.27,7.35,-0.08000000000000007,-1.0884,7557.0,5522.934
600843.SH,20191206,7.31,7.37,7.3,7.35,7.35,0.0,0.0,4943.38,3624.921
600843.SH,20191205,7.31,7.38,7.29,7.35,7.35,0.0,0.0,7923.0,5811.551
600843.SH,20191204,7.31,7.39,7.27,7.35,7.35,0.0,0.0,4878.48,3569.892
600843.SH,20191203,7.39,7.42,7.29,7.35,7.38,-0.03000000000000025,-0.4065,4572.82,3356.841
600843.SH,20191202,7.31,7.42,7.31,7.38,7.34,0.040000000000000036,0.545,4190.0,3082.893
600843.SH,20191129,7.46,7.47,7.32,7.34,7.44,-0.10000000000000053,-1.3441,5713.7,4214.854
600843.SH,20191128,7.53,7.56,7.38,7.44,7.52,-0.07999999999999918,-1.0638,5145.01,3831.136
600843.SH,20191127,7.53,7.56,7.49,7.52,7.53,-0.010000000000000675,-0.1328,3857.0,2901.214
600843.SH,20191126,7.45,7.57,7.42,7.53,7.47,0.0600000000000005,0.8032,3741.76,2812.691
600843.SH,20191125,7.47,7.54,7.45,7.47,7.52,-0.04999999999999982,-0.6649,3548.0,2655.587
600843.SH,20191122,7.48,7.58,7.48,7.52,7.55,-0.03000000000000025,-0.3974,3292.74,2476.459
600843.SH,20191121,7.5,7.58,7.43,7.55,7.54,0.009999999999999787,0.1326,3168.0,2383.982
600843.SH,20191120,7.46,7.57,7.41,7.54,7.45,0.08999999999999986,1.2081,5953.0,4474.707
600843.SH,20191119,7.32,7.47,7.32,7.45,7.34,0.11000000000000032,1.4986,4749.16,3528.204
600843.SH,20191118,7.33,7.43,7.28,7.34,7.33,0.009999999999999787,0.1364,3274.03,2408.227
600843.SH,20191115,7.4,7.4,7.26,7.33,7.36,-0.03000000000000025,-0.4076,2859.85,2096.698
600843.SH,20191114,7.43,7.43,7.34,7.36,7.37,-0.009999999999999787,-0.1357,2377.0,1752.713
600843.SH,20191113,7.45,7.47,7.35,7.37,7.43,-0.05999999999999961,-0.8075,2662.1,1966.687
600843.SH,20191112,7.3,7.43,7.26,7.43,7.3,0.1299999999999999,1.7808,5289.0,3890.657
600843.SH,20191111,7.66,7.66,7.22,7.3,7.56,-0.2599999999999998,-3.4392,7904.24,5844.69
600843.SH,20191108,7.64,7.64,7.53,7.56,7.52,0.040000000000000036,0.5319,5776.85,4381.38
600843.SH,20191107,7.69,7.69,7.5,7.52,7.49,0.02999999999999936,0.4005,5659.0,4272.909
600843.SH,20191106,7.66,7.66,7.41,7.49,7.61,-0.1200000000000001,-1.5769,6691.01,5041.938
600843.SH,20191105,7.63,7.68,7.53,7.61,7.63,-0.019999999999999574,-0.2621,5899.79,4474.159
600843.SH,20191104,7.64,7.72,7.63,7.63,7.64,-0.009999999999999787,-0.1309,4927.13,3775.505
600843.SH,20191101,7.6,7.69,7.53,7.64,7.59,0.04999999999999982,0.6588,7629.21,5819.286
600843.SH,20191031,7.7,7.75,7.57,7.59,7.74,-0.15000000000000036,-1.938,9150.21,6997.827
600843.SH,20191030,7.82,7.84,7.71,7.74,7.82,-0.08000000000000007,-1.023,4474.27,3472.61
600843.SH,20191029,7.8,7.85,7.73,7.82,7.77,0.05000000000000071,0.6435,5720.0,4460.94
600843.SH,20191028,7.72,7.79,7.7,7.77,7.71,0.05999999999999961,0.7782,5749.01,4458.929
600843.SH,20191025,7.64,7.73,7.64,7.71,7.72,-0.009999999999999787,-0.1295,6051.01,4650.645
600843.SH,20191024,7.68,7.81,7.64,7.72,7.68,0.040000000000000036,0.5208,4160.01,3194.509
600843.SH,20191023,7.66,7.76,7.66,7.68,7.72,-0.040000000000000036,-0.5181,4434.0,3415.904
600843.SH,20191022,7.65,7.77,7.65,7.72,7.61,0.10999999999999943,1.4455,5910.0,4559.175
600843.SH,20191021,7.71,7.71,7.56,7.61,7.71,-0.09999999999999964,-1.297,6370.22,4858.024
600843.SH,20191018,7.82,7.91,7.52,7.71,7.88,-0.16999999999999993,-2.1574,7788.61,6043.723
600843.SH,20191017,7.87,8.02,7.85,7.88,7.9,-0.020000000000000462,-0.2532,8335.0,6579.963
600843.SH,20191016,8.0,8.06,7.21,7.9,8.01,-0.10999999999999943,-1.3733,7666.12,6058.689
600843.SH,20191015,8.19,8.19,8.01,8.01,8.19,-0.17999999999999972,-2.1978,9244.0,7449.506
600843.SH,20191014,8.21,8.26,8.11,8.19,8.18,0.009999999999999787,0.1222,8786.02,7184.45
600843.SH,20191011,8.22,8.27,8.15,8.18,8.22,-0.040000000000000924,-0.4866,6259.4,5124.656
600843.SH,20191010,8.05,8.24,8.05,8.22,8.14,0.08000000000000007,0.9828,7145.63,5849.25
600843.SH,20191009,7.98,8.14,7.86,8.14,7.99,0.15000000000000036,1.8773,9037.4,7288.819
600843.SH,20191008,8.06,8.13,7.9,7.99,8.03,-0.03999999999999915,-0.4981,6848.0,5480.932
600843.SH,20190930,8.03,8.18,8.01,8.03,8.1,-0.07000000000000028,-0.8642,8500.0,6860.409
600843.SH,20190927,8.07,8.15,7.91,8.1,8.01,0.08999999999999986,1.1236,7828.0,6342.569
600843.SH,20190926,8.19,8.24,7.95,8.01,8.19,-0.17999999999999972,-2.1978,14896.24,12002.079
600843.SH,20190925,8.13,8.35,8.13,8.19,8.2,-0.009999999999999787,-0.122,17218.0,14197.15
600843.SH,20190924,8.13,8.28,8.13,8.2,8.2,0.0,0.0,9999.87,8243.531
600843.SH,20190923,8.17,8.24,8.08,8.2,8.16,0.03999999999999915,0.4902,15801.08,12905.061
600843.SH,20190920,8.35,8.35,8.16,8.16,8.31,-0.15000000000000036,-1.8051,16153.42,13290.103
600843.SH,20190919,8.38,8.38,8.16,8.31,8.23,0.08000000000000007,0.9721,16321.5,13483.221
600843.SH,20190918,8.25,8.45,8.22,8.23,8.28,-0.049999999999998934,-0.6039,22565.61,18790.768
600843.SH,20190917,8.29,8.41,8.2,8.28,8.29,-0.009999999999999787,-0.1206,25130.83,20832.323
600843.SH,20190916,8.1,8.32,8.1,8.29,8.13,0.15999999999999837,1.968,19456.69,16007.649
600843.SH,20190912,8.15,8.17,8.0,8.13,8.06,0.07000000000000028,0.8685,17304.17,14016.355
600843.SH,20190911,7.85,8.13,7.85,8.06,7.93,0.13000000000000078,1.6393,23355.52,18705.956
600843.SH,20190910,7.72,8.42,7.71,7.93,7.71,0.21999999999999975,2.8534,52594.2,42499.184
600843.SH,20190909,7.65,7.72,7.62,7.71,7.54,0.16999999999999993,2.2546,15875.62,12178.098
600843.SH,20190906,7.56,7.59,7.5,7.54,7.53,0.009999999999999787,0.1328,8302.47,6260.11
600843.SH,20190905,7.54,7.66,7.51,7.53,7.51,0.020000000000000462,0.2663,12399.0,9400.752
600843.SH,20190904,7.5,7.51,7.43,7.51,7.47,0.040000000000000036,0.5355,8467.81,6332.341
600843.SH,20190903,7.47,7.49,7.41,7.47,7.44,0.02999999999999936,0.4032,6195.8,4615.295
600843.SH,20190902,7.39,7.45,7.3,7.44,7.31,0.13000000000000078,1.7784,13173.8,9783.447
600843.SH,20190830,7.38,7.45,7.27,7.31,7.37,-0.0600000000000005,-0.8141,9664.0,7106.831
600843.SH,20190829,7.33,7.38,7.28,7.37,7.36,0.009999999999999787,0.1359,10758.77,7894.067
600843.SH,20190828,7.22,7.37,7.22,7.36,7.27,0.09000000000000075,1.238,10896.08,7967.481
600843.SH,20190827,7.16,7.29,7.16,7.27,7.16,0.10999999999999943,1.5363,10892.71,7911.002
600843.SH,20190826,7.14,7.24,7.08,7.16,7.28,-0.1200000000000001,-1.6484,6773.5,4859.293
600843.SH,20190823,7.21,7.34,7.21,7.28,7.3,-0.019999999999999574,-0.274,6589.25,4804.779
600843.SH,20190822,7.44,7.44,7.2,7.3,7.23,0.0699999999999994,0.9682,10877.02,7930.385
600843.SH,20190821,7.18,7.41,7.12,7.23,7.23,0.0,0.0,12588.0,9172.576
600843.SH,20190820,7.25,7.32,7.18,7.23,7.25,-0.019999999999999574,-0.2759,11957.08,8676.991
600843.SH,20190819,7.23,7.3,7.19,7.25,7.18,0.07000000000000028,0.9749,11552.54,8372.533
600843.SH,20190816,7.17,7.24,7.15,7.18,7.18,0.0,0.0,15236.0,10974.004
600843.SH,20190815,7.06,7.18,6.84,7.18,7.09,0.08999999999999986,1.2694,12281.8,8703.832
600843.SH,20190814,7.05,7.13,7.05,7.09,7.01,0.08000000000000007,1.1412,12133.56,8610.161
600843.SH,20190813,6.91,7.01,6.91,7.01,6.99,0.019999999999999574,0.2861,6061.0,4215.822
600843.SH,20190812,6.78,6.99,6.74,6.99,6.8,0.1900000000000004,2.7941,13130.56,9067.712
600843.SH,20190809,6.8,6.83,6.67,6.8,6.83,-0.03000000000000025,-0.4392,12888.0,8715.376
600843.SH,20190808,6.55,7.06,6.55,6.83,6.59,0.2400000000000002,3.6419,24229.68,16500.982
600843.SH,20190807,6.56,6.6,6.4,6.59,6.48,0.10999999999999943,1.6975,13971.74,9124.899
600843.SH,20190806,6.71,6.72,6.32,6.48,6.76,-0.27999999999999936,-4.142,16761.0,10842.388
600843.SH,20190805,6.93,6.93,6.71,6.76,6.92,-0.16000000000000014,-2.3121,7625.0,5213.186
600843.SH,20190802,6.91,6.95,6.88,6.92,7.01,-0.08999999999999986,-1.2839,10154.48,7026.384
600843.SH,20190801,7.03,7.1,6.99,7.01,7.06,-0.04999999999999982,-0.7082,11448.0,8044.608
600843.SH,20190731,7.16,7.16,7.04,7.06,7.17,-0.11000000000000032,-1.5342,7245.0,5142.69
600843.SH,20190730,7.15,7.2,7.14,7.17,7.16,0.009999999999999787,0.1397,4804.0,3446.536
600843.SH,20190729,7.17,7.24,7.13,7.16,7.17,-0.009999999999999787,-0.1395,7003.6,5023.146
