ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600679.SH,20200225,11.18,11.27,10.86,11.18,11.43,-0.25,-2.1872,27813.02,30868.602
600679.SH,20200224,11.6,11.8,11.3,11.43,11.6,-0.16999999999999993,-1.4655,23746.04,27152.406
600679.SH,20200221,11.43,11.64,11.38,11.6,11.43,0.16999999999999993,1.4873,20782.04,23979.985
600679.SH,20200220,11.21,11.45,11.16,11.43,11.22,0.20999999999999908,1.8717,20067.15,22748.17
600679.SH,20200219,11.17,11.45,11.17,11.22,11.27,-0.049999999999998934,-0.4437,15605.01,17606.077
600679.SH,20200218,11.19,11.35,11.08,11.27,11.08,0.1899999999999995,1.7148,19321.01,21681.993
600679.SH,20200217,10.79,11.15,10.72,11.08,10.72,0.35999999999999943,3.3582,17752.04,19511.646
600679.SH,20200214,10.87,10.87,10.64,10.72,10.79,-0.06999999999999851,-0.6487,9774.01,10493.798
600679.SH,20200213,11.02,11.05,10.78,10.79,11.01,-0.22000000000000064,-1.9982,15362.0,16723.783
600679.SH,20200212,10.97,11.03,10.86,11.01,10.9,0.10999999999999943,1.0092,15471.73,16919.713
600679.SH,20200211,10.93,11.22,10.83,10.9,11.02,-0.11999999999999922,-1.0889,14556.01,15863.611
600679.SH,20200210,10.89,11.09,10.61,11.02,10.84,0.17999999999999972,1.6605,18099.0,19713.914
600679.SH,20200207,10.56,11.38,10.56,10.84,10.56,0.27999999999999936,2.6515,25083.12,27462.908
600679.SH,20200206,10.42,10.64,10.42,10.56,10.41,0.15000000000000036,1.4409,17134.26,18075.87
600679.SH,20200205,10.27,10.65,10.25,10.41,10.27,0.14000000000000057,1.3632,19528.26,20433.972
600679.SH,20200204,9.65,10.48,9.6,10.27,10.67,-0.40000000000000036,-3.7488,27970.01,28120.581
600679.SH,20200203,10.67,10.85,10.67,10.67,11.86,-1.1899999999999995,-10.0337,21313.02,22792.03
600679.SH,20200123,12.32,12.32,11.81,11.86,12.39,-0.5300000000000011,-4.2776,18639.63,22427.677
600679.SH,20200122,12.34,12.47,12.0,12.39,12.4,-0.009999999999999787,-0.0806,18607.32,22766.81
600679.SH,20200121,12.85,12.85,12.31,12.4,13.14,-0.7400000000000002,-5.6317,37176.17,46561.728
600679.SH,20200120,14.1,14.1,13.06,13.14,14.1,-0.9599999999999991,-6.8085,70763.98,95149.571
600679.SH,20200106,12.97,14.1,12.96,14.1,12.82,1.2799999999999994,9.9844,74704.4,103800.996
600679.SH,20200103,12.89,12.99,12.67,12.82,12.78,0.040000000000000924,0.313,21695.0,27782.382
600679.SH,20200102,12.49,13.04,12.4,12.78,12.34,0.4399999999999995,3.5656,37529.04,47864.28
600679.SH,20191231,12.29,12.49,12.17,12.34,12.28,0.0600000000000005,0.4886,14719.01,18205.258
600679.SH,20191230,12.19,12.28,11.98,12.28,12.2,0.08000000000000007,0.6557,9044.02,11011.283
600679.SH,20191227,12.38,12.38,12.0,12.2,12.31,-0.11000000000000121,-0.8936,10025.02,12324.248
600679.SH,20191226,12.23,12.4,12.2,12.31,12.23,0.08000000000000007,0.6541,12503.0,15404.535
600679.SH,20191225,12.12,12.26,12.0,12.23,12.22,0.009999999999999787,0.0818,5678.0,6919.507
600679.SH,20191224,11.95,12.22,11.95,12.22,11.95,0.27000000000000135,2.2594,10356.0,12558.28
600679.SH,20191223,12.21,12.25,11.93,11.95,12.27,-0.3200000000000003,-2.608,10326.0,12511.237
600679.SH,20191220,12.45,12.48,12.21,12.27,12.4,-0.13000000000000078,-1.0484,11126.0,13718.114
