ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600171.SH,20200225,22.47,23.13,20.89,22.79,23.21,-0.4200000000000017,-1.8096,852442.55,1894891.941
600171.SH,20200224,21.8,23.51,21.66,23.21,21.96,1.25,5.6922,747142.82,1703473.745
600171.SH,20200221,21.7,22.22,21.5,21.96,21.78,0.17999999999999972,0.8264,629964.71,1378410.368
600171.SH,20200220,21.7,22.27,20.82,21.78,22.05,-0.2699999999999996,-1.2245,751655.89,1623014.879
600171.SH,20200219,22.55,23.43,22.02,22.05,22.97,-0.9199999999999982,-4.0052,763185.83,1723121.906
600171.SH,20200218,22.0,23.58,21.88,22.97,22.25,0.7199999999999989,3.236,796568.28,1824511.398
600171.SH,20200217,21.6,22.27,21.35,22.25,22.12,0.129999999999999,0.5877,841420.75,1833926.121
600171.SH,20200214,20.41,22.22,20.25,22.12,20.2,1.9200000000000017,9.505,1095580.74,2383514.854
600171.SH,20200213,19.31,21.3,19.01,20.2,19.48,0.7199999999999989,3.6961,736053.36,1478027.999
600171.SH,20200212,18.77,19.83,18.65,19.48,18.58,0.9000000000000021,4.8439,612177.84,1175579.643
600171.SH,20200211,18.89,19.19,18.57,18.58,19.03,-0.45000000000000284,-2.3647,409488.29,769527.667
600171.SH,20200210,18.53,19.59,18.53,19.03,18.74,0.2900000000000027,1.5475,530627.64,1011153.791
600171.SH,20200207,18.27,19.12,18.16,18.74,18.56,0.17999999999999972,0.9698,611006.83,1139240.074
600171.SH,20200206,17.34,18.61,17.24,18.56,17.63,0.9299999999999997,5.2751,635779.54,1133576.223
600171.SH,20200205,17.16,18.1,17.05,17.63,17.34,0.28999999999999915,1.6724,664782.9,1171841.661
600171.SH,20200204,15.58,17.78,15.58,17.34,17.29,0.05000000000000071,0.2892,759517.3,1286911.893
600171.SH,20200203,17.29,17.29,17.29,17.29,19.21,-1.9200000000000017,-9.9948,33798.0,58436.742
600171.SH,20200123,19.6,19.95,18.5,19.21,19.21,0.0,0.0,963958.41,1865596.076
600171.SH,20200122,17.16,19.21,17.1,19.21,17.46,1.75,10.0229,599456.92,1101172.675
600171.SH,20200121,17.21,17.75,16.88,17.46,17.27,0.19000000000000128,1.1002,519808.78,900496.18
600171.SH,20200120,16.71,17.34,16.56,17.27,16.71,0.5599999999999987,3.3513,413486.12,705545.634
600171.SH,20200117,17.0,17.22,16.7,16.71,17.05,-0.33999999999999986,-1.9941,291320.45,492820.704
600171.SH,20200116,16.85,17.38,16.71,17.05,16.91,0.14000000000000057,0.8279,413311.56,702172.516
600171.SH,20200115,16.55,17.05,16.45,16.91,16.64,0.2699999999999996,1.6226,343542.13,577441.081
600171.SH,20200114,17.05,17.09,16.61,16.64,17.11,-0.46999999999999886,-2.7469,350950.14,588655.822
600171.SH,20200113,16.37,17.15,16.25,17.11,16.47,0.6400000000000006,3.8859,534137.81,902449.86
600171.SH,20200110,16.65,16.84,16.35,16.47,16.63,-0.16000000000000014,-0.9621,335918.22,557386.361
600171.SH,20200109,16.65,16.81,16.41,16.63,16.47,0.16000000000000014,0.9715,334978.88,555806.849
600171.SH,20200108,16.5,16.9,16.38,16.47,16.67,-0.20000000000000284,-1.1998,338777.07,562226.722
600171.SH,20200107,16.69,16.76,16.38,16.67,16.8,-0.129999999999999,-0.7738,298806.61,494682.814
600171.SH,20200106,16.22,16.98,16.17,16.8,16.37,0.4299999999999997,2.6268,439223.55,729799.515
600171.SH,20200103,16.18,16.56,16.1,16.37,16.21,0.16000000000000014,0.987,279131.74,455452.201
600171.SH,20200102,15.83,16.36,15.73,16.21,15.75,0.46000000000000085,2.9206,298342.25,481326.215
600171.SH,20191231,16.03,16.24,15.67,15.75,16.1,-0.3500000000000014,-2.1739,237683.01,376664.65
600171.SH,20191230,16.0,16.23,15.59,16.1,16.05,0.05000000000000071,0.3115,227860.04,363596.402
600171.SH,20191227,16.52,16.72,16.03,16.05,16.55,-0.5,-3.0211,357503.26,585437.298
600171.SH,20191226,16.42,16.66,16.23,16.55,16.58,-0.029999999999997584,-0.1809,346609.46,569396.216
600171.SH,20191225,15.79,16.67,15.78,16.58,15.83,0.7499999999999982,4.7378,602725.67,986358.145
