ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000005.SZ,20200225,2.83,2.88,2.77,2.85,2.9,-0.04999999999999982,-1.7241,151424.64,42739.426
000005.SZ,20200224,2.91,2.92,2.87,2.9,2.92,-0.020000000000000018,-0.6849,105864.28,30647.762
000005.SZ,20200221,2.91,2.94,2.89,2.92,2.91,0.009999999999999787,0.3436,130900.51,38171.141
000005.SZ,20200220,2.87,2.92,2.84,2.91,2.87,0.040000000000000036,1.3937,108887.9,31379.94
000005.SZ,20200219,2.9,2.91,2.85,2.87,2.9,-0.029999999999999805,-1.0345,89113.35,25712.889
000005.SZ,20200218,2.9,2.94,2.86,2.9,2.9,0.0,0.0,120637.87,34945.992
000005.SZ,20200217,2.8,2.9,2.8,2.9,2.8,0.10000000000000009,3.5714,114885.6,32893.443
000005.SZ,20200214,2.8,2.82,2.78,2.8,2.81,-0.010000000000000231,-0.3559,62658.0,17527.923
000005.SZ,20200213,2.86,2.86,2.8,2.81,2.87,-0.06000000000000005,-2.0906,87510.79,24709.569
000005.SZ,20200212,2.83,2.87,2.83,2.87,2.85,0.020000000000000018,0.7018,66286.78,18896.428
000005.SZ,20200211,2.86,2.87,2.82,2.85,2.87,-0.020000000000000018,-0.6969,92650.43,26376.979
000005.SZ,20200210,2.81,2.92,2.8,2.87,2.84,0.03000000000000025,1.0563,134869.48,38518.872
000005.SZ,20200207,2.72,2.84,2.69,2.84,2.71,0.1299999999999999,4.797,162044.86,44763.295
000005.SZ,20200206,2.7,2.72,2.65,2.71,2.68,0.029999999999999805,1.1194,93882.84,25297.576
000005.SZ,20200205,2.64,2.72,2.6,2.68,2.62,0.06000000000000005,2.2901,92105.99,24673.978
000005.SZ,20200204,2.4,2.64,2.4,2.62,2.67,-0.04999999999999982,-1.8727,137649.75,35450.524
000005.SZ,20200203,2.67,2.69,2.67,2.67,2.97,-0.30000000000000027,-10.101,68915.0,18401.978
000005.SZ,20200123,3.04,3.04,2.94,2.97,3.05,-0.07999999999999963,-2.623,104410.73,31174.149
000005.SZ,20200122,3.04,3.06,3.0,3.05,3.04,0.009999999999999787,0.3289,57575.0,17471.872
000005.SZ,20200121,3.11,3.11,3.02,3.04,3.14,-0.10000000000000009,-3.1847,100314.39,30701.569
000005.SZ,20200120,3.12,3.14,3.11,3.14,3.13,0.010000000000000231,0.3195,57286.65,17926.61
000005.SZ,20200117,3.14,3.16,3.11,3.13,3.13,0.0,0.0,54022.96,16911.238
000005.SZ,20200116,3.19,3.2,3.13,3.13,3.17,-0.040000000000000036,-1.2618,80005.8,25204.426
000005.SZ,20200115,3.2,3.2,3.13,3.17,3.2,-0.03000000000000025,-0.9375,84917.84,26905.169
000005.SZ,20200114,3.18,3.22,3.17,3.2,3.16,0.040000000000000036,1.2658,148195.98,47517.184
000005.SZ,20200113,3.16,3.17,3.12,3.16,3.17,-0.009999999999999787,-0.3155,69352.29,21833.447
000005.SZ,20200110,3.2,3.2,3.15,3.17,3.21,-0.040000000000000036,-1.2461,118906.85,37734.38
000005.SZ,20200109,3.17,3.24,3.16,3.21,3.15,0.06000000000000005,1.9048,157852.67,50481.517
000005.SZ,20200108,3.18,3.27,3.15,3.15,3.2,-0.050000000000000266,-1.5625,231731.07,74182.587
000005.SZ,20200107,3.16,3.21,3.14,3.2,3.15,0.050000000000000266,1.5873,148711.16,47208.301
000005.SZ,20200106,3.12,3.16,3.11,3.15,3.15,0.0,0.0,92391.64,28986.355
000005.SZ,20200103,3.14,3.15,3.12,3.15,3.14,0.009999999999999787,0.3185,81790.44,25660.052
000005.SZ,20200102,3.11,3.15,3.11,3.14,3.09,0.050000000000000266,1.6181,104134.12,32661.41
000005.SZ,20191231,3.09,3.1,3.05,3.09,3.08,0.009999999999999787,0.3247,55611.66,17115.12
000005.SZ,20191230,3.06,3.09,3.01,3.08,3.09,-0.009999999999999787,-0.3236,66811.55,20433.243
000005.SZ,20191227,3.1,3.14,3.08,3.09,3.1,-0.010000000000000231,-0.3226,91970.01,28526.697
000005.SZ,20191226,3.03,3.14,3.03,3.1,3.03,0.07000000000000028,2.3102,123479.27,38186.876
000005.SZ,20191225,3.05,3.05,3.01,3.03,3.05,-0.020000000000000018,-0.6557,47741.0,14455.554
000005.SZ,20191224,3.01,3.05,3.0,3.05,2.99,0.05999999999999961,2.0067,45606.0,13807.067
000005.SZ,20191223,3.09,3.1,2.99,2.99,3.09,-0.09999999999999964,-3.2362,96854.51,29405.507
000005.SZ,20191220,3.15,3.17,3.09,3.09,3.15,-0.06000000000000005,-1.9048,88556.76,27687.6
000005.SZ,20191219,3.16,3.19,3.13,3.15,3.17,-0.020000000000000018,-0.6309,100602.93,31791.912
000005.SZ,20191218,3.11,3.24,3.1,3.17,3.11,0.06000000000000005,1.9293,170260.07,53871.607
000005.SZ,20191217,3.07,3.12,3.05,3.11,3.06,0.04999999999999982,1.634,119808.76,36979.925
000005.SZ,20191216,3.03,3.07,3.02,3.06,3.02,0.040000000000000036,1.3245,88369.22,27031.172
000005.SZ,20191213,3.0,3.03,2.99,3.02,2.99,0.029999999999999805,1.0033,67786.0,20407.329
000005.SZ,20191212,3.0,3.01,2.98,2.99,3.01,-0.019999999999999574,-0.6645,44585.0,13363.838
000005.SZ,20191211,2.99,3.01,2.96,3.01,2.98,0.029999999999999805,1.0067,59717.95,17841.985
000005.SZ,20191210,2.98,2.99,2.96,2.98,2.98,0.0,0.0,41571.31,12354.12
000005.SZ,20191209,3.0,3.02,2.98,2.98,3.0,-0.020000000000000018,-0.6667,55149.01,16493.722
000005.SZ,20191206,3.0,3.02,2.99,3.0,3.0,0.0,0.0,50822.56,15269.791
000005.SZ,20191205,2.99,3.0,2.96,3.0,2.97,0.029999999999999805,1.0101,61513.61,18351.64
000005.SZ,20191204,2.96,2.98,2.95,2.97,2.97,0.0,0.0,32730.75,9702.563
000005.SZ,20191203,2.97,2.97,2.93,2.97,2.98,-0.009999999999999787,-0.3356,33941.54,10030.183
000005.SZ,20191202,2.92,3.02,2.91,2.98,2.93,0.04999999999999982,1.7065,74946.75,22249.674
000005.SZ,20191129,2.93,2.94,2.9,2.93,2.94,-0.009999999999999787,-0.3401,25932.11,7572.315
000005.SZ,20191128,2.94,2.97,2.92,2.94,2.94,0.0,0.0,28540.0,8406.205
000005.SZ,20191127,2.96,2.96,2.92,2.94,2.97,-0.03000000000000025,-1.0101,30326.65,8922.349
000005.SZ,20191126,2.95,2.99,2.94,2.97,2.95,0.020000000000000018,0.678,51986.02,15420.006
000005.SZ,20191125,2.94,2.95,2.91,2.95,2.93,0.020000000000000018,0.6826,44876.05,13173.249
000005.SZ,20191122,2.96,2.99,2.92,2.93,2.95,-0.020000000000000018,-0.678,41556.52,12268.356
000005.SZ,20191121,2.93,2.97,2.93,2.95,2.95,0.0,0.0,26830.61,7912.682
000005.SZ,20191120,3.01,3.02,2.93,2.95,2.97,-0.020000000000000018,-0.6734,52776.97,15690.509
000005.SZ,20191119,2.91,2.97,2.91,2.97,2.91,0.06000000000000005,2.0619,55918.96,16475.196
000005.SZ,20191118,2.88,2.92,2.85,2.91,2.88,0.03000000000000025,1.0417,37922.4,10971.449
000005.SZ,20191115,2.92,2.93,2.87,2.88,2.93,-0.050000000000000266,-1.7065,44132.0,12760.583
000005.SZ,20191114,2.94,2.95,2.9,2.93,2.94,-0.009999999999999787,-0.3401,40519.78,11839.672
