ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000893.SZ,20200225,5.9,5.9,5.71,5.83,5.92,-0.08999999999999986,-1.5203,52382.37,30334.147
000893.SZ,20200224,5.91,5.98,5.79,5.92,5.89,0.03000000000000025,0.5093,38586.49,22631.641
000893.SZ,20200221,5.93,5.97,5.85,5.89,5.93,-0.040000000000000036,-0.6745,38520.35,22722.946
000893.SZ,20200220,5.82,5.98,5.81,5.93,5.89,0.040000000000000036,0.6791,24491.4,14440.926
000893.SZ,20200219,6.0,6.0,5.8,5.89,6.0,-0.11000000000000032,-1.8333,21821.74,12953.281
000893.SZ,20200218,5.97,6.06,5.95,6.0,5.97,0.03000000000000025,0.5025,24246.27,14538.69
000893.SZ,20200217,5.87,6.0,5.87,5.97,5.8,0.16999999999999993,2.931,24101.26,14383.041
000893.SZ,20200214,5.86,5.87,5.78,5.8,5.87,-0.07000000000000028,-1.1925,28237.01,16400.26
000893.SZ,20200213,5.98,6.0,5.85,5.87,5.98,-0.11000000000000032,-1.8395,22734.1,13466.084
000893.SZ,20200212,5.89,6.07,5.89,5.98,5.98,0.0,0.0,19254.22,11497.401
000893.SZ,20200211,5.99,6.08,5.92,5.98,5.98,0.0,0.0,27130.5,16235.495
000893.SZ,20200210,5.63,6.07,5.58,5.98,5.6,0.3800000000000008,6.7857,36570.04,21346.139
000893.SZ,20200207,5.52,5.63,5.47,5.6,5.63,-0.03000000000000025,-0.5329,29619.0,16476.002
000893.SZ,20200206,5.37,5.63,5.36,5.63,5.35,0.28000000000000025,5.2336,33253.22,18259.917
000893.SZ,20200205,5.42,5.46,5.28,5.35,5.32,0.02999999999999936,0.5639,24870.73,13404.726
000893.SZ,20200204,5.04,5.76,5.04,5.32,5.6,-0.27999999999999936,-5.0,66841.79,35834.729
000893.SZ,20200203,5.6,5.6,5.6,5.6,6.22,-0.6200000000000001,-9.9678,23292.0,13043.52
000893.SZ,20200123,6.36,6.41,6.07,6.22,6.37,-0.15000000000000036,-2.3548,19507.01,12173.239
