ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601555.SH,20200225,9.8,10.14,9.53,10.07,10.01,0.0600000000000005,0.5994,936025.49,930001.285
601555.SH,20200224,9.88,10.17,9.82,10.01,9.98,0.02999999999999936,0.3006,803259.59,804849.727
601555.SH,20200221,10.1,10.43,9.84,9.98,10.08,-0.09999999999999964,-0.9921,1146395.61,1155406.084
601555.SH,20200220,9.52,10.12,9.36,10.08,9.4,0.6799999999999997,7.234,1168940.79,1141673.231
601555.SH,20200219,9.27,9.66,9.2,9.4,9.26,0.14000000000000057,1.5119,839751.61,797794.98
601555.SH,20200218,9.19,9.45,9.17,9.26,9.33,-0.07000000000000028,-0.7503,547798.51,508523.424
601555.SH,20200217,8.89,9.48,8.75,9.33,8.62,0.7100000000000009,8.2367,915448.29,829863.835
601555.SH,20200214,8.5,8.74,8.45,8.62,8.52,0.09999999999999964,1.1737,383519.93,330922.004
601555.SH,20200213,8.71,8.74,8.52,8.52,8.7,-0.17999999999999972,-2.069,313826.04,270046.694
601555.SH,20200212,8.5,8.77,8.48,8.7,8.56,0.1399999999999988,1.6355,385667.95,333178.422
601555.SH,20200211,8.65,8.75,8.52,8.56,8.56,0.0,0.0,293572.93,252946.231
601555.SH,20200210,8.35,8.6,8.32,8.56,8.42,0.14000000000000057,1.6627,333861.07,283964.783
601555.SH,20200207,8.38,8.48,8.3,8.42,8.37,0.05000000000000071,0.5974,364820.77,306024.245
601555.SH,20200206,8.21,8.46,8.11,8.37,8.19,0.17999999999999972,2.1978,451125.19,374922.287
601555.SH,20200205,8.09,8.44,8.09,8.19,8.09,0.09999999999999964,1.2361,408937.88,336534.265
601555.SH,20200204,7.6,8.22,7.6,8.09,8.23,-0.14000000000000057,-1.7011,566543.89,456212.223
601555.SH,20200203,8.23,8.23,8.23,8.23,9.14,-0.9100000000000001,-9.9562,103524.0,85200.252
601555.SH,20200123,9.6,9.67,9.0,9.14,9.71,-0.5700000000000003,-5.8702,552981.5,516093.115
601555.SH,20200122,9.59,9.82,9.45,9.71,9.67,0.040000000000000924,0.4137,403363.35,388121.957
601555.SH,20200121,9.76,9.83,9.65,9.67,9.82,-0.15000000000000036,-1.5275,368118.37,357732.856
601555.SH,20200120,9.61,9.84,9.55,9.82,9.58,0.2400000000000002,2.5052,458685.75,446823.249
601555.SH,20200117,9.55,9.73,9.54,9.58,9.52,0.0600000000000005,0.6303,312978.27,301134.565
601555.SH,20200116,9.6,9.62,9.45,9.52,9.55,-0.030000000000001137,-0.3141,229193.55,218448.984
601555.SH,20200115,9.53,9.65,9.5,9.55,9.56,-0.009999999999999787,-0.1046,220141.37,210555.251
601555.SH,20200114,9.69,9.72,9.56,9.56,9.68,-0.11999999999999922,-1.2397,298321.72,287635.116
601555.SH,20200113,9.52,9.7,9.38,9.68,9.57,0.10999999999999943,1.1494,419780.01,399666.783
601555.SH,20200110,9.72,9.81,9.5,9.57,9.71,-0.14000000000000057,-1.4418,515049.52,497218.909
601555.SH,20200109,9.79,9.83,9.66,9.71,9.59,0.120000000000001,1.2513,336538.48,327941.862
601555.SH,20200108,9.84,9.87,9.56,9.59,9.95,-0.35999999999999943,-3.6181,539378.72,523302.171
601555.SH,20200107,9.89,9.99,9.78,9.95,9.82,0.129999999999999,1.3238,470238.46,465011.499
601555.SH,20200106,9.78,10.02,9.73,9.82,9.9,-0.08000000000000007,-0.8081,550295.56,543272.152
601555.SH,20200103,9.91,10.05,9.86,9.9,9.97,-0.07000000000000028,-0.7021,420390.12,417992.756
601555.SH,20200102,10.23,10.27,9.96,9.97,9.99,-0.019999999999999574,-0.2002,683630.84,691234.599
601555.SH,20191231,9.92,10.06,9.86,9.99,9.98,0.009999999999999787,0.1002,579473.39,577636.153
601555.SH,20191230,9.45,10.09,9.42,9.98,9.56,0.41999999999999993,4.3933,886169.55,871830.664
601555.SH,20191227,9.88,10.0,9.53,9.56,9.9,-0.33999999999999986,-3.4343,740699.27,727286.535
601555.SH,20191226,9.63,9.93,9.61,9.9,9.65,0.25,2.5907,621719.01,606755.884
601555.SH,20191225,9.45,9.75,9.36,9.65,9.53,0.120000000000001,1.2592,508185.53,485038.265
601555.SH,20191224,9.42,9.54,9.3,9.53,9.42,0.10999999999999943,1.1677,450061.62,423570.836
601555.SH,20191223,9.68,9.97,9.38,9.42,9.7,-0.27999999999999936,-2.8866,864132.63,840962.929
601555.SH,20191220,9.49,9.99,9.45,9.7,9.42,0.27999999999999936,2.9724,1069243.28,1040599.131
601555.SH,20191219,9.38,9.46,9.33,9.42,9.41,0.009999999999999787,0.1063,391728.16,367942.303
601555.SH,20191218,9.4,9.66,9.32,9.41,9.44,-0.02999999999999936,-0.3178,871674.45,826737.11
601555.SH,20191217,9.13,9.85,9.09,9.44,9.16,0.27999999999999936,3.0568,860968.78,815842.867
601555.SH,20191216,9.06,9.2,8.92,9.16,9.03,0.13000000000000078,1.4396,482677.7,438051.01
601555.SH,20191213,8.79,9.11,8.72,9.03,8.64,0.3899999999999988,4.5139,595003.93,529529.024
601555.SH,20191212,8.73,8.73,8.63,8.64,8.74,-0.09999999999999964,-1.1442,114128.37,99014.357
601555.SH,20191211,8.65,8.86,8.61,8.74,8.63,0.10999999999999943,1.2746,218347.82,190685.118
601555.SH,20191210,8.67,8.68,8.55,8.63,8.67,-0.03999999999999915,-0.4614,117528.59,101173.016
601555.SH,20191209,8.75,8.77,8.66,8.67,8.7,-0.02999999999999936,-0.3448,126297.76,109805.393
601555.SH,20191206,8.65,8.7,8.6,8.7,8.64,0.05999999999999872,0.6944,161695.79,139840.648
601555.SH,20191205,8.52,8.65,8.51,8.64,8.5,0.14000000000000057,1.6471,197684.77,169673.952
601555.SH,20191204,8.48,8.53,8.47,8.5,8.55,-0.05000000000000071,-0.5848,71476.74,60711.042
601555.SH,20191203,8.45,8.55,8.41,8.55,8.53,0.02000000000000135,0.2345,89800.73,76205.983
601555.SH,20191202,8.63,8.66,8.5,8.53,8.53,0.0,0.0,162683.99,139601.699
601555.SH,20191129,8.5,8.57,8.44,8.53,8.47,0.05999999999999872,0.7084,99258.08,84535.092
601555.SH,20191128,8.52,8.56,8.45,8.47,8.52,-0.049999999999998934,-0.5869,74719.26,63520.35
601555.SH,20191127,8.58,8.58,8.51,8.52,8.59,-0.07000000000000028,-0.8149,72987.29,62287.305
601555.SH,20191126,8.64,8.65,8.52,8.59,8.6,-0.009999999999999787,-0.1163,106684.63,91455.118
601555.SH,20191125,8.54,8.6,8.48,8.6,8.53,0.07000000000000028,0.8206,102793.68,88045.783
601555.SH,20191122,8.52,8.64,8.48,8.53,8.53,0.0,0.0,104724.59,89528.177
601555.SH,20191121,8.5,8.59,8.41,8.53,8.55,-0.02000000000000135,-0.2339,81299.46,69357.584
601555.SH,20191120,8.68,8.71,8.53,8.55,8.72,-0.16999999999999993,-1.9495,127088.0,109605.425
601555.SH,20191119,8.65,8.72,8.61,8.72,8.67,0.05000000000000071,0.5767,114922.62,99764.632
601555.SH,20191118,8.57,8.71,8.51,8.67,8.56,0.10999999999999943,1.285,133975.09,115808.687
601555.SH,20191115,8.61,8.68,8.52,8.56,8.6,-0.03999999999999915,-0.4651,108730.05,93416.971
601555.SH,20191114,8.57,8.7,8.55,8.6,8.57,0.02999999999999936,0.3501,127164.47,109580.065
601555.SH,20191113,8.68,8.68,8.56,8.57,8.66,-0.08999999999999986,-1.0393,118424.42,101766.131
601555.SH,20191112,8.68,8.69,8.56,8.66,8.67,-0.009999999999999787,-0.1153,147155.55,126981.184
601555.SH,20191111,8.9,8.91,8.65,8.67,8.91,-0.2400000000000002,-2.6936,229956.54,201400.404
601555.SH,20191108,9.08,9.11,8.9,8.91,9.01,-0.09999999999999964,-1.1099,223061.0,200831.417
601555.SH,20191107,9.02,9.12,9.0,9.01,9.04,-0.02999999999999936,-0.3319,209441.23,189252.957
601555.SH,20191106,9.19,9.21,9.03,9.04,9.19,-0.15000000000000036,-1.6322,206601.18,188067.604
601555.SH,20191105,9.14,9.32,9.13,9.19,9.13,0.05999999999999872,0.6572,301268.94,277928.443
601555.SH,20191104,9.15,9.24,9.11,9.13,9.15,-0.019999999999999574,-0.2186,190255.49,174327.368
601555.SH,20191101,9.03,9.19,9.01,9.15,9.09,0.0600000000000005,0.6601,172832.07,157533.052
601555.SH,20191031,9.19,9.28,9.0,9.09,9.16,-0.07000000000000028,-0.7642,203369.78,185217.593
601555.SH,20191030,9.15,9.22,9.05,9.16,9.16,0.0,0.0,128987.69,117850.727
