ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000682.SZ,20200225,5.37,5.42,5.12,5.36,5.5,-0.13999999999999968,-2.5455,447745.59,237836.042
000682.SZ,20200224,5.28,5.55,5.22,5.5,5.24,0.2599999999999998,4.9618,421391.71,228075.106
000682.SZ,20200221,5.11,5.29,5.1,5.24,5.13,0.11000000000000032,2.1442,255809.01,133567.302
000682.SZ,20200220,5.05,5.15,5.01,5.13,5.04,0.08999999999999986,1.7857,227767.67,115890.156
000682.SZ,20200219,4.97,5.23,4.94,5.04,4.97,0.07000000000000028,1.4085,341100.09,173739.911
000682.SZ,20200218,4.85,4.97,4.82,4.97,4.83,0.13999999999999968,2.8986,185041.35,90787.294
000682.SZ,20200217,4.69,4.84,4.69,4.83,4.7,0.1299999999999999,2.766,146898.8,70311.162
000682.SZ,20200214,4.67,4.75,4.64,4.7,4.68,0.020000000000000462,0.4274,98140.36,46131.153
000682.SZ,20200213,4.72,4.79,4.67,4.68,4.75,-0.07000000000000028,-1.4737,108972.84,51381.141
000682.SZ,20200212,4.64,4.76,4.62,4.75,4.64,0.11000000000000032,2.3707,138839.68,65330.626
000682.SZ,20200211,4.67,4.69,4.59,4.64,4.67,-0.03000000000000025,-0.6424,98338.47,45716.271
000682.SZ,20200210,4.6,4.72,4.57,4.67,4.62,0.04999999999999982,1.0823,128182.1,59631.399
000682.SZ,20200207,4.55,4.64,4.45,4.62,4.55,0.07000000000000028,1.5385,183514.57,83468.507
000682.SZ,20200206,4.51,4.61,4.47,4.55,4.51,0.040000000000000036,0.8869,159814.5,72417.994
000682.SZ,20200205,4.4,4.62,4.33,4.51,4.38,0.1299999999999999,2.968,176038.22,79273.923
000682.SZ,20200204,4.11,4.45,4.11,4.38,4.57,-0.1900000000000004,-4.1575,230617.14,99727.103
000682.SZ,20200203,4.57,4.57,4.57,4.57,5.08,-0.5099999999999998,-10.0394,24605.0,11244.485
000682.SZ,20200123,5.3,5.35,4.99,5.08,5.34,-0.2599999999999998,-4.8689,204138.45,105557.015
000682.SZ,20200122,5.27,5.34,5.13,5.34,5.27,0.07000000000000028,1.3283,170820.29,89825.668
000682.SZ,20200121,5.27,5.4,5.24,5.27,5.3,-0.03000000000000025,-0.566,195123.52,103816.662
