ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600115.SH,20200225,4.73,4.77,4.61,4.76,4.85,-0.08999999999999986,-1.8557,940208.61,441206.917
600115.SH,20200224,4.99,4.99,4.8,4.85,5.02,-0.16999999999999993,-3.3865,984607.41,478066.781
600115.SH,20200221,5.03,5.03,4.98,5.02,5.07,-0.05000000000000071,-0.9862,631762.87,315965.588
600115.SH,20200220,5.03,5.1,4.98,5.07,4.95,0.1200000000000001,2.4242,763726.85,384259.976
600115.SH,20200219,4.9,5.08,4.88,4.95,4.91,0.040000000000000036,0.8147,634940.98,316500.984
600115.SH,20200218,4.92,4.95,4.86,4.91,4.92,-0.009999999999999787,-0.2033,312436.34,153109.036
600115.SH,20200217,4.84,4.92,4.82,4.92,4.84,0.08000000000000007,1.6529,460170.93,224150.313
600115.SH,20200214,4.78,4.84,4.75,4.84,4.78,0.05999999999999961,1.2552,256583.49,123276.081
600115.SH,20200213,4.8,4.89,4.77,4.78,4.84,-0.05999999999999961,-1.2397,500987.25,241683.534
600115.SH,20200212,4.81,4.84,4.73,4.84,4.81,0.03000000000000025,0.6237,433491.0,207783.273
600115.SH,20200211,4.7,4.86,4.7,4.81,4.7,0.10999999999999943,2.3404,578437.62,277805.564
600115.SH,20200210,4.64,4.71,4.61,4.7,4.72,-0.019999999999999574,-0.4237,509749.91,237825.002
600115.SH,20200207,4.65,4.73,4.6,4.72,4.7,0.019999999999999574,0.4255,542134.29,252026.666
600115.SH,20200206,4.62,4.73,4.51,4.7,4.56,0.14000000000000057,3.0702,916234.87,422512.939
600115.SH,20200205,4.46,4.6,4.46,4.56,4.43,0.1299999999999999,2.9345,911017.49,413542.528
600115.SH,20200204,4.23,4.56,4.23,4.43,4.59,-0.16000000000000014,-3.4858,1130925.65,498330.933
600115.SH,20200203,4.59,4.59,4.59,4.59,5.1,-0.5099999999999998,-10.0,193552.0,88840.368
600115.SH,20200123,5.16,5.2,5.05,5.1,5.28,-0.1800000000000006,-3.4091,741646.45,380764.748
600115.SH,20200122,5.17,5.29,5.15,5.28,5.22,0.0600000000000005,1.1494,477685.4,249591.68
600115.SH,20200121,5.31,5.33,5.2,5.22,5.38,-0.16000000000000014,-2.974,858269.22,451085.607
600115.SH,20200120,5.48,5.48,5.27,5.38,5.55,-0.16999999999999993,-3.0631,864452.38,462600.343
600115.SH,20200117,5.58,5.6,5.51,5.55,5.57,-0.020000000000000462,-0.3591,214328.17,118951.58
600115.SH,20200116,5.69,5.69,5.56,5.57,5.66,-0.08999999999999986,-1.5901,306569.04,171703.282
600115.SH,20200115,5.66,5.7,5.58,5.66,5.73,-0.07000000000000028,-1.2216,382510.5,215488.119
600115.SH,20200114,5.8,5.84,5.72,5.73,5.68,0.05000000000000071,0.8803,712498.51,412060.81
600115.SH,20200113,5.66,5.73,5.59,5.68,5.66,0.019999999999999574,0.3534,350294.27,198361.966
600115.SH,20200110,5.71,5.75,5.61,5.66,5.7,-0.040000000000000036,-0.7018,358622.31,203405.625
600115.SH,20200109,5.62,5.7,5.57,5.7,5.49,0.20999999999999996,3.8251,697503.62,393725.955
600115.SH,20200108,5.49,5.56,5.46,5.49,5.62,-0.1299999999999999,-2.3132,455333.59,250513.72
600115.SH,20200107,5.54,5.63,5.53,5.62,5.52,0.10000000000000053,1.8116,590491.77,329082.91
600115.SH,20200106,5.58,5.58,5.44,5.52,5.68,-0.16000000000000014,-2.8169,964457.0,530660.424
600115.SH,20200103,5.86,5.9,5.64,5.68,5.86,-0.1800000000000006,-3.0717,884110.97,506493.637
600115.SH,20200102,5.83,5.9,5.81,5.86,5.81,0.05000000000000071,0.8606,419403.7,245255.37
600115.SH,20191231,5.8,5.89,5.71,5.81,5.82,-0.010000000000000675,-0.1718,555599.92,321615.952
600115.SH,20191230,5.58,5.93,5.55,5.82,5.59,0.23000000000000043,4.1145,819309.15,472917.28
600115.SH,20191227,5.46,5.66,5.45,5.59,5.48,0.10999999999999943,2.0073,645627.06,361214.187
600115.SH,20191226,5.43,5.48,5.43,5.48,5.46,0.020000000000000462,0.3663,162604.58,88707.606
600115.SH,20191225,5.37,5.46,5.35,5.46,5.36,0.09999999999999964,1.8657,249846.17,135368.463
600115.SH,20191224,5.37,5.39,5.28,5.36,5.34,0.020000000000000462,0.3745,230875.73,123227.822
600115.SH,20191223,5.45,5.47,5.34,5.34,5.45,-0.11000000000000032,-2.0183,273876.82,147992.753
600115.SH,20191220,5.51,5.53,5.44,5.45,5.5,-0.04999999999999982,-0.9091,221414.15,121227.664
600115.SH,20191219,5.48,5.59,5.46,5.5,5.44,0.05999999999999961,1.1029,322008.98,177823.409
600115.SH,20191218,5.51,5.51,5.42,5.44,5.48,-0.040000000000000036,-0.7299,383454.93,209798.251
600115.SH,20191217,5.4,5.55,5.38,5.48,5.42,0.0600000000000005,1.107,558197.36,305827.171
600115.SH,20191216,5.4,5.45,5.37,5.42,5.45,-0.03000000000000025,-0.5505,386066.61,208478.547
600115.SH,20191213,5.46,5.5,5.33,5.45,5.25,0.20000000000000018,3.8095,1103175.62,599011.757
600115.SH,20191212,5.28,5.29,5.21,5.25,5.27,-0.019999999999999574,-0.3795,242767.12,127238.922
600115.SH,20191211,5.11,5.37,5.09,5.27,5.1,0.16999999999999993,3.3333,1060039.88,558317.745
600115.SH,20191210,5.11,5.11,5.08,5.1,5.12,-0.020000000000000462,-0.3906,178994.03,91198.182
600115.SH,20191209,5.11,5.14,5.08,5.12,5.11,0.009999999999999787,0.1957,189991.54,97126.756
600115.SH,20191206,5.08,5.12,5.06,5.11,5.08,0.03000000000000025,0.5906,217551.97,110768.411
600115.SH,20191205,5.08,5.1,5.05,5.08,5.06,0.020000000000000462,0.3953,275058.69,139623.188
600115.SH,20191204,5.08,5.09,5.04,5.06,5.11,-0.05000000000000071,-0.9785,384188.22,194275.247
600115.SH,20191203,5.12,5.13,5.07,5.11,5.14,-0.02999999999999936,-0.5837,130514.55,66642.113
600115.SH,20191202,5.13,5.17,5.11,5.14,5.12,0.019999999999999574,0.3906,155173.91,79804.388
600115.SH,20191129,5.12,5.15,5.08,5.12,5.12,0.0,0.0,136407.75,69750.379
600115.SH,20191128,5.13,5.15,5.09,5.12,5.13,-0.009999999999999787,-0.1949,227427.6,116228.727
600115.SH,20191127,5.18,5.18,5.11,5.13,5.18,-0.04999999999999982,-0.9653,242367.07,124574.44
600115.SH,20191126,5.2,5.2,5.16,5.18,5.21,-0.03000000000000025,-0.5758,276766.8,143282.576
600115.SH,20191125,5.09,5.24,5.07,5.21,5.09,0.1200000000000001,2.3576,440106.25,227512.097
600115.SH,20191122,5.12,5.16,5.06,5.09,5.12,-0.03000000000000025,-0.5859,325989.28,166151.169
600115.SH,20191121,5.1,5.13,5.08,5.12,5.13,-0.009999999999999787,-0.1949,201922.7,102992.471
600115.SH,20191120,5.17,5.17,5.11,5.13,5.19,-0.0600000000000005,-1.1561,249076.56,127870.72
600115.SH,20191119,5.16,5.19,5.12,5.19,5.17,0.020000000000000462,0.3868,290781.88,149971.076
600115.SH,20191118,5.12,5.19,5.1,5.17,5.14,0.03000000000000025,0.5837,154799.18,79670.609
600115.SH,20191115,5.21,5.23,5.14,5.14,5.19,-0.05000000000000071,-0.9634,192618.1,99477.617
600115.SH,20191114,5.18,5.2,5.15,5.19,5.18,0.010000000000000675,0.1931,166645.03,86205.813
600115.SH,20191113,5.17,5.2,5.14,5.18,5.2,-0.020000000000000462,-0.3846,268147.24,138438.973
600115.SH,20191112,5.23,5.25,5.17,5.2,5.23,-0.03000000000000025,-0.5736,264596.91,137659.371
600115.SH,20191111,5.33,5.37,5.21,5.23,5.4,-0.16999999999999993,-3.1481,338841.71,179172.969
600115.SH,20191108,5.56,5.59,5.39,5.4,5.44,-0.040000000000000036,-0.7353,399579.77,218751.988
600115.SH,20191107,5.46,5.48,5.37,5.44,5.44,0.0,0.0,295375.97,160726.735
600115.SH,20191106,5.57,5.64,5.41,5.44,5.53,-0.08999999999999986,-1.6275,483896.1,267017.861
600115.SH,20191105,5.52,5.54,5.41,5.53,5.54,-0.009999999999999787,-0.1805,532689.81,292001.919
600115.SH,20191104,5.3,5.56,5.28,5.54,5.29,0.25,4.7259,925299.71,506628.766
600115.SH,20191101,5.16,5.3,5.1,5.29,5.18,0.11000000000000032,2.1236,340342.46,178622.873
600115.SH,20191031,5.24,5.25,5.16,5.18,5.19,-0.010000000000000675,-0.1927,159657.24,82846.224
600115.SH,20191030,5.22,5.23,5.17,5.19,5.19,0.0,0.0,160045.0,83108.608
600115.SH,20191029,5.27,5.27,5.18,5.19,5.26,-0.0699999999999994,-1.3308,215339.83,112136.483
600115.SH,20191028,5.16,5.28,5.14,5.26,5.16,0.09999999999999964,1.938,343933.6,179838.994
600115.SH,20191025,5.18,5.18,5.1,5.16,5.18,-0.019999999999999574,-0.3861,436384.53,223617.232
600115.SH,20191024,5.19,5.22,5.15,5.18,5.2,-0.020000000000000462,-0.3846,168012.11,87053.862
600115.SH,20191023,5.23,5.25,5.18,5.2,5.25,-0.04999999999999982,-0.9524,150125.93,78108.992
600115.SH,20191022,5.29,5.3,5.19,5.25,5.27,-0.019999999999999574,-0.3795,174809.33,91377.964
600115.SH,20191021,5.33,5.33,5.23,5.27,5.3,-0.03000000000000025,-0.566,151204.16,79652.651
600115.SH,20191018,5.53,5.55,5.3,5.3,5.48,-0.1800000000000006,-3.2847,249121.45,134334.417
600115.SH,20191017,5.45,5.51,5.45,5.48,5.44,0.040000000000000036,0.7353,261671.67,143561.701
600115.SH,20191016,5.43,5.52,5.41,5.44,5.44,0.0,0.0,303390.95,165904.268
600115.SH,20191015,5.43,5.46,5.4,5.44,5.43,0.010000000000000675,0.1842,254585.23,138325.494
600115.SH,20191014,5.42,5.48,5.39,5.43,5.37,0.05999999999999961,1.1173,408537.73,222195.908
600115.SH,20191011,5.32,5.4,5.28,5.37,5.32,0.04999999999999982,0.9398,373321.48,199954.897
600115.SH,20191010,5.14,5.36,5.13,5.32,5.14,0.1800000000000006,3.5019,442114.43,233808.975
600115.SH,20191009,5.09,5.15,5.06,5.14,5.14,0.0,0.0,160501.33,81920.461
600115.SH,20191008,5.19,5.21,5.13,5.14,5.18,-0.040000000000000036,-0.7722,139896.12,72378.218
600115.SH,20190930,5.23,5.23,5.16,5.18,5.22,-0.040000000000000036,-0.7663,158997.6,82540.359
600115.SH,20190927,5.26,5.26,5.19,5.22,5.26,-0.040000000000000036,-0.7605,181331.02,94698.195
600115.SH,20190926,5.33,5.36,5.26,5.26,5.32,-0.0600000000000005,-1.1278,211274.51,112158.423
600115.SH,20190925,5.36,5.38,5.3,5.32,5.37,-0.04999999999999982,-0.9311,176915.87,94254.957
600115.SH,20190924,5.37,5.38,5.33,5.37,5.36,0.009999999999999787,0.1866,163803.87,87824.679
600115.SH,20190923,5.4,5.41,5.32,5.36,5.43,-0.0699999999999994,-1.2891,178711.58,95606.629
600115.SH,20190920,5.45,5.45,5.39,5.43,5.43,0.0,0.0,252775.22,136808.348
600115.SH,20190919,5.43,5.44,5.38,5.43,5.38,0.04999999999999982,0.9294,225946.42,122242.506
600115.SH,20190918,5.37,5.43,5.37,5.38,5.32,0.05999999999999961,1.1278,307826.31,166266.526
600115.SH,20190917,5.41,5.41,5.29,5.32,5.46,-0.13999999999999968,-2.5641,424088.57,226546.48
600115.SH,20190916,5.44,5.49,5.38,5.46,5.52,-0.05999999999999961,-1.087,564888.88,306642.842
600115.SH,20190912,5.48,5.59,5.45,5.52,5.42,0.09999999999999964,1.845,574485.89,316263.886
600115.SH,20190911,5.45,5.48,5.4,5.42,5.44,-0.020000000000000462,-0.3676,288803.3,156805.627
600115.SH,20190910,5.49,5.49,5.38,5.44,5.49,-0.04999999999999982,-0.9107,349564.74,189580.394
