ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600776.SH,20200225,21.2,21.88,20.09,21.23,21.9,-0.6699999999999982,-3.0594,636344.96,1344665.743
600776.SH,20200224,19.87,21.99,19.83,21.9,19.99,1.9100000000000001,9.5548,716151.12,1519669.802
600776.SH,20200221,19.41,20.82,19.41,19.99,19.4,0.5899999999999999,3.0412,401383.53,802072.047
600776.SH,20200220,19.22,19.47,18.85,19.4,19.41,-0.010000000000001563,-0.0515,274187.47,526311.545
600776.SH,20200219,18.95,19.96,18.85,19.41,19.04,0.370000000000001,1.9433,358882.41,697794.684
600776.SH,20200218,18.86,19.28,18.7,19.04,18.78,0.259999999999998,1.3845,244802.84,464786.032
600776.SH,20200217,18.15,18.88,18.13,18.78,18.19,0.5899999999999999,3.2435,232807.29,432151.234
600776.SH,20200214,18.2,18.45,18.08,18.19,18.24,-0.04999999999999716,-0.2741,159966.89,292169.292
600776.SH,20200213,18.31,18.44,18.1,18.24,18.31,-0.07000000000000028,-0.3823,148920.5,271403.107
600776.SH,20200212,18.12,18.38,17.97,18.31,18.16,0.14999999999999858,0.826,178038.23,324446.043
600776.SH,20200211,18.12,18.45,17.93,18.16,18.1,0.05999999999999872,0.3315,189276.15,344147.304
600776.SH,20200210,17.76,18.49,17.52,18.1,17.8,0.3000000000000007,1.6854,195147.12,352870.848
600776.SH,20200207,17.49,18.16,17.49,17.8,17.67,0.129999999999999,0.7357,210024.49,374436.711
600776.SH,20200206,17.0,17.85,16.7,17.67,17.7,-0.029999999999997584,-0.1695,274043.9,478884.578
600776.SH,20200205,16.55,18.13,16.55,17.7,16.48,1.2199999999999989,7.4029,335893.37,596094.932
600776.SH,20200204,15.72,16.8,15.72,16.48,17.47,-0.9899999999999984,-5.6669,273195.56,448161.533
600776.SH,20200203,17.47,17.47,17.47,17.47,19.41,-1.9400000000000013,-9.9948,17352.0,30313.944
600776.SH,20200123,19.98,20.18,19.2,19.41,20.01,-0.6000000000000014,-2.9985,140901.17,276350.396
600776.SH,20200122,19.96,20.19,19.2,20.01,20.0,0.010000000000001563,0.05,140987.12,278845.582
600776.SH,20200121,20.52,20.52,20.0,20.0,20.53,-0.5300000000000011,-2.5816,122413.57,247062.442
600776.SH,20200120,20.4,20.6,20.12,20.53,20.44,0.08999999999999986,0.4403,131498.61,267491.973
600776.SH,20200117,20.6,20.85,20.41,20.44,20.59,-0.14999999999999858,-0.7285,109526.87,225944.032
600776.SH,20200116,20.88,20.95,20.51,20.59,20.88,-0.28999999999999915,-1.3889,126772.83,262286.629
600776.SH,20200115,20.76,20.98,20.61,20.88,20.95,-0.07000000000000028,-0.3341,127919.31,265277.207
600776.SH,20200114,21.2,21.38,20.91,20.95,21.01,-0.060000000000002274,-0.2856,146768.61,310359.437
600776.SH,20200113,20.9,21.02,20.7,21.01,20.91,0.10000000000000142,0.4782,125787.44,262491.001
600776.SH,20200110,21.2,21.3,20.86,20.91,21.02,-0.10999999999999943,-0.5233,131371.08,276368.283
600776.SH,20200109,20.81,21.2,20.81,21.02,20.65,0.370000000000001,1.7918,169493.95,356278.391
600776.SH,20200108,21.45,21.46,20.63,20.65,21.39,-0.740000000000002,-3.4596,238794.46,500621.375
600776.SH,20200107,21.15,21.46,21.1,21.39,21.08,0.3100000000000023,1.4706,228835.38,488190.716
600776.SH,20200106,20.94,21.37,20.5,21.08,21.19,-0.11000000000000298,-0.5191,222109.32,467311.355
600776.SH,20200103,21.24,21.76,21.18,21.19,21.17,0.019999999999999574,0.0945,244783.16,524677.52
600776.SH,20200102,21.25,21.44,20.91,21.17,20.83,0.3400000000000034,1.6323,229840.58,486161.968
600776.SH,20191231,20.51,21.35,20.51,20.83,20.43,0.3999999999999986,1.9579,207448.96,434619.407
