ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600086.SH,20200225,2.27,2.48,2.21,2.38,2.34,0.040000000000000036,1.7094,973102.74,227606.674
600086.SH,20200224,2.39,2.43,2.28,2.34,2.38,-0.040000000000000036,-1.6807,677637.03,159626.768
600086.SH,20200221,2.28,2.44,2.28,2.38,2.34,0.040000000000000036,1.7094,745510.67,176294.058
600086.SH,20200220,2.33,2.37,2.3,2.34,2.38,-0.040000000000000036,-1.6807,603850.77,140815.901
600086.SH,20200219,2.3,2.44,2.22,2.38,2.26,0.1200000000000001,5.3097,873667.49,202270.293
600086.SH,20200218,2.16,2.32,2.14,2.26,2.14,0.11999999999999966,5.6075,789244.42,176561.218
600086.SH,20200217,2.08,2.14,2.08,2.14,2.09,0.050000000000000266,2.3923,386165.77,81869.881
600086.SH,20200214,2.11,2.13,2.07,2.09,2.14,-0.050000000000000266,-2.3364,355860.41,74468.744
600086.SH,20200213,2.11,2.16,2.09,2.14,2.12,0.020000000000000018,0.9434,498281.76,106274.098
600086.SH,20200212,2.08,2.13,2.08,2.12,2.1,0.020000000000000018,0.9524,277988.72,58604.736
600086.SH,20200211,2.1,2.14,2.08,2.1,2.12,-0.020000000000000018,-0.9434,370615.45,77950.118
600086.SH,20200210,2.03,2.15,2.01,2.12,2.06,0.06000000000000005,2.9126,477237.55,99408.109
600086.SH,20200207,2.0,2.15,2.0,2.06,2.02,0.040000000000000036,1.9802,516280.75,106671.833
600086.SH,20200206,2.02,2.05,1.93,2.02,2.02,0.0,0.0,458245.09,91839.558
600086.SH,20200205,1.88,2.09,1.85,2.02,1.92,0.10000000000000009,5.2083,617488.76,122869.279
600086.SH,20200204,1.86,2.01,1.86,1.92,2.07,-0.1499999999999999,-7.2464,797878.2,152483.322
600086.SH,20200203,2.07,2.07,2.07,2.07,2.3,-0.22999999999999998,-10.0,36088.0,7470.216
600086.SH,20200123,2.3,2.3,2.3,2.3,2.55,-0.25,-9.8039,161356.0,37111.88
600086.SH,20200122,2.55,2.55,2.55,2.55,2.83,-0.28000000000000025,-9.894,207176.0,52829.88
600086.SH,20200121,2.8,2.89,2.77,2.83,2.8,0.03000000000000025,1.0714,327628.55,92953.874
600086.SH,20200120,2.77,2.8,2.73,2.8,2.78,0.020000000000000018,0.7194,200800.06,55538.339
600086.SH,20200117,2.82,2.84,2.76,2.78,2.83,-0.050000000000000266,-1.7668,279439.1,78073.522
600086.SH,20200116,2.91,2.93,2.81,2.83,2.91,-0.08000000000000007,-2.7491,329295.03,94175.619
600086.SH,20200115,2.95,2.98,2.89,2.91,2.97,-0.06000000000000005,-2.0202,263553.82,76902.64
600086.SH,20200114,2.89,2.99,2.89,2.97,2.92,0.050000000000000266,1.7123,375643.3,110931.824
600086.SH,20200113,2.91,2.95,2.88,2.92,2.95,-0.03000000000000025,-1.0169,311614.0,90671.976
600086.SH,20200110,3.03,3.04,2.92,2.95,3.08,-0.1299999999999999,-4.2208,581571.12,172700.934
600086.SH,20200109,3.05,3.11,3.0,3.08,3.26,-0.17999999999999972,-5.5215,914100.06,280343.496
600086.SH,20200108,3.16,3.36,3.09,3.26,3.07,0.18999999999999995,6.1889,1430297.4,458802.582
600086.SH,20200107,3.05,3.17,3.02,3.07,3.18,-0.11000000000000032,-3.4591,1023490.85,314554.123
600086.SH,20200106,3.01,3.18,2.92,3.18,2.89,0.29000000000000004,10.0346,1530145.83,465071.108
600086.SH,20200103,2.82,2.98,2.78,2.89,2.81,0.08000000000000007,2.847,947478.48,273998.615
600086.SH,20200102,2.77,2.87,2.76,2.81,2.77,0.040000000000000036,1.444,538163.7,151315.255
600086.SH,20191231,2.7,2.87,2.7,2.77,2.72,0.04999999999999982,1.8382,496532.8,137377.854
600086.SH,20191230,2.73,2.8,2.63,2.72,2.76,-0.03999999999999959,-1.4493,453599.33,123044.003
600086.SH,20191227,2.69,2.84,2.62,2.76,2.67,0.08999999999999986,3.3708,761150.6,210321.831
600086.SH,20191226,2.61,2.74,2.6,2.67,2.64,0.029999999999999805,1.1364,370647.03,98954.184
600086.SH,20191225,2.67,2.7,2.61,2.64,2.65,-0.009999999999999787,-0.3774,274001.0,72539.208
600086.SH,20191224,2.59,2.68,2.59,2.65,2.63,0.020000000000000018,0.7605,295648.51,78142.154
600086.SH,20191223,2.77,2.82,2.55,2.63,2.83,-0.20000000000000018,-7.0671,592411.72,156984.445
600086.SH,20191220,2.74,2.87,2.72,2.83,2.74,0.08999999999999986,3.2847,752919.33,211632.041
600086.SH,20191219,2.73,2.8,2.72,2.74,2.77,-0.029999999999999805,-1.083,424487.75,116802.174
600086.SH,20191218,2.68,2.84,2.66,2.77,2.7,0.06999999999999984,2.5926,641331.0,175921.29
600086.SH,20191217,2.63,2.75,2.61,2.7,2.63,0.07000000000000028,2.6616,505524.75,134980.242
600086.SH,20191216,2.59,2.64,2.55,2.63,2.59,0.040000000000000036,1.5444,293914.03,76222.755
600086.SH,20191213,2.54,2.62,2.53,2.59,2.59,0.0,0.0,251223.23,64784.339
600086.SH,20191212,2.67,2.69,2.58,2.59,2.66,-0.07000000000000028,-2.6316,359193.0,94340.24
600086.SH,20191211,2.73,2.73,2.64,2.66,2.72,-0.06000000000000005,-2.2059,328915.86,87990.911
600086.SH,20191210,2.69,2.76,2.67,2.72,2.7,0.020000000000000018,0.7407,329106.86,89194.065
600086.SH,20191209,2.68,2.73,2.66,2.7,2.72,-0.020000000000000018,-0.7353,295763.76,79502.889
600086.SH,20191206,2.7,2.79,2.68,2.72,2.73,-0.009999999999999787,-0.3663,410355.76,112109.401
600086.SH,20191205,2.71,2.75,2.68,2.73,2.79,-0.06000000000000005,-2.1505,478563.76,129877.444
600086.SH,20191204,2.73,2.85,2.67,2.79,2.66,0.1299999999999999,4.8872,718917.62,198205.56
600086.SH,20191203,2.55,2.72,2.55,2.66,2.57,0.0900000000000003,3.5019,486756.92,129443.57
600086.SH,20191202,2.57,2.62,2.55,2.57,2.55,0.020000000000000018,0.7843,293693.0,75818.341
600086.SH,20191129,2.61,2.63,2.53,2.55,2.64,-0.0900000000000003,-3.4091,413906.17,106206.115
600086.SH,20191128,2.69,2.74,2.63,2.64,2.69,-0.04999999999999982,-1.8587,373354.77,99643.681
600086.SH,20191127,2.76,2.82,2.66,2.69,2.79,-0.10000000000000009,-3.5842,472030.0,128490.315
600086.SH,20191126,2.75,2.87,2.66,2.79,2.75,0.040000000000000036,1.4545,565505.0,156819.977
600086.SH,20191125,2.82,2.93,2.73,2.75,2.92,-0.16999999999999993,-5.8219,684115.8,194025.845
600086.SH,20191122,2.8,3.0,2.76,2.92,2.84,0.08000000000000007,2.8169,993704.7,287181.807
600086.SH,20191121,2.98,3.04,2.81,2.84,2.9,-0.06000000000000005,-2.069,1274388.21,374037.996
