ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000962.SZ,20200225,7.2,7.45,6.97,7.37,7.51,-0.13999999999999968,-1.8642,162004.6,117399.633
000962.SZ,20200224,7.32,7.72,7.31,7.51,7.11,0.39999999999999947,5.6259,182881.94,137122.76
000962.SZ,20200221,7.08,7.24,7.02,7.11,7.14,-0.02999999999999936,-0.4202,91864.16,65427.32
000962.SZ,20200220,7.1,7.2,6.9,7.14,6.96,0.17999999999999972,2.5862,107807.04,76385.879
000962.SZ,20200219,6.93,7.15,6.83,6.96,7.03,-0.07000000000000028,-0.9957,123840.96,86576.423
000962.SZ,20200218,6.84,7.08,6.74,7.03,6.79,0.2400000000000002,3.5346,117297.88,81555.961
000962.SZ,20200217,6.46,6.83,6.42,6.79,6.44,0.34999999999999964,5.4348,114570.42,75804.987
000962.SZ,20200214,6.28,6.64,6.28,6.44,6.3,0.14000000000000057,2.2222,104674.66,67700.235
000962.SZ,20200213,6.33,6.43,6.24,6.3,6.35,-0.04999999999999982,-0.7874,55154.43,34903.608
000962.SZ,20200212,6.13,6.43,6.13,6.35,6.16,0.1899999999999995,3.0844,56176.03,35471.895
000962.SZ,20200211,6.23,6.32,6.16,6.16,6.23,-0.07000000000000028,-1.1236,32811.91,20432.256
000962.SZ,20200210,6.07,6.23,6.01,6.23,6.05,0.1800000000000006,2.9752,44723.86,27438.137
000962.SZ,20200207,6.02,6.09,5.93,6.05,6.01,0.040000000000000036,0.6656,44211.82,26597.263
000962.SZ,20200206,6.02,6.07,5.87,6.01,5.96,0.04999999999999982,0.8389,46381.69,27750.842
000962.SZ,20200205,5.8,6.05,5.77,5.96,5.78,0.17999999999999972,3.1142,61336.39,36553.736
000962.SZ,20200204,5.52,5.91,5.52,5.78,6.13,-0.34999999999999964,-5.7096,87694.32,50423.661
000962.SZ,20200203,6.13,6.13,6.13,6.13,6.81,-0.6799999999999997,-9.9853,10526.0,6452.438
000962.SZ,20200123,7.13,7.18,6.72,6.81,7.19,-0.3800000000000008,-5.2851,58717.8,40616.46
000962.SZ,20200122,7.19,7.25,7.01,7.19,7.23,-0.040000000000000036,-0.5533,45578.82,32525.669
000962.SZ,20200121,7.15,7.4,7.02,7.23,7.17,0.0600000000000005,0.8368,71022.37,51429.893
000962.SZ,20200120,7.07,7.21,7.0,7.17,7.1,0.07000000000000028,0.9859,39874.11,28347.363
000962.SZ,20200117,7.23,7.3,7.03,7.1,7.23,-0.13000000000000078,-1.7981,44398.42,31737.379
000962.SZ,20200116,7.22,7.33,7.19,7.23,7.24,-0.009999999999999787,-0.1381,35298.04,25672.51
000962.SZ,20200115,7.32,7.36,7.18,7.24,7.31,-0.0699999999999994,-0.9576,36485.01,26391.313
000962.SZ,20200114,7.3,7.45,7.24,7.31,7.29,0.019999999999999574,0.2743,52963.48,39003.245
000962.SZ,20200113,7.12,7.3,7.12,7.29,7.22,0.07000000000000028,0.9695,42535.21,30749.374
000962.SZ,20200110,7.34,7.37,7.2,7.22,7.37,-0.15000000000000036,-2.0353,49365.32,35817.768
000962.SZ,20200109,7.34,7.43,7.27,7.37,7.35,0.020000000000000462,0.2721,67633.28,49724.583
000962.SZ,20200108,7.39,7.54,7.26,7.35,7.4,-0.05000000000000071,-0.6757,86325.92,63734.868
000962.SZ,20200107,7.34,7.45,7.28,7.4,7.33,0.07000000000000028,0.955,72686.78,53631.962
000962.SZ,20200106,7.19,7.42,7.17,7.33,7.25,0.08000000000000007,1.1034,96997.92,70932.414
000962.SZ,20200103,7.08,7.3,7.03,7.25,7.09,0.16000000000000014,2.2567,96876.83,69452.085
000962.SZ,20200102,7.08,7.14,7.02,7.09,7.0,0.08999999999999986,1.2857,53189.76,37622.287
000962.SZ,20191231,6.98,7.16,6.93,7.0,7.0,0.0,0.0,46256.5,32548.8
000962.SZ,20191230,6.88,7.08,6.88,7.0,7.0,0.0,0.0,57254.04,39963.249
000962.SZ,20191227,6.94,7.32,6.94,7.0,6.97,0.03000000000000025,0.4304,101553.55,72305.701
000962.SZ,20191226,6.8,7.03,6.79,6.97,6.81,0.16000000000000014,2.3495,67669.8,46928.077
000962.SZ,20191225,6.85,6.87,6.74,6.81,6.85,-0.040000000000000036,-0.5839,38704.91,26329.828
000962.SZ,20191224,6.53,6.88,6.52,6.85,6.53,0.3199999999999994,4.9005,53616.38,36132.237
000962.SZ,20191223,6.65,6.7,6.52,6.53,6.68,-0.14999999999999947,-2.2455,33355.5,22014.322
000962.SZ,20191220,6.78,6.85,6.68,6.68,6.8,-0.1200000000000001,-1.7647,31038.35,21033.313
000962.SZ,20191219,6.75,6.85,6.73,6.8,6.78,0.019999999999999574,0.295,26611.65,18027.825
000962.SZ,20191218,6.77,6.87,6.73,6.78,6.78,0.0,0.0,37605.01,25500.608
000962.SZ,20191217,6.66,6.84,6.64,6.78,6.69,0.08999999999999986,1.3453,45850.1,31020.41
000962.SZ,20191216,6.58,6.69,6.58,6.69,6.6,0.09000000000000075,1.3636,34180.18,22677.332
000962.SZ,20191213,6.59,6.66,6.57,6.6,6.58,0.019999999999999574,0.304,28487.22,18811.554
000962.SZ,20191212,6.52,6.65,6.52,6.58,6.52,0.0600000000000005,0.9202,29248.79,19284.411
000962.SZ,20191211,6.65,6.65,6.52,6.52,6.58,-0.0600000000000005,-0.9119,20220.5,13292.406
000962.SZ,20191210,6.57,6.61,6.53,6.58,6.56,0.020000000000000462,0.3049,23028.25,15131.842
000962.SZ,20191209,6.59,6.64,6.52,6.56,6.59,-0.03000000000000025,-0.4552,27563.18,18124.089
000962.SZ,20191206,6.47,6.62,6.47,6.59,6.5,0.08999999999999986,1.3846,33906.18,22275.722
000962.SZ,20191205,6.48,6.53,6.45,6.5,6.48,0.019999999999999574,0.3086,22526.5,14599.501
000962.SZ,20191204,6.39,6.5,6.35,6.48,6.4,0.08000000000000007,1.25,25964.18,16741.767
000962.SZ,20191203,6.3,6.41,6.23,6.4,6.31,0.09000000000000075,1.4263,21849.13,13883.013
000962.SZ,20191202,6.37,6.38,6.29,6.31,6.37,-0.0600000000000005,-0.9419,13264.55,8400.975
000962.SZ,20191129,6.37,6.39,6.32,6.37,6.36,0.009999999999999787,0.1572,13116.91,8330.514
000962.SZ,20191128,6.45,6.48,6.33,6.36,6.48,-0.1200000000000001,-1.8519,19243.07,12305.578
000962.SZ,20191127,6.42,6.52,6.22,6.48,6.42,0.0600000000000005,0.9346,27756.22,17750.33
000962.SZ,20191126,6.54,6.54,6.39,6.42,6.54,-0.1200000000000001,-1.8349,26028.53,16783.123
