ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600753.SH,20200225,13.68,13.73,13.41,13.68,13.99,-0.3100000000000005,-2.2159,19293.47,26167.924
600753.SH,20200224,14.05,14.26,13.93,13.99,13.97,0.019999999999999574,0.1432,13639.0,19165.693
600753.SH,20200221,13.93,14.0,13.83,13.97,13.92,0.05000000000000071,0.3592,10896.0,15157.515
600753.SH,20200220,13.88,14.09,13.75,13.92,13.93,-0.009999999999999787,-0.0718,16342.64,22670.29
600753.SH,20200219,13.9,14.22,13.78,13.93,13.71,0.21999999999999886,1.6047,16100.0,22567.263
600753.SH,20200218,13.57,13.78,13.52,13.71,13.54,0.1700000000000017,1.2555,11343.0,15499.709
600753.SH,20200217,13.4,13.62,13.4,13.54,13.4,0.1399999999999988,1.0448,7116.01,9637.176
600753.SH,20200214,13.5,13.66,13.4,13.4,13.51,-0.10999999999999943,-0.8142,9655.01,13048.836
600753.SH,20200213,13.82,13.87,13.51,13.51,13.88,-0.370000000000001,-2.6657,8747.0,11953.375
600753.SH,20200212,13.75,13.98,13.58,13.88,13.75,0.13000000000000078,0.9455,11949.0,16512.05
600753.SH,20200211,13.95,14.13,13.75,13.75,13.84,-0.08999999999999986,-0.6503,10676.0,14845.162
600753.SH,20200210,13.57,13.96,13.42,13.84,13.55,0.28999999999999915,2.1402,17494.0,24088.49
600753.SH,20200207,13.59,13.69,13.35,13.55,13.62,-0.06999999999999851,-0.514,17367.01,23444.785
600753.SH,20200206,13.48,13.95,13.24,13.62,13.63,-0.010000000000001563,-0.0734,28736.0,39049.968
600753.SH,20200205,13.38,13.84,13.19,13.63,14.0,-0.3699999999999992,-2.6429,46747.01,63563.546
600753.SH,20200204,12.02,14.69,12.02,14.0,13.35,0.6500000000000004,4.8689,149768.92,188193.802
600753.SH,20200203,13.35,13.38,13.35,13.35,14.83,-1.4800000000000004,-9.9798,6340.0,8464.08
600753.SH,20200123,14.76,15.3,14.6,14.83,14.71,0.11999999999999922,0.8158,13429.01,20101.803
600753.SH,20200122,14.85,14.85,14.42,14.71,14.9,-0.1899999999999995,-1.2752,9962.0,14623.727
600753.SH,20200121,15.15,15.15,14.88,14.9,15.15,-0.25,-1.6502,21021.01,31469.211
600753.SH,20200120,15.42,15.42,14.98,15.15,15.4,-0.25,-1.6234,15281.0,23146.007
600753.SH,20200117,15.42,15.53,15.32,15.4,15.47,-0.07000000000000028,-0.4525,22293.33,34288.554
600753.SH,20200116,15.41,15.55,15.41,15.47,15.49,-0.019999999999999574,-0.1291,14467.0,22411.874
600753.SH,20200115,15.6,15.65,15.33,15.49,15.63,-0.14000000000000057,-0.8957,15113.0,23389.959
600753.SH,20200114,15.74,15.83,15.52,15.63,15.8,-0.16999999999999993,-1.0759,19885.0,31123.54
600753.SH,20200113,16.04,16.04,15.7,15.8,16.04,-0.23999999999999844,-1.4963,16961.5,26803.102
