ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600811.SH,20200225,3.29,3.32,3.19,3.26,3.35,-0.0900000000000003,-2.6866,392246.32,127801.63
600811.SH,20200224,3.3,3.42,3.25,3.35,3.31,0.040000000000000036,1.2085,476536.94,158703.377
600811.SH,20200221,3.32,3.34,3.3,3.31,3.33,-0.020000000000000018,-0.6006,303753.0,100800.195
600811.SH,20200220,3.33,3.35,3.29,3.33,3.31,0.020000000000000018,0.6042,298783.64,99194.299
600811.SH,20200219,3.34,3.35,3.29,3.31,3.37,-0.06000000000000005,-1.7804,299747.89,99488.413
600811.SH,20200218,3.37,3.44,3.34,3.37,3.41,-0.040000000000000036,-1.173,666554.29,224649.217
600811.SH,20200217,3.12,3.41,3.12,3.41,3.1,0.31000000000000005,10.0,768897.47,257624.68
600811.SH,20200214,3.1,3.11,3.07,3.1,3.13,-0.029999999999999805,-0.9585,203181.09,62790.857
600811.SH,20200213,3.09,3.19,3.05,3.13,3.1,0.029999999999999805,0.9677,345793.54,108175.541
600811.SH,20200212,3.07,3.11,3.05,3.1,3.07,0.03000000000000025,0.9772,176773.82,54595.745
600811.SH,20200211,3.15,3.16,3.06,3.07,3.17,-0.10000000000000009,-3.1546,309804.69,95867.447
600811.SH,20200210,2.97,3.18,2.97,3.17,2.99,0.17999999999999972,6.0201,388528.8,120106.024
600811.SH,20200207,2.98,3.01,2.95,2.99,2.99,0.0,0.0,194695.96,57973.661
600811.SH,20200206,2.96,3.02,2.95,2.99,2.94,0.050000000000000266,1.7007,230543.01,68765.815
600811.SH,20200205,2.9,2.99,2.88,2.94,2.91,0.029999999999999805,1.0309,280453.42,82620.233
600811.SH,20200204,2.8,2.95,2.8,2.91,2.92,-0.009999999999999787,-0.3425,284881.51,82525.254
600811.SH,20200203,2.92,2.97,2.92,2.92,3.24,-0.3200000000000003,-9.8765,332527.76,97379.342
600811.SH,20200123,3.3,3.31,3.2,3.24,3.32,-0.07999999999999963,-2.4096,219117.5,71223.774
600811.SH,20200122,3.33,3.33,3.26,3.32,3.34,-0.020000000000000018,-0.5988,163742.36,53960.284
