ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600133.SH,20200225,4.93,5.02,4.82,4.96,5.1,-0.13999999999999968,-2.7451,136032.92,67124.44
600133.SH,20200224,5.07,5.15,5.05,5.1,5.08,0.019999999999999574,0.3937,111236.01,56720.022
600133.SH,20200221,5.09,5.14,5.05,5.08,5.15,-0.07000000000000028,-1.3592,116627.76,59408.956
600133.SH,20200220,5.12,5.16,5.04,5.15,5.16,-0.009999999999999787,-0.1938,146548.06,74699.512
600133.SH,20200219,4.99,5.24,4.93,5.16,4.97,0.1900000000000004,3.8229,237668.92,121528.799
600133.SH,20200218,4.95,5.05,4.91,4.97,4.96,0.009999999999999787,0.2016,88721.0,44088.742
600133.SH,20200217,4.83,4.98,4.83,4.96,4.92,0.040000000000000036,0.813,104622.02,51677.172
600133.SH,20200214,4.91,4.95,4.81,4.92,4.91,0.009999999999999787,0.2037,82801.02,40447.286
600133.SH,20200213,4.86,5.01,4.81,4.91,4.88,0.03000000000000025,0.6148,115735.0,56645.959
600133.SH,20200212,4.85,4.91,4.81,4.88,4.86,0.019999999999999574,0.4115,63355.1,30815.235
600133.SH,20200211,4.93,4.96,4.8,4.86,5.01,-0.14999999999999947,-2.994,110538.59,53736.137
600133.SH,20200210,4.89,5.16,4.84,5.01,4.79,0.21999999999999975,4.5929,182092.21,90918.26
600133.SH,20200207,4.57,4.8,4.52,4.79,4.65,0.13999999999999968,3.0108,150959.04,70668.087
600133.SH,20200206,4.34,4.74,4.27,4.65,4.31,0.34000000000000075,7.8886,149621.0,67821.33
600133.SH,20200205,4.28,4.41,4.28,4.31,4.28,0.02999999999999936,0.7009,91812.91,39834.118
600133.SH,20200204,4.09,4.34,4.09,4.28,4.54,-0.2599999999999998,-5.7269,135912.57,57740.018
600133.SH,20200203,4.54,4.54,4.54,4.54,5.04,-0.5,-9.9206,19248.0,8738.592
600133.SH,20200123,5.11,5.15,5.0,5.04,5.18,-0.13999999999999968,-2.7027,75036.9,38039.831
600133.SH,20200122,5.17,5.22,5.06,5.18,5.21,-0.03000000000000025,-0.5758,50039.0,25709.88
600133.SH,20200121,5.31,5.32,5.19,5.21,5.34,-0.1299999999999999,-2.4345,58421.96,30584.628
600133.SH,20200120,5.26,5.34,5.26,5.34,5.28,0.05999999999999961,1.1364,37159.4,19716.868
600133.SH,20200117,5.35,5.37,5.27,5.28,5.33,-0.04999999999999982,-0.9381,38384.1,20382.41
600133.SH,20200116,5.4,5.41,5.32,5.33,5.4,-0.07000000000000028,-1.2963,39493.05,21137.511
600133.SH,20200115,5.43,5.43,5.35,5.4,5.43,-0.02999999999999936,-0.5525,44314.51,23830.935
600133.SH,20200114,5.41,5.45,5.4,5.43,5.41,0.019999999999999574,0.3697,49971.01,27116.163
600133.SH,20200113,5.39,5.41,5.35,5.41,5.4,0.009999999999999787,0.1852,36635.41,19703.122
600133.SH,20200110,5.44,5.45,5.37,5.4,5.42,-0.019999999999999574,-0.369,38038.0,20559.544
600133.SH,20200109,5.42,5.47,5.4,5.42,5.36,0.05999999999999961,1.1194,52031.32,28224.33
600133.SH,20200108,5.45,5.45,5.34,5.36,5.47,-0.10999999999999943,-2.011,72977.99,39421.363
600133.SH,20200107,5.41,5.49,5.4,5.47,5.4,0.0699999999999994,1.2963,69043.35,37654.18
600133.SH,20200106,5.37,5.45,5.32,5.4,5.41,-0.009999999999999787,-0.1848,80818.41,43614.77
600133.SH,20200103,5.41,5.42,5.36,5.41,5.41,0.0,0.0,60365.43,32544.868
600133.SH,20200102,5.4,5.45,5.38,5.41,5.36,0.04999999999999982,0.9328,77095.08,41790.729
600133.SH,20191231,5.36,5.39,5.31,5.36,5.36,0.0,0.0,54951.81,29361.412
600133.SH,20191230,5.25,5.41,5.25,5.36,5.24,0.1200000000000001,2.2901,98262.86,52572.511
600133.SH,20191227,5.29,5.33,5.23,5.24,5.29,-0.04999999999999982,-0.9452,56394.23,29790.539
