ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000736.SZ,20200225,6.96,7.34,6.88,7.31,7.05,0.2599999999999998,3.6879,63967.9,45504.869
000736.SZ,20200224,7.08,7.13,6.86,7.05,7.16,-0.11000000000000032,-1.5363,40758.23,28576.947
000736.SZ,20200221,7.18,7.26,7.12,7.16,7.18,-0.019999999999999574,-0.2786,39420.42,28244.345
000736.SZ,20200220,7.09,7.26,6.97,7.18,7.09,0.08999999999999986,1.2694,47120.15,33699.652
000736.SZ,20200219,6.78,7.35,6.77,7.09,6.81,0.28000000000000025,4.1116,76227.07,54264.083
000736.SZ,20200218,6.65,6.89,6.6,6.81,6.69,0.11999999999999922,1.7937,51356.44,34573.808
000736.SZ,20200217,6.66,6.7,6.57,6.69,6.64,0.05000000000000071,0.753,46216.97,30693.993
000736.SZ,20200214,6.54,6.71,6.45,6.64,6.49,0.14999999999999947,2.3112,50183.9,33196.809
000736.SZ,20200213,6.41,6.58,6.39,6.49,6.39,0.10000000000000053,1.5649,39178.31,25408.367
000736.SZ,20200212,6.43,6.43,6.34,6.39,6.39,0.0,0.0,29023.65,18523.011
000736.SZ,20200211,6.36,6.43,6.35,6.39,6.37,0.019999999999999574,0.314,34642.85,22148.665
000736.SZ,20200210,6.36,6.45,6.27,6.37,6.35,0.020000000000000462,0.315,51307.8,32639.258
000736.SZ,20200207,6.4,6.41,6.31,6.35,6.4,-0.05000000000000071,-0.7813,32199.29,20419.821
000736.SZ,20200206,6.39,6.47,6.26,6.4,6.35,0.05000000000000071,0.7874,30370.38,19321.335
000736.SZ,20200205,6.37,6.43,6.3,6.35,6.34,0.009999999999999787,0.1577,32669.81,20769.145
000736.SZ,20200204,6.2,6.43,6.18,6.34,6.48,-0.14000000000000057,-2.1605,48447.52,30585.863
000736.SZ,20200203,6.48,6.58,6.48,6.48,7.2,-0.7199999999999998,-10.0,16424.0,10648.663
000736.SZ,20200123,7.37,7.38,7.04,7.2,7.37,-0.16999999999999993,-2.3066,35676.6,25793.57
000736.SZ,20200122,7.28,7.37,7.24,7.37,7.27,0.10000000000000053,1.3755,23363.52,17068.477
000736.SZ,20200121,7.28,7.35,7.23,7.27,7.31,-0.040000000000000036,-0.5472,26015.6,18908.56
000736.SZ,20200120,7.38,7.38,7.25,7.31,7.31,0.0,0.0,14675.82,10697.018
000736.SZ,20200117,7.39,7.39,7.28,7.31,7.32,-0.010000000000000675,-0.1366,10261.88,7507.905
000736.SZ,20200116,7.43,7.44,7.31,7.32,7.4,-0.08000000000000007,-1.0811,17199.94,12654.203
000736.SZ,20200115,7.38,7.47,7.34,7.4,7.39,0.010000000000000675,0.1353,19914.4,14734.545
000736.SZ,20200114,7.36,7.41,7.31,7.39,7.35,0.040000000000000036,0.5442,27807.32,20449.929
000736.SZ,20200113,7.25,7.38,7.17,7.35,7.19,0.15999999999999925,2.2253,28497.25,20760.919
000736.SZ,20200110,7.23,7.28,7.15,7.19,7.24,-0.04999999999999982,-0.6906,11785.84,8484.976
000736.SZ,20200109,7.19,7.26,7.18,7.24,7.13,0.11000000000000032,1.5428,17812.56,12871.563
000736.SZ,20200108,7.21,7.26,7.12,7.13,7.26,-0.1299999999999999,-1.7906,24870.76,17887.82
000736.SZ,20200107,7.26,7.36,7.2,7.26,7.26,0.0,0.0,25737.69,18707.533
000736.SZ,20200106,7.21,7.36,7.12,7.26,7.21,0.04999999999999982,0.6935,29202.7,21148.791
000736.SZ,20200103,7.21,7.31,7.18,7.21,7.25,-0.040000000000000036,-0.5517,29117.08,21066.967
000736.SZ,20200102,7.21,7.41,7.16,7.25,7.12,0.1299999999999999,1.8258,58284.99,42480.685
000736.SZ,20191231,7.0,7.14,6.97,7.12,6.98,0.13999999999999968,2.0057,39356.09,27705.905
000736.SZ,20191230,6.91,7.03,6.85,6.98,6.89,0.09000000000000075,1.3062,34424.47,23869.579
000736.SZ,20191227,6.96,7.0,6.88,6.89,6.96,-0.07000000000000028,-1.0057,25040.42,17329.397
000736.SZ,20191226,6.82,7.01,6.82,6.96,6.82,0.13999999999999968,2.0528,35808.91,24872.588
000736.SZ,20191225,6.8,6.83,6.74,6.82,6.76,0.0600000000000005,0.8876,17001.0,11542.427
000736.SZ,20191224,6.77,6.78,6.69,6.76,6.72,0.040000000000000036,0.5952,15575.94,10496.124
000736.SZ,20191223,6.92,6.97,6.71,6.72,6.97,-0.25,-3.5868,38195.06,25910.359
000736.SZ,20191220,6.94,7.04,6.92,6.97,6.92,0.04999999999999982,0.7225,21933.42,15305.053
000736.SZ,20191219,6.93,6.93,6.88,6.92,6.91,0.009999999999999787,0.1447,19412.82,13402.242
000736.SZ,20191218,6.94,6.97,6.87,6.91,6.94,-0.03000000000000025,-0.4323,17859.0,12330.063
000736.SZ,20191217,6.92,7.05,6.83,6.94,6.83,0.11000000000000032,1.6105,34188.04,23707.661
000736.SZ,20191216,6.8,6.84,6.75,6.83,6.8,0.03000000000000025,0.4412,20248.01,13751.073
000736.SZ,20191213,6.83,6.85,6.73,6.8,6.7,0.09999999999999964,1.4925,17499.21,11875.804
000736.SZ,20191212,6.76,6.81,6.69,6.7,6.78,-0.08000000000000007,-1.1799,13707.31,9255.221
000736.SZ,20191211,6.63,6.84,6.63,6.78,6.65,0.1299999999999999,1.9549,24178.11,16370.426
000736.SZ,20191210,6.67,6.67,6.6,6.65,6.68,-0.02999999999999936,-0.4491,11084.3,7352.692
000736.SZ,20191209,6.59,6.7,6.58,6.68,6.58,0.09999999999999964,1.5198,18023.44,11947.776
000736.SZ,20191206,6.6,6.62,6.54,6.58,6.57,0.009999999999999787,0.1522,10259.48,6738.149
000736.SZ,20191205,6.56,6.64,6.54,6.57,6.53,0.040000000000000036,0.6126,8703.68,5734.97
000736.SZ,20191204,6.52,6.58,6.51,6.53,6.58,-0.04999999999999982,-0.7599,6886.84,4509.709
