ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600158.SH,20200225,9.33,9.42,9.03,9.34,9.63,-0.2900000000000009,-3.0114,190133.21,176911.777
600158.SH,20200224,9.71,9.72,9.53,9.63,9.83,-0.1999999999999993,-2.0346,190915.72,183681.752
600158.SH,20200221,9.79,9.85,9.66,9.83,9.83,0.0,0.0,196660.04,191701.095
600158.SH,20200220,9.77,9.89,9.66,9.83,9.77,0.0600000000000005,0.6141,141751.97,138509.863
600158.SH,20200219,10.25,10.29,9.76,9.77,10.02,-0.25,-2.495,217849.26,217489.529
600158.SH,20200218,9.96,10.08,9.84,10.02,9.94,0.08000000000000007,0.8048,149588.25,149326.924
600158.SH,20200217,9.68,9.94,9.67,9.94,9.68,0.2599999999999998,2.686,157546.39,155305.732
600158.SH,20200214,9.54,9.77,9.51,9.68,9.58,0.09999999999999964,1.0438,104287.99,100827.221
600158.SH,20200213,9.8,9.84,9.56,9.58,9.81,-0.23000000000000043,-2.3445,128424.84,124337.067
600158.SH,20200212,9.56,9.94,9.54,9.81,9.56,0.25,2.6151,144254.15,140980.444
600158.SH,20200211,9.58,9.74,9.49,9.56,9.67,-0.10999999999999943,-1.1375,138433.25,132913.682
600158.SH,20200210,9.38,10.05,9.21,9.67,9.66,0.009999999999999787,0.1035,255366.24,248137.063
600158.SH,20200207,8.76,9.66,8.64,9.66,8.78,0.8800000000000008,10.0228,194118.28,174076.408
600158.SH,20200206,8.44,8.84,8.33,8.78,8.44,0.33999999999999986,4.0284,141728.81,121714.7
600158.SH,20200205,8.33,8.63,8.3,8.44,8.25,0.1899999999999995,2.303,145800.71,123679.046
600158.SH,20200204,7.93,8.48,7.93,8.25,8.79,-0.5399999999999991,-6.1433,223932.64,185707.599
600158.SH,20200203,8.79,8.79,8.79,8.79,9.77,-0.9800000000000004,-10.0307,21790.0,19153.41
600158.SH,20200123,10.06,10.16,9.7,9.77,10.17,-0.40000000000000036,-3.9331,137478.61,136728.541
600158.SH,20200122,10.18,10.24,10.03,10.17,10.28,-0.10999999999999943,-1.07,100798.33,102189.656
600158.SH,20200121,10.53,10.62,10.25,10.28,10.5,-0.22000000000000064,-2.0952,151678.63,157719.989
600158.SH,20200120,10.31,10.51,10.19,10.5,10.31,0.1899999999999995,1.8429,125200.18,129766.994
600158.SH,20200117,10.2,10.45,10.18,10.31,10.19,0.120000000000001,1.1776,112822.69,116526.207
600158.SH,20200116,10.16,10.28,10.11,10.19,10.15,0.03999999999999915,0.3941,76719.45,78299.512
600158.SH,20200115,10.27,10.3,10.11,10.15,10.24,-0.08999999999999986,-0.8789,65257.89,66335.615
600158.SH,20200114,10.32,10.32,10.18,10.24,10.19,0.05000000000000071,0.4907,78494.32,80432.934
600158.SH,20200113,10.18,10.21,10.06,10.19,10.22,-0.030000000000001137,-0.2935,87182.16,88414.607
600158.SH,20200110,10.26,10.3,10.13,10.22,10.24,-0.019999999999999574,-0.1953,70702.17,72260.79
600158.SH,20200109,10.1,10.34,10.09,10.24,10.02,0.22000000000000064,2.1956,107991.75,110228.682
600158.SH,20200108,10.25,10.26,9.98,10.02,10.29,-0.2699999999999996,-2.6239,132354.53,134186.465
600158.SH,20200107,10.02,10.32,10.02,10.29,10.01,0.27999999999999936,2.7972,166979.05,170728.741
600158.SH,20200106,10.07,10.13,9.91,10.01,10.14,-0.13000000000000078,-1.2821,129985.82,130306.573
600158.SH,20200103,10.1,10.19,10.06,10.14,10.07,0.07000000000000028,0.6951,87310.99,88376.097
600158.SH,20200102,10.11,10.11,10.02,10.07,10.03,0.040000000000000924,0.3988,102457.04,102986.556
600158.SH,20191231,9.94,10.05,9.91,10.03,9.93,0.09999999999999964,1.007,112377.21,112172.393
