ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000931.SZ,20200225,10.64,10.77,10.01,10.51,10.84,-0.33000000000000007,-3.0443,369157.53,387230.783
000931.SZ,20200224,10.68,10.97,10.57,10.84,10.71,0.129999999999999,1.2138,402739.39,434283.078
000931.SZ,20200221,9.75,10.71,9.72,10.71,9.74,0.9700000000000006,9.9589,587673.12,617061.099
000931.SZ,20200220,9.55,9.86,9.54,9.74,9.64,0.09999999999999964,1.0373,223907.31,217703.844
000931.SZ,20200219,9.69,9.94,9.55,9.64,9.73,-0.08999999999999986,-0.925,140693.44,136728.561
000931.SZ,20200218,9.63,9.73,9.52,9.73,9.66,0.07000000000000028,0.7246,135867.3,131141.867
000931.SZ,20200217,9.6,9.77,9.46,9.66,9.54,0.120000000000001,1.2579,193377.66,186935.536
000931.SZ,20200214,8.98,9.79,8.97,9.54,8.95,0.5899999999999999,6.5922,334472.18,313898.499
000931.SZ,20200213,8.99,9.09,8.86,8.95,9.03,-0.08000000000000007,-0.8859,124553.45,111658.802
000931.SZ,20200212,8.8,9.09,8.76,9.03,8.87,0.16000000000000014,1.8038,154001.77,138278.983
000931.SZ,20200211,8.79,8.87,8.61,8.87,8.79,0.08000000000000007,0.9101,116901.29,102338.317
000931.SZ,20200210,8.64,8.79,8.5,8.79,8.7,0.08999999999999986,1.0345,105479.57,91387.042
000931.SZ,20200207,8.89,8.92,8.53,8.7,8.86,-0.16000000000000014,-1.8059,152822.45,133025.062
000931.SZ,20200206,8.61,8.97,8.49,8.86,8.58,0.27999999999999936,3.2634,169913.81,149756.138
000931.SZ,20200205,8.42,8.64,8.38,8.58,8.42,0.16000000000000014,1.9002,171415.06,146082.827
000931.SZ,20200204,7.56,8.66,7.56,8.42,8.32,0.09999999999999964,1.2019,209198.75,172134.811
000931.SZ,20200203,8.32,8.32,8.32,8.32,9.24,-0.9199999999999999,-9.9567,33208.0,27629.056
000931.SZ,20200123,9.7,9.74,9.08,9.24,9.65,-0.41000000000000014,-4.2487,168264.27,157963.263
000931.SZ,20200122,9.74,9.76,9.46,9.65,9.71,-0.0600000000000005,-0.6179,149302.39,143495.723
000931.SZ,20200121,9.7,9.99,9.62,9.71,9.58,0.13000000000000078,1.357,195462.6,192059.961
000931.SZ,20200120,9.48,9.67,9.42,9.58,9.41,0.16999999999999993,1.8066,132767.93,126788.127
000931.SZ,20200117,9.69,9.75,9.37,9.41,9.66,-0.25,-2.588,122478.69,116583.621
000931.SZ,20200116,9.76,9.8,9.48,9.66,9.73,-0.07000000000000028,-0.7194,188287.31,181493.479
000931.SZ,20200115,10.02,10.06,9.69,9.73,10.16,-0.4299999999999997,-4.2323,365252.06,359897.817
000931.SZ,20200114,9.62,10.62,9.61,10.16,9.65,0.5099999999999998,5.285,571785.95,592759.992
000931.SZ,20200113,10.0,10.06,9.48,9.65,9.97,-0.3200000000000003,-3.2096,295118.39,284156.108
000931.SZ,20200110,9.66,10.2,9.66,9.97,9.68,0.2900000000000009,2.9959,287678.2,286746.569
000931.SZ,20200109,9.73,10.13,9.65,9.68,9.65,0.02999999999999936,0.3109,227945.65,224263.239
000931.SZ,20200108,9.82,9.94,9.59,9.65,9.85,-0.1999999999999993,-2.0305,144284.83,140564.133
000931.SZ,20200107,9.83,9.92,9.76,9.85,9.81,0.03999999999999915,0.4077,105328.71,103733.475
000931.SZ,20200106,9.92,9.96,9.73,9.81,9.96,-0.15000000000000036,-1.506,189581.02,186368.671
000931.SZ,20200103,10.03,10.17,9.85,9.96,9.98,-0.019999999999999574,-0.2004,170561.84,170324.687
000931.SZ,20200102,9.85,10.25,9.85,9.98,9.81,0.16999999999999993,1.7329,149917.33,150807.835
000931.SZ,20191231,9.75,10.0,9.67,9.81,9.74,0.07000000000000028,0.7187,138001.83,135821.845
000931.SZ,20191230,9.67,9.82,9.61,9.74,9.73,0.009999999999999787,0.1028,112710.05,109664.219
000931.SZ,20191227,9.73,9.88,9.66,9.73,9.81,-0.08000000000000007,-0.8155,193278.2,188690.511
000931.SZ,20191226,9.42,10.03,9.42,9.81,9.39,0.41999999999999993,4.4728,301267.39,293655.983
000931.SZ,20191225,9.0,9.39,9.0,9.39,9.01,0.3800000000000008,4.2175,228349.71,211339.599
000931.SZ,20191224,8.89,9.03,8.82,9.01,8.85,0.16000000000000014,1.8079,92894.36,83194.005
000931.SZ,20191223,8.75,9.0,8.7,8.85,8.74,0.10999999999999943,1.2586,104602.99,92925.777
000931.SZ,20191220,8.81,8.93,8.72,8.74,8.8,-0.0600000000000005,-0.6818,61291.81,54080.854
000931.SZ,20191219,8.79,8.83,8.66,8.8,8.7,0.10000000000000142,1.1494,56827.38,49882.276
000931.SZ,20191218,8.75,8.87,8.7,8.7,8.71,-0.010000000000001563,-0.1148,74742.92,65638.127
000931.SZ,20191217,8.51,8.79,8.5,8.71,8.5,0.21000000000000085,2.4706,119383.55,103550.422
000931.SZ,20191216,8.36,8.55,8.35,8.5,8.36,0.14000000000000057,1.6746,74836.9,63387.44
000931.SZ,20191213,8.27,8.37,8.27,8.36,8.24,0.11999999999999922,1.4563,39259.11,32683.501
000931.SZ,20191212,8.25,8.32,8.13,8.24,8.27,-0.02999999999999936,-0.3628,45725.58,37581.164
000931.SZ,20191211,8.37,8.38,8.22,8.27,8.37,-0.09999999999999964,-1.1947,59803.4,49431.067
000931.SZ,20191210,8.39,8.4,8.28,8.37,8.4,-0.030000000000001137,-0.3571,30400.12,25323.676
000931.SZ,20191209,8.5,8.5,8.38,8.4,8.43,-0.02999999999999936,-0.3559,35457.23,29842.223
000931.SZ,20191206,8.41,8.52,8.39,8.43,8.41,0.019999999999999574,0.2378,28288.28,23886.678
000931.SZ,20191205,8.34,8.44,8.32,8.41,8.32,0.08999999999999986,1.0817,34554.83,29043.088
000931.SZ,20191204,8.28,8.41,8.25,8.32,8.34,-0.019999999999999574,-0.2398,40027.46,33276.373
000931.SZ,20191203,8.27,8.35,8.2,8.34,8.3,0.03999999999999915,0.4819,84019.85,69563.435
000931.SZ,20191202,8.22,8.33,8.2,8.3,8.2,0.10000000000000142,1.2195,24395.5,20145.391
000931.SZ,20191129,8.19,8.26,8.17,8.2,8.23,-0.030000000000001137,-0.3645,24508.48,20129.362
000931.SZ,20191128,8.32,8.37,8.18,8.23,8.32,-0.08999999999999986,-1.0817,28889.47,23791.694
000931.SZ,20191127,8.35,8.4,8.3,8.32,8.32,0.0,0.0,16729.71,13982.888
000931.SZ,20191126,8.41,8.45,8.29,8.32,8.4,-0.08000000000000007,-0.9524,22020.32,18390.813
000931.SZ,20191125,8.48,8.5,8.35,8.4,8.46,-0.0600000000000005,-0.7092,20840.28,17527.571
000931.SZ,20191122,8.56,8.63,8.43,8.46,8.53,-0.06999999999999851,-0.8206,36283.46,30967.159
000931.SZ,20191121,8.44,8.58,8.38,8.53,8.44,0.08999999999999986,1.0664,37580.47,32000.188
000931.SZ,20191120,8.48,8.54,8.39,8.44,8.5,-0.0600000000000005,-0.7059,31113.03,26349.013
000931.SZ,20191119,8.4,8.53,8.35,8.5,8.45,0.05000000000000071,0.5917,31032.4,26242.868
000931.SZ,20191118,8.38,8.5,8.23,8.45,8.38,0.06999999999999851,0.8353,48463.79,40381.315
