ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000063.SZ,20200225,50.7,55.11,49.07,55.11,50.11,5.0,9.978,2768553.33,14493485.8
000063.SZ,20200224,47.2,50.11,47.2,50.11,45.55,4.560000000000002,10.011,1398446.18,6827689.372
000063.SZ,20200221,45.0,46.55,44.35,45.55,44.59,0.9599999999999937,2.1529,1191125.64,5439103.566
000063.SZ,20200220,44.12,45.1,43.72,44.59,43.68,0.9100000000000037,2.0833,1088150.25,4846551.324
000063.SZ,20200219,43.49,46.05,43.33,43.68,43.53,0.14999999999999858,0.3446,1327126.86,5925188.049
000063.SZ,20200218,42.85,43.53,42.11,43.53,43.12,0.4100000000000037,0.9508,1286440.5,5529175.316
000063.SZ,20200217,40.2,43.41,39.68,43.12,39.47,3.6499999999999986,9.2475,1813868.39,7560935.08
000063.SZ,20200214,39.55,40.17,39.06,39.47,39.71,-0.240000000000002,-0.6044,859952.75,3407317.086
000063.SZ,20200213,39.71,40.55,39.09,39.71,40.14,-0.4299999999999997,-1.0713,921121.39,3663446.783
000063.SZ,20200212,39.75,40.3,39.38,40.14,40.01,0.13000000000000256,0.3249,813833.47,3247679.344
000063.SZ,20200211,40.29,40.9,39.6,40.01,40.12,-0.10999999999999943,-0.2742,728437.58,2918951.696
000063.SZ,20200210,38.55,40.74,38.31,40.12,38.93,1.1899999999999977,3.0568,1028561.36,4098782.481
000063.SZ,20200207,38.88,39.31,37.91,38.93,39.22,-0.28999999999999915,-0.7394,963201.82,3734321.1
000063.SZ,20200206,37.9,39.59,37.56,39.22,38.2,1.019999999999996,2.6702,1076155.05,4186464.225
000063.SZ,20200205,38.7,39.25,37.66,38.2,38.37,-0.1699999999999946,-0.4431,1254895.48,4823844.316
000063.SZ,20200204,36.52,38.66,36.52,38.37,35.91,2.460000000000001,6.8505,1348124.84,5100691.857
000063.SZ,20200203,35.25,37.21,35.25,35.91,39.17,-3.260000000000005,-8.3227,1802123.66,6430335.667
000063.SZ,20200123,39.95,40.5,38.3,39.17,40.65,-1.4799999999999969,-3.6408,1115977.08,4404784.397
000063.SZ,20200122,38.38,41.11,38.29,40.65,38.61,2.039999999999999,5.2836,1090415.73,4318263.069
000063.SZ,20200121,39.5,40.06,38.57,38.61,40.06,-1.4500000000000028,-3.6196,942715.7,3692646.968
000063.SZ,20200120,38.7,40.1,38.41,40.06,38.84,1.2199999999999989,3.1411,1074075.15,4237941.062
000063.SZ,20200117,37.73,39.35,37.73,38.84,37.41,1.4300000000000068,3.8225,1321881.78,5098834.404
000063.SZ,20200116,37.33,38.41,37.29,37.41,36.92,0.4899999999999949,1.3272,1032443.59,3906202.606
000063.SZ,20200115,36.5,37.08,36.11,36.92,36.71,0.21000000000000085,0.5721,780882.59,2856797.073
000063.SZ,20200114,37.89,37.9,36.64,36.71,37.96,-1.25,-3.2929,1115816.15,4143449.032
000063.SZ,20200113,37.68,37.96,37.18,37.96,37.36,0.6000000000000014,1.606,805883.54,3032049.774
000063.SZ,20200110,37.25,38.38,37.02,37.36,37.02,0.3399999999999963,0.9184,1012875.1,3811908.453
000063.SZ,20200109,36.32,37.36,36.32,37.02,35.71,1.3100000000000023,3.6684,973297.03,3594667.71
000063.SZ,20200108,36.33,36.88,35.66,35.71,36.6,-0.8900000000000006,-2.4317,820530.43,2970790.425
000063.SZ,20200107,36.7,36.9,36.07,36.6,36.7,-0.10000000000000142,-0.2725,823031.54,3001279.953
000063.SZ,20200106,36.05,37.17,35.9,36.7,36.55,0.15000000000000568,0.4104,1138537.56,4180052.105
000063.SZ,20200103,36.69,37.76,36.2,36.55,35.45,1.0999999999999943,3.103,1790841.29,6617433.903
000063.SZ,20200102,35.66,35.8,35.13,35.45,35.39,0.060000000000002274,0.1695,1014254.88,3592989.149
000063.SZ,20191231,34.6,36.28,34.42,35.39,34.35,1.0399999999999991,3.0277,1351542.82,4805169.346
000063.SZ,20191230,33.38,34.63,33.21,34.35,33.64,0.7100000000000009,2.1106,861985.43,2953552.534
000063.SZ,20191227,34.01,34.28,33.5,33.64,33.9,-0.259999999999998,-0.767,639170.54,2167929.566
000063.SZ,20191226,33.78,34.05,33.45,33.9,33.75,0.14999999999999858,0.4444,456105.28,1539565.406
000063.SZ,20191225,32.93,34.21,32.83,33.75,33.12,0.6300000000000026,1.9022,824519.23,2781527.106
000063.SZ,20191224,32.41,33.24,32.2,33.12,32.26,0.8599999999999994,2.6658,670343.39,2202159.251
000063.SZ,20191223,33.1,33.11,32.21,32.26,33.37,-1.1099999999999994,-3.3263,731934.52,2386749.626
000063.SZ,20191220,34.2,34.51,33.34,33.37,34.49,-1.1200000000000045,-3.2473,901540.46,3045268.935
000063.SZ,20191219,34.02,34.8,33.81,34.49,34.25,0.240000000000002,0.7007,884620.27,3035444.274
000063.SZ,20191218,33.56,35.19,33.41,34.25,33.59,0.6599999999999966,1.9649,1312638.46,4523008.228
000063.SZ,20191217,33.62,33.95,33.2,33.59,33.55,0.04000000000000625,0.1192,931645.51,3128343.459
000063.SZ,20191216,33.4,33.7,32.89,33.55,33.2,0.3499999999999943,1.0542,887071.47,2956173.835
000063.SZ,20191213,33.31,33.54,32.61,33.2,32.85,0.3500000000000014,1.0654,1051398.98,3486987.057
000063.SZ,20191212,31.85,33.11,31.66,32.85,31.85,1.0,3.1397,1209468.76,3940298.431
000063.SZ,20191211,31.98,32.36,31.65,31.85,32.08,-0.22999999999999687,-0.717,392000.02,1251846.966
000063.SZ,20191210,31.57,32.3,31.34,32.08,31.6,0.4799999999999969,1.519,636150.2,2033936.781
000063.SZ,20191209,31.9,31.94,31.5,31.6,31.91,-0.3099999999999987,-0.9715,440104.43,1393796.231
000063.SZ,20191206,31.95,32.1,31.45,31.91,31.95,-0.03999999999999915,-0.1252,481762.82,1531616.976
000063.SZ,20191205,31.19,32.15,31.04,31.95,31.18,0.7699999999999996,2.4695,852151.86,2711033.384
000063.SZ,20191204,30.31,31.3,30.31,31.18,30.67,0.509999999999998,1.6629,596214.44,1837123.102
000063.SZ,20191203,30.41,30.72,30.21,30.67,30.57,0.10000000000000142,0.3271,339699.01,1034842.724
000063.SZ,20191202,30.68,30.79,30.42,30.57,30.71,-0.14000000000000057,-0.4559,326767.78,1000101.325
000063.SZ,20191129,30.6,30.71,30.15,30.71,30.65,0.060000000000002274,0.1958,378412.88,1151141.799
000063.SZ,20191128,30.35,30.7,30.31,30.65,30.46,0.18999999999999773,0.6238,369994.31,1130999.327
000063.SZ,20191127,30.4,30.64,30.05,30.46,30.4,0.060000000000002274,0.1974,426222.96,1294673.487
000063.SZ,20191126,30.41,30.75,30.13,30.4,30.41,-0.010000000000001563,-0.0329,395474.06,1203484.727
000063.SZ,20191125,30.29,30.44,28.96,30.41,30.7,-0.28999999999999915,-0.9446,652973.36,1959900.943
000063.SZ,20191122,31.1,31.63,30.45,30.7,31.09,-0.39000000000000057,-1.2544,647142.62,2001981.562
000063.SZ,20191121,31.18,31.36,30.93,31.09,31.36,-0.2699999999999996,-0.861,469628.67,1459622.44
000063.SZ,20191120,31.9,31.9,31.25,31.36,31.89,-0.5300000000000011,-1.662,448091.93,1414881.132
000063.SZ,20191119,31.36,31.97,31.02,31.89,31.36,0.5300000000000011,1.6901,661975.62,2088160.044
000063.SZ,20191118,31.25,31.61,30.9,31.36,31.34,0.019999999999999574,0.0638,452153.77,1415083.444
000063.SZ,20191115,32.65,32.65,31.3,31.34,32.77,-1.4300000000000033,-4.3637,1068819.11,3396414.89
000063.SZ,20191114,32.56,32.86,32.42,32.77,32.56,0.21000000000000085,0.645,446689.33,1458327.215
000063.SZ,20191113,32.4,32.75,32.1,32.56,32.49,0.07000000000000028,0.2155,368255.81,1195172.686
000063.SZ,20191112,32.21,32.52,31.9,32.49,32.37,0.12000000000000455,0.3707,457153.44,1473292.113
000063.SZ,20191111,32.48,32.76,32.2,32.37,32.85,-0.480000000000004,-1.4612,486465.75,1578594.085
000063.SZ,20191108,33.67,33.73,32.74,32.85,33.33,-0.4799999999999969,-1.4401,638968.27,2121485.352
000063.SZ,20191107,33.16,33.52,32.98,33.33,33.22,0.10999999999999943,0.3311,426004.33,1419079.169
000063.SZ,20191106,34.14,34.37,33.08,33.22,34.24,-1.0200000000000031,-2.979,803382.19,2696994.585
000063.SZ,20191105,34.4,34.72,34.08,34.24,34.48,-0.23999999999999488,-0.6961,702190.59,2412213.429
000063.SZ,20191104,34.18,35.18,34.05,34.48,34.0,0.4799999999999969,1.4118,980450.96,3392747.307
000063.SZ,20191101,33.16,34.3,33.03,34.0,33.4,0.6000000000000014,1.7964,844422.29,2861942.989
000063.SZ,20191031,33.33,33.99,32.99,33.4,33.23,0.1700000000000017,0.5116,658135.85,2201516.026
000063.SZ,20191030,33.32,34.25,32.86,33.23,33.74,-0.5100000000000051,-1.5116,731872.68,2450679.098
000063.SZ,20191029,33.0,34.76,32.85,33.74,33.64,0.10000000000000142,0.2973,1266193.46,4303889.163
000063.SZ,20191028,33.82,33.95,32.89,33.64,33.35,0.28999999999999915,0.8696,887535.6,2974951.12
000063.SZ,20191025,32.2,33.35,32.04,33.35,32.2,1.1499999999999986,3.5714,881362.51,2893166.093
000063.SZ,20191024,32.1,32.6,31.91,32.2,32.32,-0.11999999999999744,-0.3713,358485.5,1155979.619
000063.SZ,20191023,32.09,32.83,31.9,32.32,32.16,0.1600000000000037,0.4975,629258.02,2042622.858
000063.SZ,20191022,32.1,32.34,31.7,32.16,31.98,0.17999999999999616,0.5629,442238.23,1415152.023
