ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000719.SZ,20200225,7.68,7.73,7.45,7.65,7.82,-0.16999999999999993,-2.1739,79990.58,60896.051
000719.SZ,20200224,7.74,7.85,7.64,7.82,7.76,0.0600000000000005,0.7732,87887.45,68379.806
000719.SZ,20200221,7.84,7.96,7.69,7.76,7.88,-0.1200000000000001,-1.5228,126706.6,98681.15
000719.SZ,20200220,7.48,7.88,7.42,7.88,7.45,0.4299999999999997,5.7718,148520.59,114424.638
000719.SZ,20200219,7.67,7.67,7.43,7.45,7.71,-0.2599999999999998,-3.3722,72682.92,54729.394
000719.SZ,20200218,7.57,7.72,7.43,7.71,7.55,0.16000000000000014,2.1192,92686.07,70114.73
000719.SZ,20200217,7.32,7.59,7.32,7.55,7.34,0.20999999999999996,2.861,62422.81,46774.646
000719.SZ,20200214,7.49,7.53,7.3,7.34,7.52,-0.17999999999999972,-2.3936,90828.35,67214.613
000719.SZ,20200213,7.78,7.78,7.45,7.52,7.76,-0.2400000000000002,-3.0928,87908.91,66569.314
000719.SZ,20200212,7.68,7.8,7.6,7.76,7.71,0.04999999999999982,0.6485,74248.11,57428.037
000719.SZ,20200211,7.97,8.0,7.56,7.71,7.96,-0.25,-3.1407,103882.42,80458.233
000719.SZ,20200210,7.91,8.07,7.75,7.96,7.95,0.009999999999999787,0.1258,119500.89,94529.452
000719.SZ,20200207,8.0,8.22,7.68,7.95,7.97,-0.019999999999999574,-0.2509,198189.53,157307.909
000719.SZ,20200206,7.34,7.98,7.26,7.97,7.31,0.6600000000000001,9.0287,214637.59,164506.994
000719.SZ,20200205,7.15,7.39,7.03,7.31,7.17,0.13999999999999968,1.9526,124916.76,90494.251
000719.SZ,20200204,6.66,7.19,6.66,7.17,6.54,0.6299999999999999,9.633,109692.44,76775.875
000719.SZ,20200203,6.66,6.84,6.53,6.54,7.26,-0.7199999999999998,-9.9174,74422.34,49498.17
000719.SZ,20200123,7.51,7.52,7.22,7.26,7.54,-0.28000000000000025,-3.7135,41842.06,30855.47
000719.SZ,20200122,7.43,7.57,7.4,7.54,7.45,0.08999999999999986,1.2081,51723.13,38834.241
000719.SZ,20200121,7.52,7.56,7.42,7.45,7.4,0.04999999999999982,0.6757,46467.66,34767.559
000719.SZ,20200120,7.36,7.44,7.35,7.4,7.37,0.03000000000000025,0.4071,25074.78,18520.188
000719.SZ,20200117,7.44,7.46,7.35,7.37,7.45,-0.08000000000000007,-1.0738,39328.5,29097.298
000719.SZ,20200116,7.5,7.58,7.4,7.45,7.51,-0.05999999999999961,-0.7989,38322.25,28651.783
000719.SZ,20200115,7.56,7.67,7.47,7.51,7.58,-0.07000000000000028,-0.9235,29425.71,22167.677
000719.SZ,20200114,7.56,7.62,7.51,7.58,7.55,0.03000000000000025,0.3974,56700.11,42902.766
000719.SZ,20200113,7.48,7.61,7.48,7.55,7.5,0.04999999999999982,0.6667,54089.06,40829.357
000719.SZ,20200110,7.6,7.62,7.47,7.5,7.6,-0.09999999999999964,-1.3158,60008.8,45137.179
000719.SZ,20200109,7.42,7.6,7.4,7.6,7.35,0.25,3.4014,85061.94,63912.804
