ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600730.SH,20200225,4.95,5.03,4.7,4.99,5.11,-0.1200000000000001,-2.3483,170376.38,83893.468
600730.SH,20200224,4.97,5.22,4.9,5.11,4.97,0.14000000000000057,2.8169,214854.55,108934.16
600730.SH,20200221,4.92,5.1,4.89,4.97,4.99,-0.020000000000000462,-0.4008,170204.04,84901.612
600730.SH,20200220,4.78,5.05,4.78,4.99,4.78,0.20999999999999996,4.3933,201559.28,99851.26
600730.SH,20200219,4.9,5.03,4.76,4.78,4.91,-0.1299999999999999,-2.6477,127259.72,62184.083
600730.SH,20200218,4.66,4.98,4.63,4.91,4.64,0.27000000000000046,5.819,172433.44,83093.656
600730.SH,20200217,4.53,4.65,4.5,4.64,4.53,0.10999999999999943,2.4283,68016.09,31369.886
600730.SH,20200214,4.52,4.58,4.51,4.53,4.61,-0.08000000000000007,-1.7354,67875.52,30832.741
600730.SH,20200213,4.8,4.8,4.54,4.61,4.81,-0.1999999999999993,-4.158,148031.06,68649.667
600730.SH,20200212,4.79,4.82,4.73,4.81,4.79,0.019999999999999574,0.4175,85200.12,40750.963
600730.SH,20200211,4.94,4.96,4.77,4.79,4.9,-0.11000000000000032,-2.2449,123812.26,59807.207
600730.SH,20200210,5.11,5.19,4.82,4.9,5.01,-0.10999999999999943,-2.1956,215297.53,106724.759
600730.SH,20200207,5.29,5.29,4.94,5.01,5.23,-0.22000000000000064,-4.2065,359880.95,183576.423
600730.SH,20200206,4.78,5.24,4.7,5.23,4.76,0.47000000000000064,9.8739,467931.95,240169.25
600730.SH,20200205,4.31,4.76,4.23,4.76,4.33,0.4299999999999997,9.9307,189438.8,88192.426
600730.SH,20200204,3.74,4.39,3.74,4.33,4.16,0.16999999999999993,4.0865,119614.24,49119.73
600730.SH,20200203,4.16,4.16,4.16,4.16,4.62,-0.45999999999999996,-9.9567,27762.0,11548.992
600730.SH,20200123,4.71,4.76,4.56,4.62,4.82,-0.20000000000000018,-4.1494,84354.33,39288.881
600730.SH,20200122,5.03,5.03,4.62,4.82,5.05,-0.22999999999999954,-4.5545,112716.27,54038.727
600730.SH,20200121,4.89,5.15,4.87,5.05,4.9,0.14999999999999947,3.0612,141042.54,70823.408
600730.SH,20200120,4.85,4.92,4.84,4.9,4.85,0.05000000000000071,1.0309,34263.35,16682.857
600730.SH,20200117,4.9,4.9,4.83,4.85,4.86,-0.010000000000000675,-0.2058,35174.88,17103.727
600730.SH,20200116,4.95,4.95,4.85,4.86,4.93,-0.0699999999999994,-1.4199,35636.16,17455.96
