ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600890.SH,20200225,7.49,7.84,7.37,7.64,7.59,0.04999999999999982,0.6588,72045.9,54784.844
600890.SH,20200224,7.28,7.75,7.18,7.59,7.2,0.3899999999999997,5.4167,66517.11,49639.321
600890.SH,20200221,7.15,7.34,7.15,7.2,7.21,-0.009999999999999787,-0.1387,28367.0,20501.245
600890.SH,20200220,7.13,7.36,7.13,7.21,7.18,0.03000000000000025,0.4178,31523.1,22791.235
600890.SH,20200219,7.27,7.27,7.12,7.18,7.23,-0.05000000000000071,-0.6916,24077.1,17301.641
600890.SH,20200218,7.42,7.42,7.11,7.23,7.27,-0.03999999999999915,-0.5502,40521.2,29131.924
600890.SH,20200217,7.01,7.31,6.88,7.27,6.99,0.27999999999999936,4.0057,55740.37,39977.487
600890.SH,20200214,6.61,7.13,6.46,6.99,6.48,0.5099999999999998,7.8704,58187.49,39764.511
600890.SH,20200213,6.39,6.57,6.39,6.48,6.47,0.010000000000000675,0.1546,26144.5,17003.105
600890.SH,20200212,6.26,6.48,6.2,6.47,6.27,0.20000000000000018,3.1898,32917.01,20842.607
600890.SH,20200211,6.19,6.4,5.77,6.27,6.17,0.09999999999999964,1.6207,34028.01,21231.822
600890.SH,20200210,6.13,6.18,6.07,6.17,6.14,0.03000000000000025,0.4886,18321.01,11246.296
600890.SH,20200207,6.13,6.16,6.04,6.14,6.12,0.019999999999999574,0.3268,30848.0,18790.091
600890.SH,20200206,6.03,6.21,6.0,6.12,6.03,0.08999999999999986,1.4925,34802.41,21240.773
600890.SH,20200205,5.93,6.16,5.93,6.03,6.01,0.020000000000000462,0.3328,43251.0,26243.088
600890.SH,20200204,5.76,6.29,5.76,6.01,6.36,-0.35000000000000053,-5.5031,76576.92,45785.645
600890.SH,20200203,6.36,6.49,6.36,6.36,7.07,-0.71,-10.0424,20819.0,13244.134
600890.SH,20200123,7.52,7.55,6.88,7.07,7.48,-0.41000000000000014,-5.4813,61332.01,43852.749
600890.SH,20200122,7.58,7.6,7.32,7.48,7.61,-0.1299999999999999,-1.7083,75465.39,56275.117
600890.SH,20200121,7.66,7.81,7.57,7.61,7.61,0.0,0.0,49483.0,37893.361
600890.SH,20200120,7.76,7.76,7.42,7.61,7.77,-0.15999999999999925,-2.0592,90317.89,68124.821
600890.SH,20200117,7.77,7.86,7.56,7.77,7.7,0.0699999999999994,0.9091,62118.6,48197.517
600890.SH,20200116,7.83,7.93,7.61,7.7,7.78,-0.08000000000000007,-1.0283,57487.91,44360.993
600890.SH,20200115,7.7,7.78,7.4,7.78,7.77,0.010000000000000675,0.1287,113713.48,86823.543
600890.SH,20200114,7.5,7.94,7.4,7.77,7.22,0.5499999999999998,7.6177,210673.4,163621.921
600890.SH,20200113,6.56,7.22,6.51,7.22,6.56,0.6600000000000001,10.061,144940.2,102868.56
600890.SH,20200110,6.19,6.65,6.18,6.56,6.2,0.35999999999999943,5.8065,65032.52,42058.049
600890.SH,20200109,6.09,6.21,6.07,6.2,6.08,0.1200000000000001,1.9737,18555.02,11450.731
600890.SH,20200108,6.23,6.23,6.05,6.08,6.26,-0.17999999999999972,-2.8754,21256.0,13035.041
600890.SH,20200107,6.29,6.33,6.15,6.26,6.29,-0.03000000000000025,-0.4769,35398.0,22065.492
600890.SH,20200106,6.22,6.33,6.2,6.29,6.29,0.0,0.0,22114.01,13831.767
600890.SH,20200103,6.31,6.39,6.25,6.29,6.31,-0.019999999999999574,-0.317,20073.23,12635.723
600890.SH,20200102,6.33,6.4,6.29,6.31,6.33,-0.020000000000000462,-0.316,25189.91,15979.85
600890.SH,20191231,6.33,6.35,6.15,6.33,6.28,0.04999999999999982,0.7962,18015.0,11326.725
600890.SH,20191230,6.35,6.36,6.07,6.28,6.4,-0.1200000000000001,-1.875,40862.0,25517.607
600890.SH,20191227,6.5,6.5,6.37,6.4,6.53,-0.1299999999999999,-1.9908,39743.0,25565.341
600890.SH,20191226,6.51,6.62,6.47,6.53,6.52,0.010000000000000675,0.1534,14784.04,9668.533
600890.SH,20191225,6.56,6.67,6.48,6.52,6.56,-0.040000000000000036,-0.6098,34311.17,22425.814
600890.SH,20191224,6.5,6.59,6.45,6.56,6.5,0.05999999999999961,0.9231,16024.0,10461.233
600890.SH,20191223,6.57,6.65,6.45,6.5,6.59,-0.08999999999999986,-1.3657,24504.56,16055.155
600890.SH,20191220,6.56,6.65,6.52,6.59,6.54,0.04999999999999982,0.7645,24856.56,16399.087
600890.SH,20191219,6.57,6.57,6.45,6.54,6.52,0.020000000000000462,0.3067,17262.74,11245.5
600890.SH,20191218,6.49,6.58,6.41,6.52,6.49,0.02999999999999936,0.4622,36859.18,23834.591
600890.SH,20191217,6.45,6.54,6.41,6.49,6.45,0.040000000000000036,0.6202,27100.01,17577.433
600890.SH,20191216,6.42,6.51,6.35,6.45,6.44,0.009999999999999787,0.1553,26764.01,17207.33
600890.SH,20191213,6.45,6.47,6.37,6.44,6.43,0.010000000000000675,0.1555,18587.0,11935.39
600890.SH,20191212,6.41,6.45,6.37,6.43,6.43,0.0,0.0,16114.0,10348.486
600890.SH,20191211,6.43,6.49,6.34,6.43,6.44,-0.010000000000000675,-0.1553,16604.0,10615.853
600890.SH,20191210,6.26,6.44,6.26,6.44,6.31,0.13000000000000078,2.0602,21477.44,13659.201
600890.SH,20191209,6.43,6.43,6.26,6.31,6.37,-0.0600000000000005,-0.9419,16080.0,10186.882
600890.SH,20191206,6.38,6.4,6.3,6.37,6.37,0.0,0.0,18312.56,11630.205
600890.SH,20191205,6.37,6.54,6.31,6.37,6.37,0.0,0.0,26467.0,16938.309
600890.SH,20191204,6.37,6.4,6.21,6.37,6.36,0.009999999999999787,0.1572,27368.0,17319.909
600890.SH,20191203,6.45,6.52,6.33,6.36,6.51,-0.14999999999999947,-2.3041,39108.19,25007.576
600890.SH,20191202,6.68,6.74,6.45,6.51,6.69,-0.1800000000000006,-2.6906,42616.19,28141.413
600890.SH,20191129,6.67,6.69,6.51,6.69,6.6,0.09000000000000075,1.3636,36269.87,23889.123
600890.SH,20191128,6.4,6.79,6.34,6.6,6.35,0.25,3.937,52153.87,34256.939
600890.SH,20191127,6.37,6.4,6.3,6.35,6.35,0.0,0.0,14699.0,9332.204
600890.SH,20191126,6.31,6.39,6.3,6.35,6.41,-0.0600000000000005,-0.936,23576.51,14939.071
600890.SH,20191125,6.2,6.48,6.12,6.41,6.23,0.17999999999999972,2.8892,35477.56,22401.256
600890.SH,20191122,6.21,6.42,6.15,6.23,6.18,0.05000000000000071,0.8091,45726.42,28808.567
600890.SH,20191121,6.11,6.21,6.08,6.18,6.14,0.040000000000000036,0.6515,19570.0,12028.634
600890.SH,20191120,6.21,6.25,6.08,6.14,6.22,-0.08000000000000007,-1.2862,25943.79,15968.305
600890.SH,20191119,6.16,6.24,6.08,6.22,6.15,0.0699999999999994,1.1382,36115.58,22355.103
600890.SH,20191118,6.35,6.39,5.97,6.15,6.35,-0.1999999999999993,-3.1496,66867.5,40920.563
600890.SH,20191115,5.8,6.42,5.74,6.35,5.84,0.5099999999999998,8.7329,85748.51,53519.088
600890.SH,20191114,5.53,5.86,5.48,5.84,5.52,0.3200000000000003,5.7971,47911.58,27106.145
600890.SH,20191113,5.37,5.57,5.37,5.52,5.41,0.10999999999999943,2.0333,31212.48,17137.456
600890.SH,20191112,5.35,5.45,5.32,5.41,5.41,0.0,0.0,15742.0,8435.651
600890.SH,20191111,5.54,5.54,5.35,5.41,5.49,-0.08000000000000007,-1.4572,25935.0,13985.288
600890.SH,20191108,5.38,5.6,5.35,5.49,5.37,0.1200000000000001,2.2346,33856.0,18615.942
600890.SH,20191107,5.3,5.4,5.28,5.37,5.34,0.03000000000000025,0.5618,11121.0,5951.715
600890.SH,20191106,5.45,5.46,5.32,5.34,5.38,-0.040000000000000036,-0.7435,12320.0,6612.213
600890.SH,20191105,5.41,5.49,5.35,5.38,5.36,0.019999999999999574,0.3731,15925.0,8583.327
600890.SH,20191104,5.5,5.56,5.33,5.36,5.53,-0.16999999999999993,-3.0741,22400.0,12249.768
600890.SH,20191101,5.34,5.53,5.32,5.53,5.35,0.1800000000000006,3.3645,19870.0,10785.336
600890.SH,20191031,5.38,5.48,5.32,5.35,5.39,-0.040000000000000036,-0.7421,17680.0,9546.561
600890.SH,20191030,5.4,5.5,5.31,5.39,5.43,-0.040000000000000036,-0.7366,17676.01,9524.38
600890.SH,20191029,5.46,5.5,5.37,5.43,5.44,-0.010000000000000675,-0.1838,24417.0,13265.989
600890.SH,20191028,5.42,5.69,5.41,5.44,5.4,0.040000000000000036,0.7407,31142.0,17142.573
600890.SH,20191025,5.29,5.48,5.2,5.4,5.24,0.16000000000000014,3.0534,31272.01,16756.213
600890.SH,20191024,5.28,5.36,5.22,5.24,5.23,0.009999999999999787,0.1912,21846.01,11525.938
600890.SH,20191023,5.1,5.36,5.1,5.23,5.17,0.0600000000000005,1.1605,38802.01,20423.857
600890.SH,20191022,5.18,5.18,5.1,5.17,5.17,0.0,0.0,21933.01,11270.97
600890.SH,20191021,4.96,5.38,4.95,5.17,4.94,0.22999999999999954,4.6559,44657.08,23004.928
600890.SH,20191018,4.99,5.02,4.92,4.94,4.99,-0.04999999999999982,-1.002,19572.0,9706.642
600890.SH,20191017,4.96,5.05,4.95,4.99,5.0,-0.009999999999999787,-0.2,18455.0,9196.072
600890.SH,20191016,5.1,5.18,5.0,5.0,5.08,-0.08000000000000007,-1.5748,24172.0,12251.343
600890.SH,20191015,5.22,5.26,5.07,5.08,5.24,-0.16000000000000014,-3.0534,25423.01,13007.424
600890.SH,20191014,5.39,5.44,5.22,5.24,5.35,-0.10999999999999943,-2.0561,30310.0,16028.836
600890.SH,20191011,5.38,5.46,5.29,5.35,5.38,-0.03000000000000025,-0.5576,16362.68,8790.524
600890.SH,20191010,5.41,5.47,5.35,5.38,5.43,-0.04999999999999982,-0.9208,23359.02,12627.444
600890.SH,20191009,5.15,5.47,5.07,5.43,5.25,0.17999999999999972,3.4286,33537.01,17857.596
600890.SH,20191008,5.23,5.34,5.16,5.25,5.31,-0.05999999999999961,-1.1299,23082.0,12096.16
600890.SH,20190930,5.38,5.4,5.22,5.31,5.4,-0.09000000000000075,-1.6667,19744.0,10503.915
600890.SH,20190927,5.26,5.48,5.17,5.4,5.27,0.13000000000000078,2.4668,30414.68,16229.319
600890.SH,20190926,5.45,5.46,5.16,5.27,5.49,-0.22000000000000064,-4.0073,49017.01,26014.835
600890.SH,20190925,5.43,5.88,5.38,5.49,5.46,0.03000000000000025,0.5495,55632.0,31049.203
600890.SH,20190924,5.44,5.47,5.39,5.46,5.44,0.019999999999999574,0.3676,31712.0,17234.518
600890.SH,20190923,5.34,5.47,5.28,5.44,5.38,0.0600000000000005,1.1152,34324.24,18490.656
600890.SH,20190920,5.31,5.42,5.3,5.38,5.36,0.019999999999999574,0.3731,26305.0,14106.509
600890.SH,20190919,5.32,5.39,5.22,5.36,5.24,0.1200000000000001,2.2901,35572.01,18906.285
600890.SH,20190918,5.24,5.37,5.2,5.24,5.25,-0.009999999999999787,-0.1905,31981.0,16843.4
600890.SH,20190917,5.31,5.38,5.21,5.25,5.33,-0.08000000000000007,-1.5009,45997.01,24205.036
600890.SH,20190916,5.23,5.44,5.18,5.33,5.21,0.1200000000000001,2.3033,68111.07,36258.364
600890.SH,20190912,5.2,5.24,5.15,5.21,5.2,0.009999999999999787,0.1923,31285.02,16258.397
600890.SH,20190911,5.14,5.26,5.13,5.2,5.14,0.0600000000000005,1.1673,56454.84,29316.528
600890.SH,20190910,5.15,5.19,5.01,5.14,5.04,0.09999999999999964,1.9841,65562.87,33391.017
600890.SH,20190909,4.86,5.18,4.82,5.04,4.81,0.23000000000000043,4.7817,75469.36,37839.853
600890.SH,20190906,4.88,4.88,4.81,4.81,4.81,0.0,0.0,30735.58,14846.112
600890.SH,20190905,4.88,4.91,4.79,4.81,4.83,-0.020000000000000462,-0.4141,64484.0,31253.989
600890.SH,20190904,4.73,4.84,4.73,4.83,4.78,0.04999999999999982,1.046,43027.01,20579.258
600890.SH,20190903,4.65,4.87,4.61,4.78,4.67,0.11000000000000032,2.3555,70352.5,33528.071
600890.SH,20190902,4.7,4.7,4.6,4.67,4.7,-0.03000000000000025,-0.6383,53143.07,24682.359
600890.SH,20190830,4.72,4.78,4.58,4.7,4.72,-0.019999999999999574,-0.4237,59015.22,27640.73
600890.SH,20190829,4.86,4.91,4.7,4.72,4.89,-0.16999999999999993,-3.4765,75066.57,35798.542
600890.SH,20190828,4.94,5.0,4.87,4.89,5.08,-0.1900000000000004,-3.7402,92984.0,45839.558
600890.SH,20190827,4.82,5.16,4.78,5.08,5.04,0.040000000000000036,0.7937,154034.75,76085.518
600890.SH,20190826,4.96,5.4,4.84,5.04,4.91,0.1299999999999999,2.6477,78577.12,40127.675
600890.SH,20190823,4.99,5.02,4.9,4.91,4.96,-0.04999999999999982,-1.0081,38685.26,19168.568
600890.SH,20190822,5.05,5.05,4.93,4.96,5.03,-0.07000000000000028,-1.3917,45738.11,22707.594
600890.SH,20190821,5.09,5.09,5.01,5.03,5.05,-0.019999999999999574,-0.396,35383.21,17799.318
600890.SH,20190820,5.13,5.16,5.01,5.05,5.13,-0.08000000000000007,-1.5595,49262.63,24951.51
600890.SH,20190819,5.2,5.2,5.05,5.13,5.13,0.0,0.0,58845.63,30024.685
