ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600242.SH,20200225,8.09,8.22,7.7,8.11,8.36,-0.25,-2.9904,246480.12,198469.451
600242.SH,20200224,8.03,8.47,7.94,8.36,8.16,0.1999999999999993,2.451,289053.03,236984.902
600242.SH,20200221,7.85,8.27,7.82,8.16,7.89,0.27000000000000046,3.4221,309107.76,250372.803
600242.SH,20200220,7.85,7.93,7.63,7.89,7.77,0.1200000000000001,1.5444,194587.33,151932.068
600242.SH,20200219,7.93,8.06,7.76,7.77,7.98,-0.21000000000000085,-2.6316,234571.01,185508.205
600242.SH,20200218,7.73,7.99,7.56,7.98,7.65,0.33000000000000007,4.3137,302959.29,236140.435
600242.SH,20200217,7.37,7.7,7.35,7.65,7.28,0.3700000000000001,5.0824,196191.89,148247.092
600242.SH,20200214,7.34,7.46,7.23,7.28,7.4,-0.1200000000000001,-1.6216,112602.0,82619.82
600242.SH,20200213,7.75,7.75,7.4,7.4,7.66,-0.2599999999999998,-3.3943,157132.35,118135.25
600242.SH,20200212,7.49,7.67,7.41,7.66,7.49,0.16999999999999993,2.2697,157188.0,118709.504
600242.SH,20200211,7.67,7.67,7.45,7.49,7.73,-0.2400000000000002,-3.1048,155831.27,117468.598
600242.SH,20200210,7.8,7.85,7.51,7.73,7.94,-0.20999999999999996,-2.6448,293407.01,224883.261
600242.SH,20200207,7.9,8.14,7.66,7.94,7.4,0.54,7.2973,399110.54,316685.984
600242.SH,20200206,6.95,7.47,6.86,7.4,6.99,0.41000000000000014,5.8655,266236.9,191909.112
600242.SH,20200205,6.75,7.14,6.7,6.99,6.75,0.2400000000000002,3.5556,211845.03,147707.472
600242.SH,20200204,6.2,6.8,6.2,6.75,6.89,-0.13999999999999968,-2.0319,207174.17,136522.893
600242.SH,20200203,6.89,6.89,6.89,6.89,7.65,-0.7600000000000007,-9.9346,15489.0,10671.921
600242.SH,20200123,7.68,8.12,7.54,7.65,7.6,0.05000000000000071,0.6579,225869.56,176379.079
600242.SH,20200122,7.11,7.8,7.11,7.6,7.9,-0.3000000000000007,-3.7975,256266.27,190815.382
600242.SH,20200121,8.2,8.23,7.87,7.9,8.15,-0.25,-3.0675,178044.17,143223.518
600242.SH,20200120,8.5,8.5,8.0,8.15,8.73,-0.5800000000000001,-6.6438,285634.07,233838.636
600242.SH,20200117,9.03,9.05,8.63,8.73,9.1,-0.3699999999999992,-4.0659,255287.71,226042.459
600242.SH,20200116,8.9,9.15,8.7,9.1,8.9,0.1999999999999993,2.2472,293420.76,264135.868
600242.SH,20200115,9.01,9.19,8.81,8.9,9.05,-0.15000000000000036,-1.6575,222438.02,199761.074
600242.SH,20200114,9.04,9.07,8.9,9.05,8.98,0.07000000000000028,0.7795,251681.12,226308.111
600242.SH,20200113,8.94,9.08,8.69,8.98,8.88,0.09999999999999964,1.1261,234653.88,210150.26
