ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000042.SZ,20200225,9.46,9.5,9.23,9.32,9.46,-0.14000000000000057,-1.4799,30471.76,28464.014
000042.SZ,20200224,9.5,9.56,9.42,9.46,9.49,-0.02999999999999936,-0.3161,21024.4,19926.749
000042.SZ,20200221,9.52,9.54,9.46,9.49,9.49,0.0,0.0,18515.0,17572.582
000042.SZ,20200220,9.43,9.53,9.37,9.49,9.42,0.07000000000000028,0.7431,18689.06,17646.958
000042.SZ,20200219,9.49,9.56,9.41,9.42,9.53,-0.10999999999999943,-1.1542,12985.0,12336.709
000042.SZ,20200218,9.59,9.59,9.35,9.53,9.59,-0.0600000000000005,-0.6257,23775.04,22496.575
000042.SZ,20200217,9.35,9.59,9.35,9.59,9.37,0.22000000000000064,2.3479,19091.08,18193.294
000042.SZ,20200214,9.27,9.41,9.25,9.37,9.27,0.09999999999999964,1.0787,15298.38,14279.06
000042.SZ,20200213,9.27,9.45,9.23,9.27,9.27,0.0,0.0,16980.04,15837.101
000042.SZ,20200212,9.25,9.33,9.17,9.27,9.32,-0.05000000000000071,-0.5365,17913.51,16562.963
000042.SZ,20200211,9.14,9.4,9.1,9.32,9.14,0.17999999999999972,1.9694,25236.08,23350.175
000042.SZ,20200210,9.04,9.18,9.01,9.14,9.04,0.10000000000000142,1.1062,20136.52,18313.769
000042.SZ,20200207,9.06,9.1,8.95,9.04,9.1,-0.0600000000000005,-0.6593,18602.96,16799.748
000042.SZ,20200206,9.05,9.14,8.93,9.1,8.99,0.10999999999999943,1.2236,21012.01,18973.171
000042.SZ,20200205,8.9,9.2,8.89,8.99,8.9,0.08999999999999986,1.0112,18863.56,17035.101
000042.SZ,20200204,8.67,9.02,8.27,8.9,8.93,-0.02999999999999936,-0.3359,23427.86,20720.674
000042.SZ,20200203,8.93,8.93,8.93,8.93,9.92,-0.9900000000000002,-9.9798,8394.0,7495.842
000042.SZ,20200123,10.06,10.22,9.88,9.92,10.17,-0.25,-2.4582,17506.0,17622.874
000042.SZ,20200122,10.21,10.23,10.08,10.17,10.23,-0.0600000000000005,-0.5865,10128.0,10296.347
000042.SZ,20200121,10.47,10.47,10.15,10.23,10.47,-0.2400000000000002,-2.2923,24515.0,25122.147
000042.SZ,20200120,10.35,10.5,10.35,10.47,10.35,0.120000000000001,1.1594,12669.2,13230.865
000042.SZ,20200117,10.37,10.44,10.32,10.35,10.35,0.0,0.0,12204.37,12662.104
