ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300496.SZ,20200225,74.0,76.75,70.42,74.62,76.77,-2.1499999999999915,-2.8006,287471.81,2128045.787
300496.SZ,20200224,75.0,79.9,74.1,76.77,73.7,3.069999999999993,4.1655,308484.6,2366214.446
300496.SZ,20200221,70.3,73.7,69.18,73.7,67.0,6.700000000000003,10.0,252629.31,1827819.957
300496.SZ,20200220,65.1,67.39,64.28,67.0,64.3,2.700000000000003,4.1991,172957.07,1146024.238
300496.SZ,20200219,69.48,70.34,63.93,64.3,70.4,-6.1000000000000085,-8.6648,252382.47,1682332.688
300496.SZ,20200218,69.5,70.99,68.2,70.4,68.75,1.6500000000000057,2.4,123001.11,857606.304
300496.SZ,20200217,66.61,69.27,66.59,68.75,66.46,2.2900000000000063,3.4457,131585.79,896957.981
300496.SZ,20200214,66.37,68.37,65.33,66.46,66.62,-0.1600000000000108,-0.2402,122746.55,819452.409
300496.SZ,20200213,69.82,70.85,66.5,66.62,69.82,-3.1999999999999886,-4.5832,166466.23,1131727.801
300496.SZ,20200212,68.0,71.18,67.16,69.82,67.9,1.9199999999999875,2.8277,130670.88,905650.327
300496.SZ,20200211,67.0,71.48,65.79,67.9,67.74,0.1600000000000108,0.2362,152185.42,1044709.438
300496.SZ,20200210,62.67,69.05,62.0,67.74,62.77,4.969999999999992,7.9178,174450.29,1142266.122
300496.SZ,20200207,63.3,63.3,61.03,62.77,63.73,-0.9599999999999937,-1.5064,135336.73,842410.102
300496.SZ,20200206,59.54,63.73,58.41,63.73,59.54,4.189999999999998,7.0373,160877.32,993062.764
300496.SZ,20200205,58.0,62.14,57.52,59.54,57.52,2.019999999999996,3.5118,164964.14,991299.251
300496.SZ,20200204,51.16,57.52,51.16,57.52,52.29,5.230000000000004,10.0019,202569.01,1127012.436
300496.SZ,20200203,52.29,52.29,52.29,52.29,58.1,-5.810000000000002,-10.0,28999.0,151635.771
300496.SZ,20200123,60.5,61.98,56.88,58.1,62.48,-4.3799999999999955,-7.0102,166836.33,991943.911
300496.SZ,20200122,60.4,64.45,58.23,62.48,61.66,0.8200000000000003,1.3299,183838.96,1120761.602
300496.SZ,20200121,60.0,62.79,58.58,61.66,58.72,2.9399999999999977,5.0068,179523.71,1083511.686
300496.SZ,20200120,53.0,58.72,53.0,58.72,53.38,5.339999999999996,10.0037,164197.76,936635.608
300496.SZ,20200117,51.85,54.95,51.85,53.38,51.8,1.5800000000000054,3.0502,121090.67,651315.529
300496.SZ,20200116,51.15,52.7,51.0,51.8,51.15,0.6499999999999986,1.2708,105911.17,551507.835
300496.SZ,20200115,50.05,51.2,49.58,51.15,50.66,0.490000000000002,0.9672,89607.83,451976.917
300496.SZ,20200114,51.37,51.94,50.55,50.66,51.16,-0.5,-0.9773,91817.38,468813.135
300496.SZ,20200113,49.53,51.43,49.53,51.16,49.11,2.049999999999997,4.1743,128519.96,652999.933
300496.SZ,20200110,50.01,50.53,48.8,49.11,49.95,-0.8400000000000034,-1.6817,89304.81,442724.708
300496.SZ,20200109,49.89,51.17,48.95,49.95,48.76,1.1900000000000048,2.4405,124255.95,620472.496
300496.SZ,20200108,49.0,50.98,48.6,48.76,48.99,-0.23000000000000398,-0.4695,143367.16,713394.83
300496.SZ,20200107,48.5,49.38,48.1,48.99,48.92,0.07000000000000028,0.1431,104966.85,510770.296
300496.SZ,20200106,46.0,49.21,45.75,48.92,46.11,2.8100000000000023,6.0941,178732.68,857806.165
300496.SZ,20200103,46.81,47.02,45.58,46.11,46.38,-0.2700000000000031,-0.5821,87344.26,403764.457
300496.SZ,20200102,45.9,46.73,45.33,46.38,45.14,1.240000000000002,2.747,105535.13,487496.371
300496.SZ,20191231,45.0,45.98,44.5,45.14,44.6,0.5399999999999991,1.2108,98558.12,446376.908
300496.SZ,20191230,44.5,45.03,43.85,44.6,45.0,-0.3999999999999986,-0.8889,96215.82,429132.904
300496.SZ,20191227,47.03,47.05,44.35,45.0,46.69,-1.6899999999999977,-3.6196,125378.72,570763.196
300496.SZ,20191226,47.52,47.75,46.31,46.69,47.77,-1.0800000000000054,-2.2608,66955.86,313533.919
300496.SZ,20191225,46.81,48.1,46.68,47.77,47.11,0.6600000000000037,1.401,73966.22,351616.827
300496.SZ,20191224,45.7,47.18,45.18,47.11,45.64,1.4699999999999989,3.2209,83911.74,387452.735
300496.SZ,20191223,46.1,46.98,45.28,45.64,46.6,-0.9600000000000009,-2.0601,77907.68,358673.309
300496.SZ,20191220,49.2,49.2,46.6,46.6,49.45,-2.8500000000000014,-5.7634,161053.48,766079.403
300496.SZ,20191219,48.62,51.51,48.02,49.45,48.37,1.0800000000000054,2.2328,156759.65,783938.934
300496.SZ,20191218,47.95,49.49,47.74,48.37,48.0,0.36999999999999744,0.7708,94825.33,459741.441
