ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300810.SZ,20200225,65.99,66.6,62.24,65.04,68.02,-2.9799999999999898,-4.3811,32044.39,208412.738
300810.SZ,20200224,67.11,68.68,65.9,68.02,67.71,0.3100000000000023,0.4578,26441.45,178246.113
300810.SZ,20200221,66.26,68.26,66.01,67.71,66.71,1.0,1.499,24117.25,162264.044
300810.SZ,20200220,65.9,67.68,65.0,66.71,66.39,0.3199999999999932,0.482,22544.89,149390.549
300810.SZ,20200219,66.3,68.6,65.35,66.39,66.98,-0.5900000000000034,-0.8809,28010.04,186782.071
300810.SZ,20200218,64.5,67.44,63.86,66.98,64.25,2.730000000000004,4.249,31291.37,205154.027
300810.SZ,20200217,62.0,64.49,62.0,64.25,62.69,1.5600000000000023,2.4884,22127.46,141191.74
300810.SZ,20200214,60.68,63.41,60.5,62.69,60.8,1.8900000000000006,3.1086,24252.19,151381.807
300810.SZ,20200213,61.25,61.69,59.91,60.8,61.55,-0.75,-1.2185,15284.0,92956.73
300810.SZ,20200212,61.3,61.98,60.6,61.55,61.33,0.21999999999999886,0.3587,12737.7,77972.479
300810.SZ,20200211,61.29,62.8,60.54,61.33,61.27,0.05999999999999517,0.0979,13609.18,84008.789
300810.SZ,20200210,60.15,62.0,59.67,61.27,60.23,1.0400000000000063,1.7267,12834.18,78326.556
300810.SZ,20200207,58.5,62.05,58.5,60.23,59.11,1.1199999999999974,1.8948,18143.42,109681.408
300810.SZ,20200206,57.28,59.39,57.25,59.11,57.6,1.509999999999998,2.6215,17684.37,103276.892
300810.SZ,20200205,56.85,58.95,56.36,57.6,56.33,1.2700000000000031,2.2546,18855.84,109054.547
300810.SZ,20200204,54.25,57.21,54.25,56.33,57.69,-1.3599999999999994,-2.3574,18585.41,104260.828
300810.SZ,20200203,57.69,57.69,57.69,57.69,64.1,-6.409999999999997,-10.0,3117.0,17981.973
300810.SZ,20200123,65.7,67.48,63.62,64.1,66.11,-2.010000000000005,-3.0404,16332.62,106983.682
300810.SZ,20200122,66.81,67.0,64.8,66.11,67.2,-1.0900000000000034,-1.622,16644.06,109540.587
300810.SZ,20200121,68.51,68.78,67.16,67.2,68.87,-1.6700000000000017,-2.4249,15581.68,105846.942
300810.SZ,20200120,67.58,69.8,67.58,68.87,72.52,-3.6499999999999915,-5.0331,22597.92,154545.782
300810.SZ,20200117,72.5,73.27,72.5,72.52,72.83,-0.3100000000000023,-0.4256,13615.67,99152.511
300810.SZ,20200116,72.75,73.38,72.48,72.83,72.65,0.1799999999999926,0.2478,13308.52,97043.27
300810.SZ,20200115,74.29,74.78,72.5,72.65,74.98,-2.3299999999999983,-3.1075,21824.92,159590.387
300810.SZ,20200114,74.74,75.96,74.4,74.98,74.65,0.3299999999999983,0.4421,19409.56,145753.785
300810.SZ,20200113,74.2,74.67,73.18,74.65,74.3,0.3500000000000085,0.4711,18150.07,134126.731
300810.SZ,20200110,76.0,76.36,74.02,74.3,76.75,-2.450000000000003,-3.1922,30442.48,227937.735
300810.SZ,20200109,76.81,77.2,75.12,76.75,79.72,-2.969999999999999,-3.7255,41155.32,314384.496
300810.SZ,20200108,76.39,82.48,76.2,79.72,76.0,3.719999999999999,4.8947,59755.73,473839.981
300810.SZ,20200107,75.1,76.5,75.06,76.0,76.39,-0.39000000000000057,-0.5105,27362.23,207747.837
300810.SZ,20200106,77.46,78.62,75.22,76.39,76.62,-0.23000000000000398,-0.3002,36837.8,282483.033
300810.SZ,20200103,74.76,79.5,74.02,76.62,75.48,1.1400000000000006,1.5103,46057.95,352423.871
300810.SZ,20200102,73.43,76.3,73.43,75.48,73.0,2.480000000000004,3.3973,38089.23,285371.211
300810.SZ,20191231,73.77,75.75,72.8,73.0,74.23,-1.230000000000004,-1.657,36107.36,267171.063
300810.SZ,20191230,82.1,82.3,74.23,74.23,82.48,-8.25,-10.0024,55847.67,424344.387
300810.SZ,20191227,81.08,84.0,81.01,82.48,82.91,-0.4299999999999926,-0.5186,52843.94,433676.437
300810.SZ,20191226,82.0,84.55,81.55,82.91,84.87,-1.960000000000008,-2.3094,66338.16,548284.852
300810.SZ,20191225,81.9,89.9,81.9,84.87,91.0,-6.1299999999999955,-6.7363,101797.22,858643.818
300810.SZ,20191224,91.0,91.0,91.0,91.0,101.11,-10.11,-9.999,13606.0,123814.6
300810.SZ,20191223,101.11,101.11,101.11,101.11,91.92,9.189999999999998,9.9978,1189.0,12021.979
300810.SZ,20191220,91.92,91.92,91.92,91.92,83.56,8.36,10.0048,1068.0,9817.056
300810.SZ,20191219,83.56,83.56,83.56,83.56,75.96,7.6000000000000085,10.0053,1351.0,11288.956
300810.SZ,20191218,75.96,75.96,75.96,75.96,69.05,6.909999999999997,10.0072,7010.83,53254.264
300810.SZ,20191217,69.05,69.05,69.05,69.05,62.77,6.279999999999994,10.0048,1974.0,13630.47
300810.SZ,20191216,62.77,62.77,62.77,62.77,57.06,5.710000000000001,10.007,533.0,3345.641
300810.SZ,20191213,57.06,57.06,57.06,57.06,51.87,5.190000000000005,10.0058,1078.71,6155.119
300810.SZ,20191212,51.87,51.87,51.87,51.87,47.15,4.719999999999999,10.0106,1086.35,5634.897
300810.SZ,20191211,47.15,47.15,47.15,47.15,42.86,4.289999999999999,10.0093,275.0,1296.625
300810.SZ,20191210,42.86,42.86,42.86,42.86,38.96,3.8999999999999986,10.0103,202.0,865.772
300810.SZ,20191209,38.96,38.96,38.96,38.96,35.42,3.539999999999999,9.9944,226.0,880.496
300810.SZ,20191206,29.52,35.42,29.52,35.42,24.6,10.82,43.9837,907.18,3197.435
