ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600705.SH,20200225,4.46,4.54,4.39,4.52,4.59,-0.07000000000000028,-1.5251,783387.99,350209.311
600705.SH,20200224,4.63,4.64,4.55,4.59,4.63,-0.040000000000000036,-0.8639,671421.21,308543.787
600705.SH,20200221,4.61,4.76,4.6,4.63,4.64,-0.009999999999999787,-0.2155,788731.8,367527.86
600705.SH,20200220,4.48,4.67,4.43,4.64,4.46,0.17999999999999972,4.0359,839846.52,382682.299
600705.SH,20200219,4.46,4.57,4.45,4.46,4.47,-0.009999999999999787,-0.2237,526282.76,237808.443
600705.SH,20200218,4.5,4.54,4.44,4.47,4.49,-0.020000000000000462,-0.4454,446974.06,200555.193
600705.SH,20200217,4.37,4.54,4.37,4.49,4.33,0.16000000000000014,3.6952,596611.63,265262.123
600705.SH,20200214,4.25,4.37,4.24,4.33,4.26,0.07000000000000028,1.6432,416682.06,180092.37
600705.SH,20200213,4.32,4.36,4.25,4.26,4.34,-0.08000000000000007,-1.8433,299212.68,128463.277
600705.SH,20200212,4.29,4.36,4.27,4.34,4.3,0.040000000000000036,0.9302,310641.68,134141.377
600705.SH,20200211,4.33,4.35,4.28,4.3,4.31,-0.009999999999999787,-0.232,240733.8,103914.276
600705.SH,20200210,4.27,4.35,4.26,4.31,4.36,-0.05000000000000071,-1.1468,385599.34,166415.096
600705.SH,20200207,4.19,4.4,4.13,4.36,4.2,0.16000000000000014,3.8095,569709.36,240427.277
600705.SH,20200206,4.15,4.23,4.11,4.2,4.14,0.0600000000000005,1.4493,418419.81,174434.712
600705.SH,20200205,4.13,4.24,4.09,4.14,4.09,0.04999999999999982,1.2225,418922.99,174172.594
600705.SH,20200204,3.95,4.16,3.95,4.09,4.09,0.0,0.0,612758.3,250529.151
600705.SH,20200203,4.09,4.09,4.09,4.09,4.54,-0.4500000000000002,-9.9119,247733.0,101322.797
600705.SH,20200123,4.66,4.69,4.5,4.54,4.72,-0.17999999999999972,-3.8136,408596.9,188012.326
600705.SH,20200122,4.71,4.74,4.65,4.72,4.73,-0.010000000000000675,-0.2114,275486.19,129195.881
600705.SH,20200121,4.81,4.82,4.72,4.73,4.83,-0.09999999999999964,-2.0704,274001.72,130361.178
600705.SH,20200120,4.75,4.83,4.74,4.83,4.75,0.08000000000000007,1.6842,303732.5,145400.095
600705.SH,20200117,4.75,4.79,4.72,4.75,4.74,0.009999999999999787,0.211,246475.07,116974.21
600705.SH,20200116,4.78,4.79,4.72,4.74,4.78,-0.040000000000000036,-0.8368,192780.05,91559.456
