ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000657.SZ,20200225,6.52,6.53,6.2,6.51,6.61,-0.10000000000000053,-1.5129,103776.22,66688.09
000657.SZ,20200224,6.54,6.64,6.44,6.61,6.49,0.1200000000000001,1.849,105661.85,69378.648
000657.SZ,20200221,6.5,6.56,6.46,6.49,6.53,-0.040000000000000036,-0.6126,90342.14,58837.671
000657.SZ,20200220,6.48,6.54,6.35,6.53,6.47,0.0600000000000005,0.9274,107702.07,69504.975
000657.SZ,20200219,6.66,6.67,6.42,6.47,6.58,-0.11000000000000032,-1.6717,88939.9,57735.231
000657.SZ,20200218,6.4,6.68,6.37,6.58,6.4,0.17999999999999972,2.8125,150683.22,98415.531
000657.SZ,20200217,6.27,6.43,6.26,6.4,6.25,0.15000000000000036,2.4,99540.52,63363.828
000657.SZ,20200214,6.23,6.38,6.18,6.25,6.24,0.009999999999999787,0.1603,82788.08,52031.191
000657.SZ,20200213,6.2,6.4,6.15,6.24,6.24,0.0,0.0,94000.99,58777.518
000657.SZ,20200212,6.12,6.26,6.08,6.24,6.1,0.14000000000000057,2.2951,80913.63,50082.214
000657.SZ,20200211,6.09,6.19,6.07,6.1,6.14,-0.040000000000000036,-0.6515,52793.84,32293.476
000657.SZ,20200210,5.9,6.2,5.87,6.14,5.92,0.21999999999999975,3.7162,77817.31,47152.052
000657.SZ,20200207,5.86,5.93,5.84,5.92,5.91,0.009999999999999787,0.1692,64275.44,37818.865
000657.SZ,20200206,5.9,5.96,5.81,5.91,5.92,-0.009999999999999787,-0.1689,100523.04,59076.493
000657.SZ,20200205,5.86,5.99,5.8,5.92,5.87,0.04999999999999982,0.8518,82249.6,48680.482
000657.SZ,20200204,5.6,6.0,5.6,5.87,6.13,-0.2599999999999998,-4.2414,75004.11,43979.697
000657.SZ,20200203,6.13,6.13,6.13,6.13,6.81,-0.6799999999999997,-9.9853,14275.0,8750.575
000657.SZ,20200123,6.84,6.9,6.7,6.81,6.87,-0.0600000000000005,-0.8734,72858.26,49410.909
000657.SZ,20200122,6.84,6.92,6.75,6.87,6.88,-0.009999999999999787,-0.1453,45522.0,31134.004
000657.SZ,20200121,6.9,6.98,6.84,6.88,6.9,-0.020000000000000462,-0.2899,42441.25,29291.302
000657.SZ,20200120,6.83,6.93,6.76,6.9,6.88,0.020000000000000462,0.2907,48565.86,33362.999
000657.SZ,20200117,6.88,6.9,6.8,6.88,6.9,-0.020000000000000462,-0.2899,45234.48,30937.77
000657.SZ,20200116,6.84,6.92,6.76,6.9,6.88,0.020000000000000462,0.2907,45652.0,31240.911
000657.SZ,20200115,6.95,6.95,6.75,6.88,6.94,-0.0600000000000005,-0.8646,44125.87,30131.313
000657.SZ,20200114,6.93,7.04,6.87,6.94,6.9,0.040000000000000036,0.5797,51008.88,35598.979
000657.SZ,20200113,6.88,6.92,6.8,6.9,6.88,0.020000000000000462,0.2907,37135.76,25546.895
000657.SZ,20200110,6.97,6.99,6.8,6.88,6.96,-0.08000000000000007,-1.1494,53283.54,36731.967
000657.SZ,20200109,6.93,7.07,6.93,6.96,6.95,0.009999999999999787,0.1439,56627.94,39596.235
000657.SZ,20200108,6.99,7.05,6.89,6.95,7.0,-0.04999999999999982,-0.7143,69990.6,48762.843
000657.SZ,20200107,7.02,7.13,6.95,7.0,7.02,-0.019999999999999574,-0.2849,73157.52,51410.374
000657.SZ,20200106,6.87,7.04,6.86,7.02,6.89,0.1299999999999999,1.8868,106203.96,74059.831
000657.SZ,20200103,6.87,6.95,6.84,6.89,6.89,0.0,0.0,51828.83,35663.887
000657.SZ,20200102,6.94,7.0,6.83,6.89,6.85,0.040000000000000036,0.5839,90668.44,62528.368
000657.SZ,20191231,6.86,6.86,6.77,6.85,6.83,0.019999999999999574,0.2928,44876.21,30602.755
000657.SZ,20191230,6.78,6.87,6.72,6.83,6.76,0.07000000000000028,1.0355,58488.2,39736.187
000657.SZ,20191227,6.7,6.98,6.7,6.76,6.72,0.040000000000000036,0.5952,105530.56,72307.342
000657.SZ,20191226,6.68,6.77,6.65,6.72,6.69,0.02999999999999936,0.4484,41870.4,28068.905
000657.SZ,20191225,6.81,6.81,6.66,6.69,6.81,-0.11999999999999922,-1.7621,60818.53,40785.507
000657.SZ,20191224,6.56,6.82,6.53,6.81,6.56,0.25,3.811,85403.93,57360.094
000657.SZ,20191223,6.62,6.64,6.46,6.56,6.62,-0.0600000000000005,-0.9063,47546.67,31094.723
000657.SZ,20191220,6.64,6.69,6.59,6.62,6.64,-0.019999999999999574,-0.3012,47405.43,31527.732
000657.SZ,20191219,6.62,6.65,6.61,6.64,6.64,0.0,0.0,22772.91,15092.919
000657.SZ,20191218,6.64,6.66,6.6,6.64,6.62,0.019999999999999574,0.3021,31245.49,20716.664
000657.SZ,20191217,6.53,6.64,6.51,6.62,6.53,0.08999999999999986,1.3783,41664.47,27515.983
000657.SZ,20191216,6.46,6.54,6.44,6.53,6.45,0.08000000000000007,1.2403,31991.69,20780.483
000657.SZ,20191213,6.41,6.46,6.4,6.45,6.4,0.04999999999999982,0.7812,17015.98,10943.937
000657.SZ,20191212,6.5,6.5,6.4,6.4,6.5,-0.09999999999999964,-1.5385,18709.2,12015.738
000657.SZ,20191211,6.55,6.55,6.44,6.5,6.52,-0.019999999999999574,-0.3067,19661.14,12729.539
000657.SZ,20191210,6.45,6.54,6.39,6.52,6.46,0.05999999999999961,0.9288,28727.91,18624.049
000657.SZ,20191209,6.53,6.53,6.41,6.46,6.45,0.009999999999999787,0.155,23978.3,15454.238
000657.SZ,20191206,6.41,6.5,6.39,6.45,6.41,0.040000000000000036,0.624,26442.7,17052.426
000657.SZ,20191205,6.37,6.42,6.32,6.41,6.37,0.040000000000000036,0.6279,30230.61,19250.93
000657.SZ,20191204,6.21,6.4,6.19,6.37,6.26,0.11000000000000032,1.7572,37041.3,23419.782
000657.SZ,20191203,6.27,6.27,6.14,6.26,6.28,-0.020000000000000462,-0.3185,25146.6,15640.036
000657.SZ,20191202,6.27,6.33,6.24,6.28,6.26,0.020000000000000462,0.3195,11846.79,7445.686
000657.SZ,20191129,6.31,6.31,6.23,6.26,6.27,-0.009999999999999787,-0.1595,14746.82,9228.267
000657.SZ,20191128,6.38,6.42,6.27,6.27,6.35,-0.08000000000000007,-1.2598,16007.83,10121.868
000657.SZ,20191127,6.31,6.39,6.31,6.35,6.31,0.040000000000000036,0.6339,18794.17,11940.791
000657.SZ,20191126,6.39,6.43,6.3,6.31,6.38,-0.07000000000000028,-1.0972,22278.63,14138.845
000657.SZ,20191125,6.27,6.39,6.25,6.38,6.27,0.11000000000000032,1.7544,25608.67,16261.828
000657.SZ,20191122,6.28,6.34,6.22,6.27,6.27,0.0,0.0,20521.23,12897.204
000657.SZ,20191121,6.34,6.38,6.26,6.27,6.37,-0.10000000000000053,-1.5699,17058.8,10752.363
000657.SZ,20191120,6.28,6.41,6.26,6.37,6.32,0.04999999999999982,0.7911,24522.44,15548.446
000657.SZ,20191119,6.22,6.32,6.19,6.32,6.23,0.08999999999999986,1.4446,22994.7,14410.411
000657.SZ,20191118,6.25,6.25,6.17,6.23,6.24,-0.009999999999999787,-0.1603,14716.7,9135.733
000657.SZ,20191115,6.23,6.32,6.15,6.24,6.21,0.03000000000000025,0.4831,23343.61,14564.795
000657.SZ,20191114,6.24,6.27,6.15,6.21,6.22,-0.009999999999999787,-0.1608,21388.2,13268.209
000657.SZ,20191113,6.31,6.32,6.21,6.22,6.31,-0.08999999999999986,-1.4263,16008.8,10015.391
000657.SZ,20191112,6.46,6.46,6.25,6.31,6.43,-0.1200000000000001,-1.8663,25396.4,16028.195
000657.SZ,20191111,6.54,6.55,6.4,6.43,6.53,-0.10000000000000053,-1.5314,27155.46,17565.857
000657.SZ,20191108,6.57,6.58,6.51,6.53,6.53,0.0,0.0,25534.0,16672.372
000657.SZ,20191107,6.52,6.61,6.49,6.53,6.56,-0.02999999999999936,-0.4573,31801.41,20783.56
