ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600138.SH,20200225,10.54,10.7,10.4,10.66,10.87,-0.20999999999999908,-1.9319,251574.9,266091.302
600138.SH,20200224,11.1,11.1,10.72,10.87,11.22,-0.3500000000000014,-3.1194,351243.73,382125.621
600138.SH,20200221,11.32,11.41,11.14,11.22,11.48,-0.2599999999999998,-2.2648,366198.32,411795.515
600138.SH,20200220,11.29,11.71,11.24,11.48,11.2,0.28000000000000114,2.5,414292.66,475888.559
600138.SH,20200219,11.0,11.28,10.91,11.2,11.0,0.1999999999999993,1.8182,206027.29,229532.246
600138.SH,20200218,10.83,11.08,10.81,11.0,10.82,0.17999999999999972,1.6636,220761.12,241245.745
600138.SH,20200217,10.4,10.84,10.39,10.82,10.42,0.40000000000000036,3.8388,229300.46,245250.256
600138.SH,20200214,10.4,10.5,10.32,10.42,10.41,0.009999999999999787,0.0961,130138.51,135533.903
600138.SH,20200213,10.52,10.61,10.4,10.41,10.61,-0.1999999999999993,-1.885,169014.42,177298.093
600138.SH,20200212,10.37,10.65,10.35,10.61,10.36,0.25,2.4131,218799.99,229908.487
600138.SH,20200211,10.45,10.57,10.35,10.36,10.5,-0.14000000000000057,-1.3333,194285.13,202914.802
600138.SH,20200210,10.3,10.7,10.19,10.5,10.5,0.0,0.0,221118.42,231084.559
600138.SH,20200207,10.05,10.51,9.97,10.5,10.2,0.3000000000000007,2.9412,246404.33,251931.93
600138.SH,20200206,9.92,10.23,9.76,10.2,9.94,0.2599999999999998,2.6157,261831.19,260793.461
600138.SH,20200205,9.8,10.08,9.69,9.94,9.9,0.03999999999999915,0.404,196278.55,195468.983
600138.SH,20200204,9.24,10.05,9.24,9.9,10.26,-0.35999999999999943,-3.5088,429764.12,413199.197
600138.SH,20200203,10.26,10.26,10.26,10.26,11.4,-1.1400000000000006,-10.0,50791.0,52111.566
600138.SH,20200123,11.62,11.64,11.28,11.4,11.86,-0.4599999999999991,-3.8786,213061.52,244474.579
600138.SH,20200122,11.6,11.95,11.56,11.86,11.75,0.10999999999999943,0.9362,202979.09,239281.443
600138.SH,20200121,12.11,12.12,11.71,11.75,12.32,-0.5700000000000003,-4.6266,399428.1,474008.229
600138.SH,20200120,12.7,12.7,12.24,12.32,12.85,-0.5299999999999994,-4.1245,302610.95,373389.681
600138.SH,20200117,12.7,13.02,12.67,12.85,12.68,0.16999999999999993,1.3407,142527.14,183585.106
600138.SH,20200116,12.74,12.79,12.61,12.68,12.71,-0.030000000000001137,-0.236,91479.55,116109.946
600138.SH,20200115,12.93,12.95,12.68,12.71,12.96,-0.25,-1.929,94235.19,120313.362
600138.SH,20200114,13.07,13.08,12.92,12.96,13.0,-0.03999999999999915,-0.3077,81676.4,106223.014
600138.SH,20200113,12.89,13.04,12.85,13.0,12.89,0.10999999999999943,0.8534,86205.83,111634.547
600138.SH,20200110,12.98,13.0,12.83,12.89,12.94,-0.049999999999998934,-0.3864,67595.13,87106.43
600138.SH,20200109,12.92,13.11,12.86,12.94,12.8,0.1399999999999988,1.0937,105332.47,136391.445
600138.SH,20200108,12.98,13.04,12.73,12.8,13.08,-0.27999999999999936,-2.1407,124046.28,159873.135
600138.SH,20200107,12.79,13.08,12.79,13.08,12.79,0.2900000000000009,2.2674,160909.95,209255.312
600138.SH,20200106,12.7,12.93,12.65,12.79,12.87,-0.08000000000000007,-0.6216,139478.3,178451.333
600138.SH,20200103,12.81,12.96,12.72,12.87,12.8,0.06999999999999851,0.5469,121457.81,155952.507
600138.SH,20200102,12.7,12.89,12.65,12.8,12.6,0.20000000000000107,1.5873,157055.68,200887.328
600138.SH,20191231,12.6,12.71,12.53,12.6,12.69,-0.08999999999999986,-0.7092,117390.44,147970.368
600138.SH,20191230,12.36,12.78,12.26,12.69,12.31,0.379999999999999,3.0869,250058.33,314039.58
600138.SH,20191227,12.23,12.37,12.17,12.31,12.19,0.120000000000001,0.9844,165170.01,202747.141
600138.SH,20191226,12.11,12.24,12.08,12.19,12.11,0.08000000000000007,0.6606,66130.75,80355.319
600138.SH,20191225,12.12,12.14,12.04,12.11,12.11,0.0,0.0,60717.2,73453.838
600138.SH,20191224,12.03,12.13,12.02,12.11,12.03,0.08000000000000007,0.665,61398.11,74163.788
600138.SH,20191223,12.23,12.31,12.01,12.03,12.27,-0.2400000000000002,-1.956,102904.95,124977.317
600138.SH,20191220,12.34,12.41,12.25,12.27,12.34,-0.07000000000000028,-0.5673,133940.01,164921.063
600138.SH,20191219,12.29,12.42,12.22,12.34,12.3,0.03999999999999915,0.3252,146208.92,180184.244
600138.SH,20191218,12.42,12.44,12.28,12.3,12.44,-0.1399999999999988,-1.1254,127230.33,157192.531
600138.SH,20191217,12.3,12.49,12.25,12.44,12.3,0.1399999999999988,1.1382,145779.8,180426.963
