ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000887.SZ,20200225,10.14,10.41,9.75,10.29,10.48,-0.19000000000000128,-1.813,422659.85,427675.098
000887.SZ,20200224,10.48,10.57,10.33,10.48,10.5,-0.019999999999999574,-0.1905,343914.18,359604.163
000887.SZ,20200221,10.14,10.57,10.08,10.5,10.23,0.2699999999999996,2.6393,358379.84,371197.984
000887.SZ,20200220,10.05,10.26,9.94,10.23,10.01,0.22000000000000064,2.1978,256539.65,260010.191
000887.SZ,20200219,10.43,10.55,9.99,10.01,10.36,-0.34999999999999964,-3.3784,332934.6,339059.684
000887.SZ,20200218,10.47,10.64,10.26,10.36,10.51,-0.15000000000000036,-1.4272,316341.21,328590.785
000887.SZ,20200217,10.28,10.6,10.15,10.51,10.37,0.14000000000000057,1.35,325956.63,339603.252
000887.SZ,20200214,10.03,10.49,9.88,10.37,10.01,0.35999999999999943,3.5964,366668.69,374167.65
000887.SZ,20200213,10.05,10.18,9.78,10.01,9.99,0.019999999999999574,0.2002,250415.16,249955.169
000887.SZ,20200212,9.69,10.18,9.62,9.99,9.69,0.3000000000000007,3.096,231182.51,229785.203
000887.SZ,20200211,10.0,10.0,9.65,9.69,10.04,-0.34999999999999964,-3.4861,216830.95,212315.688
000887.SZ,20200210,9.3,10.14,9.3,10.04,9.41,0.629999999999999,6.695,344594.07,336965.084
000887.SZ,20200207,9.19,9.54,9.05,9.41,9.22,0.1899999999999995,2.0607,236770.34,221161.662
000887.SZ,20200206,8.99,9.32,8.96,9.22,9.17,0.05000000000000071,0.5453,233969.64,214339.734
000887.SZ,20200205,9.04,9.46,8.9,9.17,8.75,0.41999999999999993,4.8,293780.23,270769.137
000887.SZ,20200204,8.13,8.92,8.13,8.75,8.51,0.2400000000000002,2.8202,219039.35,190621.08
000887.SZ,20200203,8.51,8.51,8.51,8.51,9.46,-0.9500000000000011,-10.0423,55480.0,47213.48
000887.SZ,20200123,9.9,10.0,9.31,9.46,10.05,-0.5899999999999999,-5.8706,235974.59,227937.394
000887.SZ,20200122,9.78,10.15,9.61,10.05,9.84,0.21000000000000085,2.1341,214293.06,212615.966
000887.SZ,20200121,10.04,10.07,9.77,9.84,10.1,-0.2599999999999998,-2.5743,168455.04,166854.404
000887.SZ,20200120,9.98,10.16,9.8,10.1,9.98,0.11999999999999922,1.2024,173314.02,173518.995
000887.SZ,20200117,10.27,10.35,9.93,9.98,10.21,-0.23000000000000043,-2.2527,272452.83,274931.153
000887.SZ,20200116,10.42,10.45,10.1,10.21,10.39,-0.17999999999999972,-1.7324,223003.15,228976.17
000887.SZ,20200115,10.45,10.68,10.27,10.39,10.55,-0.16000000000000014,-1.5166,240233.62,250281.693
000887.SZ,20200114,10.78,11.34,10.48,10.55,10.51,0.040000000000000924,0.3806,457864.27,497797.628
000887.SZ,20200113,10.38,10.65,10.25,10.51,10.26,0.25,2.4366,286872.67,300091.801
000887.SZ,20200110,10.7,10.7,10.2,10.26,10.71,-0.45000000000000107,-4.2017,358089.05,372250.363
000887.SZ,20200109,11.3,11.3,10.52,10.71,10.92,-0.20999999999999908,-1.9231,572825.57,620781.399
000887.SZ,20200108,9.98,10.92,9.9,10.92,9.93,0.9900000000000002,9.9698,699382.54,749175.653
000887.SZ,20200107,9.86,10.2,9.82,9.93,9.99,-0.0600000000000005,-0.6006,262394.85,262109.699
000887.SZ,20200106,9.68,10.3,9.67,9.99,9.45,0.5400000000000009,5.7143,409345.66,408964.395
000887.SZ,20200103,9.12,9.62,9.08,9.45,9.11,0.33999999999999986,3.7322,206231.57,193004.332
000887.SZ,20200102,9.1,9.34,9.1,9.11,9.05,0.05999999999999872,0.663,180426.47,165920.08
000887.SZ,20191231,9.0,9.13,8.87,9.05,9.02,0.030000000000001137,0.3326,179414.63,161419.649
000887.SZ,20191230,8.55,9.02,8.53,9.02,8.54,0.4800000000000004,5.6206,181548.95,160536.122
000887.SZ,20191227,8.65,8.77,8.54,8.54,8.68,-0.14000000000000057,-1.6129,78970.02,68518.902
000887.SZ,20191226,8.7,8.75,8.57,8.68,8.65,0.02999999999999936,0.3468,70342.17,60927.111
000887.SZ,20191225,8.82,8.82,8.63,8.65,8.75,-0.09999999999999964,-1.1429,73954.4,64313.23
000887.SZ,20191224,8.55,8.81,8.48,8.75,8.48,0.2699999999999996,3.184,83525.27,72499.901
000887.SZ,20191223,8.65,8.72,8.43,8.48,8.67,-0.1899999999999995,-2.1915,93736.73,80229.673
