ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000153.SZ,20200225,7.27,7.95,7.16,7.89,7.37,0.5199999999999996,7.0556,211042.93,160252.804
000153.SZ,20200224,7.24,7.41,7.23,7.37,7.21,0.16000000000000014,2.2191,100430.67,73684.583
000153.SZ,20200221,7.12,7.23,7.12,7.21,7.16,0.04999999999999982,0.6983,78368.85,56302.97
000153.SZ,20200220,7.19,7.24,7.02,7.16,7.21,-0.04999999999999982,-0.6935,97101.27,69090.686
000153.SZ,20200219,7.43,7.45,7.17,7.21,7.46,-0.25,-3.3512,111310.01,81065.009
000153.SZ,20200218,7.5,7.54,7.38,7.46,7.45,0.009999999999999787,0.1342,89337.13,66467.24
000153.SZ,20200217,7.36,7.49,7.36,7.45,7.39,0.0600000000000005,0.8119,95451.97,70951.319
000153.SZ,20200214,7.68,7.78,7.35,7.39,7.64,-0.25,-3.2723,119166.19,89132.031
000153.SZ,20200213,8.08,8.17,7.6,7.64,7.96,-0.3200000000000003,-4.0201,126168.02,98248.771
000153.SZ,20200212,7.8,8.1,7.66,7.96,7.77,0.1900000000000004,2.4453,192238.47,152377.43
000153.SZ,20200211,7.75,7.84,7.44,7.77,7.83,-0.0600000000000005,-0.7663,146847.19,112036.998
000153.SZ,20200210,8.0,8.36,7.5,7.83,8.06,-0.23000000000000043,-2.8536,259810.57,203500.995
000153.SZ,20200207,8.56,9.09,8.06,8.06,8.32,-0.2599999999999998,-3.125,424328.68,363981.877
000153.SZ,20200206,7.4,8.32,7.32,8.32,7.56,0.7600000000000007,10.0529,356310.36,289048.618
000153.SZ,20200205,7.4,7.72,6.66,7.56,7.06,0.5,7.0822,276498.02,204018.255
000153.SZ,20200204,6.51,7.06,6.44,7.06,6.42,0.6399999999999997,9.9688,154467.13,105559.189
000153.SZ,20200203,6.8,6.8,6.18,6.42,6.87,-0.4500000000000002,-6.5502,136513.81,89746.674
000153.SZ,20200123,6.85,6.98,6.61,6.87,6.83,0.040000000000000036,0.5857,100651.63,68766.394
000153.SZ,20200122,7.05,7.05,6.74,6.83,7.08,-0.25,-3.5311,112658.82,77217.609
000153.SZ,20200121,6.95,7.2,6.87,7.08,6.84,0.2400000000000002,3.5088,174957.21,123077.956
000153.SZ,20200120,6.73,6.86,6.73,6.84,6.62,0.21999999999999975,3.3233,91477.0,62111.138
000153.SZ,20200117,6.63,6.67,6.59,6.62,6.59,0.03000000000000025,0.4552,33739.0,22368.164
000153.SZ,20200116,6.65,6.68,6.57,6.59,6.63,-0.040000000000000036,-0.6033,31974.0,21147.355
000153.SZ,20200115,6.71,6.73,6.59,6.63,6.71,-0.08000000000000007,-1.1923,38006.0,25316.121
000153.SZ,20200114,6.76,6.78,6.69,6.71,6.76,-0.04999999999999982,-0.7396,41134.0,27674.306
000153.SZ,20200113,6.68,6.76,6.66,6.76,6.72,0.040000000000000036,0.5952,33733.0,22631.665
000153.SZ,20200110,6.8,6.86,6.67,6.72,6.8,-0.08000000000000007,-1.1765,56660.01,38212.579
000153.SZ,20200109,6.6,6.8,6.6,6.8,6.56,0.2400000000000002,3.6585,98402.96,66094.25
000153.SZ,20200108,6.68,6.68,6.55,6.56,6.69,-0.13000000000000078,-1.9432,55328.15,36544.519
000153.SZ,20200107,6.64,6.7,6.61,6.69,6.63,0.0600000000000005,0.905,57511.19,38309.273
000153.SZ,20200106,6.57,6.69,6.53,6.63,6.62,0.009999999999999787,0.1511,55578.01,36795.532
000153.SZ,20200103,6.71,6.75,6.59,6.62,6.66,-0.040000000000000036,-0.6006,56084.0,37230.966
000153.SZ,20200102,6.63,6.7,6.56,6.66,6.61,0.04999999999999982,0.7564,77799.09,51549.2
000153.SZ,20191231,6.4,6.67,6.39,6.61,6.41,0.20000000000000018,3.1201,98966.25,64899.245
000153.SZ,20191230,6.34,6.43,6.25,6.41,6.36,0.04999999999999982,0.7862,37473.05,23839.794
000153.SZ,20191227,6.39,6.46,6.36,6.36,6.39,-0.02999999999999936,-0.4695,35910.01,23027.746
000153.SZ,20191226,6.39,6.41,6.34,6.39,6.36,0.02999999999999936,0.4717,24175.01,15407.556
000153.SZ,20191225,6.36,6.44,6.3,6.36,6.4,-0.040000000000000036,-0.625,26826.0,17091.851
000153.SZ,20191224,6.25,6.4,6.25,6.4,6.27,0.13000000000000078,2.0734,26510.0,16807.341
000153.SZ,20191223,6.41,6.43,6.27,6.27,6.42,-0.15000000000000036,-2.3364,31282.0,19836.934
000153.SZ,20191220,6.54,6.55,6.4,6.42,6.52,-0.09999999999999964,-1.5337,35675.0,23085.899
000153.SZ,20191219,6.43,6.54,6.39,6.52,6.44,0.07999999999999918,1.2422,49514.1,32027.644
000153.SZ,20191218,6.41,6.49,6.39,6.44,6.42,0.020000000000000462,0.3115,43704.0,28098.067
000153.SZ,20191217,6.35,6.46,6.34,6.42,6.38,0.040000000000000036,0.627,53952.0,34563.046
000153.SZ,20191216,6.31,6.4,6.25,6.38,6.29,0.08999999999999986,1.4308,43396.14,27399.613
000153.SZ,20191213,6.2,6.29,6.2,6.29,6.19,0.09999999999999964,1.6155,32989.56,20644.865
000153.SZ,20191212,6.2,6.21,6.17,6.19,6.2,-0.009999999999999787,-0.1613,20158.0,12472.012
