ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600053.SH,20200225,27.0,28.19,26.78,27.91,28.62,-0.7100000000000009,-2.4808,84591.63,233596.188
600053.SH,20200224,28.67,28.99,28.21,28.62,29.19,-0.5700000000000003,-1.9527,79432.41,228006.616
600053.SH,20200221,30.0,30.77,29.16,29.19,30.11,-0.9199999999999982,-3.0555,118282.71,351106.769
600053.SH,20200220,28.08,31.0,27.5,30.11,28.23,1.879999999999999,6.6596,138083.89,398193.185
600053.SH,20200219,27.8,29.39,27.71,28.23,28.35,-0.120000000000001,-0.4233,102520.09,293893.639
600053.SH,20200218,28.88,28.88,27.79,28.35,29.21,-0.8599999999999994,-2.9442,112038.41,316968.587
600053.SH,20200217,28.46,29.63,27.52,29.21,27.19,2.0199999999999996,7.4292,134112.67,388413.59
600053.SH,20200214,25.96,27.88,25.55,27.19,25.98,1.2100000000000009,4.6574,108682.75,291168.184
600053.SH,20200213,26.2,27.13,25.98,25.98,26.33,-0.34999999999999787,-1.3293,65124.55,172157.448
600053.SH,20200212,26.04,26.39,25.56,26.33,26.37,-0.0400000000000027,-0.1517,70891.95,184470.1
600053.SH,20200211,25.0,26.85,24.84,26.37,25.18,1.1900000000000013,4.726,92743.21,242072.961
600053.SH,20200210,24.7,25.3,24.31,25.18,24.79,0.39000000000000057,1.5732,63208.01,157570.848
600053.SH,20200207,24.73,24.93,24.17,24.79,24.85,-0.060000000000002274,-0.2414,60651.61,149059.108
600053.SH,20200206,24.15,25.2,23.7,24.85,24.15,0.7000000000000028,2.8986,78436.83,193148.646
600053.SH,20200205,23.98,24.95,23.67,24.15,24.03,0.11999999999999744,0.4994,65969.13,160430.383
600053.SH,20200204,21.14,25.0,21.14,24.03,23.48,0.5500000000000007,2.3424,69381.5,164720.008
600053.SH,20200203,23.48,23.48,23.48,23.48,26.09,-2.6099999999999994,-10.0038,7884.0,18511.632
600053.SH,20200123,27.36,27.99,25.43,26.09,27.76,-1.6700000000000017,-6.0159,73385.41,196705.197
600053.SH,20200122,27.01,28.09,26.68,27.76,27.44,0.3200000000000003,1.1662,78918.69,217669.832
600053.SH,20200121,26.7,27.93,26.3,27.44,27.17,0.2699999999999996,0.9937,77682.78,212160.539
600053.SH,20200120,26.97,27.53,26.25,27.17,26.74,0.43000000000000327,1.6081,60629.21,164897.511
600053.SH,20200117,28.08,28.11,26.7,26.74,27.8,-1.0600000000000023,-3.8129,72017.08,196663.503
600053.SH,20200116,27.36,27.97,26.82,27.8,27.35,0.4499999999999993,1.6453,80571.04,219912.087
600053.SH,20200115,27.7,27.7,26.91,27.35,27.69,-0.33999999999999986,-1.2279,61019.47,166680.704
600053.SH,20200114,27.89,28.48,27.42,27.69,28.26,-0.5700000000000003,-2.017,93578.9,260085.454
600053.SH,20200113,28.4,28.68,26.73,28.26,29.12,-0.8599999999999994,-2.9533,127131.24,351866.113
600053.SH,20200110,29.64,29.88,28.33,29.12,28.9,0.22000000000000242,0.7612,116867.68,339111.114
600053.SH,20200109,29.29,30.71,28.02,28.9,28.45,0.4499999999999993,1.5817,157365.2,459451.731
600053.SH,20200108,29.3,30.68,28.42,28.45,31.54,-3.09,-9.7971,191147.92,567864.976
