ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600096.SH,20200225,5.6,5.75,5.52,5.65,5.81,-0.15999999999999925,-2.7539,275704.94,155719.824
600096.SH,20200224,5.68,6.0,5.62,5.81,5.78,0.02999999999999936,0.519,377774.06,218305.458
600096.SH,20200221,5.69,5.84,5.68,5.78,5.69,0.08999999999999986,1.5817,390399.89,225104.966
600096.SH,20200220,5.7,5.77,5.57,5.69,5.7,-0.009999999999999787,-0.1754,332350.36,188646.974
600096.SH,20200219,5.92,5.92,5.66,5.7,5.9,-0.20000000000000018,-3.3898,396318.55,227535.421
600096.SH,20200218,5.9,5.97,5.71,5.9,6.05,-0.14999999999999947,-2.4793,495630.04,288739.063
600096.SH,20200217,5.88,6.3,5.78,6.05,5.99,0.05999999999999961,1.0017,793983.3,483338.056
600096.SH,20200214,5.63,6.1,5.46,5.99,5.57,0.41999999999999993,7.5404,890576.36,510666.917
600096.SH,20200213,5.38,5.57,5.28,5.57,5.06,0.5100000000000007,10.0791,445977.62,247228.882
600096.SH,20200212,4.82,5.06,4.8,5.06,4.82,0.23999999999999932,4.9793,180769.47,89759.335
600096.SH,20200211,4.89,4.89,4.8,4.82,4.89,-0.0699999999999994,-1.4315,102594.49,49680.498
600096.SH,20200210,4.61,4.9,4.61,4.89,4.66,0.22999999999999954,4.9356,179443.27,86053.155
600096.SH,20200207,4.68,4.73,4.61,4.66,4.7,-0.040000000000000036,-0.8511,101779.89,47430.606
600096.SH,20200206,4.6,4.73,4.56,4.7,4.58,0.1200000000000001,2.6201,129841.49,60455.916
600096.SH,20200205,4.5,4.67,4.49,4.58,4.48,0.09999999999999964,2.2321,145590.88,66568.651
600096.SH,20200204,4.26,4.57,4.26,4.48,4.66,-0.17999999999999972,-3.8627,174944.5,78223.723
600096.SH,20200203,4.66,4.66,4.66,4.66,5.18,-0.5199999999999996,-10.0386,29580.0,13784.28
600096.SH,20200123,5.33,5.38,5.12,5.18,5.39,-0.20999999999999996,-3.8961,101357.07,53090.471
600096.SH,20200122,5.38,5.4,5.27,5.39,5.41,-0.020000000000000462,-0.3697,73481.35,39238.648
600096.SH,20200121,5.46,5.5,5.4,5.41,5.5,-0.08999999999999986,-1.6364,73916.77,40194.143
600096.SH,20200120,5.5,5.5,5.43,5.5,5.5,0.0,0.0,74549.03,40785.143
600096.SH,20200117,5.6,5.67,5.48,5.5,5.61,-0.11000000000000032,-1.9608,103306.2,57413.947
600096.SH,20200116,5.53,5.8,5.52,5.61,5.51,0.10000000000000053,1.8149,166015.36,93881.5
600096.SH,20200115,5.61,5.62,5.48,5.51,5.63,-0.1200000000000001,-2.1314,101967.95,56381.501
600096.SH,20200114,5.61,5.65,5.5,5.63,5.61,0.019999999999999574,0.3565,129855.04,72736.564
600096.SH,20200113,5.57,5.64,5.52,5.61,5.58,0.03000000000000025,0.5376,124861.7,69827.252
600096.SH,20200110,5.43,5.71,5.39,5.58,5.43,0.15000000000000036,2.7624,260821.05,145155.477
600096.SH,20200109,5.43,5.45,5.37,5.43,5.38,0.04999999999999982,0.9294,94804.93,51345.574
600096.SH,20200108,5.44,5.48,5.35,5.38,5.5,-0.1200000000000001,-2.1818,135796.04,73631.182
600096.SH,20200107,5.46,5.53,5.43,5.5,5.52,-0.019999999999999574,-0.3623,140409.19,76960.745
600096.SH,20200106,5.45,5.54,5.35,5.52,5.47,0.04999999999999982,0.9141,163224.47,89098.716
600096.SH,20200103,5.38,5.51,5.33,5.47,5.37,0.09999999999999964,1.8622,156174.7,85026.417
600096.SH,20200102,5.35,5.38,5.31,5.37,5.3,0.07000000000000028,1.3208,109594.72,58713.526
600096.SH,20191231,5.25,5.33,5.25,5.3,5.27,0.03000000000000025,0.5693,79615.35,42124.743
600096.SH,20191230,5.19,5.28,5.12,5.27,5.24,0.02999999999999936,0.5725,109698.35,57068.1
600096.SH,20191227,5.27,5.33,5.24,5.24,5.27,-0.02999999999999936,-0.5693,114492.0,60495.122
600096.SH,20191226,5.22,5.28,5.2,5.27,5.24,0.02999999999999936,0.5725,88380.33,46340.881
600096.SH,20191225,5.21,5.28,5.16,5.24,5.22,0.020000000000000462,0.3831,86986.41,45368.43
600096.SH,20191224,5.14,5.24,5.12,5.22,5.14,0.08000000000000007,1.5564,79153.58,41125.999
600096.SH,20191223,5.2,5.25,5.12,5.14,5.22,-0.08000000000000007,-1.5326,85174.05,44229.762
600096.SH,20191220,5.26,5.31,5.2,5.22,5.26,-0.040000000000000036,-0.7605,86480.0,45459.65
600096.SH,20191219,5.24,5.31,5.21,5.26,5.24,0.019999999999999574,0.3817,85329.59,44909.642
600096.SH,20191218,5.21,5.3,5.19,5.24,5.21,0.03000000000000025,0.5758,99399.57,52043.035
600096.SH,20191217,5.12,5.22,5.1,5.21,5.13,0.08000000000000007,1.5595,123836.63,64248.193
600096.SH,20191216,5.08,5.14,5.06,5.13,5.11,0.019999999999999574,0.3914,86822.32,44307.605
600096.SH,20191213,5.07,5.16,5.06,5.11,5.05,0.0600000000000005,1.1881,67476.81,34466.687
600096.SH,20191212,5.13,5.14,5.05,5.05,5.13,-0.08000000000000007,-1.5595,62311.32,31646.531
600096.SH,20191211,5.15,5.18,5.12,5.13,5.17,-0.040000000000000036,-0.7737,39406.48,20271.303
600096.SH,20191210,5.14,5.2,5.1,5.17,5.13,0.040000000000000036,0.7797,59206.6,30534.911
600096.SH,20191209,5.15,5.17,5.11,5.13,5.14,-0.009999999999999787,-0.1946,51688.41,26555.226
600096.SH,20191206,5.13,5.15,5.09,5.14,5.13,0.009999999999999787,0.1949,41598.12,21293.627
600096.SH,20191205,5.09,5.17,5.08,5.13,5.09,0.040000000000000036,0.7859,54881.38,28061.994
600096.SH,20191204,5.1,5.11,5.04,5.09,5.11,-0.020000000000000462,-0.3914,40259.6,20431.793
600096.SH,20191203,5.04,5.17,5.01,5.11,5.04,0.07000000000000028,1.3889,69473.98,35356.007
600096.SH,20191202,5.02,5.05,5.01,5.04,5.02,0.020000000000000462,0.3984,35431.84,17838.581
600096.SH,20191129,5.01,5.04,4.98,5.02,5.02,0.0,0.0,30022.3,15048.327
600096.SH,20191128,5.06,5.07,5.01,5.02,5.05,-0.03000000000000025,-0.5941,34454.61,17327.947
600096.SH,20191127,5.08,5.09,5.03,5.05,5.09,-0.040000000000000036,-0.7859,42907.98,21696.42
600096.SH,20191126,5.15,5.15,5.07,5.09,5.16,-0.07000000000000028,-1.3566,50957.94,26007.763
600096.SH,20191125,5.06,5.26,4.96,5.16,5.03,0.1299999999999999,2.5845,99812.65,51227.658
600096.SH,20191122,5.07,5.13,5.02,5.03,5.07,-0.040000000000000036,-0.789,56382.41,28586.084
600096.SH,20191121,5.04,5.09,5.01,5.07,5.06,0.010000000000000675,0.1976,35026.13,17688.812
600096.SH,20191120,5.07,5.1,5.03,5.06,5.08,-0.020000000000000462,-0.3937,41434.46,20983.896
600096.SH,20191119,5.0,5.08,4.98,5.08,5.0,0.08000000000000007,1.6,55410.07,27986.677
600096.SH,20191118,4.98,5.02,4.92,5.0,4.99,0.009999999999999787,0.2004,46765.74,23259.794
600096.SH,20191115,5.04,5.07,4.99,4.99,5.04,-0.04999999999999982,-0.9921,41418.57,20782.67
600096.SH,20191114,5.04,5.06,5.01,5.04,5.04,0.0,0.0,36098.44,18176.059
600096.SH,20191113,5.05,5.08,5.0,5.04,5.05,-0.009999999999999787,-0.198,43927.81,22102.275
600096.SH,20191112,5.04,5.05,4.95,5.05,5.02,0.03000000000000025,0.5976,63004.66,31561.997
600096.SH,20191111,5.2,5.21,4.99,5.02,5.22,-0.20000000000000018,-3.8314,113132.38,57494.093
600096.SH,20191108,5.32,5.32,5.22,5.22,5.28,-0.0600000000000005,-1.1364,65194.5,34273.862
600096.SH,20191107,5.25,5.3,5.19,5.28,5.27,0.010000000000000675,0.1898,70895.03,37276.403
600096.SH,20191106,5.49,5.5,5.22,5.27,5.49,-0.22000000000000064,-4.0073,169646.36,90595.172
600096.SH,20191105,5.55,5.56,5.45,5.49,5.55,-0.05999999999999961,-1.0811,139359.34,76658.609
600096.SH,20191104,5.55,5.62,5.47,5.55,5.55,0.0,0.0,112571.91,62499.835
600096.SH,20191101,5.52,5.57,5.43,5.55,5.55,0.0,0.0,94149.19,51917.94
600096.SH,20191031,5.63,5.72,5.46,5.55,5.66,-0.11000000000000032,-1.9435,152003.54,84528.618
600096.SH,20191030,5.6,5.83,5.52,5.66,5.66,0.0,0.0,234925.0,133292.023
600096.SH,20191029,5.55,5.93,5.5,5.66,5.6,0.0600000000000005,1.0714,273041.72,155107.155
600096.SH,20191028,5.5,5.64,5.44,5.6,5.62,-0.020000000000000462,-0.3559,232600.63,129121.495
