ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600213.SH,20200225,8.5,9.47,8.39,9.37,8.7,0.6699999999999999,7.7011,247768.49,222401.392
600213.SH,20200224,8.39,8.82,8.37,8.7,8.53,0.16999999999999993,1.993,156450.44,135146.423
600213.SH,20200221,8.2,8.77,8.17,8.53,8.26,0.2699999999999996,3.2688,156228.35,131877.597
600213.SH,20200220,8.0,8.34,8.0,8.26,8.0,0.2599999999999998,3.25,98172.3,80752.07
600213.SH,20200219,8.12,8.24,8.0,8.0,8.09,-0.08999999999999986,-1.1125,71912.02,58220.709
600213.SH,20200218,7.98,8.24,7.95,8.09,7.96,0.1299999999999999,1.6332,99946.46,80694.152
600213.SH,20200217,7.65,8.01,7.65,7.96,7.65,0.3099999999999996,4.0523,91300.25,71643.191
600213.SH,20200214,7.7,7.78,7.56,7.65,7.77,-0.11999999999999922,-1.5444,63448.06,48645.157
600213.SH,20200213,7.69,7.99,7.62,7.77,7.75,0.019999999999999574,0.2581,92815.95,72702.555
600213.SH,20200212,7.59,7.83,7.56,7.75,7.83,-0.08000000000000007,-1.0217,96052.01,73857.866
600213.SH,20200211,7.6,8.18,7.55,7.83,7.66,0.16999999999999993,2.2193,141138.6,111282.246
600213.SH,20200210,7.23,7.72,7.2,7.66,7.29,0.3700000000000001,5.0754,107009.17,80393.751
600213.SH,20200207,7.25,7.35,7.14,7.29,7.32,-0.03000000000000025,-0.4098,68799.72,49885.716
600213.SH,20200206,7.19,7.34,7.1,7.32,7.25,0.07000000000000028,0.9655,73905.81,53607.19
600213.SH,20200205,6.97,7.32,6.97,7.25,7.0,0.25,3.5714,70099.27,50576.222
600213.SH,20200204,6.62,7.18,6.62,7.0,7.35,-0.34999999999999964,-4.7619,95299.65,66594.123
600213.SH,20200203,7.35,7.35,7.35,7.35,8.17,-0.8200000000000003,-10.0367,14292.0,10504.62
600213.SH,20200123,8.63,8.65,8.0,8.17,8.71,-0.5400000000000009,-6.1998,92286.12,76935.343
600213.SH,20200122,8.88,8.88,8.48,8.71,8.92,-0.20999999999999908,-2.3543,108450.19,93842.31
600213.SH,20200121,9.21,9.4,8.92,8.92,9.61,-0.6899999999999995,-7.18,158548.65,144573.434
