ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000821.SZ,20200225,6.58,6.71,6.3,6.53,6.73,-0.20000000000000018,-2.9718,166725.51,107894.694
000821.SZ,20200224,6.88,6.89,6.62,6.73,6.87,-0.13999999999999968,-2.0378,164961.17,110970.871
000821.SZ,20200221,7.0,7.02,6.86,6.87,7.05,-0.17999999999999972,-2.5532,170539.83,117965.722
000821.SZ,20200220,7.1,7.13,6.8,7.05,7.09,-0.040000000000000036,-0.5642,179692.14,126007.328
000821.SZ,20200219,7.0,7.29,6.74,7.09,7.08,0.009999999999999787,0.1412,274195.89,191649.071
000821.SZ,20200218,6.8,7.31,6.78,7.08,6.96,0.1200000000000001,1.7241,272320.43,193399.092
000821.SZ,20200217,6.51,7.1,6.25,6.96,6.71,0.25,3.7258,286488.33,190594.024
000821.SZ,20200214,6.65,7.1,6.56,6.71,6.49,0.21999999999999975,3.3898,362691.83,246963.111
000821.SZ,20200213,6.27,6.49,6.27,6.49,5.9,0.5899999999999999,10.0,70876.01,45467.405
000821.SZ,20200212,5.74,5.93,5.72,5.9,5.66,0.2400000000000002,4.2403,101923.12,59573.679
000821.SZ,20200211,5.74,5.79,5.62,5.66,5.7,-0.040000000000000036,-0.7018,70820.76,40294.409
000821.SZ,20200210,5.53,5.76,5.47,5.7,5.55,0.15000000000000036,2.7027,85074.64,47740.856
000821.SZ,20200207,5.5,5.56,5.44,5.55,5.57,-0.020000000000000462,-0.3591,92166.0,50685.899
000821.SZ,20200206,5.38,5.59,5.25,5.57,5.34,0.23000000000000043,4.3071,110284.02,60267.904
000821.SZ,20200205,5.21,5.48,5.18,5.34,5.17,0.16999999999999993,3.2882,97949.07,52198.244
000821.SZ,20200204,4.99,5.34,4.99,5.17,5.54,-0.3700000000000001,-6.6787,138416.64,71670.906
000821.SZ,20200203,5.54,5.54,5.54,5.54,6.15,-0.6100000000000003,-9.9187,13643.0,7558.222
000821.SZ,20200123,6.13,6.25,6.13,6.15,6.81,-0.6599999999999993,-9.6916,287563.87,177050.931
000821.SZ,20200122,6.89,6.9,6.66,6.81,6.94,-0.13000000000000078,-1.8732,95552.52,64940.67
000821.SZ,20200121,7.08,7.13,6.93,6.94,7.14,-0.1999999999999993,-2.8011,91945.0,64353.72
000821.SZ,20200120,7.13,7.28,7.06,7.14,7.18,-0.040000000000000036,-0.5571,83392.92,59645.128
000821.SZ,20200117,7.01,7.2,6.93,7.18,6.98,0.1999999999999993,2.8653,109742.64,77498.817
000821.SZ,20200116,7.07,7.1,6.94,6.98,7.07,-0.08999999999999986,-1.273,86931.08,60872.378
000821.SZ,20200115,7.17,7.2,7.03,7.07,7.21,-0.13999999999999968,-1.9417,101187.57,71654.795
000821.SZ,20200114,7.21,7.4,7.2,7.21,7.24,-0.03000000000000025,-0.4144,159912.49,116506.433
000821.SZ,20200113,7.17,7.26,7.09,7.24,7.17,0.07000000000000028,0.9763,138508.87,99501.477
000821.SZ,20200110,7.48,7.48,7.15,7.17,7.46,-0.29000000000000004,-3.8874,244565.72,177494.088
000821.SZ,20200109,7.72,7.8,7.35,7.46,7.76,-0.2999999999999998,-3.866,367181.17,275234.761
000821.SZ,20200108,8.47,8.47,7.65,7.76,7.79,-0.03000000000000025,-0.3851,652898.68,523611.937
000821.SZ,20200107,7.3,7.79,7.24,7.79,7.08,0.71,10.0282,590580.03,445469.153
000821.SZ,20200106,6.49,7.08,6.49,7.08,6.44,0.6399999999999997,9.9379,171679.99,120046.984
000821.SZ,20200103,6.49,6.54,6.34,6.44,6.49,-0.04999999999999982,-0.7704,119807.09,77311.663
000821.SZ,20200102,6.52,6.59,6.47,6.49,6.49,0.0,0.0,177162.5,115293.767
000821.SZ,20191231,6.51,6.56,6.45,6.49,6.5,-0.009999999999999787,-0.1538,29633.0,19250.087
000821.SZ,20191230,6.41,6.55,6.29,6.5,6.44,0.05999999999999961,0.9317,61568.34,39637.724
000821.SZ,20191227,6.52,6.59,6.42,6.44,6.54,-0.09999999999999964,-1.5291,48104.74,31357.587
000821.SZ,20191226,6.47,6.57,6.43,6.54,6.47,0.07000000000000028,1.0819,35977.92,23326.27
000821.SZ,20191225,6.54,6.67,6.44,6.47,6.47,0.0,0.0,48395.6,31619.616
000821.SZ,20191224,6.39,6.5,6.37,6.47,6.35,0.1200000000000001,1.8898,26653.93,17150.616
000821.SZ,20191223,6.48,6.49,6.34,6.35,6.48,-0.13000000000000078,-2.0062,23371.02,14999.876
000821.SZ,20191220,6.6,6.63,6.45,6.48,6.62,-0.13999999999999968,-2.1148,33696.0,22098.02
000821.SZ,20191219,6.62,6.62,6.55,6.62,6.58,0.040000000000000036,0.6079,21672.31,14276.698
000821.SZ,20191218,6.54,6.71,6.51,6.58,6.56,0.020000000000000462,0.3049,38380.13,25384.58
000821.SZ,20191217,6.45,6.58,6.41,6.56,6.45,0.10999999999999943,1.7054,38733.03,25205.742
000821.SZ,20191216,6.33,6.46,6.27,6.45,6.3,0.15000000000000036,2.381,48000.82,30623.47
000821.SZ,20191213,6.36,6.36,6.21,6.3,6.25,0.04999999999999982,0.8,27467.0,17238.913
000821.SZ,20191212,6.26,6.32,6.21,6.25,6.28,-0.03000000000000025,-0.4777,22231.01,13933.308
000821.SZ,20191211,6.43,6.48,6.27,6.28,6.31,-0.02999999999999936,-0.4754,34717.0,22124.809
000821.SZ,20191210,6.31,6.37,6.21,6.31,6.31,0.0,0.0,21529.8,13519.039
000821.SZ,20191209,6.34,6.34,6.26,6.31,6.35,-0.040000000000000036,-0.6299,22362.01,14075.771
000821.SZ,20191206,6.35,6.38,6.29,6.35,6.39,-0.040000000000000036,-0.626,23639.0,14961.826
000821.SZ,20191205,6.28,6.39,6.28,6.39,6.28,0.10999999999999943,1.7516,20620.59,13075.566
000821.SZ,20191204,6.26,6.41,6.26,6.28,6.31,-0.02999999999999936,-0.4754,21239.8,13449.496
000821.SZ,20191203,6.24,6.33,6.18,6.31,6.24,0.0699999999999994,1.1218,20170.0,12660.037
000821.SZ,20191202,6.25,6.29,6.21,6.24,6.21,0.03000000000000025,0.4831,21465.61,13420.535
