ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000615.SZ,20200225,3.73,3.76,3.6,3.73,3.81,-0.08000000000000007,-2.0997,109309.0,40562.481
000615.SZ,20200224,3.77,3.82,3.73,3.81,3.81,0.0,0.0,115097.48,43371.658
000615.SZ,20200221,3.72,3.85,3.7,3.81,3.75,0.06000000000000005,1.6,125642.0,47445.499
000615.SZ,20200220,3.69,3.76,3.65,3.75,3.68,0.06999999999999984,1.9022,75003.0,27807.078
000615.SZ,20200219,3.73,3.79,3.67,3.68,3.73,-0.04999999999999982,-1.3405,72637.0,27112.31
000615.SZ,20200218,3.66,3.73,3.66,3.73,3.66,0.06999999999999984,1.9126,94518.01,34914.27
000615.SZ,20200217,3.61,3.67,3.56,3.66,3.58,0.08000000000000007,2.2346,74228.79,26957.59
000615.SZ,20200214,3.57,3.6,3.54,3.58,3.59,-0.009999999999999787,-0.2786,49093.81,17527.588
000615.SZ,20200213,3.65,3.7,3.56,3.59,3.65,-0.06000000000000005,-1.6438,81700.0,29614.706
000615.SZ,20200212,3.52,3.68,3.48,3.65,3.6,0.04999999999999982,1.3889,105671.59,37830.495
000615.SZ,20200211,3.93,3.93,3.58,3.6,3.71,-0.10999999999999988,-2.965,229394.87,86415.466
000615.SZ,20200210,3.59,3.71,3.53,3.71,3.37,0.33999999999999986,10.089,63356.94,23070.884
000615.SZ,20200207,3.35,3.43,3.32,3.37,3.39,-0.020000000000000018,-0.59,98098.46,33023.831
000615.SZ,20200206,3.32,3.39,3.27,3.39,3.29,0.10000000000000009,3.0395,110865.47,36769.706
000615.SZ,20200205,3.23,3.32,3.19,3.29,3.22,0.06999999999999984,2.1739,121454.43,39812.758
000615.SZ,20200204,3.22,3.35,3.22,3.22,3.58,-0.3599999999999999,-10.0559,203504.09,65866.981
000615.SZ,20200203,3.58,3.58,3.58,3.58,3.98,-0.3999999999999999,-10.0503,7782.0,2785.956
000615.SZ,20200123,4.18,4.18,3.97,3.98,4.18,-0.19999999999999973,-4.7847,80290.1,32611.275
000615.SZ,20200122,4.34,4.34,4.13,4.18,4.34,-0.16000000000000014,-3.6866,70773.0,29884.486
000615.SZ,20200121,4.41,4.41,4.34,4.34,4.42,-0.08000000000000007,-1.81,41820.26,18244.118
000615.SZ,20200120,4.41,4.45,4.34,4.42,4.41,0.009999999999999787,0.2268,76216.04,33639.029
000615.SZ,20200117,4.43,4.46,4.41,4.41,4.43,-0.019999999999999574,-0.4515,37561.5,16672.704
000615.SZ,20200116,4.51,4.53,4.43,4.43,4.52,-0.08999999999999986,-1.9912,45917.42,20567.546
