ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000505.SZ,20200225,5.71,5.79,5.54,5.74,5.89,-0.14999999999999947,-2.5467,142500.48,81156.833
000505.SZ,20200224,5.79,5.95,5.68,5.89,5.83,0.05999999999999961,1.0292,160423.4,93390.724
000505.SZ,20200221,5.85,5.86,5.76,5.83,5.85,-0.019999999999999574,-0.3419,111192.48,64743.297
000505.SZ,20200220,5.67,5.95,5.67,5.85,5.7,0.14999999999999947,2.6316,162807.91,95204.836
000505.SZ,20200219,5.8,5.86,5.69,5.7,5.85,-0.14999999999999947,-2.5641,113799.66,65747.746
000505.SZ,20200218,5.82,5.95,5.75,5.85,5.9,-0.05000000000000071,-0.8475,160294.36,93425.943
000505.SZ,20200217,5.76,6.15,5.76,5.9,5.68,0.22000000000000064,3.8732,272744.08,162238.346
000505.SZ,20200214,5.59,5.74,5.43,5.68,5.59,0.08999999999999986,1.61,176107.23,98686.629
000505.SZ,20200213,5.48,5.87,5.35,5.59,5.5,0.08999999999999986,1.6364,201172.74,113426.115
000505.SZ,20200212,5.39,5.57,5.29,5.5,5.35,0.15000000000000036,2.8037,111385.37,60939.474
000505.SZ,20200211,5.56,5.56,5.34,5.35,5.56,-0.20999999999999996,-3.777,121588.77,65873.665
000505.SZ,20200210,5.2,5.66,5.17,5.56,5.22,0.33999999999999986,6.5134,201498.68,110411.885
000505.SZ,20200207,5.18,5.26,5.14,5.22,5.26,-0.040000000000000036,-0.7605,76910.99,40048.433
000505.SZ,20200206,5.16,5.35,5.09,5.26,5.13,0.1299999999999999,2.5341,110985.35,58237.126
000505.SZ,20200205,5.0,5.25,5.0,5.13,5.08,0.04999999999999982,0.9843,105722.83,54282.404
000505.SZ,20200204,4.75,5.18,4.75,5.08,4.92,0.16000000000000014,3.252,119473.47,59824.62
000505.SZ,20200203,4.92,5.05,4.92,4.92,5.47,-0.5499999999999998,-10.0548,90533.0,44648.44
000505.SZ,20200123,5.69,5.74,5.38,5.47,5.68,-0.20999999999999996,-3.6972,89111.0,49351.719
000505.SZ,20200122,5.8,5.84,5.61,5.68,5.82,-0.14000000000000057,-2.4055,100348.4,57336.228
000505.SZ,20200121,6.15,6.15,5.82,5.82,6.17,-0.34999999999999964,-5.6726,163400.39,97010.125
000505.SZ,20200120,5.84,6.48,5.84,6.17,5.89,0.28000000000000025,4.7538,274188.41,169960.073
000505.SZ,20200117,5.91,5.93,5.81,5.89,5.87,0.019999999999999574,0.3407,58756.0,34549.013
000505.SZ,20200116,5.87,5.92,5.8,5.87,5.87,0.0,0.0,82383.56,48324.207
000505.SZ,20200115,5.9,5.93,5.75,5.87,5.92,-0.04999999999999982,-0.8446,82703.37,48106.992
000505.SZ,20200114,5.97,6.03,5.83,5.92,5.84,0.08000000000000007,1.3699,133473.79,79041.616
000505.SZ,20200113,5.88,5.89,5.74,5.84,5.89,-0.04999999999999982,-0.8489,78945.76,45920.733
000505.SZ,20200110,5.85,6.0,5.77,5.89,5.78,0.10999999999999943,1.9031,121506.48,71391.398
000505.SZ,20200109,5.79,5.85,5.71,5.78,5.72,0.0600000000000005,1.049,80467.27,46411.169
000505.SZ,20200108,5.85,5.93,5.69,5.72,5.9,-0.1800000000000006,-3.0508,126277.23,73319.769
000505.SZ,20200107,6.0,6.0,5.83,5.9,5.99,-0.08999999999999986,-1.5025,157654.4,93177.642
000505.SZ,20200106,5.98,6.25,5.8,5.99,5.94,0.04999999999999982,0.8418,262813.81,158323.77
000505.SZ,20200103,5.67,5.99,5.67,5.94,5.62,0.3200000000000003,5.694,248588.61,145039.888
000505.SZ,20200102,5.54,5.74,5.49,5.62,5.5,0.1200000000000001,2.1818,125317.82,70269.998
000505.SZ,20191231,5.44,5.53,5.43,5.5,5.45,0.04999999999999982,0.9174,48663.0,26707.578
000505.SZ,20191230,5.46,5.48,5.38,5.45,5.45,0.0,0.0,54345.46,29525.522
000505.SZ,20191227,5.51,5.54,5.43,5.45,5.46,-0.009999999999999787,-0.1832,64580.89,35419.829
000505.SZ,20191226,5.42,5.51,5.42,5.46,5.46,0.0,0.0,50709.31,27724.626
000505.SZ,20191225,5.5,5.52,5.41,5.46,5.51,-0.04999999999999982,-0.9074,60550.21,33016.9
000505.SZ,20191224,5.34,5.58,5.3,5.51,5.31,0.20000000000000018,3.7665,94265.12,51453.475
000505.SZ,20191223,5.49,5.53,5.3,5.31,5.54,-0.23000000000000043,-4.1516,76259.25,41448.997
000505.SZ,20191220,5.49,5.66,5.42,5.54,5.49,0.04999999999999982,0.9107,111957.02,62094.08
000505.SZ,20191219,5.43,5.49,5.4,5.49,5.43,0.0600000000000005,1.105,61996.46,33872.856
000505.SZ,20191218,5.45,5.5,5.41,5.43,5.46,-0.03000000000000025,-0.5495,69449.01,37864.552
000505.SZ,20191217,5.41,5.47,5.36,5.46,5.4,0.05999999999999961,1.1111,83801.04,45473.05
000505.SZ,20191216,5.4,5.43,5.34,5.4,5.37,0.03000000000000025,0.5587,58088.74,31281.461
000505.SZ,20191213,5.36,5.41,5.34,5.37,5.34,0.03000000000000025,0.5618,58502.75,31436.825
000505.SZ,20191212,5.38,5.4,5.32,5.34,5.39,-0.04999999999999982,-0.9276,54049.0,28897.858
000505.SZ,20191211,5.32,5.5,5.29,5.39,5.33,0.05999999999999961,1.1257,109693.05,59357.199
000505.SZ,20191210,5.34,5.36,5.31,5.33,5.36,-0.03000000000000025,-0.5597,48195.35,25678.391
000505.SZ,20191209,5.34,5.37,5.31,5.36,5.34,0.020000000000000462,0.3745,54937.0,29358.089
000505.SZ,20191206,5.33,5.36,5.29,5.34,5.35,-0.009999999999999787,-0.1869,71461.73,38047.097
000505.SZ,20191205,5.36,5.39,5.27,5.35,5.4,-0.05000000000000071,-0.9259,102185.11,54381.917
000505.SZ,20191204,5.33,5.42,5.28,5.4,5.36,0.040000000000000036,0.7463,77313.43,41486.624
000505.SZ,20191203,5.39,5.4,5.28,5.36,5.4,-0.040000000000000036,-0.7407,88172.17,47015.091
000505.SZ,20191202,5.48,5.51,5.35,5.4,5.55,-0.14999999999999947,-2.7027,141969.01,76879.824
000505.SZ,20191129,5.56,5.98,5.41,5.55,5.64,-0.08999999999999986,-1.5957,304124.49,170848.723
000505.SZ,20191128,5.23,5.64,5.23,5.64,5.13,0.5099999999999998,9.9415,209932.44,117382.214
000505.SZ,20191127,5.16,5.18,5.11,5.13,5.16,-0.03000000000000025,-0.5814,29336.0,15061.777
000505.SZ,20191126,5.28,5.31,5.16,5.16,5.26,-0.09999999999999964,-1.9011,46051.48,23957.754
000505.SZ,20191125,5.1,5.28,5.04,5.26,5.07,0.1899999999999995,3.7475,70857.97,36848.772
000505.SZ,20191122,5.12,5.18,5.05,5.07,5.12,-0.04999999999999982,-0.9766,25334.04,12925.58
000505.SZ,20191121,5.15,5.16,5.1,5.12,5.19,-0.07000000000000028,-1.3487,25353.01,13000.843
000505.SZ,20191120,5.24,5.24,5.1,5.19,5.24,-0.04999999999999982,-0.9542,39728.38,20566.076
000505.SZ,20191119,5.17,5.24,5.15,5.24,5.18,0.0600000000000005,1.1583,30634.29,15947.23
000505.SZ,20191118,5.02,5.27,4.94,5.18,5.02,0.16000000000000014,3.1873,61967.33,31909.785
000505.SZ,20191115,5.11,5.11,5.01,5.02,5.1,-0.08000000000000007,-1.5686,20852.0,10508.685
000505.SZ,20191114,5.08,5.11,5.06,5.1,5.08,0.019999999999999574,0.3937,19874.1,10103.934
000505.SZ,20191113,5.11,5.14,5.05,5.08,5.13,-0.04999999999999982,-0.9747,28603.15,14538.766
000505.SZ,20191112,5.16,5.19,5.02,5.13,5.16,-0.03000000000000025,-0.5814,38099.22,19415.268
000505.SZ,20191111,5.33,5.34,5.13,5.16,5.33,-0.16999999999999993,-3.1895,32610.48,16941.302
000505.SZ,20191108,5.41,5.46,5.33,5.33,5.37,-0.040000000000000036,-0.7449,28816.27,15534.813
000505.SZ,20191107,5.36,5.41,5.33,5.37,5.33,0.040000000000000036,0.7505,22461.95,12062.495
000505.SZ,20191106,5.48,5.5,5.3,5.33,5.5,-0.16999999999999993,-3.0909,56299.09,30274.052
000505.SZ,20191105,5.48,5.55,5.47,5.5,5.46,0.040000000000000036,0.7326,39708.97,21871.187
000505.SZ,20191104,5.52,5.53,5.44,5.46,5.5,-0.040000000000000036,-0.7273,31778.0,17446.599
000505.SZ,20191101,5.48,5.52,5.42,5.5,5.48,0.019999999999999574,0.365,34532.7,18911.786
000505.SZ,20191031,5.56,5.59,5.46,5.48,5.56,-0.07999999999999918,-1.4388,37998.0,20981.321
000505.SZ,20191030,5.65,5.69,5.53,5.56,5.66,-0.10000000000000053,-1.7668,37299.05,20816.499
000505.SZ,20191029,5.76,5.8,5.66,5.66,5.79,-0.1299999999999999,-2.2453,53969.08,30886.61
000505.SZ,20191028,5.66,5.8,5.6,5.79,5.69,0.09999999999999964,1.7575,87333.13,50138.029
000505.SZ,20191025,5.52,5.69,5.46,5.69,5.52,0.17000000000000082,3.0797,63726.2,35750.24
000505.SZ,20191024,5.64,5.67,5.5,5.52,5.63,-0.11000000000000032,-1.9538,42999.49,23850.13
