ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000711.SZ,20200225,4.38,4.45,4.21,4.41,4.51,-0.09999999999999964,-2.2173,122639.74,53629.728
000711.SZ,20200224,4.52,4.52,4.42,4.51,4.5,0.009999999999999787,0.2222,92120.8,41210.405
000711.SZ,20200221,4.45,4.55,4.44,4.5,4.44,0.05999999999999961,1.3514,96435.48,43372.8
000711.SZ,20200220,4.39,4.44,4.33,4.44,4.4,0.040000000000000036,0.9091,90312.8,39715.346
000711.SZ,20200219,4.39,4.46,4.36,4.4,4.42,-0.019999999999999574,-0.4525,77288.0,34068.724
000711.SZ,20200218,4.32,4.42,4.29,4.42,4.33,0.08999999999999986,2.0785,92159.8,40259.391
000711.SZ,20200217,4.23,4.34,4.22,4.33,4.22,0.11000000000000032,2.6066,88192.4,37816.016
000711.SZ,20200214,4.18,4.24,4.18,4.22,4.24,-0.020000000000000462,-0.4717,66366.7,27906.42
000711.SZ,20200213,4.26,4.31,4.21,4.24,4.26,-0.019999999999999574,-0.4695,76182.2,32367.801
000711.SZ,20200212,4.24,4.28,4.2,4.26,4.23,0.02999999999999936,0.7092,97555.23,41419.915
000711.SZ,20200211,4.28,4.28,4.19,4.23,4.24,-0.009999999999999787,-0.2358,80604.89,34108.702
000711.SZ,20200210,4.2,4.27,4.12,4.24,4.24,0.0,0.0,107514.91,45232.174
000711.SZ,20200207,4.16,4.26,4.07,4.24,4.12,0.1200000000000001,2.9126,162699.8,67628.032
000711.SZ,20200206,4.08,4.17,3.93,4.12,4.0,0.1200000000000001,3.0,167541.49,68034.403
000711.SZ,20200205,3.83,4.02,3.82,4.0,3.83,0.16999999999999993,4.4386,152777.66,60403.698
000711.SZ,20200204,3.79,3.97,3.79,3.83,4.21,-0.3799999999999999,-9.0261,210825.99,81083.883
000711.SZ,20200203,4.21,4.21,4.21,4.21,4.68,-0.46999999999999975,-10.0427,12324.0,5188.404
000711.SZ,20200123,4.78,4.85,4.63,4.68,4.79,-0.11000000000000032,-2.2965,67828.4,32040.154
000711.SZ,20200122,4.86,4.86,4.73,4.79,4.86,-0.07000000000000028,-1.4403,85823.51,41029.568
000711.SZ,20200121,4.99,4.99,4.81,4.86,5.0,-0.13999999999999968,-2.8,103674.49,50725.37
000711.SZ,20200120,5.02,5.07,4.98,5.0,5.03,-0.03000000000000025,-0.5964,75026.28,37630.872
000711.SZ,20200117,5.01,5.09,5.0,5.03,5.04,-0.009999999999999787,-0.1984,76847.75,38612.201
000711.SZ,20200116,5.2,5.21,5.03,5.04,5.18,-0.13999999999999968,-2.7027,118427.48,60166.423
000711.SZ,20200115,5.11,5.25,5.07,5.18,5.11,0.0699999999999994,1.3699,113686.4,58770.719
000711.SZ,20200114,5.18,5.2,5.1,5.11,5.18,-0.0699999999999994,-1.3514,111604.76,57281.24
000711.SZ,20200113,5.29,5.29,5.11,5.18,5.32,-0.14000000000000057,-2.6316,124566.08,64372.413
000711.SZ,20200110,5.33,5.38,5.24,5.32,5.3,0.020000000000000462,0.3774,109456.88,58230.531
000711.SZ,20200109,5.5,5.59,5.18,5.3,5.61,-0.3100000000000005,-5.5258,418724.03,224971.43
000711.SZ,20200108,5.79,6.27,5.57,5.61,5.7,-0.08999999999999986,-1.5789,542683.58,315469.617
000711.SZ,20200107,5.73,5.8,5.66,5.7,5.69,0.009999999999999787,0.1757,273993.04,156638.733
000711.SZ,20200106,5.57,5.72,5.48,5.69,5.6,0.09000000000000075,1.6071,186805.48,104732.669
000711.SZ,20200103,5.78,5.79,5.6,5.6,5.7,-0.10000000000000053,-1.7544,164820.58,93169.653
000711.SZ,20200102,5.48,5.76,5.44,5.7,5.44,0.2599999999999998,4.7794,114820.4,64330.9
000711.SZ,20191231,5.45,5.49,5.37,5.44,5.45,-0.009999999999999787,-0.1835,85171.58,46170.475
000711.SZ,20191230,5.51,5.59,5.37,5.45,5.51,-0.05999999999999961,-1.0889,86883.87,47505.778
000711.SZ,20191227,5.55,5.56,5.41,5.51,5.55,-0.040000000000000036,-0.7207,157898.43,87093.733
000711.SZ,20191226,5.56,5.66,5.49,5.55,5.56,-0.009999999999999787,-0.1799,79530.0,44077.178
000711.SZ,20191225,5.58,5.61,5.52,5.56,5.58,-0.020000000000000462,-0.3584,53605.42,29851.267
000711.SZ,20191224,5.59,5.63,5.51,5.58,5.58,0.0,0.0,63345.34,35189.71
000711.SZ,20191223,5.7,5.71,5.51,5.58,5.68,-0.09999999999999964,-1.7606,76937.85,42988.321
000711.SZ,20191220,5.73,5.85,5.68,5.68,5.73,-0.05000000000000071,-0.8726,80873.06,46672.141
000711.SZ,20191219,5.71,5.78,5.66,5.73,5.72,0.010000000000000675,0.1748,82213.54,47127.231
000711.SZ,20191218,5.82,5.82,5.67,5.72,5.78,-0.0600000000000005,-1.0381,69471.34,39759.063
000711.SZ,20191217,5.82,5.89,5.73,5.78,5.78,0.0,0.0,96389.66,55861.664
000711.SZ,20191216,5.66,5.9,5.61,5.78,5.62,0.16000000000000014,2.847,111660.9,64116.413
000711.SZ,20191213,5.64,5.68,5.58,5.62,5.65,-0.03000000000000025,-0.531,71278.4,40046.492
000711.SZ,20191212,5.6,5.71,5.57,5.65,5.58,0.07000000000000028,1.2545,94269.81,53144.338
000711.SZ,20191211,5.62,5.63,5.55,5.58,5.61,-0.03000000000000025,-0.5348,78263.45,43617.002
000711.SZ,20191210,5.65,5.67,5.57,5.61,5.64,-0.02999999999999936,-0.5319,87681.4,49058.15
000711.SZ,20191209,5.7,5.7,5.59,5.64,5.67,-0.03000000000000025,-0.5291,89359.0,50428.079
000711.SZ,20191206,5.66,5.78,5.59,5.67,5.65,0.019999999999999574,0.354,102230.6,57892.629
000711.SZ,20191205,5.78,5.78,5.64,5.65,5.72,-0.0699999999999994,-1.2238,112370.47,63711.213
000711.SZ,20191204,5.56,5.73,5.56,5.72,5.62,0.09999999999999964,1.7794,118870.28,67455.885
000711.SZ,20191203,5.58,5.68,5.54,5.62,5.62,0.0,0.0,140506.32,78803.638
000711.SZ,20191202,5.56,5.64,5.53,5.62,5.53,0.08999999999999986,1.6275,79483.38,44383.623
000711.SZ,20191129,5.59,5.59,5.47,5.53,5.52,0.010000000000000675,0.1812,112621.0,62212.899
000711.SZ,20191128,5.43,5.68,5.37,5.52,5.36,0.15999999999999925,2.9851,189246.7,104038.198
000711.SZ,20191127,5.29,5.4,5.28,5.36,5.29,0.07000000000000028,1.3233,129678.0,69385.919
000711.SZ,20191126,5.29,5.35,5.27,5.29,5.3,-0.009999999999999787,-0.1887,120578.0,63976.34
000711.SZ,20191125,5.18,5.39,5.16,5.3,5.23,0.0699999999999994,1.3384,144856.6,76552.575
000711.SZ,20191122,5.16,5.28,5.15,5.23,5.19,0.040000000000000036,0.7707,188751.51,98346.112
000711.SZ,20191121,5.07,5.25,5.06,5.19,5.11,0.08000000000000007,1.5656,225640.66,116597.58
000711.SZ,20191120,5.02,5.19,5.01,5.11,5.08,0.03000000000000025,0.5906,227117.32,115376.938
