ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600277.SH,20200225,3.9,3.92,3.76,3.9,3.97,-0.07000000000000028,-1.7632,361632.15,139697.491
600277.SH,20200224,4.02,4.02,3.92,3.97,4.03,-0.06000000000000005,-1.4888,339885.21,134693.776
600277.SH,20200221,4.04,4.06,4.01,4.03,4.04,-0.009999999999999787,-0.2475,271456.42,109366.214
600277.SH,20200220,4.01,4.05,3.95,4.04,3.99,0.04999999999999982,1.2531,249681.79,99865.577
600277.SH,20200219,4.06,4.08,3.98,3.99,4.06,-0.0699999999999994,-1.7241,234268.03,94373.265
600277.SH,20200218,4.06,4.09,4.01,4.06,4.04,0.019999999999999574,0.495,251432.14,101783.526
600277.SH,20200217,3.95,4.05,3.92,4.04,3.96,0.08000000000000007,2.0202,235054.52,94232.499
600277.SH,20200214,3.92,3.99,3.86,3.96,3.94,0.020000000000000018,0.5076,207759.17,81600.762
600277.SH,20200213,3.96,4.03,3.9,3.94,3.95,-0.010000000000000231,-0.2532,245575.95,97336.889
600277.SH,20200212,3.93,3.95,3.87,3.95,3.91,0.040000000000000036,1.023,215995.71,84575.56
600277.SH,20200211,3.88,3.93,3.84,3.91,3.9,0.010000000000000231,0.2564,176251.19,68519.016
600277.SH,20200210,3.87,3.94,3.83,3.9,3.87,0.029999999999999805,0.7752,241169.08,93501.16
600277.SH,20200207,3.91,4.04,3.77,3.87,3.88,-0.009999999999999787,-0.2577,403245.85,157007.39
600277.SH,20200206,3.63,3.9,3.57,3.88,3.61,0.27,7.4792,423783.29,160278.217
600277.SH,20200205,3.49,3.65,3.46,3.61,3.51,0.10000000000000009,2.849,368156.03,132250.996
600277.SH,20200204,3.35,3.59,3.35,3.51,3.72,-0.2100000000000004,-5.6452,579291.58,201080.24
600277.SH,20200203,3.72,3.72,3.72,3.72,4.13,-0.4099999999999997,-9.9274,37839.0,14076.108
