ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600197.SH,20200225,14.0,14.12,13.64,14.05,14.24,-0.1899999999999995,-1.3343,76655.56,106812.026
600197.SH,20200224,14.45,14.45,14.15,14.24,14.45,-0.20999999999999908,-1.4533,69466.36,98924.295
600197.SH,20200221,14.49,14.59,14.42,14.45,14.5,-0.05000000000000071,-0.3448,60917.74,88289.448
600197.SH,20200220,14.24,14.54,14.19,14.5,14.15,0.34999999999999964,2.4735,78402.49,113103.522
600197.SH,20200219,14.18,14.4,14.05,14.15,14.21,-0.0600000000000005,-0.4222,48945.7,69753.943
600197.SH,20200218,14.16,14.26,14.02,14.21,14.1,0.11000000000000121,0.7801,54851.93,77549.118
600197.SH,20200217,13.8,14.14,13.8,14.1,13.78,0.3200000000000003,2.3222,58903.68,82296.639
600197.SH,20200214,13.8,13.88,13.65,13.78,13.81,-0.030000000000001137,-0.2172,39056.91,53828.492
600197.SH,20200213,14.03,14.17,13.8,13.81,14.02,-0.20999999999999908,-1.4979,47795.11,66729.801
600197.SH,20200212,13.92,14.07,13.81,14.02,13.97,0.049999999999998934,0.3579,38665.21,53915.941
600197.SH,20200211,13.8,14.21,13.74,13.97,13.8,0.16999999999999993,1.2319,62379.02,87297.157
600197.SH,20200210,13.55,13.83,13.4,13.8,13.57,0.23000000000000043,1.6949,46440.39,63370.96
600197.SH,20200207,13.61,13.64,13.4,13.57,13.7,-0.129999999999999,-0.9489,48524.26,65606.725
600197.SH,20200206,13.24,13.74,13.13,13.7,13.32,0.379999999999999,2.8529,72067.72,96386.962
600197.SH,20200205,13.02,13.55,12.98,13.32,13.02,0.3000000000000007,2.3041,76883.58,102117.411
600197.SH,20200204,12.4,13.3,12.4,13.02,13.46,-0.4400000000000013,-3.2689,106235.49,137796.227
600197.SH,20200203,13.46,13.46,13.46,13.46,14.96,-1.5,-10.0267,18317.0,24654.682
600197.SH,20200123,15.44,15.55,14.88,14.96,15.54,-0.5799999999999983,-3.7323,68522.43,103766.713
600197.SH,20200122,15.6,15.66,15.31,15.54,15.63,-0.09000000000000163,-0.5758,47726.39,73962.788
600197.SH,20200121,16.05,16.05,15.54,15.63,16.08,-0.4499999999999975,-2.7985,75301.9,118246.722
600197.SH,20200120,16.05,16.15,15.94,16.08,16.04,0.03999999999999915,0.2494,44921.2,72019.442
600197.SH,20200117,16.21,16.28,15.97,16.04,16.21,-0.1700000000000017,-1.0487,46833.31,75454.457
600197.SH,20200116,16.33,16.43,16.16,16.21,16.35,-0.14000000000000057,-0.8563,50632.0,82316.495
600197.SH,20200115,16.39,16.65,16.32,16.35,16.35,0.0,0.0,66198.99,108929.274
600197.SH,20200114,16.5,16.58,16.32,16.35,16.58,-0.22999999999999687,-1.3872,62152.33,101896.646
600197.SH,20200113,16.46,16.78,16.41,16.58,16.5,0.0799999999999983,0.4848,117216.01,194349.119
600197.SH,20200110,16.06,16.77,16.05,16.5,16.04,0.46000000000000085,2.8678,145670.33,239507.202
600197.SH,20200109,15.93,16.1,15.91,16.04,15.84,0.1999999999999993,1.2626,61778.23,98966.728
600197.SH,20200108,15.99,16.15,15.77,15.84,16.08,-0.23999999999999844,-1.4925,62305.49,99383.438
600197.SH,20200107,15.8,16.1,15.8,16.08,15.83,0.24999999999999822,1.5793,63756.83,101768.937
600197.SH,20200106,15.88,15.96,15.73,15.83,15.94,-0.10999999999999943,-0.6901,59663.21,94554.448
600197.SH,20200103,16.08,16.23,15.88,15.94,16.04,-0.09999999999999964,-0.6234,72681.35,116627.462
600197.SH,20200102,16.03,16.1,15.87,16.04,16.03,0.00999999999999801,0.0624,82845.13,132557.411
600197.SH,20191231,15.83,16.07,15.74,16.03,15.85,0.1800000000000015,1.1356,71880.68,114224.645
600197.SH,20191230,15.41,15.93,15.35,15.85,15.46,0.3899999999999988,2.5226,94430.93,148886.4
600197.SH,20191227,15.72,15.87,15.46,15.46,15.61,-0.14999999999999858,-0.9609,60974.9,95588.386
600197.SH,20191226,15.35,15.76,15.33,15.61,15.3,0.3099999999999987,2.0261,61180.84,95105.672
600197.SH,20191225,15.34,15.38,15.24,15.3,15.34,-0.03999999999999915,-0.2608,26411.14,40443.556
600197.SH,20191224,15.21,15.35,15.21,15.34,15.17,0.16999999999999993,1.1206,26963.27,41216.961
600197.SH,20191223,15.25,15.48,15.11,15.17,15.36,-0.1899999999999995,-1.237,57353.14,87655.675
600197.SH,20191220,15.63,15.68,15.36,15.36,15.63,-0.27000000000000135,-1.7274,52720.82,81913.356
600197.SH,20191219,15.53,15.64,15.43,15.63,15.53,0.10000000000000142,0.6439,52418.94,81450.718
600197.SH,20191218,15.35,15.55,15.35,15.53,15.4,0.129999999999999,0.8442,70730.94,109395.264
600197.SH,20191217,15.19,15.5,15.1,15.4,15.18,0.22000000000000064,1.4493,89590.88,137096.738
600197.SH,20191216,15.11,15.19,15.01,15.18,15.08,0.09999999999999964,0.6631,62273.03,93896.523
600197.SH,20191213,14.97,15.1,14.91,15.08,14.89,0.1899999999999995,1.276,49583.52,74577.337
