ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600728.SH,20200225,11.1,11.51,10.7,11.43,11.37,0.0600000000000005,0.5277,1223504.87,1369831.106
600728.SH,20200224,10.9,11.52,10.9,11.37,10.93,0.4399999999999995,4.0256,1201648.49,1358284.771
600728.SH,20200221,10.3,11.13,10.3,10.93,10.2,0.7300000000000004,7.1569,1234042.11,1338890.307
600728.SH,20200220,10.33,10.46,10.01,10.2,10.17,0.02999999999999936,0.295,645378.24,657581.529
600728.SH,20200219,10.28,10.44,10.13,10.17,10.27,-0.09999999999999964,-0.9737,771784.02,792741.849
600728.SH,20200218,9.84,10.31,9.78,10.27,9.84,0.4299999999999997,4.3699,812053.84,818901.38
600728.SH,20200217,9.25,9.87,9.24,9.84,9.14,0.6999999999999993,7.6586,670104.08,645151.567
600728.SH,20200214,9.12,9.29,9.05,9.14,9.12,0.02000000000000135,0.2193,347887.41,318977.866
600728.SH,20200213,9.2,9.32,9.05,9.12,9.2,-0.08000000000000007,-0.8696,341028.69,312518.876
600728.SH,20200212,9.0,9.23,8.96,9.2,8.98,0.21999999999999886,2.4499,352157.47,321459.137
600728.SH,20200211,9.15,9.23,8.94,8.98,9.15,-0.16999999999999993,-1.8579,288754.01,261109.481
600728.SH,20200210,9.0,9.25,8.94,9.15,9.11,0.040000000000000924,0.4391,385171.21,351473.098
600728.SH,20200207,8.75,9.14,8.71,9.11,8.72,0.3899999999999988,4.4725,476259.61,425844.709
600728.SH,20200206,8.58,8.8,8.46,8.72,8.55,0.16999999999999993,1.9883,384666.92,333980.931
600728.SH,20200205,8.41,8.75,8.4,8.55,8.38,0.16999999999999993,2.0286,451533.75,387753.619
600728.SH,20200204,7.81,8.55,7.81,8.38,8.63,-0.25,-2.8969,597768.33,497897.875
600728.SH,20200203,8.63,8.63,8.63,8.63,9.59,-0.9599999999999991,-10.0104,50976.0,43992.288
600728.SH,20200123,9.98,10.12,9.41,9.59,10.1,-0.5099999999999998,-5.0495,494064.33,482213.251
600728.SH,20200122,9.89,10.18,9.7,10.1,9.92,0.17999999999999972,1.8145,457142.53,454388.967
600728.SH,20200121,10.17,10.25,9.88,9.92,10.33,-0.41000000000000014,-3.969,525548.32,526744.832
600728.SH,20200120,9.93,10.4,9.82,10.33,9.9,0.4299999999999997,4.3434,529945.74,539972.341
600728.SH,20200117,10.04,10.11,9.88,9.9,10.0,-0.09999999999999964,-1.0,266939.2,266194.195
600728.SH,20200116,10.13,10.17,9.97,10.0,10.12,-0.11999999999999922,-1.1858,243204.77,244121.313
600728.SH,20200115,9.99,10.24,9.94,10.12,9.96,0.15999999999999837,1.6064,377488.71,380661.454
600728.SH,20200114,10.28,10.33,9.96,9.96,10.2,-0.23999999999999844,-2.3529,353500.08,356427.012
600728.SH,20200113,10.03,10.23,9.91,10.2,10.07,0.129999999999999,1.291,352726.64,355584.147
600728.SH,20200110,10.07,10.15,9.95,10.07,10.01,0.0600000000000005,0.5994,273965.9,275196.059
600728.SH,20200109,10.03,10.14,9.9,10.01,9.84,0.16999999999999993,1.7276,318657.94,318813.932
600728.SH,20200108,9.85,10.24,9.8,9.84,9.97,-0.13000000000000078,-1.3039,472621.24,471060.348
600728.SH,20200107,9.91,10.03,9.83,9.97,9.88,0.08999999999999986,0.9109,296834.75,294930.719
600728.SH,20200106,9.67,10.06,9.61,9.88,9.74,0.14000000000000057,1.4374,493365.85,488532.795
600728.SH,20200103,9.67,9.77,9.63,9.74,9.68,0.0600000000000005,0.6198,286668.16,278251.514
600728.SH,20200102,9.49,9.72,9.44,9.68,9.38,0.29999999999999893,3.1983,383861.34,368699.663
600728.SH,20191231,9.4,9.47,9.32,9.38,9.43,-0.049999999999998934,-0.5302,145829.29,136821.79
600728.SH,20191230,9.21,9.46,9.07,9.43,9.23,0.1999999999999993,2.1668,240547.07,224412.804
600728.SH,20191227,9.38,9.45,9.19,9.23,9.41,-0.17999999999999972,-1.9129,206037.91,192321.253
600728.SH,20191226,9.33,9.44,9.28,9.41,9.29,0.120000000000001,1.2917,199674.59,187046.116
600728.SH,20191225,9.17,9.37,9.15,9.29,9.17,0.11999999999999922,1.3086,221616.81,205776.076
600728.SH,20191224,9.1,9.2,9.05,9.17,9.07,0.09999999999999964,1.1025,172313.53,157252.381
600728.SH,20191223,9.3,9.34,9.05,9.07,9.29,-0.21999999999999886,-2.3681,210854.14,193420.828
600728.SH,20191220,9.56,9.6,9.29,9.29,9.55,-0.26000000000000156,-2.7225,275982.48,259254.176
600728.SH,20191219,9.5,9.85,9.5,9.55,9.45,0.10000000000000142,1.0582,364757.27,352803.722
600728.SH,20191218,9.6,9.61,9.41,9.45,9.57,-0.120000000000001,-1.2539,331378.06,314478.996
600728.SH,20191217,9.5,9.68,9.5,9.57,9.49,0.08000000000000007,0.843,318306.61,305050.208
600728.SH,20191216,9.3,9.53,9.3,9.49,9.25,0.2400000000000002,2.5946,339392.99,320590.156
600728.SH,20191213,9.28,9.38,9.2,9.25,9.17,0.08000000000000007,0.8724,290441.26,269810.225
600728.SH,20191212,9.21,9.33,9.08,9.17,9.15,0.019999999999999574,0.2186,238474.05,220131.958
600728.SH,20191211,9.25,9.3,9.15,9.15,9.22,-0.07000000000000028,-0.7592,195465.81,180171.851
600728.SH,20191210,9.15,9.26,9.1,9.22,9.18,0.040000000000000924,0.4357,197153.93,181127.294
600728.SH,20191209,9.03,9.25,9.03,9.18,8.98,0.1999999999999993,2.2272,237902.11,218323.078
600728.SH,20191206,8.97,9.05,8.89,8.98,8.99,-0.009999999999999787,-0.1112,142662.92,128005.036
600728.SH,20191205,8.93,9.02,8.89,8.99,8.88,0.10999999999999943,1.2387,186384.56,167146.475
600728.SH,20191204,8.83,8.93,8.8,8.88,8.9,-0.019999999999999574,-0.2247,92585.14,82136.636
600728.SH,20191203,8.86,8.91,8.77,8.9,8.88,0.019999999999999574,0.2252,105751.08,93454.493
