ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000598.SZ,20200225,4.51,4.57,4.48,4.54,4.61,-0.07000000000000028,-1.5184,236116.87,106667.36
000598.SZ,20200224,4.61,4.62,4.54,4.61,4.65,-0.040000000000000036,-0.8602,256129.32,117357.479
000598.SZ,20200221,4.75,4.79,4.63,4.65,4.51,0.14000000000000057,3.1042,507903.94,238539.4
000598.SZ,20200220,4.49,4.51,4.44,4.51,4.49,0.019999999999999574,0.4454,128993.1,57813.338
000598.SZ,20200219,4.48,4.52,4.46,4.49,4.49,0.0,0.0,156168.34,70011.276
000598.SZ,20200218,4.49,4.5,4.45,4.49,4.48,0.009999999999999787,0.2232,119165.56,53391.727
000598.SZ,20200217,4.39,4.48,4.38,4.48,4.4,0.08000000000000007,1.8182,127134.45,56648.399
000598.SZ,20200214,4.45,4.47,4.37,4.4,4.47,-0.0699999999999994,-1.566,129388.96,57257.529
000598.SZ,20200213,4.48,4.48,4.44,4.47,4.48,-0.010000000000000675,-0.2232,121412.09,54073.107
000598.SZ,20200212,4.45,4.49,4.44,4.48,4.46,0.020000000000000462,0.4484,102871.9,45931.521
000598.SZ,20200211,4.52,4.53,4.44,4.46,4.52,-0.05999999999999961,-1.3274,190880.51,85531.007
000598.SZ,20200210,4.55,4.58,4.48,4.52,4.59,-0.07000000000000028,-1.5251,226856.39,102527.616
000598.SZ,20200207,4.37,4.63,4.34,4.59,4.38,0.20999999999999996,4.7945,312167.13,139229.359
000598.SZ,20200206,4.2,4.38,4.14,4.38,4.17,0.20999999999999996,5.036,261692.23,111981.309
000598.SZ,20200205,4.18,4.24,4.13,4.17,4.17,0.0,0.0,206917.11,86511.508
000598.SZ,20200204,3.98,4.2,3.98,4.17,4.01,0.16000000000000014,3.99,205685.7,84864.925
000598.SZ,20200203,4.04,4.1,4.01,4.01,4.45,-0.4400000000000004,-9.8876,393699.38,158444.257
000598.SZ,20200123,4.52,4.53,4.41,4.45,4.55,-0.09999999999999964,-2.1978,190379.48,85214.099
000598.SZ,20200122,4.56,4.57,4.51,4.55,4.56,-0.009999999999999787,-0.2193,95563.1,43422.232
000598.SZ,20200121,4.66,4.67,4.56,4.56,4.66,-0.10000000000000053,-2.1459,164707.76,75651.24
000598.SZ,20200120,4.66,4.67,4.64,4.66,4.66,0.0,0.0,93087.2,43310.218
000598.SZ,20200117,4.7,4.7,4.66,4.66,4.68,-0.019999999999999574,-0.4274,55776.0,26099.819
000598.SZ,20200116,4.71,4.73,4.67,4.68,4.71,-0.03000000000000025,-0.6369,91944.5,43162.195
000598.SZ,20200115,4.71,4.74,4.68,4.71,4.72,-0.009999999999999787,-0.2119,102659.2,48345.157
000598.SZ,20200114,4.66,4.75,4.64,4.72,4.66,0.05999999999999961,1.2876,162923.4,76580.364
000598.SZ,20200113,4.64,4.67,4.61,4.66,4.65,0.009999999999999787,0.2151,100172.55,46449.012
000598.SZ,20200110,4.69,4.71,4.61,4.65,4.68,-0.02999999999999936,-0.641,142542.36,66301.551
000598.SZ,20200109,4.68,4.7,4.65,4.68,4.64,0.040000000000000036,0.8621,93989.93,43933.521
000598.SZ,20200108,4.69,4.7,4.64,4.64,4.71,-0.07000000000000028,-1.4862,128031.93,59756.611
000598.SZ,20200107,4.7,4.73,4.68,4.71,4.7,0.009999999999999787,0.2128,132664.01,62451.23
000598.SZ,20200106,4.67,4.75,4.65,4.7,4.68,0.020000000000000462,0.4274,178758.78,84303.722
000598.SZ,20200103,4.69,4.69,4.66,4.68,4.67,0.009999999999999787,0.2141,116074.78,54314.763
000598.SZ,20200102,4.66,4.69,4.64,4.67,4.63,0.040000000000000036,0.8639,153037.84,71464.295
000598.SZ,20191231,4.61,4.65,4.59,4.63,4.61,0.019999999999999574,0.4338,97052.73,44830.192
